t,l,x,y,z
7506553,0,-0.97,-0.11,0.01
7506555,0,-0.97,-0.11,0.01
7506557,0,-0.97,-0.11,0.01
7506558,0,-0.97,-0.11,0.01
7506560,0,-0.97,-0.11,0.01
7506562,0,-0.97,-0.11,0.01
7506563,0,-0.97,-0.11,0.01
7506565,0,-0.97,-0.11,0.01
7506567,0,-0.97,-0.11,0.01
7506568,0,-0.97,-0.11,0.01
7506570,0,-0.97,-0.10,0.02
7506572,0,-0.97,-0.10,0.02
7506573,0,-0.97,-0.10,0.02
7506575,0,-0.97,-0.10,0.02
7506577,0,-0.97,-0.10,0.02
7506578,0,-0.97,-0.10,0.02
7506580,0,-0.97,-0.11,0.02
7506582,0,-0.97,-0.11,0.02
7506583,0,-0.97,-0.11,0.02
7506585,0,-0.97,-0.11,0.02
7506587,0,-0.97,-0.11,0.02
7506588,0,-0.97,-0.11,0.02
7506590,0,-0.98,-0.11,0.02
7506592,0,-0.98,-0.11,0.02
7506593,0,-0.98,-0.11,0.02
7506595,0,-0.98,-0.11,0.02
7506597,0,-0.98,-0.11,0.02
7506598,0,-0.98,-0.11,0.02
7506600,0,-0.97,-0.11,0.02
7506602,0,-0.97,-0.11,0.02
7506603,0,-0.97,-0.11,0.02
7506605,0,-0.97,-0.11,0.02
7506607,0,-0.97,-0.11,0.02
7506608,0,-0.97,-0.11,0.02
7506610,0,-0.97,-0.10,0.01
7506612,0,-0.97,-0.10,0.01
7506613,0,-0.97,-0.10,0.01
7506615,0,-0.97,-0.10,0.01
7506617,0,-0.97,-0.10,0.01
7506618,0,-0.97,-0.10,0.01
7506620,0,-0.98,-0.10,0.01
7506622,0,-0.98,-0.10,0.01
7506623,0,-0.98,-0.10,0.01
7506625,0,-0.98,-0.10,0.01
7506627,0,-0.98,-0.10,0.01
7506628,0,-0.98,-0.10,0.01
7506630,0,-0.98,-0.10,0.01
7506632,0,-0.98,-0.10,0.01
7506633,0,-0.98,-0.10,0.01
7506635,0,-0.98,-0.10,0.01
7506637,0,-0.98,-0.10,0.01
7506638,0,-0.98,-0.10,0.01
7506640,0,-0.97,-0.10,0.01
7506642,0,-0.97,-0.10,0.01
7506643,0,-0.97,-0.10,0.01
7506645,0,-0.97,-0.10,0.01
7506647,0,-0.97,-0.10,0.01
7506648,0,-0.98,-0.11,0.01
7506650,0,-0.98,-0.11,0.01
7506652,0,-0.98,-0.11,0.01
7506653,0,-0.98,-0.11,0.01
7506655,0,-0.98,-0.11,0.01
7506657,0,-0.98,-0.11,0.01
7506658,0,-0.98,-0.11,-0.00
7506660,0,-0.98,-0.11,-0.00
7506662,0,-0.98,-0.11,-0.00
7506663,0,-0.98,-0.11,-0.00
7506665,0,-0.98,-0.11,-0.00
7506667,0,-0.98,-0.11,-0.00
7506668,0,-0.98,-0.11,0.00
7506670,0,-0.98,-0.11,0.00
7506672,0,-0.98,-0.11,0.00
7506673,0,-0.98,-0.11,0.00
7506675,0,-0.98,-0.11,0.00
7506677,0,-0.98,-0.11,0.00
7506678,0,-0.97,-0.10,0.00
7506680,0,-0.97,-0.10,0.00
7506682,0,-0.97,-0.10,0.00
7506683,0,-0.97,-0.10,0.00
7506685,0,-0.97,-0.10,0.00
7506687,0,-0.97,-0.10,0.00
7506688,0,-0.97,-0.10,0.00
7506690,0,-0.97,-0.10,0.00
7506692,0,-0.97,-0.10,0.00
7506693,0,-0.97,-0.10,0.00
7506695,0,-0.97,-0.10,0.00
7506697,0,-0.97,-0.10,0.00
7506698,0,-0.98,-0.11,0.00
7506700,0,-0.98,-0.11,0.00
7506702,0,-0.98,-0.11,0.00
7506703,0,-0.98,-0.11,0.00
7506705,0,-0.98,-0.11,0.00
7506707,0,-0.98,-0.11,0.01
7506708,0,-0.97,-0.11,0.01
7506710,0,-0.97,-0.11,0.01
7506712,0,-0.97,-0.11,0.01
7506713,0,-0.97,-0.11,0.01
7506715,0,-0.97,-0.11,0.01
7506717,0,-0.96,-0.11,0.02
7506718,0,-0.96,-0.11,0.02
7506720,0,-0.96,-0.11,0.02
7506722,0,-0.96,-0.11,0.02
7506723,0,-0.96,-0.11,0.02
7506725,0,-0.96,-0.11,0.02
7506727,0,-0.97,-0.11,0.02
7506728,0,-0.97,-0.11,0.02
7506730,0,-0.97,-0.11,0.02
7506732,0,-0.97,-0.11,0.02
7506733,0,-0.97,-0.11,0.02
7506735,0,-0.97,-0.11,0.02
7506737,0,-0.99,-0.12,0.02
7506738,0,-0.99,-0.12,0.02
7506740,0,-0.99,-0.12,0.02
7506742,0,-0.99,-0.12,0.02
7506743,0,-0.99,-0.12,0.02
7506745,0,-0.99,-0.12,0.02
7506747,0,-0.98,-0.12,0.02
7506748,0,-0.98,-0.12,0.02
7506750,0,-0.98,-0.12,0.02
7506752,0,-0.98,-0.12,0.02
7506753,0,-0.98,-0.12,0.02
7506755,0,-0.98,-0.12,0.02
7506757,0,-0.98,-0.11,0.01
7506758,0,-0.98,-0.11,0.01
7506760,0,-0.98,-0.11,0.01
7506762,0,-0.98,-0.11,0.01
7506763,0,-0.98,-0.11,0.01
7506765,0,-0.98,-0.11,0.01
7506767,0,-0.97,-0.10,0.00
7506768,0,-0.97,-0.10,0.00
7506770,0,-0.97,-0.10,0.00
7506771,0,-0.97,-0.10,0.00
7506773,0,-0.97,-0.10,0.00
7506775,0,-0.97,-0.10,-0.13
7506776,0,-0.97,-0.10,-0.01
7506778,0,-0.97,-0.10,-0.01
7506780,0,-0.97,-0.10,-0.01
7506782,0,-0.97,-0.10,-0.01
7506783,0,-0.97,-0.10,-0.01
7506785,0,-0.97,-0.11,-0.02
7506787,0,-0.98,-0.11,-0.02
7506788,0,-0.98,-0.11,-0.02
7506790,0,-0.98,-0.11,-0.02
7506792,0,-0.98,-0.11,-0.02
7506793,0,-0.98,-0.11,-0.02
7506795,0,-0.98,-0.11,-0.01
7506797,0,-0.98,-0.11,-0.01
7506798,0,-0.98,-0.11,-0.01
7506800,0,-0.98,-0.11,-0.01
7506802,0,-0.98,-0.11,-0.01
7506803,0,-0.98,-0.11,-0.01
7506805,0,-0.98,-0.11,-0.00
7506807,0,-0.98,-0.11,-0.00
7506808,0,-0.98,-0.11,-0.00
7506810,0,-0.98,-0.11,-0.00
7506812,0,-0.98,-0.11,-0.00
7506813,0,-0.98,-0.11,-0.00
7506815,0,-0.98,-0.12,0.01
7506817,0,-0.98,-0.12,0.01
7506818,0,-0.98,-0.12,0.01
7506820,0,-0.98,-0.12,0.01
7506822,0,-0.98,-0.12,0.01
7506823,0,-0.98,-0.12,0.01
7506825,0,-0.97,-0.11,0.02
7506827,0,-0.97,-0.11,0.02
7506828,0,-0.97,-0.11,0.02
7506830,0,-0.97,-0.11,0.02
7506832,0,-0.97,-0.11,0.02
7506833,0,-0.97,-0.11,0.02
7506835,0,-0.98,-0.11,0.02
7506837,0,-0.98,-0.11,0.02
7506838,0,-0.98,-0.11,0.02
7506840,0,-0.98,-0.11,0.02
7506842,0,-0.98,-0.11,0.02
7506843,0,-0.98,-0.11,0.03
7506845,0,-0.98,-0.11,0.03
7506847,0,-0.98,-0.11,0.03
7506848,0,-0.98,-0.11,0.03
7506850,0,-0.98,-0.11,0.03
7506852,0,-0.98,-0.11,0.03
7506853,0,-0.98,-0.11,0.03
7506855,0,-0.98,-0.11,0.03
7506857,0,-0.98,-0.11,0.03
7506858,0,-0.98,-0.11,0.03
7506860,0,-0.98,-0.11,0.03
7506862,0,-0.98,-0.11,0.03
7506864,0,-0.98,-0.11,0.02
7506865,0,-0.98,-0.11,0.02
7506867,0,-0.98,-0.11,0.02
7506869,0,-0.98,-0.11,0.02
7506870,0,-0.98,-0.11,0.02
7506872,0,-0.98,-0.11,0.02
7506874,0,-0.98,-0.11,0.02
7506875,0,-0.98,-0.11,0.02
7506877,0,-0.98,-0.11,0.02
7506879,0,-0.98,-0.11,0.02
7506880,0,-0.98,-0.11,0.02
7506882,0,-0.98,-0.11,0.02
7506884,0,-0.98,-0.11,-0.00
7506885,0,-0.98,-0.11,-0.00
7506887,0,-0.98,-0.11,-0.00
7506889,0,-0.98,-0.11,-0.00
7506890,0,-0.98,-0.11,-0.00
7506892,0,-0.98,-0.11,-0.00
7506894,0,-0.98,-0.11,-0.01
7506895,0,-0.98,-0.11,-0.01
7506897,0,-0.98,-0.11,-0.01
7506899,0,-0.98,-0.11,-0.01
7506900,0,-0.98,-0.11,-0.01
7506902,0,-0.98,-0.11,-0.02
7506904,0,-0.98,-0.11,-0.02
7506906,0,-0.98,-0.11,-0.02
7506907,0,-0.98,-0.11,-0.02
7506909,0,-0.98,-0.11,-0.02
7506911,0,-0.98,-0.11,-0.02
7506912,0,-0.97,-0.10,-0.02
7506914,0,-0.97,-0.10,-0.02
7506916,0,-0.97,-0.10,-0.02
7506917,0,-0.97,-0.10,-0.02
7506919,0,-0.97,-0.10,-0.02
7506921,0,-0.97,-0.10,-0.02
7506922,0,-0.97,-0.10,-0.02
7506924,0,-0.97,-0.10,-0.02
7506926,0,-0.97,-0.10,-0.02
7506927,0,-0.97,-0.10,-0.02
7506929,0,-0.97,-0.10,-0.02
7506931,0,-0.97,-0.10,-0.02
7506932,0,-0.97,-0.09,-0.01
7506934,0,-0.97,-0.09,-0.01
7506936,0,-0.97,-0.09,-0.01
7506937,0,-0.97,-0.09,-0.01
7506939,0,-0.97,-0.09,-0.01
7506941,0,-0.97,-0.09,-0.01
7506942,0,-0.97,-0.10,0.00
7506944,0,-0.97,-0.10,0.00
7506946,0,-0.97,-0.10,0.00
7506947,0,-0.97,-0.10,0.00
7506949,0,-0.97,-0.10,0.00
7506951,0,-0.97,-0.10,0.02
7506953,0,-0.97,-0.10,0.02
7506954,0,-0.97,-0.10,0.02
7506956,0,-0.97,-0.10,0.02
7506958,0,-0.97,-0.10,0.02
7506959,0,-0.97,-0.10,0.02
7506961,0,-0.97,-0.11,0.01
7506963,0,-0.97,-0.11,0.01
7506964,0,-0.97,-0.11,0.01
7506966,0,-0.97,-0.11,0.01
7506968,0,-0.97,-0.11,0.01
7506969,0,-0.97,-0.11,0.01
7506971,0,-0.97,-0.11,0.02
7506973,0,-0.97,-0.11,0.02
7506974,0,-0.97,-0.11,0.02
7506976,0,-0.97,-0.11,0.02
7506978,0,-0.97,-0.11,0.02
7506979,0,-0.97,-0.11,0.02
7506981,0,-0.97,-0.11,0.02
7506983,0,-0.97,-0.11,0.02
7506984,0,-0.97,-0.11,0.02
7506986,0,-0.97,-0.11,0.02
7506988,0,-0.97,-0.11,0.02
7506989,0,-0.97,-0.11,0.02
7506991,0,-0.97,-0.10,0.03
7506993,0,-0.97,-0.10,0.03
7506994,0,-0.97,-0.10,0.03
7506996,0,-0.97,-0.10,0.03
7506998,0,-0.97,-0.10,0.03
7506999,0,-0.97,-0.10,0.03
7507001,0,-0.98,-0.12,0.03
7507003,0,-0.98,-0.12,0.03
7507004,0,-0.98,-0.12,0.03
7507006,0,-0.98,-0.12,0.03
7507008,0,-0.98,-0.12,0.03
7507009,0,-0.98,-0.12,0.03
7507011,0,-0.99,-0.12,0.03
7507013,0,-0.99,-0.12,0.03
7507014,0,-0.99,-0.12,0.03
7507016,0,-0.99,-0.12,0.03
7507018,0,-0.99,-0.12,0.03
7507019,0,-0.98,-0.12,0.02
7507021,0,-0.98,-0.12,0.02
7507023,0,-0.98,-0.12,0.02
7507024,0,-0.98,-0.12,0.02
7507026,0,-0.98,-0.12,0.02
7507028,0,-0.98,-0.12,0.02
7507029,0,-0.97,-0.11,0.01
7507031,0,-0.97,-0.11,0.01
7507033,0,-0.97,-0.11,0.01
7507034,0,-0.97,-0.11,0.01
7507036,0,-0.97,-0.11,0.01
7507038,0,-0.97,-0.11,0.01
7507039,0,-0.97,-0.11,0.00
7507041,0,-0.97,-0.11,0.00
7507043,0,-0.97,-0.11,0.00
7507044,0,-0.97,-0.11,0.00
7507046,0,-0.97,-0.11,0.00
7507048,0,-0.97,-0.11,0.00
7507049,0,-0.97,-0.10,-0.01
7507051,0,-0.97,-0.10,-0.01
7507053,0,-0.97,-0.10,-0.01
7507054,0,-0.97,-0.10,-0.01
7507056,0,-0.97,-0.10,-0.01
7507058,0,-0.97,-0.10,-0.01
7507059,0,-0.97,-0.10,-0.01
7507061,0,-0.97,-0.10,-0.01
7507063,0,-0.97,-0.10,-0.01
7507064,0,-0.97,-0.10,-0.01
7507066,0,-0.97,-0.10,-0.01
7507068,0,-0.97,-0.10,-0.01
7507069,0,-0.98,-0.10,-0.00
7507071,0,-0.98,-0.10,-0.00
7507073,0,-0.98,-0.10,-0.00
7507074,0,-0.98,-0.10,-0.00
7507076,0,-0.98,-0.10,-0.00
7507078,0,-0.98,-0.10,-0.00
7507079,0,-0.97,-0.10,-0.00
7507081,0,-0.97,-0.10,-0.00
7507083,0,-0.97,-0.10,-0.00
7507084,0,-0.97,-0.10,-0.00
7507086,0,-0.97,-0.10,-0.00
7507088,0,-0.97,-0.10,0.01
7507089,0,-0.97,-0.10,0.01
7507091,0,-0.97,-0.10,0.01
7507093,0,-0.97,-0.10,0.01
7507094,0,-0.97,-0.10,0.01
7507096,0,-0.97,-0.10,0.01
7507098,0,-0.97,-0.11,0.01
7507099,0,-0.97,-0.11,0.01
7507101,0,-0.97,-0.11,0.01
7507103,0,-0.97,-0.11,0.01
7507104,0,-0.97,-0.11,0.01
7507106,0,-0.97,-0.11,0.01
7507108,0,-0.97,-0.11,0.02
7507109,0,-0.97,-0.11,0.02
7507111,0,-0.97,-0.11,0.02
7507113,0,-0.97,-0.11,0.02
7507114,0,-0.97,-0.11,0.02
7507116,0,-0.97,-0.11,0.02
7507118,0,-0.97,-0.10,0.02
7507119,0,-0.97,-0.10,0.02
7507121,0,-0.97,-0.10,0.02
7507123,0,-0.97,-0.10,0.02
7507124,0,-0.97,-0.10,0.02
7507126,0,-0.97,-0.10,0.02
7507128,0,-0.98,-0.11,0.02
7507129,0,-0.98,-0.11,0.02
7507131,0,-0.98,-0.11,0.02
7507132,0,-0.98,-0.11,0.02
7507134,0,-0.98,-0.11,0.02
7507136,0,-0.98,-0.11,0.02
7507137,0,-0.98,-0.11,0.02
7507139,0,-0.98,-0.11,0.02
7507141,0,-0.98,-0.11,0.02
7507142,0,-0.98,-0.11,0.02
7507144,0,-0.98,-0.11,0.02
7507146,0,-0.98,-0.11,0.02
