t,l,x,y,z
5330150,0,-0.99,-0.04,0.02
5330151,0,-0.99,-0.04,0.02
5330153,0,-0.99,-0.04,0.02
5330155,0,-0.99,-0.04,0.02
5330156,0,-0.99,-0.04,0.02
5330158,0,-0.99,-0.04,0.02
5330160,0,-0.99,-0.04,0.02
5330161,0,-0.99,-0.04,0.02
5330163,0,-0.99,-0.04,0.02
5330165,0,-0.99,-0.04,0.02
5330166,0,-0.99,-0.04,0.02
5330168,0,-0.99,-0.02,0.00
5330170,0,-0.99,-0.02,0.00
5330171,0,-0.99,-0.02,0.00
5330173,0,-0.99,-0.02,0.00
5330175,0,-0.99,-0.02,0.00
5330176,0,-0.99,-0.02,0.00
5330178,0,-0.99,0.00,-0.01
5330180,0,-0.99,0.00,-0.01
5330181,0,-0.99,0.00,-0.01
5330183,0,-0.99,0.00,-0.01
5330185,0,-0.99,0.00,-0.01
5330186,0,-0.99,0.00,-0.01
5330188,0,-0.98,0.04,-0.03
5330190,0,-0.98,0.04,-0.03
5330191,0,-0.98,0.04,-0.03
5330193,0,-0.98,0.04,-0.03
5330195,0,-0.98,0.04,-0.03
5330196,0,-0.98,0.04,-0.03
5330198,0,-0.97,0.07,-0.05
5330200,0,-0.97,0.07,-0.05
5330201,0,-0.97,0.07,-0.05
5330203,0,-0.97,0.07,-0.05
5330205,0,-0.97,0.07,-0.05
5330206,0,-0.97,0.07,-0.05
5330208,0,-0.97,0.09,-0.07
5330210,0,-0.97,0.09,-0.07
5330211,0,-0.97,0.09,-0.07
5330213,0,-0.97,0.09,-0.07
5330215,0,-0.97,0.09,-0.07
5330216,0,-0.97,0.09,-0.07
5330218,0,-0.98,0.08,-0.06
5330220,0,-0.98,0.08,-0.06
5330221,0,-0.98,0.08,-0.06
5330223,0,-0.98,0.08,-0.06
5330224,0,-0.98,0.08,-0.06
5330226,0,-0.98,0.08,-0.06
5330228,0,-0.98,0.04,-0.04
5330229,0,-0.98,0.04,-0.04
5330231,0,-0.98,0.04,-0.04
5330233,0,-0.98,0.04,-0.04
5330234,0,-0.98,0.04,-0.04
5330236,0,-0.98,-0.08,-0.00
5330238,0,-0.99,-0.00,-0.00
5330239,0,-0.99,-0.00,-0.00
5330241,0,-0.99,-0.00,-0.00
5330243,0,-0.99,-0.00,-0.00
5330244,0,-0.99,-0.00,-0.00
5330246,0,-0.98,-0.04,0.02
5330248,0,-0.98,-0.04,0.02
5330249,0,-0.98,-0.04,0.02
5330251,0,-0.98,-0.04,0.02
5330253,0,-0.98,-0.04,0.02
5330254,0,-0.98,-0.04,0.02
5330256,0,-1.00,-0.06,0.03
5330258,0,-1.00,-0.06,0.03
5330259,0,-1.00,-0.06,0.03
5330261,0,-1.00,-0.06,0.03
