t,l,x,y,z
13682420,1,-0.97,-0.11,0.07
13682422,1,-0.97,-0.11,0.07
13682423,1,-0.97,-0.11,0.07
13682425,1,-0.97,-0.11,0.06
13682427,1,-0.97,-0.11,0.06
13682428,1,-0.97,-0.11,0.06
13682430,1,-0.97,-0.11,0.06
13682432,1,-0.97,-0.11,0.06
13682433,1,-0.97,-0.11,0.06
13682435,1,-0.97,-0.11,0.05
13682437,1,-0.97,-0.11,0.05
13682438,1,-0.97,-0.11,0.05
13682440,1,-0.97,-0.11,0.05
13682442,1,-0.97,-0.11,0.05
13682443,1,-0.97,-0.11,0.05
13682445,1,-0.97,-0.10,0.04
13682447,1,-0.97,-0.10,0.04
13682448,1,-0.97,-0.10,0.04
13682450,1,-0.97,-0.10,0.04
13682452,1,-0.97,-0.10,0.04
13682453,1,-0.97,-0.10,0.04
13682455,1,-0.96,-0.10,0.04
13682457,1,-0.96,-0.10,0.04
13682458,1,-0.96,-0.10,0.04
13682460,1,-0.96,-0.10,0.04
13682462,1,-0.96,-0.10,0.04
13682463,1,-0.97,-0.11,0.04
13682465,1,-0.97,-0.11,0.04
13682467,1,-0.97,-0.11,0.04
13682468,1,-0.97,-0.11,0.04
13682470,1,-0.97,-0.11,0.04
13682472,1,-0.97,-0.11,0.04
13682473,1,-0.97,-0.11,0.05
13682475,1,-0.97,-0.11,0.05
13682477,1,-0.97,-0.11,0.05
13682478,1,-0.97,-0.11,0.05
13682480,1,-0.97,-0.11,0.05
13682482,1,-0.97,-0.11,0.05
13682483,1,-0.96,-0.12,0.07
13682485,1,-0.96,-0.12,0.07
13682487,1,-0.96,-0.12,0.07
13682488,1,-0.96,-0.12,0.07
13682490,1,-0.96,-0.12,0.07
13682492,1,-0.96,-0.12,0.07
13682493,1,-0.98,-0.13,0.08
13682495,1,-0.98,-0.13,0.08
13682497,1,-0.98,-0.13,0.08
13682498,1,-0.98,-0.13,0.08
13682500,1,-0.98,-0.13,0.08
13682502,1,-0.98,-0.13,0.08
13682503,1,-0.98,-0.14,0.09
13682505,1,-0.98,-0.14,0.09
13682507,1,-0.98,-0.14,0.09
13682508,1,-0.98,-0.14,0.09
13682510,1,-0.98,-0.14,0.09
13682512,1,-0.98,-0.14,0.09
13682513,1,-0.97,-0.15,0.09
13682515,1,-0.97,-0.15,0.09
13682517,1,-0.97,-0.15,0.09
13682518,1,-0.97,-0.15,0.09
