t,l,x,y,z
4912350,1,-0.98,-0.02,-0.03
4912351,1,-0.98,-0.02,-0.03
4912353,1,-0.98,-0.02,-0.03
4912355,1,-0.98,-0.01,-0.03
4912356,1,-0.98,-0.01,-0.03
4912358,1,-0.98,-0.01,-0.03
4912360,1,-0.98,-0.01,-0.03
4912361,1,-0.98,-0.01,-0.03
4912363,1,-0.98,-0.01,-0.03
4912365,1,-0.98,-0.01,-0.03
4912366,1,-0.98,-0.01,-0.03
4912368,1,-0.98,-0.01,-0.03
4912370,1,-0.98,-0.01,-0.03
4912371,1,-0.98,-0.01,-0.03
4912373,1,-0.98,-0.01,-0.03
4912375,1,-0.98,-0.01,-0.04
4912376,1,-0.98,-0.01,-0.04
4912378,1,-0.98,-0.01,-0.04
4912380,1,-0.98,-0.01,-0.04
4912382,1,-0.98,-0.01,-0.04
4912384,1,-0.98,-0.01,-0.04
4912385,1,-0.98,-0.01,-0.04
4912387,1,-0.98,-0.01,-0.04
4912389,1,-0.98,-0.01,-0.04
4912390,1,-0.98,-0.01,-0.04
4912392,1,-0.98,-0.01,-0.04
4912394,1,-0.98,-0.02,-0.03
4912395,1,-0.98,-0.02,-0.03
4912397,1,-0.98,-0.02,-0.03
4912399,1,-0.98,-0.02,-0.03
4912400,1,-0.98,-0.02,-0.03
4912402,1,-0.98,-0.02,-0.03
4912404,1,-0.98,-0.02,-0.02
4912405,1,-0.98,-0.02,-0.02
4912407,1,-0.98,-0.02,-0.02
4912409,1,-0.98,-0.02,-0.02
4912410,1,-0.98,-0.02,-0.02
4912412,1,-0.98,-0.02,-0.02
4912414,1,-0.98,-0.02,-0.02
4912415,1,-0.98,-0.02,-0.02
4912417,1,-0.98,-0.02,-0.02
4912419,1,-0.98,-0.02,-0.02
4912420,1,-0.98,-0.02,-0.02
4912422,1,-0.98,-0.02,-0.02
4912424,1,-0.98,-0.03,-0.02
4912425,1,-0.98,-0.03,-0.02
4912427,1,-0.98,-0.03,-0.02
4912429,1,-0.98,-0.03,-0.02
4912430,1,-0.98,-0.03,-0.02
4912432,1,-0.98,-0.02,-0.02
4912434,1,-0.98,-0.02,-0.02
4912435,1,-0.98,-0.02,-0.02
4912437,1,-0.98,-0.02,-0.02
4912439,1,-0.98,-0.02,-0.02
4912440,1,-0.98,-0.02,-0.02
4912442,1,-0.98,-0.02,-0.02
4912444,1,-0.98,-0.02,-0.02
4912445,1,-0.98,-0.02,-0.02
4912447,1,-0.98,-0.02,-0.02
4912449,1,-0.98,-0.02,-0.02
4912450,1,-0.98,-0.02,-0.02
4912452,1,-0.98,-0.02,-0.03
4912454,1,-0.98,-0.02,-0.03
4912455,1,-0.98,-0.02,-0.03
4912457,1,-0.98,-0.02,-0.03
4912459,1,-0.98,-0.02,-0.03
4912460,1,-0.98,-0.02,-0.03
4912462,1,-0.98,-0.02,-0.03
4912464,1,-0.98,-0.02,-0.03
4912465,1,-0.98,-0.02,-0.03
4912467,1,-0.98,-0.02,-0.03
4912469,1,-0.98,-0.02,-0.03
4912470,1,-0.98,-0.02,-0.03
4912472,1,-0.98,-0.02,-0.04
4912474,1,-0.98,-0.02,-0.04
4912475,1,-0.98,-0.02,-0.04
4912477,1,-0.98,-0.02,-0.04
4912479,1,-0.98,-0.02,-0.04
4912480,1,-0.98,-0.02,-0.04
4912482,1,-0.99,-0.02,-0.04
4912484,1,-0.99,-0.02,-0.04
4912485,1,-0.99,-0.02,-0.04
4912487,1,-0.99,-0.02,-0.04
4912489,1,-0.99,-0.02,-0.04
4912490,1,-0.99,-0.02,-0.04
4912492,1,-0.98,-0.02,-0.04
4912494,1,-0.98,-0.02,-0.04
4912495,1,-0.98,-0.02,-0.04
4912497,1,-0.98,-0.02,-0.04
4912499,1,-0.98,-0.02,-0.04
4912500,1,-0.98,-0.02,-0.04
4912502,1,-0.98,-0.02,-0.04
4912504,1,-0.98,-0.02,-0.04
4912505,1,-0.98,-0.02,-0.04
4912507,1,-0.98,-0.02,-0.04
4912509,1,-0.98,-0.02,-0.04
4912510,1,-0.98,-0.03,-0.03
4912512,1,-0.98,-0.03,-0.03
4912514,1,-0.98,-0.03,-0.03
4912515,1,-0.98,-0.03,-0.03
4912517,1,-0.98,-0.03,-0.03
4912519,1,-0.98,-0.03,-0.03
4912520,1,-0.98,-0.02,-0.02
4912522,1,-0.98,-0.02,-0.02
4912524,1,-0.98,-0.02,-0.02
4912525,1,-0.98,-0.02,-0.02
4912527,1,-0.98,-0.02,-0.02
4912529,1,-0.98,-0.02,-0.02
4912530,1,-0.98,-0.02,-0.01
4912532,1,-0.98,-0.02,-0.01
4912534,1,-0.98,-0.02,-0.01
4912535,1,-0.98,-0.02,-0.01
4912537,1,-0.98,-0.02,-0.01
4912539,1,-0.98,-0.02,-0.01
4912540,1,-0.98,-0.02,-0.01
4912542,1,-0.98,-0.02,-0.01
4912544,1,-0.98,-0.02,-0.01
4912545,1,-0.98,-0.02,-0.01
4912547,1,-0.98,-0.02,-0.01
4912549,1,-0.98,-0.02,-0.01
4912550,1,-0.98,-0.02,-0.01
4912552,1,-0.98,-0.02,-0.01
4912554,1,-0.98,-0.02,-0.01
4912555,1,-0.98,-0.02,-0.01
4912557,1,-0.98,-0.02,-0.01
4912559,1,-0.98,-0.02,-0.01
4912560,1,-0.98,-0.02,-0.00
4912562,1,-0.98,-0.02,-0.00
4912564,1,-0.98,-0.02,-0.00
4912565,1,-0.98,-0.02,-0.00
4912567,1,-0.98,-0.02,-0.00
4912569,1,-0.98,-0.02,-0.01
4912570,1,-0.98,-0.02,-0.01
4912572,1,-0.98,-0.02,-0.01
4912574,1,-0.98,-0.02,-0.01
4912575,1,-0.98,-0.02,-0.01
4912577,1,-0.98,-0.02,-0.01
4912579,1,-0.98,-0.02,-0.02
4912580,1,-0.98,-0.02,-0.02
4912582,1,-0.98,-0.02,-0.02
4912584,1,-0.98,-0.02,-0.02
4912585,1,-0.98,-0.02,-0.02
4912587,1,-0.98,-0.02,-0.02
4912589,1,-0.99,-0.01,-0.03
4912590,1,-0.99,-0.01,-0.03
4912592,1,-0.99,-0.01,-0.03
4912594,1,-0.99,-0.01,-0.03
4912595,1,-0.99,-0.01,-0.03
4912597,1,-0.99,-0.01,-0.03
4912599,1,-0.98,-0.01,-0.04
4912600,1,-0.98,-0.01,-0.04
4912602,1,-0.98,-0.01,-0.04
4912604,1,-0.98,-0.01,-0.04
4912605,1,-0.98,-0.01,-0.04
4912607,1,-0.98,-0.01,-0.04
4912609,1,-0.98,-0.02,-0.04
4912610,1,-0.98,-0.02,-0.04
4912612,1,-0.98,-0.02,-0.04
4912614,1,-0.98,-0.02,-0.04
4912616,1,-0.98,-0.02,-0.04
4912617,1,-0.98,-0.02,-0.04
4912619,1,-0.98,-0.02,-0.04
4912621,1,-0.98,-0.02,-0.04
4912622,1,-0.98,-0.02,-0.04
4912624,1,-0.98,-0.02,-0.04
4912626,1,-0.98,-0.02,-0.04
4912627,1,-0.98,-0.02,-0.04
4912629,1,-0.98,-0.02,-0.04
4912631,1,-0.98,-0.02,-0.04
4912632,1,-0.98,-0.02,-0.04
4912634,1,-0.98,-0.02,-0.04
4912636,1,-0.98,-0.02,-0.04
4912637,1,-0.99,-0.02,-0.03
4912639,1,-0.99,-0.02,-0.03
4912641,1,-0.99,-0.02,-0.03
4912642,1,-0.99,-0.02,-0.03
4912644,1,-0.99,-0.02,-0.03
4912646,1,-0.99,-0.02,-0.03
4912647,1,-0.98,-0.02,-0.03
4912649,1,-0.98,-0.02,-0.03
4912651,1,-0.98,-0.02,-0.03
4912652,1,-0.98,-0.02,-0.03
4912654,1,-0.98,-0.02,-0.03
4912656,1,-0.98,-0.02,-0.03
4912657,1,-0.98,-0.02,-0.02
4912659,1,-0.98,-0.02,-0.02
4912661,1,-0.98,-0.02,-0.02
4912662,1,-0.98,-0.02,-0.02
4912664,1,-0.98,-0.02,-0.02
4912666,1,-0.98,-0.02,-0.02
4912667,1,-0.98,-0.02,-0.02
4912669,1,-0.98,-0.02,-0.02
4912671,1,-0.98,-0.02,-0.02
4912672,1,-0.98,-0.02,-0.02
4912674,1,-0.98,-0.02,-0.02
4912676,1,-0.98,-0.02,-0.02
4912677,1,-0.98,-0.02,-0.01
4912679,1,-0.98,-0.02,-0.01
4912681,1,-0.98,-0.02,-0.01
4912682,1,-0.98,-0.02,-0.01
4912684,1,-0.98,-0.02,-0.01
4912686,1,-0.98,-0.02,-0.01
4912687,1,-0.98,-0.02,-0.02
4912689,1,-0.98,-0.02,-0.02
4912691,1,-0.98,-0.02,-0.02
4912692,1,-0.98,-0.02,-0.02
4912694,1,-0.98,-0.02,-0.02
4912696,1,-0.98,-0.02,-0.02
4912697,1,-0.98,-0.02,-0.02
4912699,1,-0.98,-0.02,-0.02
4912701,1,-0.98,-0.02,-0.02
4912702,1,-0.98,-0.02,-0.02
4912704,1,-0.98,-0.02,-0.02
4912706,1,-0.99,-0.02,-0.03
4912707,1,-0.99,-0.02,-0.03
4912709,1,-0.99,-0.02,-0.03
4912711,1,-0.99,-0.02,-0.03
4912712,1,-0.99,-0.02,-0.03
4912714,1,-0.99,-0.02,-0.03
4912716,1,-0.98,-0.02,-0.04
