t,l,x,y,z
4689750,0,-0.97,-0.08,0.07
4689751,0,-0.97,-0.08,0.06
4689753,0,-0.97,-0.08,0.06
4689755,0,-0.97,-0.08,0.06
4689756,0,-0.97,-0.08,0.06
4689758,0,-0.97,-0.08,0.06
4689760,0,-0.97,-0.08,0.06
4689761,0,-0.97,-0.08,0.05
4689763,0,-0.97,-0.08,0.05
4689765,0,-0.97,-0.08,0.05
4689766,0,-0.97,-0.08,0.05
4689768,0,-0.97,-0.08,0.05
4689770,0,-0.97,-0.08,0.05
4689771,0,-0.97,-0.08,0.05
4689773,0,-0.97,-0.08,0.05
4689775,0,-0.97,-0.08,0.05
4689776,0,-0.97,-0.08,0.05
4689778,0,-0.97,-0.08,0.05
4689780,0,-0.97,-0.08,0.05
4689781,0,-0.97,-0.08,0.04
4689783,0,-0.97,-0.08,0.04
4689785,0,-0.97,-0.08,0.04
4689786,0,-0.97,-0.08,0.04
4689788,0,-0.97,-0.08,0.04
4689790,0,-0.97,-0.08,0.04
4689791,0,-0.97,-0.07,0.04
4689793,0,-0.97,-0.07,0.04
4689795,0,-0.97,-0.07,0.04
4689796,0,-0.97,-0.07,0.04
4689798,0,-0.97,-0.07,0.04
4689800,0,-0.97,-0.08,0.04
4689801,0,-0.97,-0.08,0.04
4689803,0,-0.97,-0.08,0.04
4689805,0,-0.97,-0.08,0.04
4689806,0,-0.97,-0.08,0.04
4689808,0,-0.97,-0.08,0.04
4689810,0,-0.97,-0.08,0.04
4689811,0,-0.97,-0.08,0.04
4689813,0,-0.97,-0.08,0.04
4689815,0,-0.97,-0.08,0.04
4689816,0,-0.97,-0.08,0.04
4689818,0,-0.97,-0.08,0.04
4689820,0,-0.97,-0.09,0.05
4689821,0,-0.97,-0.09,0.05
4689823,0,-0.97,-0.09,0.05
4689825,0,-0.97,-0.09,0.05
4689826,0,-0.97,-0.09,0.05
4689828,0,-0.97,-0.09,0.05
4689830,0,-0.98,-0.09,0.06
4689831,0,-0.98,-0.09,0.06
4689833,0,-0.98,-0.09,0.06
4689835,0,-0.98,-0.09,0.06
4689836,0,-0.98,-0.09,0.06
4689838,0,-0.98,-0.09,0.06
4689840,0,-0.98,-0.10,0.07
4689841,0,-0.98,-0.10,0.07
4689843,0,-0.98,-0.10,0.07
4689845,0,-0.98,-0.10,0.07
4689846,0,-0.98,-0.10,0.07
4689848,0,-0.98,-0.10,0.07
4689850,0,-0.97,-0.10,0.08
4689851,0,-0.97,-0.10,0.08
4689853,0,-0.97,-0.10,0.08
4689855,0,-0.97,-0.10,0.08
4689856,0,-0.97,-0.10,0.08
4689858,0,-0.97,-0.10,0.08
4689860,0,-0.98,-0.10,0.08
4689861,0,-0.98,-0.10,0.08
4689863,0,-0.98,-0.10,0.08
4689865,0,-0.98,-0.10,0.08
4689866,0,-0.98,-0.10,0.08
4689868,0,-0.98,-0.10,0.08
4689870,0,-0.98,-0.10,0.08
4689871,0,-0.98,-0.10,0.08
4689873,0,-0.98,-0.10,0.08
4689875,0,-0.98,-0.10,0.08
4689876,0,-0.98,-0.10,0.08
4689878,0,-0.97,-0.09,0.08
4689880,0,-0.97,-0.09,0.08
4689881,0,-0.97,-0.09,0.08
4689883,0,-0.97,-0.09,0.08
4689885,0,-0.97,-0.09,0.08
4689886,0,-0.97,-0.09,0.08
4689888,0,-0.98,-0.09,0.07
4689890,0,-0.98,-0.09,0.07
4689891,0,-0.98,-0.09,0.07
4689893,0,-0.98,-0.09,0.07
4689895,0,-0.98,-0.09,0.07
4689896,0,-0.98,-0.09,0.07
4689898,0,-0.98,-0.09,0.06
4689900,0,-0.98,-0.09,0.06
4689901,0,-0.98,-0.09,0.06
4689903,0,-0.98,-0.09,0.06
