t,l,x,y,z
477836,0,-0.98,0.04,0.06
477837,0,-0.98,0.04,0.06
477839,0,-0.98,0.01,0.05
477841,0,-0.98,0.01,0.05
477842,0,-0.98,0.01,0.05
477844,0,-0.98,0.01,0.05
477846,0,-0.98,0.01,0.05
477847,0,-0.98,0.01,0.05
477849,0,-0.97,-0.02,0.03
477851,0,-0.97,-0.02,0.03
477852,0,-0.97,-0.02,0.03
477854,0,-0.97,-0.02,0.03
477856,0,-0.97,-0.02,0.03
477857,0,-0.97,-0.02,0.03
477859,0,-0.97,-0.01,0.05
477861,0,-0.97,-0.01,0.05
477862,0,-0.97,-0.01,0.05
477864,0,-0.97,-0.01,0.05
477866,0,-0.97,-0.01,0.05
477867,0,-0.97,-0.01,0.05
477869,0,-0.99,0.01,0.05
477871,0,-0.99,0.01,0.05
477872,0,-0.99,0.01,0.05
477874,0,-0.99,0.01,0.05
477876,0,-0.99,0.01,0.05
477877,0,-0.99,0.01,0.05
477879,0,-0.98,0.03,0.05
477881,0,-0.98,0.03,0.05
477882,0,-0.98,0.03,0.05
477884,0,-0.98,0.03,0.05
477886,0,-0.98,0.03,0.05
477887,0,-0.98,0.03,0.05
477889,0,-0.98,0.03,0.05
477891,0,-0.98,0.03,0.05
477892,0,-0.98,0.03,0.05
477894,0,-0.98,0.03,0.05
477896,0,-0.98,0.03,0.05
477897,0,-0.98,0.03,0.05
477899,0,-0.98,0.05,0.04
477900,0,-0.98,0.05,0.04
477902,0,-0.98,0.05,0.04
477904,0,-0.98,0.05,0.04
477905,0,-0.98,0.05,0.04
477907,0,-0.98,0.05,0.04
477909,0,-0.97,0.06,0.05
477910,0,-0.97,0.06,0.05
477912,0,-0.97,0.06,0.05
477914,0,-0.97,0.06,0.05
477915,0,-0.97,0.06,0.05
477917,0,-0.97,0.06,0.05
477918,0,-0.97,0.05,0.04
477920,0,-0.97,0.05,0.04
477922,0,-0.97,0.05,0.04
477923,0,-0.97,0.05,0.04
477925,0,-0.97,0.05,0.04
477927,0,-0.97,0.05,0.04
477928,0,-0.97,0.06,0.04
477930,0,-0.97,0.06,0.04
477932,0,-0.97,0.06,0.04
477933,0,-0.97,0.06,0.04
477935,0,-0.97,0.06,0.04
477937,0,-0.97,0.05,0.06
477938,0,-0.99,0.05,0.06
477940,0,-0.99,0.05,0.06
477942,0,-0.99,0.05,0.06
477943,0,-0.99,0.05,0.06
477945,0,-0.99,0.05,0.06
477947,0,-0.98,0.03,0.06
477948,0,-0.98,0.03,0.06
477950,0,-0.98,0.03,0.06
477952,0,-0.98,0.03,0.06
477953,0,-0.98,0.03,0.06
477955,0,-0.98,0.03,0.06
477957,0,-0.98,0.01,0.07
477958,0,-0.98,0.01,0.07
477960,0,-0.98,0.01,0.07
477962,0,-0.98,0.01,0.07
477963,0,-0.98,0.01,0.07
477965,0,-0.98,0.01,0.07
477967,0,-0.99,-0.00,0.07
477968,0,-0.99,-0.00,0.07
477970,0,-0.99,-0.00,0.07
477971,0,-0.99,-0.00,0.07
477973,0,-0.99,-0.00,0.07
477975,0,-0.99,-0.00,0.07
477976,0,-0.99,-0.00,0.07
477978,0,-0.99,-0.00,0.07
477980,0,-0.99,-0.00,0.07
477981,0,-0.99,-0.00,0.07
477983,0,-0.99,-0.00,0.07
477985,0,-0.99,-0.00,0.07
477986,0,-0.99,0.01,0.06
477988,0,-0.99,0.01,0.06
477990,0,-0.99,0.01,0.06
477991,0,-0.99,0.01,0.06
477993,0,-0.99,0.01,0.06
477995,0,-0.99,0.01,0.06
477996,0,-0.98,0.03,0.04
477998,0,-0.98,0.03,0.04
478000,0,-0.98,0.03,0.04
478001,0,-0.98,0.03,0.04
478003,0,-0.98,0.03,0.04
478005,0,-0.98,0.03,0.04
478006,0,-0.97,0.05,0.02
478008,0,-0.97,0.05,0.02
478010,0,-0.97,0.05,0.02
478011,0,-0.97,0.05,0.02
478013,0,-0.97,0.05,0.02
478015,0,-0.97,0.05,0.02
478016,0,-0.97,0.06,0.02
478018,0,-0.97,0.06,0.02
478020,0,-0.97,0.06,0.02
478021,0,-0.97,0.06,0.02
478023,0,-0.97,0.06,0.02
478024,0,-0.97,0.06,0.02
478026,0,-0.96,0.05,0.04
478028,0,-0.96,0.05,0.04
478029,0,-0.96,0.05,0.04
478031,0,-0.96,0.05,0.04
478033,0,-0.96,0.05,0.04
478034,0,-0.96,0.05,0.06
478036,0,-0.98,0.04,0.06
478038,0,-0.98,0.04,0.06
478039,0,-0.98,0.04,0.06
478041,0,-0.98,0.04,0.06
478043,0,-0.98,0.04,0.06
478044,0,-0.98,0.03,0.08
478046,0,-0.98,0.03,0.08
478048,0,-0.98,0.03,0.08
478049,0,-0.98,0.03,0.08
478051,0,-0.98,0.03,0.08
478053,0,-0.98,0.03,0.08
478054,0,-1.00,0.03,0.08
478056,0,-1.00,0.03,0.08
478058,0,-1.00,0.03,0.08
478059,0,-1.00,0.03,0.08
478061,0,-1.00,0.03,0.08
478062,0,-1.00,0.03,0.08
478064,0,-0.99,0.02,0.06
478066,0,-0.99,0.02,0.06
478067,0,-0.99,0.02,0.06
478069,0,-0.99,0.02,0.06
478071,0,-0.99,0.02,0.06
478072,0,-0.99,0.02,0.06
478074,0,-0.96,0.02,0.05
478076,0,-0.96,0.02,0.05
478077,0,-0.96,0.02,0.05
478079,0,-0.96,0.02,0.05
478081,0,-0.96,0.02,0.05
478082,0,-0.96,0.02,0.05
478084,0,-1.00,0.00,0.03
478086,0,-1.00,0.00,0.03
478087,0,-1.00,0.00,0.03
478089,0,-1.00,0.00,0.03
478091,0,-1.00,0.00,0.03
478092,0,-1.00,0.00,0.03
478094,0,-0.98,0.01,0.04
478095,0,-0.98,0.01,0.04
478097,0,-0.98,0.01,0.04
478099,0,-0.98,0.01,0.04
478100,0,-0.98,0.01,0.04
478102,0,-0.98,0.01,0.04
478104,0,-0.98,0.00,0.04
478105,0,-0.98,0.00,0.04
478107,0,-0.98,0.00,0.04
478109,0,-0.98,0.00,0.04
478110,0,-0.98,0.00,0.04
478112,0,-0.98,0.00,0.04
478114,0,-0.99,0.00,0.06
478115,0,-0.99,0.00,0.06
478117,0,-0.99,0.00,0.06
478118,0,-0.99,0.00,0.06
478120,0,-0.99,0.00,0.06
478122,0,-0.99,0.00,0.06
478123,0,-0.99,0.01,0.08
478125,0,-0.99,0.01,0.08
478127,0,-0.99,0.01,0.08
478128,0,-0.99,0.01,0.08
478130,0,-0.99,0.01,0.08
478132,0,-0.99,0.01,0.08
478133,0,-0.99,0.01,0.08
478135,0,-0.99,0.01,0.08
478137,0,-0.99,0.01,0.08
478138,0,-0.99,0.01,0.08
478140,0,-0.99,0.01,0.08
478142,0,-0.99,0.01,0.08
478143,0,-0.98,0.03,0.07
478145,0,-0.98,0.03,0.07
478147,0,-0.98,0.03,0.07
478148,0,-0.98,0.03,0.07
478150,0,-0.98,0.03,0.07
478152,0,-0.98,0.03,0.06
478153,0,-0.98,0.03,0.06
478155,0,-0.98,0.03,0.06
478157,0,-0.98,0.03,0.06
478158,0,-0.98,0.03,0.06
478160,0,-0.98,0.03,0.06
478161,0,-0.98,0.05,0.05
478163,0,-0.98,0.05,0.05
478165,0,-0.98,0.05,0.05
478166,0,-0.98,0.05,0.05
478168,0,-0.98,0.05,0.05
478170,0,-0.98,0.05,0.05
478171,0,-0.97,0.05,0.05
478173,0,-0.97,0.05,0.05
478175,0,-0.97,0.05,0.05
478176,0,-0.97,0.05,0.05
478178,0,-0.97,0.05,0.05
478180,0,-0.97,0.05,0.05
478181,0,-0.98,0.04,0.06
478183,0,-0.98,0.04,0.06
478185,0,-0.98,0.04,0.06
478186,0,-0.98,0.04,0.06
478188,0,-0.98,0.04,0.06
478189,0,-0.98,0.04,0.06
478191,0,-0.98,0.02,0.05
478193,0,-0.98,0.02,0.05
478194,0,-0.98,0.02,0.05
478196,0,-0.98,0.02,0.05
