t,l,x,y,z
186136,1,-0.96,-0.18,-0.01
186138,1,-0.96,-0.18,-0.01
186140,1,-0.96,-0.18,-0.01
186141,1,-0.96,-0.18,-0.01
186143,1,-0.96,-0.18,-0.01
186145,1,-0.97,-0.17,0.00
186146,1,-0.97,-0.17,0.00
186148,1,-0.97,-0.17,0.00
186150,1,-0.97,-0.17,0.00
186151,1,-0.97,-0.17,0.00
186153,1,-0.97,-0.17,0.00
186155,1,-0.95,-0.17,-0.00
186156,1,-0.95,-0.17,-0.00
186158,1,-0.95,-0.17,-0.00
186160,1,-0.95,-0.17,-0.00
186161,1,-0.95,-0.17,-0.00
186163,1,-0.95,-0.17,-0.00
186165,1,-0.95,-0.16,-0.01
186166,1,-0.95,-0.16,-0.01
186168,1,-0.95,-0.16,-0.01
186170,1,-0.95,-0.16,-0.01
186171,1,-0.95,-0.16,-0.01
186173,1,-0.95,-0.16,-0.01
186175,1,-0.97,-0.17,-0.01
186176,1,-0.97,-0.17,-0.01
186178,1,-0.97,-0.17,-0.01
186180,1,-0.97,-0.17,-0.01
186181,1,-0.97,-0.17,-0.01
186183,1,-0.97,-0.17,-0.01
186185,1,-0.97,-0.17,-0.01
186186,1,-0.97,-0.17,-0.01
186188,1,-0.97,-0.17,-0.01
186190,1,-0.97,-0.17,-0.01
186191,1,-0.97,-0.17,-0.01
186193,1,-0.97,-0.17,-0.01
186195,1,-0.96,-0.17,-0.01
186196,1,-0.96,-0.17,-0.01
186198,1,-0.96,-0.17,-0.01
186200,1,-0.96,-0.17,-0.01
186201,1,-0.96,-0.17,-0.01
186203,1,-0.96,-0.16,-0.02
186205,1,-0.96,-0.16,-0.02
186206,1,-0.96,-0.16,-0.02
186208,1,-0.96,-0.16,-0.02
186210,1,-0.96,-0.16,-0.02
186211,1,-0.96,-0.16,-0.02
186213,1,-0.96,-0.17,-0.02
186215,1,-0.96,-0.17,-0.02
186216,1,-0.96,-0.17,-0.02
186218,1,-0.96,-0.17,-0.02
186220,1,-0.96,-0.17,-0.02
186221,1,-0.96,-0.17,-0.02
186223,1,-0.97,-0.18,-0.02
186225,1,-0.97,-0.18,-0.02
186226,1,-0.97,-0.18,-0.02
186228,1,-0.97,-0.18,-0.02
186230,1,-0.97,-0.18,-0.02
186231,1,-0.97,-0.18,-0.02
186233,1,-0.98,-0.19,-0.03
186235,1,-0.98,-0.19,-0.03
186236,1,-0.98,-0.19,-0.03
186238,1,-0.98,-0.19,-0.03
186240,1,-0.98,-0.19,-0.03
186241,1,-0.98,-0.19,-0.03
186243,1,-0.96,-0.18,-0.03
186245,1,-0.96,-0.18,-0.03
186246,1,-0.96,-0.18,-0.03
186248,1,-0.96,-0.18,-0.03
186250,1,-0.96,-0.18,-0.03
186251,1,-0.96,-0.18,-0.03
186253,1,-0.96,-0.18,-0.04
186255,1,-0.96,-0.18,-0.04
186256,1,-0.96,-0.18,-0.04
186258,1,-0.96,-0.18,-0.04
186260,1,-0.96,-0.18,-0.04
186261,1,-0.96,-0.18,-0.04
186263,1,-0.97,-0.18,-0.03
186265,1,-0.97,-0.18,-0.03
186266,1,-0.97,-0.18,-0.03
186268,1,-0.97,-0.18,-0.03
186270,1,-0.97,-0.18,-0.03
186271,1,-0.97,-0.18,-0.02
186273,1,-0.96,-0.17,-0.02
186275,1,-0.96,-0.17,-0.02
186276,1,-0.96,-0.17,-0.02
186278,1,-0.96,-0.17,-0.02
186280,1,-0.96,-0.17,-0.02
186281,1,-0.96,-0.16,-0.01
186283,1,-0.96,-0.16,-0.01
186285,1,-0.96,-0.16,-0.01
186286,1,-0.96,-0.16,-0.01
186288,1,-0.96,-0.16,-0.01
186290,1,-0.96,-0.16,-0.01
186291,1,-0.97,-0.16,-0.02
186293,1,-0.97,-0.16,-0.02
186295,1,-0.97,-0.16,-0.02
186296,1,-0.97,-0.16,-0.02
