t,l,x,y,z
21853878,1,-0.97,0.15,-0.08
21853880,1,-0.97,0.15,-0.08
21853881,1,-0.97,0.15,-0.07
21853883,1,-0.97,0.15,-0.07
21853885,1,-0.97,0.15,-0.07
21853886,1,-0.97,0.15,-0.07
21853888,1,-0.97,0.15,-0.07
21853890,1,-0.97,0.15,-0.06
21853891,1,-0.97,0.15,-0.06
21853893,1,-0.97,0.15,-0.06
21853895,1,-0.97,0.15,-0.06
21853896,1,-0.97,0.15,-0.06
21853898,1,-0.97,0.15,-0.06
21853900,1,-0.97,0.14,-0.05
21853901,1,-0.97,0.14,-0.05
21853903,1,-0.97,0.14,-0.05
21853905,1,-0.97,0.14,-0.05
21853906,1,-0.97,0.14,-0.05
21853908,1,-0.97,0.14,-0.05
21853910,1,-0.97,0.15,-0.06
21853911,1,-0.97,0.15,-0.06
21853913,1,-0.97,0.15,-0.06
21853915,1,-0.97,0.15,-0.06
21853916,1,-0.97,0.15,-0.06
21853918,1,-0.97,0.15,-0.06
21853920,1,-0.97,0.15,-0.06
21853921,1,-0.97,0.15,-0.06
21853923,1,-0.97,0.15,-0.06
21853925,1,-0.97,0.15,-0.06
21853926,1,-0.97,0.15,-0.06
21853928,1,-0.97,0.15,-0.06
21853930,1,-0.97,0.14,-0.07
21853931,1,-0.97,0.14,-0.07
21853933,1,-0.97,0.14,-0.07
21853935,1,-0.97,0.14,-0.07
21853936,1,-0.97,0.14,-0.07
21853938,1,-0.97,0.14,-0.07
21853940,1,-0.98,0.15,-0.08
21853941,1,-0.98,0.15,-0.08
21853943,1,-0.98,0.15,-0.08
21853945,1,-0.98,0.15,-0.08
21853946,1,-0.98,0.15,-0.08
21853948,1,-0.98,0.15,-0.08
21853950,1,-0.98,0.14,-0.09
21853951,1,-0.98,0.14,-0.09
21853953,1,-0.98,0.14,-0.09
21853955,1,-0.98,0.14,-0.09
21853956,1,-0.98,0.14,-0.09
21853958,1,-0.98,0.14,-0.10
21853960,1,-0.97,0.14,-0.10
21853961,1,-0.97,0.14,-0.10
21853963,1,-0.97,0.14,-0.10
21853965,1,-0.97,0.14,-0.10
21853966,1,-0.97,0.14,-0.10
21853968,1,-0.98,0.14,-0.10
21853970,1,-0.98,0.14,-0.10
21853971,1,-0.98,0.14,-0.10
21853973,1,-0.98,0.14,-0.10
21853975,1,-0.98,0.14,-0.10
21853976,1,-0.98,0.14,-0.10
21853978,1,-0.97,0.14,-0.10
21853980,1,-0.97,0.14,-0.10
21853982,1,-0.97,0.14,-0.10
21853983,1,-0.97,0.14,-0.10
21853985,1,-0.97,0.14,-0.10
21853987,1,-0.97,0.14,-0.10
21853988,1,-0.97,0.14,-0.09
21853990,1,-0.97,0.14,-0.09
21853992,1,-0.97,0.14,-0.09
21853993,1,-0.97,0.14,-0.09
21853995,1,-0.97,0.14,-0.09
21853997,1,-0.97,0.14,-0.09
21853998,1,-0.98,0.14,-0.09
21854000,1,-0.98,0.14,-0.09
21854002,1,-0.98,0.14,-0.09
21854003,1,-0.98,0.14,-0.09
21854005,1,-0.98,0.14,-0.09
21854007,1,-0.98,0.14,-0.08
21854008,1,-0.97,0.15,-0.08
21854010,1,-0.97,0.15,-0.08
21854012,1,-0.97,0.15,-0.08
21854013,1,-0.97,0.15,-0.08
21854015,1,-0.97,0.15,-0.08
21854017,1,-0.97,0.15,-0.07
21854018,1,-0.97,0.15,-0.07
21854020,1,-0.97,0.15,-0.07
21854022,1,-0.97,0.15,-0.07
21854023,1,-0.97,0.15,-0.07
21854025,1,-0.97,0.15,-0.07
21854027,1,-0.97,0.15,-0.08
21854028,1,-0.97,0.15,-0.08
21854030,1,-0.97,0.15,-0.08
21854032,1,-0.97,0.15,-0.08
21854033,1,-0.97,0.15,-0.08
21854035,1,-0.97,0.15,-0.08
21854037,1,-0.98,0.15,-0.07
21854038,1,-0.98,0.15,-0.07
21854040,1,-0.98,0.15,-0.07
21854042,1,-0.98,0.15,-0.07
21854043,1,-0.98,0.15,-0.07
21854045,1,-0.98,0.15,-0.07
21854047,1,-0.97,0.14,-0.07
