t,l,x,y,z
18942175,0,-0.98,0.07,0.05
18942176,0,-0.98,0.07,0.05
18942178,0,-0.98,0.06,0.05
18942180,0,-0.98,0.06,0.05
18942181,0,-0.98,0.06,0.05
18942183,0,-0.98,0.06,0.05
18942185,0,-0.98,0.06,0.05
18942186,0,-0.98,0.06,0.05
18942188,0,-0.98,0.06,0.06
18942190,0,-0.98,0.06,0.06
18942191,0,-0.98,0.06,0.06
18942193,0,-0.98,0.06,0.06
18942195,0,-0.98,0.06,0.06
18942196,0,-0.98,0.06,0.06
18942198,0,-0.98,0.05,0.06
18942200,0,-0.98,0.05,0.06
18942201,0,-0.98,0.05,0.06
18942203,0,-0.98,0.05,0.06
18942205,0,-0.98,0.05,0.06
18942206,0,-0.98,0.05,0.06
18942208,0,-0.98,0.04,0.07
18942210,0,-0.98,0.04,0.07
18942211,0,-0.98,0.04,0.07
18942213,0,-0.98,0.04,0.07
18942215,0,-0.98,0.04,0.07
18942216,0,-0.98,0.04,0.07
18942218,0,-0.98,0.04,0.07
18942220,0,-0.98,0.04,0.07
18942221,0,-0.98,0.04,0.07
18942223,0,-0.98,0.04,0.07
18942225,0,-0.98,0.04,0.07
18942226,0,-0.98,0.04,0.08
18942228,0,-0.98,0.04,0.08
18942230,0,-0.98,0.04,0.08
18942231,0,-0.98,0.04,0.08
18942233,0,-0.98,0.04,0.08
18942235,0,-0.98,0.04,0.08
18942236,0,-0.98,0.04,0.07
18942238,0,-0.98,0.04,0.07
18942240,0,-0.98,0.04,0.07
18942241,0,-0.98,0.04,0.07
18942243,0,-0.98,0.04,0.07
18942244,0,-0.98,0.04,0.07
18942246,0,-0.98,0.04,0.07
18942248,0,-0.98,0.04,0.07
18942249,0,-0.98,0.04,0.07
18942251,0,-0.98,0.04,0.07
18942253,0,-0.98,0.04,0.07
18942254,0,-0.98,0.04,0.07
18942256,0,-0.98,0.05,0.07
18942258,0,-0.98,0.05,0.07
18942259,0,-0.98,0.05,0.07
18942261,0,-0.98,0.05,0.07
18942263,0,-0.98,0.05,0.07
18942264,0,-0.98,0.05,0.07
18942266,0,-0.98,0.06,0.07
18942268,0,-0.98,0.06,0.07
18942269,0,-0.98,0.06,0.07
18942271,0,-0.98,0.06,0.07
18942273,0,-0.98,0.06,0.07
18942274,0,-0.98,0.06,0.07
18942276,0,-0.98,0.06,0.06
18942278,0,-0.98,0.06,0.06
18942279,0,-0.98,0.06,0.06
18942281,0,-0.98,0.06,0.06
18942283,0,-0.98,0.06,0.06
18942284,0,-0.98,0.06,0.06
18942286,0,-0.98,0.06,0.06
18942288,0,-0.98,0.06,0.06
18942289,0,-0.98,0.06,0.06
18942291,0,-0.98,0.06,0.06
18942293,0,-0.98,0.06,0.06
18942294,0,-0.98,0.06,0.06
18942296,0,-0.98,0.06,0.06
18942298,0,-0.98,0.06,0.06
18942299,0,-0.98,0.06,0.06
18942301,0,-0.98,0.06,0.06
18942302,0,-0.98,0.06,0.06
18942304,0,-0.98,0.06,0.06
18942306,0,-0.98,0.06,0.07
18942308,0,-0.98,0.06,0.07
18942309,0,-0.98,0.06,0.07
18942311,0,-0.98,0.06,0.07
18942312,0,-0.98,0.06,0.07
18942314,0,-0.98,0.06,0.07
18942316,0,-0.98,0.06,0.07
18942317,0,-0.98,0.06,0.07
18942319,0,-0.98,0.06,0.07
18942321,0,-0.98,0.06,0.07
18942322,0,-0.98,0.06,0.07
18942324,0,-0.98,0.05,0.07
18942326,0,-0.98,0.05,0.07
18942327,0,-0.98,0.05,0.07
18942329,0,-0.98,0.05,0.07
18942331,0,-0.98,0.05,0.07
18942332,0,-0.98,0.05,0.07
18942334,0,-0.97,0.04,0.07
18942336,0,-0.97,0.04,0.07
18942337,0,-0.97,0.04,0.07
18942339,0,-0.97,0.04,0.07
18942341,0,-0.97,0.04,0.07
18942342,0,-0.97,0.04,0.07
18942344,0,-0.98,0.04,0.07
18942346,0,-0.98,0.04,0.07
18942347,0,-0.98,0.04,0.07
18942349,0,-0.98,0.04,0.07
18942351,0,-0.98,0.04,0.07
18942352,0,-0.98,0.04,0.07
18942354,0,-0.98,0.05,0.07
18942356,0,-0.98,0.05,0.07
18942357,0,-0.98,0.05,0.07
18942359,0,-0.98,0.05,0.07
18942361,0,-0.98,0.05,0.07
18942362,0,-0.98,0.05,0.07
18942364,0,-0.98,0.05,0.06
18942366,0,-0.98,0.05,0.06
18942367,0,-0.98,0.05,0.06
18942369,0,-0.98,0.05,0.06
18942371,0,-0.98,0.05,0.06
18942372,0,-0.98,0.05,0.06
18942374,0,-0.98,0.05,0.06
18942376,0,-0.98,0.05,0.06
18942377,0,-0.98,0.05,0.06
18942379,0,-0.98,0.05,0.06
18942381,0,-0.98,0.05,0.06
18942382,0,-0.98,0.05,0.06
18942384,0,-0.98,0.05,0.06
18942386,0,-0.98,0.05,0.06
18942387,0,-0.98,0.05,0.06
18942389,0,-0.98,0.05,0.06
18942390,0,-0.98,0.05,0.06
18942392,0,-0.98,0.05,0.06
18942394,0,-0.98,0.05,0.06
18942395,0,-0.98,0.05,0.06
18942397,0,-0.98,0.05,0.06
18942399,0,-0.98,0.05,0.06
18942400,0,-0.98,0.05,0.06
18942402,0,-0.98,0.05,0.06
18942404,0,-0.98,0.05,0.06
18942405,0,-0.98,0.05,0.06
18942407,0,-0.98,0.05,0.06
18942409,0,-0.98,0.05,0.06
18942410,0,-0.98,0.05,0.06
18942412,0,-0.98,0.05,0.06
18942414,0,-0.98,0.05,0.06
18942415,0,-0.98,0.05,0.06
18942417,0,-0.98,0.05,0.06
18942418,0,-0.98,0.05,0.06
18942420,0,-0.98,0.05,0.06
18942422,0,-0.98,0.05,0.07
18942423,0,-0.98,0.05,0.07
18942425,0,-0.98,0.05,0.07
18942427,0,-0.98,0.05,0.07
18942428,0,-0.98,0.05,0.07
18942430,0,-0.98,0.05,0.07
18942432,0,-0.98,0.04,0.07
18942433,0,-0.98,0.04,0.07
18942435,0,-0.98,0.04,0.07
18942437,0,-0.98,0.04,0.07
18942438,0,-0.98,0.04,0.07
18942440,0,-0.98,0.04,0.07
18942442,0,-0.98,0.04,0.07
18942443,0,-0.98,0.04,0.07
18942445,0,-0.98,0.04,0.07
18942447,0,-0.98,0.04,0.07
18942448,0,-0.98,0.04,0.07
18942450,0,-0.98,0.04,0.07
18942452,0,-0.98,0.04,0.07
18942453,0,-0.98,0.04,0.07
18942455,0,-0.98,0.04,0.07
18942457,0,-0.98,0.04,0.07
18942458,0,-0.98,0.04,0.07
18942460,0,-0.98,0.04,0.07
18942462,0,-0.98,0.05,0.07
18942463,0,-0.98,0.05,0.07
18942465,0,-0.98,0.05,0.07
18942467,0,-0.98,0.05,0.07
18942468,0,-0.98,0.05,0.07
18942470,0,-0.98,0.05,0.07
18942471,0,-0.98,0.05,0.06
18942473,0,-0.98,0.05,0.06
18942475,0,-0.98,0.05,0.06
18942476,0,-0.98,0.05,0.06
18942478,0,-0.98,0.05,0.06
18942480,0,-0.98,0.05,0.06
18942481,0,-0.98,0.06,0.07
18942483,0,-0.98,0.06,0.07
18942485,0,-0.98,0.06,0.07
18942486,0,-0.98,0.06,0.07
18942488,0,-0.98,0.06,0.07
18942490,0,-0.98,0.06,0.07
18942491,0,-0.98,0.06,0.06
18942493,0,-0.98,0.06,0.06
18942494,0,-0.98,0.06,0.06
18942496,0,-0.98,0.06,0.06
18942498,0,-0.98,0.06,0.06
18942499,0,-0.98,0.06,0.06
18942501,0,-0.98,0.06,0.06
18942503,0,-0.98,0.06,0.06
