t,l,x,y,z
2276208,0,-0.98,-0.03,0.00
2276209,0,-0.98,-0.03,0.00
2276211,0,-0.98,-0.03,0.00
2276213,0,-0.98,-0.03,0.00
2276214,0,-0.98,-0.03,0.00
2276216,0,-0.98,-0.03,0.00
2276218,0,-0.98,-0.03,0.00
2276219,0,-0.98,-0.03,0.00
2276221,0,-0.98,-0.03,0.00
2276222,0,-0.98,-0.03,-0.00
2276224,0,-0.98,-0.03,-0.00
2276226,0,-0.98,-0.03,-0.00
2276227,0,-0.98,-0.03,-0.00
2276229,0,-0.98,-0.03,-0.00
2276231,0,-0.98,-0.03,-0.00
2276232,0,-0.98,-0.03,0.00
2276234,0,-0.98,-0.03,0.00
2276236,0,-0.98,-0.03,0.00
2276237,0,-0.98,-0.03,0.00
2276239,0,-0.98,-0.03,0.00
2276241,0,-0.98,-0.03,0.00
2276242,0,-0.98,-0.03,-0.00
2276244,0,-0.98,-0.03,-0.00
2276246,0,-0.98,-0.03,-0.00
2276247,0,-0.98,-0.03,-0.00
2276249,0,-0.98,-0.03,-0.00
2276251,0,-0.98,-0.03,-0.00
2276252,0,-0.98,-0.02,-0.00
2276254,0,-0.98,-0.02,-0.00
2276256,0,-0.98,-0.02,-0.00
2276257,0,-0.98,-0.02,-0.00
2276259,0,-0.98,-0.02,-0.00
2276261,0,-0.98,-0.02,-0.00
2276262,0,-0.98,-0.03,-0.00
2276264,0,-0.98,-0.03,-0.00
2276266,0,-0.98,-0.03,-0.00
2276267,0,-0.98,-0.03,-0.00
2276269,0,-0.98,-0.03,-0.00
2276271,0,-0.98,-0.03,0.00
2276273,0,-0.98,-0.03,0.00
2276274,0,-0.98,-0.03,0.00
2276276,0,-0.98,-0.03,0.00
2276277,0,-0.98,-0.03,0.00
2276279,0,-0.98,-0.03,0.00
2276281,0,-0.98,-0.03,0.00
2276282,0,-0.98,-0.03,0.00
2276284,0,-0.98,-0.03,0.00
2276286,0,-0.98,-0.03,0.00
2276287,0,-0.98,-0.03,0.00
2276289,0,-0.98,-0.03,0.00
2276291,0,-0.98,-0.03,0.00
2276292,0,-0.98,-0.03,0.00
2276294,0,-0.98,-0.03,0.00
2276296,0,-0.98,-0.03,0.00
2276297,0,-0.98,-0.03,0.00
2276299,0,-0.98,-0.03,0.00
2276301,0,-0.98,-0.03,0.00
2276302,0,-0.98,-0.03,0.00
2276304,0,-0.98,-0.03,0.00
2276306,0,-0.98,-0.03,0.00
2276307,0,-0.98,-0.03,0.00
2276309,0,-0.98,-0.03,0.00
2276311,0,-0.98,-0.03,-0.00
2276312,0,-0.98,-0.03,-0.00
2276314,0,-0.98,-0.03,-0.00
2276316,0,-0.98,-0.03,-0.00
2276317,0,-0.98,-0.03,-0.00
2276319,0,-0.98,-0.03,-0.00
2276321,0,-0.98,-0.03,-0.00
2276322,0,-0.98,-0.03,-0.00
2276324,0,-0.98,-0.03,-0.00
2276326,0,-0.98,-0.03,-0.00
2276327,0,-0.98,-0.03,-0.00
2276329,0,-0.98,-0.03,-0.00
2276331,0,-0.98,-0.03,0.00
2276332,0,-0.98,-0.03,0.00
2276334,0,-0.98,-0.03,0.00
2276336,0,-0.98,-0.03,0.00
2276338,0,-0.98,-0.03,0.00
2276339,0,-0.98,-0.03,0.00
2276341,0,-0.98,-0.02,0.00
2276343,0,-0.98,-0.02,0.00
2276344,0,-0.98,-0.02,0.00
2276346,0,-0.98,-0.02,0.00
2276347,0,-0.98,-0.02,0.00
2276349,0,-0.98,-0.03,0.01
2276351,0,-0.98,-0.03,0.01
