t,l,x,y,z
2656672,0,-0.97,-0.02,-0.13
2656674,0,-0.97,-0.02,-0.13
2656676,0,-0.97,-0.02,-0.13
2656677,0,-0.97,-0.02,-0.13
2656679,0,-0.97,-0.02,-0.13
2656681,0,-0.97,-0.02,-0.13
2656682,0,-0.97,-0.03,-0.12
2656684,0,-0.97,-0.03,-0.12
2656686,0,-0.97,-0.03,-0.12
2656687,0,-0.97,-0.03,-0.12
2656689,0,-0.97,-0.03,-0.12
2656691,0,-0.97,-0.03,-0.12
2656692,0,-0.97,-0.02,-0.10
2656694,0,-0.97,-0.02,-0.10
2656696,0,-0.97,-0.02,-0.10
2656697,0,-0.97,-0.02,-0.10
2656699,0,-0.97,-0.02,-0.10
2656701,0,-0.98,-0.03,-0.09
2656702,0,-0.98,-0.03,-0.09
2656704,0,-0.98,-0.03,-0.09
2656706,0,-0.98,-0.03,-0.09
2656707,0,-0.98,-0.03,-0.09
2656709,0,-0.98,-0.03,-0.09
2656711,0,-0.98,-0.02,-0.07
2656712,0,-0.98,-0.02,-0.07
2656714,0,-0.98,-0.02,-0.07
2656716,0,-0.98,-0.02,-0.07
2656717,0,-0.98,-0.02,-0.07
2656719,0,-0.98,-0.02,-0.07
2656721,0,-0.99,-0.02,-0.05
2656722,0,-0.99,-0.02,-0.05
2656724,0,-0.99,-0.02,-0.05
2656726,0,-0.99,-0.02,-0.05
2656727,0,-0.99,-0.02,-0.05
2656729,0,-0.99,-0.02,-0.05
2656731,0,-0.99,-0.02,-0.06
2656732,0,-0.99,-0.02,-0.06
2656734,0,-0.99,-0.02,-0.06
2656736,0,-0.99,-0.02,-0.06
2656737,0,-0.99,-0.02,-0.06
2656739,0,-0.99,-0.02,-0.06
2656741,0,-0.98,-0.02,-0.06
2656742,0,-0.98,-0.02,-0.06
2656744,0,-0.98,-0.02,-0.06
2656746,0,-0.98,-0.02,-0.06
2656748,0,-0.98,-0.02,-0.06
2656749,0,-0.98,-0.02,-0.09
2656751,0,-0.97,-0.03,-0.09
2656753,0,-0.97,-0.03,-0.09
2656754,0,-0.97,-0.03,-0.09
2656756,0,-0.97,-0.03,-0.09
2656757,0,-0.97,-0.03,-0.09
2656759,0,-0.97,-0.02,-0.11
2656761,0,-0.97,-0.02,-0.11
2656763,0,-0.97,-0.02,-0.11
2656764,0,-0.97,-0.02,-0.11
2656766,0,-0.97,-0.02,-0.11
2656768,0,-0.97,-0.02,-0.11
2656769,0,-0.97,-0.03,-0.12
2656771,0,-0.97,-0.03,-0.12
2656773,0,-0.97,-0.03,-0.12
2656774,0,-0.97,-0.03,-0.12
2656776,0,-0.97,-0.03,-0.12
2656778,0,-0.97,-0.03,-0.12
2656779,0,-0.97,-0.03,-0.12
2656781,0,-0.97,-0.03,-0.12
2656783,0,-0.97,-0.03,-0.12
2656784,0,-0.97,-0.03,-0.12
2656786,0,-0.97,-0.03,-0.12
2656788,0,-0.97,-0.03,-0.12
2656789,0,-0.97,-0.03,-0.12
2656791,0,-0.97,-0.03,-0.12
2656793,0,-0.97,-0.03,-0.12
2656794,0,-0.97,-0.03,-0.12
2656796,0,-0.97,-0.03,-0.12
2656798,0,-0.97,-0.03,-0.12
2656799,0,-0.98,-0.03,-0.12
2656801,0,-0.98,-0.03,-0.12
2656803,0,-0.98,-0.03,-0.12
2656805,0,-0.98,-0.03,-0.12
2656806,0,-0.98,-0.03,-0.12
2656808,0,-0.98,-0.03,-0.11
2656810,0,-0.97,-0.03,-0.11
2656811,0,-0.97,-0.03,-0.11
2656813,0,-0.97,-0.03,-0.11
2656815,0,-0.97,-0.03,-0.11
2656816,0,-0.97,-0.03,-0.11
2656818,0,-0.97,-0.03,-0.10
2656820,0,-0.97,-0.03,-0.10
2656821,0,-0.97,-0.03,-0.10
2656823,0,-0.97,-0.03,-0.10
2656825,0,-0.97,-0.03,-0.10
2656826,0,-0.97,-0.03,-0.10
2656828,0,-0.97,-0.03,-0.10
2656829,0,-0.97,-0.03,-0.10
2656831,0,-0.97,-0.03,-0.10
2656833,0,-0.97,-0.03,-0.10
2656834,0,-0.97,-0.03,-0.10
2656836,0,-0.97,-0.03,-0.10
2656838,0,-0.98,-0.03,-0.09
2656839,0,-0.98,-0.03,-0.09
2656841,0,-0.98,-0.03,-0.09
2656843,0,-0.98,-0.03,-0.09
2656844,0,-0.98,-0.03,-0.09
2656846,0,-0.98,-0.03,-0.09
2656848,0,-0.98,-0.03,-0.09
2656850,0,-0.98,-0.03,-0.09
2656851,0,-0.98,-0.03,-0.09
2656853,0,-0.98,-0.03,-0.09
2656855,0,-0.98,-0.03,-0.09
2656856,0,-0.98,-0.03,-0.09
2656858,0,-0.98,-0.02,-0.08
