t,l,x,y,z
911271,1,-0.97,-0.03,-0.03
911273,1,-0.97,-0.03,-0.03
911275,1,-0.97,-0.03,-0.03
911276,1,-0.97,-0.03,-0.03
911278,1,-0.98,-0.04,-0.04
911280,1,-0.98,-0.04,-0.04
911281,1,-0.98,-0.04,-0.04
911283,1,-0.98,-0.04,-0.04
911285,1,-0.98,-0.04,-0.04
911286,1,-0.98,-0.04,-0.04
911288,1,-0.98,-0.05,-0.05
911290,1,-0.98,-0.05,-0.05
911291,1,-0.98,-0.05,-0.05
911293,1,-0.98,-0.05,-0.05
911295,1,-0.98,-0.05,-0.05
911296,1,-0.98,-0.05,-0.05
911298,1,-0.99,-0.05,-0.05
911300,1,-0.99,-0.05,-0.05
911301,1,-0.99,-0.05,-0.05
911303,1,-0.99,-0.05,-0.05
911305,1,-0.99,-0.05,-0.05
911306,1,-0.99,-0.05,-0.05
911308,1,-0.98,-0.04,-0.04
911310,1,-0.98,-0.04,-0.04
911311,1,-0.98,-0.04,-0.04
911313,1,-0.98,-0.04,-0.04
911315,1,-0.98,-0.04,-0.04
911316,1,-0.98,-0.04,-0.04
911318,1,-0.99,-0.03,-0.04
911320,1,-0.99,-0.03,-0.04
911321,1,-0.99,-0.03,-0.04
911323,1,-0.99,-0.03,-0.04
911325,1,-0.99,-0.03,-0.04
911326,1,-0.99,-0.03,-0.04
911328,1,-0.98,-0.03,-0.04
911330,1,-0.98,-0.03,-0.04
911331,1,-0.98,-0.03,-0.04
911333,1,-0.98,-0.03,-0.04
911335,1,-0.98,-0.03,-0.04
911336,1,-0.96,-0.02,-0.04
911338,1,-0.96,-0.02,-0.04
911340,1,-0.96,-0.02,-0.04
911341,1,-0.96,-0.02,-0.04
911343,1,-0.96,-0.02,-0.04
911345,1,-0.96,-0.02,-0.04
911346,1,-0.96,-0.02,-0.08
911348,1,-0.96,-0.02,-0.08
911350,1,-0.96,-0.02,-0.08
911351,1,-0.96,-0.02,-0.08
911353,1,-0.96,-0.02,-0.08
911355,1,-0.96,-0.02,-0.08
911356,1,-0.97,-0.03,-0.09
911358,1,-0.97,-0.03,-0.09
911360,1,-0.97,-0.03,-0.09
911361,1,-0.97,-0.03,-0.09
911363,1,-0.97,-0.03,-0.09
911365,1,-0.97,-0.03,-0.09
911366,1,-0.98,-0.03,-0.11
911368,1,-0.98,-0.03,-0.11
911370,1,-0.98,-0.03,-0.11
911371,1,-0.98,-0.03,-0.11
911373,1,-0.98,-0.03,-0.11
911375,1,-0.98,-0.03,-0.11
911376,1,-0.98,-0.02,-0.10
911378,1,-0.98,-0.02,-0.10
911380,1,-0.98,-0.02,-0.10
911381,1,-0.98,-0.02,-0.10
911383,1,-0.98,-0.02,-0.10
911385,1,-0.98,-0.02,-0.10
911386,1,-0.98,-0.02,-0.10
911388,1,-0.98,-0.02,-0.10
911390,1,-0.98,-0.02,-0.10
911391,1,-0.98,-0.02,-0.10
911393,1,-0.98,-0.02,-0.10
911395,1,-0.98,-0.02,-0.09
911397,1,-0.99,-0.02,-0.09
911398,1,-0.99,-0.02,-0.09
911400,1,-0.99,-0.02,-0.09
911402,1,-0.99,-0.02,-0.09
911403,1,-0.99,-0.02,-0.09
911405,1,-0.98,-0.02,-0.06
911406,1,-0.98,-0.02,-0.06
911408,1,-0.98,-0.02,-0.06
911410,1,-0.98,-0.02,-0.06
911412,1,-0.98,-0.02,-0.06
911413,1,-0.98,-0.02,-0.06
911415,1,-0.99,-0.02,-0.03
911416,1,-0.99,-0.02,-0.03
911418,1,-0.99,-0.02,-0.03
911420,1,-0.99,-0.02,-0.03
911421,1,-0.99,-0.02,-0.03
911423,1,-0.99,-0.02,-0.03
911425,1,-0.98,-0.02,-0.01
911426,1,-0.98,-0.02,-0.01
911428,1,-0.98,-0.02,-0.01
911430,1,-0.98,-0.02,-0.01
911431,1,-0.98,-0.02,-0.01
911433,1,-0.98,-0.02,-0.01
911435,1,-0.98,-0.01,0.01
911436,1,-0.98,-0.01,0.01
911438,1,-0.98,-0.01,0.01
911440,1,-0.98,-0.01,0.01
911441,1,-0.98,-0.01,0.01
911443,1,-0.98,-0.01,0.01
911445,1,-0.97,-0.02,0.01
911446,1,-0.97,-0.02,0.01
911448,1,-0.97,-0.02,0.01
911450,1,-0.97,-0.02,0.01
911451,1,-0.97,-0.02,0.01
911453,1,-0.97,-0.02,0.01
911455,1,-0.98,-0.03,-0.01
911456,1,-0.98,-0.03,-0.01
911458,1,-0.98,-0.03,-0.01
911460,1,-0.98,-0.03,-0.01
911461,1,-0.98,-0.03,-0.01
911463,1,-0.98,-0.03,-0.01
911465,1,-0.98,-0.04,-0.01
911466,1,-0.98,-0.04,-0.01
911468,1,-0.98,-0.04,-0.01
911470,1,-0.98,-0.04,-0.01
911471,1,-0.98,-0.04,-0.01
911473,1,-0.98,-0.04,-0.01
911475,1,-0.98,-0.04,-0.01
911476,1,-0.98,-0.04,-0.01
911478,1,-0.98,-0.04,-0.01
911480,1,-0.98,-0.04,-0.01
911481,1,-0.98,-0.04,-0.01
911483,1,-0.98,-0.05,-0.02
911485,1,-0.98,-0.05,-0.02
911486,1,-0.98,-0.05,-0.02
911488,1,-0.98,-0.05,-0.02
911490,1,-0.98,-0.05,-0.02
911491,1,-0.98,-0.05,-0.02
911493,1,-0.99,-0.04,-0.03
911495,1,-0.99,-0.04,-0.03
911496,1,-0.99,-0.04,-0.03
911498,1,-0.99,-0.04,-0.03
911500,1,-0.99,-0.04,-0.03
911501,1,-0.99,-0.04,-0.03
911503,1,-0.99,-0.05,-0.04
911505,1,-0.99,-0.05,-0.04
911506,1,-0.99,-0.05,-0.04
911508,1,-0.99,-0.05,-0.04
911510,1,-0.99,-0.05,-0.04
911511,1,-0.99,-0.05,-0.04
911513,1,-0.99,-0.06,-0.05
911515,1,-0.99,-0.06,-0.05
911516,1,-0.99,-0.06,-0.05
911518,1,-0.99,-0.06,-0.05
911520,1,-0.99,-0.06,-0.05
911521,1,-0.99,-0.06,-0.05
911523,1,-0.99,-0.06,-0.08
911525,1,-0.99,-0.06,-0.08
911526,1,-0.99,-0.06,-0.08
911528,1,-0.99,-0.06,-0.08
911530,1,-0.99,-0.06,-0.08
911531,1,-0.99,-0.06,-0.08
911533,1,-0.97,-0.05,-0.08
911535,1,-0.97,-0.05,-0.08
911536,1,-0.97,-0.05,-0.08
911538,1,-0.97,-0.05,-0.08
911540,1,-0.97,-0.05,-0.08
911541,1,-0.97,-0.03,-0.08
911543,1,-0.96,-0.03,-0.08
911545,1,-0.96,-0.03,-0.08
911546,1,-0.96,-0.03,-0.08
911548,1,-0.96,-0.03,-0.08
911550,1,-0.96,-0.03,-0.08
