t,l,x,y,z
654384,1,-1.00,-0.28,-0.04
654385,1,-1.00,-0.28,-0.04
654387,1,-1.00,-0.28,-0.04
654389,1,-0.89,-0.30,-0.04
654390,1,-0.89,-0.30,-0.04
654392,1,-0.89,-0.30,-0.04
654394,1,-0.89,-0.30,-0.04
654396,1,-0.89,-0.30,-0.04
654397,1,-0.89,-0.30,-0.04
654399,1,-0.92,-0.26,-0.04
654401,1,-0.92,-0.26,-0.04
654402,1,-0.92,-0.26,-0.04
654404,1,-0.92,-0.26,-0.04
654406,1,-0.92,-0.26,-0.04
654407,1,-0.92,-0.27,-0.06
654409,1,-0.98,-0.27,-0.06
654411,1,-0.98,-0.27,-0.06
654412,1,-0.98,-0.27,-0.06
654414,1,-0.98,-0.27,-0.06
654416,1,-0.98,-0.27,-0.06
654417,1,-0.97,-0.29,-0.08
654419,1,-0.97,-0.29,-0.08
654421,1,-0.97,-0.29,-0.08
654422,1,-0.97,-0.29,-0.08
654424,1,-0.97,-0.29,-0.08
654426,1,-0.97,-0.29,-0.08
654427,1,-0.96,-0.28,-0.06
654429,1,-0.96,-0.28,-0.06
654431,1,-0.96,-0.28,-0.06
654432,1,-0.96,-0.28,-0.06
654434,1,-0.96,-0.28,-0.06
654436,1,-0.96,-0.28,-0.06
654437,1,-0.96,-0.29,-0.05
654439,1,-0.96,-0.29,-0.05
654441,1,-0.96,-0.29,-0.05
654442,1,-0.96,-0.29,-0.05
654444,1,-0.96,-0.29,-0.05
654446,1,-0.96,-0.29,-0.05
654447,1,-0.96,-0.28,-0.05
654449,1,-0.96,-0.28,-0.05
654451,1,-0.96,-0.28,-0.05
654452,1,-0.96,-0.28,-0.05
654454,1,-0.96,-0.28,-0.05
654456,1,-0.96,-0.28,-0.05
654457,1,-0.91,-0.28,-0.06
654459,1,-0.91,-0.28,-0.06
654461,1,-0.91,-0.28,-0.06
654462,1,-0.91,-0.28,-0.06
654464,1,-0.91,-0.28,-0.06
654466,1,-0.91,-0.28,-0.06
654467,1,-0.89,-0.28,-0.04
654469,1,-0.89,-0.28,-0.04
654471,1,-0.89,-0.28,-0.04
654472,1,-0.89,-0.28,-0.04
654474,1,-0.89,-0.28,-0.04
654476,1,-0.89,-0.30,-0.04
654477,1,-0.89,-0.30,-0.04
654479,1,-0.89,-0.30,-0.04
654481,1,-0.89,-0.30,-0.04
654482,1,-0.89,-0.30,-0.04
654484,1,-0.89,-0.30,-0.04
654486,1,-0.95,-0.30,-0.04
654487,1,-0.95,-0.30,-0.04
654489,1,-0.95,-0.30,-0.04
654491,1,-0.95,-0.30,-0.04
654492,1,-0.95,-0.30,-0.04
654494,1,-0.95,-0.30,-0.04
654496,1,-0.97,-0.29,-0.04
654497,1,-0.97,-0.29,-0.04
654499,1,-0.97,-0.29,-0.04
654501,1,-0.97,-0.29,-0.04
654502,1,-0.97,-0.29,-0.04
654504,1,-0.97,-0.29,-0.04
654506,1,-0.93,-0.27,-0.04
654507,1,-0.93,-0.27,-0.04
654509,1,-0.93,-0.27,-0.04
654511,1,-0.93,-0.27,-0.04
654512,1,-0.93,-0.27,-0.04
654514,1,-0.93,-0.27,-0.04
654516,1,-0.91,-0.25,-0.04
654517,1,-0.91,-0.25,-0.04
654519,1,-0.91,-0.25,-0.04
654521,1,-0.91,-0.25,-0.04
654522,1,-0.91,-0.25,-0.04
654524,1,-0.91,-0.25,-0.04
654526,1,-0.93,-0.24,-0.04
654527,1,-0.93,-0.24,-0.04
654529,1,-0.93,-0.24,-0.04
654531,1,-0.93,-0.24,-0.04
