t,l,x,y,z
320595,0,-0.98,-0.19,0.07
320596,0,-0.98,-0.19,0.07
320598,0,-0.98,-0.20,0.07
320600,0,-0.97,-0.20,0.07
320601,0,-0.97,-0.20,0.07
320603,0,-0.97,-0.20,0.07
320605,0,-0.97,-0.20,0.07
320606,0,-0.97,-0.20,0.07
320608,0,-0.97,-0.15,0.08
320610,0,-0.97,-0.15,0.08
320611,0,-0.97,-0.15,0.08
320613,0,-0.97,-0.15,0.08
320615,0,-0.97,-0.15,0.08
320616,0,-0.97,-0.15,0.08
320618,0,-0.95,-0.21,0.09
320620,0,-0.95,-0.21,0.09
320621,0,-0.95,-0.21,0.09
320623,0,-0.95,-0.21,0.09
320625,0,-0.95,-0.21,0.09
320626,0,-0.95,-0.21,0.09
320628,0,-0.96,-0.19,0.07
320630,0,-0.96,-0.19,0.07
320631,0,-0.96,-0.19,0.07
320633,0,-0.96,-0.19,0.07
320634,0,-0.96,-0.19,0.07
320636,0,-0.96,-0.19,0.07
320638,0,-0.97,-0.18,0.08
320639,0,-0.97,-0.18,0.08
320641,0,-0.97,-0.18,0.08
320643,0,-0.97,-0.18,0.08
320644,0,-0.97,-0.18,0.08
320646,0,-0.97,-0.18,0.08
320648,0,-0.96,-0.18,0.07
320649,0,-0.96,-0.18,0.07
320651,0,-0.96,-0.18,0.07
320653,0,-0.96,-0.18,0.07
320654,0,-0.96,-0.18,0.07
320656,0,-0.96,-0.18,0.07
320658,0,-0.96,-0.18,0.07
320659,0,-0.96,-0.18,0.07
320661,0,-0.96,-0.18,0.07
320663,0,-0.96,-0.18,0.07
320664,0,-0.96,-0.18,0.07
320666,0,-0.96,-0.18,0.07
320668,0,-0.95,-0.17,0.06
320669,0,-0.95,-0.17,0.06
320671,0,-0.95,-0.17,0.06
320673,0,-0.95,-0.17,0.06
320674,0,-0.95,-0.17,0.06
320676,0,-0.95,-0.17,0.06
320678,0,-0.95,-0.18,0.06
320679,0,-0.95,-0.18,0.06
320681,0,-0.95,-0.18,0.06
320683,0,-0.95,-0.18,0.06
320684,0,-0.95,-0.18,0.06
320686,0,-0.95,-0.19,0.05
320688,0,-0.96,-0.19,0.05
320689,0,-0.96,-0.19,0.05
320691,0,-0.96,-0.19,0.05
320693,0,-0.96,-0.19,0.05
320694,0,-0.96,-0.19,0.05
320696,0,-0.97,-0.20,0.06
320697,0,-0.97,-0.20,0.06
320699,0,-0.97,-0.20,0.06
320701,0,-0.97,-0.20,0.06
320703,0,-0.97,-0.20,0.06
320704,0,-0.97,-0.20,0.06
320706,0,-0.97,-0.19,0.05
320708,0,-0.97,-0.19,0.05
320709,0,-0.97,-0.19,0.05
320711,0,-0.97,-0.19,0.05
320713,0,-0.97,-0.19,0.05
320714,0,-0.97,-0.19,0.05
320716,0,-0.98,-0.19,0.06
320718,0,-0.98,-0.19,0.06
320719,0,-0.98,-0.19,0.06
320721,0,-0.98,-0.19,0.06
320722,0,-0.98,-0.19,0.06
320724,0,-0.98,-0.19,0.06
320726,0,-0.97,-0.18,0.06
320727,0,-0.97,-0.18,0.06
320729,0,-0.97,-0.18,0.06
320731,0,-0.97,-0.18,0.06
320732,0,-0.97,-0.18,0.06
320734,0,-0.97,-0.18,0.06
320736,0,-0.95,-0.18,0.06
320737,0,-0.95,-0.18,0.06
320739,0,-0.95,-0.18,0.06
320741,0,-0.95,-0.18,0.06
320742,0,-0.95,-0.18,0.06
320744,0,-0.95,-0.18,0.06
320746,0,-0.94,-0.17,0.06
320747,0,-0.94,-0.17,0.06
320749,0,-0.94,-0.17,0.06
320751,0,-0.94,-0.17,0.06
320752,0,-0.94,-0.17,0.06
320754,0,-0.94,-0.17,0.06
320756,0,-0.94,-0.17,0.06
320757,0,-0.94,-0.17,0.06
320759,0,-0.94,-0.17,0.06
320761,0,-0.94,-0.17,0.06
320762,0,-0.94,-0.17,0.06
320764,0,-0.94,-0.17,0.06
320766,0,-0.96,-0.17,0.06
320767,0,-0.96,-0.17,0.06
320769,0,-0.96,-0.17,0.06
320771,0,-0.96,-0.17,0.06
320772,0,-0.96,-0.17,0.06
320774,0,-0.96,-0.17,0.06
320775,0,-0.96,-0.17,0.06
320777,0,-0.96,-0.17,0.06
320779,0,-0.96,-0.17,0.06
320780,0,-0.96,-0.17,0.06
