t,l,x,y,z
1466146,1,-0.97,-0.12,0.02
1466147,1,-0.97,-0.12,0.02
1466149,1,-0.98,-0.12,0.03
1466151,1,-0.98,-0.12,0.03
1466152,1,-0.98,-0.12,0.03
1466154,1,-0.98,-0.12,0.03
1466156,1,-0.98,-0.12,0.03
1466157,1,-0.98,-0.12,0.03
1466159,1,-0.98,-0.12,0.04
1466161,1,-0.98,-0.12,0.04
1466162,1,-0.98,-0.12,0.04
1466164,1,-0.98,-0.12,0.04
1466166,1,-0.98,-0.12,0.04
1466167,1,-0.98,-0.12,0.04
1466169,1,-0.98,-0.13,0.05
1466171,1,-0.98,-0.13,0.05
1466172,1,-0.98,-0.13,0.05
1466174,1,-0.98,-0.13,0.05
1466176,1,-0.98,-0.13,0.05
1466177,1,-0.98,-0.13,0.05
1466179,1,-0.98,-0.12,0.05
1466181,1,-0.98,-0.12,0.05
1466182,1,-0.98,-0.12,0.05
1466184,1,-0.98,-0.12,0.05
1466186,1,-0.98,-0.12,0.05
1466187,1,-0.98,-0.12,0.05
1466189,1,-0.97,-0.12,0.05
1466191,1,-0.97,-0.12,0.05
1466192,1,-0.97,-0.12,0.05
1466194,1,-0.97,-0.12,0.05
1466196,1,-0.97,-0.12,0.05
1466197,1,-0.96,-0.11,0.03
1466199,1,-0.96,-0.11,0.03
1466201,1,-0.96,-0.11,0.03
1466202,1,-0.96,-0.11,0.03
1466204,1,-0.96,-0.11,0.03
1466206,1,-0.96,-0.11,0.03
1466207,1,-0.96,-0.12,0.01
1466209,1,-0.96,-0.12,0.01
1466211,1,-0.96,-0.12,0.01
1466212,1,-0.96,-0.12,0.01
1466214,1,-0.96,-0.12,0.01
1466216,1,-0.96,-0.12,0.01
1466217,1,-0.97,-0.12,-0.01
1466219,1,-0.97,-0.12,-0.01
1466221,1,-0.97,-0.12,-0.01
1466222,1,-0.97,-0.12,-0.01
1466224,1,-0.97,-0.12,-0.01
1466226,1,-0.97,-0.12,-0.01
1466227,1,-0.98,-0.13,-0.02
1466229,1,-0.98,-0.13,-0.02
1466231,1,-0.98,-0.13,-0.02
1466232,1,-0.98,-0.13,-0.02
1466234,1,-0.98,-0.13,-0.02
1466236,1,-0.98,-0.13,-0.02
1466237,1,-0.98,-0.13,-0.02
1466239,1,-0.98,-0.13,-0.02
1466241,1,-0.98,-0.13,-0.02
