t,l,x,y,z
1510796,1,-0.97,-0.06,0.05
1510798,1,-0.97,-0.06,0.05
1510799,1,-0.97,-0.06,0.05
1510801,1,-0.97,-0.06,0.05
1510803,1,-0.97,-0.06,0.05
1510804,1,-0.97,-0.06,0.05
1510806,1,-0.97,-0.06,0.05
1510808,1,-0.97,-0.06,0.05
1510809,1,-0.97,-0.06,0.05
1510811,1,-0.97,-0.06,0.05
1510813,1,-0.97,-0.06,0.05
1510814,1,-0.97,-0.06,0.05
1510816,1,-0.97,-0.06,0.06
1510818,1,-0.97,-0.06,0.06
1510819,1,-0.97,-0.06,0.06
1510821,1,-0.97,-0.06,0.06
1510823,1,-0.97,-0.06,0.06
1510824,1,-0.97,-0.06,0.06
1510826,1,-0.98,-0.06,0.06
1510828,1,-0.98,-0.06,0.06
1510829,1,-0.98,-0.06,0.06
1510831,1,-0.98,-0.06,0.06
1510833,1,-0.98,-0.06,0.06
1510834,1,-0.98,-0.06,0.06
1510836,1,-0.97,-0.07,0.06
1510838,1,-0.97,-0.07,0.06
1510839,1,-0.97,-0.07,0.06
1510841,1,-0.97,-0.07,0.06
1510842,1,-0.97,-0.07,0.06
1510844,1,-0.97,-0.07,0.06
1510846,1,-0.97,-0.07,0.06
1510847,1,-0.97,-0.07,0.06
1510849,1,-0.97,-0.07,0.06
1510851,1,-0.97,-0.07,0.06
1510852,1,-0.97,-0.07,0.06
1510854,1,-0.98,-0.06,0.06
1510856,1,-0.98,-0.06,0.06
1510857,1,-0.98,-0.06,0.06
1510859,1,-0.98,-0.06,0.06
1510861,1,-0.98,-0.06,0.06
1510862,1,-0.98,-0.06,0.06
1510864,1,-0.98,-0.06,0.06
1510866,1,-0.98,-0.06,0.06
1510867,1,-0.98,-0.06,0.06
1510869,1,-0.98,-0.06,0.06
1510871,1,-0.98,-0.06,0.06
1510872,1,-0.98,-0.06,0.06
1510874,1,-0.98,-0.06,0.06
1510876,1,-0.98,-0.06,0.06
1510877,1,-0.98,-0.06,0.06
1510879,1,-0.98,-0.06,0.06
1510881,1,-0.98,-0.06,0.06
1510882,1,-0.98,-0.06,0.06
1510884,1,-0.98,-0.06,0.06
1510886,1,-0.98,-0.06,0.06
1510887,1,-0.98,-0.06,0.06
1510889,1,-0.98,-0.06,0.06
1510891,1,-0.98,-0.06,0.06
1510892,1,-0.98,-0.06,0.06
1510894,1,-0.97,-0.06,0.06
1510896,1,-0.97,-0.06,0.06
1510897,1,-0.97,-0.06,0.06
1510899,1,-0.97,-0.06,0.06
1510901,1,-0.97,-0.06,0.06
