t,l,x,y,z
11503224,0,-0.98,0.16,0.01
11503226,0,-0.98,0.16,0.01
11503228,0,-0.98,0.16,0.01
11503229,0,-0.98,0.16,0.01
11503231,0,-0.98,0.16,0.01
11503233,0,-0.98,0.16,0.01
11503234,0,-0.97,0.16,0.01
11503236,0,-0.97,0.16,0.01
11503238,0,-0.97,0.16,0.01
11503239,0,-0.97,0.16,0.01
11503241,0,-0.97,0.16,0.01
11503243,0,-0.97,0.16,0.00
11503245,0,-0.97,0.16,0.00
11503246,0,-0.97,0.16,0.00
11503248,0,-0.97,0.16,0.00
11503250,0,-0.97,0.16,0.00
11503251,0,-0.97,0.16,0.00
11503253,0,-0.97,0.16,0.01
11503255,0,-0.97,0.16,0.01
11503256,0,-0.97,0.16,0.01
11503258,0,-0.97,0.16,0.01
11503260,0,-0.97,0.16,0.01
11503261,0,-0.97,0.16,0.01
11503263,0,-0.98,0.16,0.01
11503265,0,-0.98,0.16,0.01
11503266,0,-0.98,0.16,0.01
11503268,0,-0.98,0.16,0.01
11503269,0,-0.98,0.16,0.01
11503271,0,-0.98,0.16,0.01
11503273,0,-0.97,0.16,0.01
11503275,0,-0.97,0.16,0.01
11503276,0,-0.97,0.16,0.01
11503278,0,-0.97,0.16,0.01
11503279,0,-0.97,0.16,0.01
11503281,0,-0.97,0.16,0.01
11503283,0,-0.97,0.15,0.01
11503285,0,-0.97,0.15,0.01
11503286,0,-0.97,0.15,0.01
11503288,0,-0.97,0.15,0.01
11503290,0,-0.97,0.15,0.01
11503291,0,-0.97,0.15,0.01
11503293,0,-0.97,0.15,0.00
11503295,0,-0.97,0.15,0.00
11503296,0,-0.97,0.15,0.00
11503298,0,-0.97,0.15,0.00
11503299,0,-0.97,0.15,0.00
11503301,0,-0.97,0.15,0.00
11503303,0,-0.98,0.16,0.00
11503305,0,-0.98,0.16,0.00
11503306,0,-0.98,0.16,0.00
11503308,0,-0.98,0.16,0.00
11503310,0,-0.98,0.16,0.00
11503311,0,-0.97,0.16,-0.00
11503313,0,-0.97,0.16,-0.00
11503315,0,-0.97,0.16,-0.00
11503316,0,-0.97,0.16,-0.00
11503318,0,-0.97,0.16,-0.00
11503320,0,-0.97,0.16,-0.00
11503321,0,-0.97,0.17,-0.01
11503323,0,-0.97,0.17,-0.01
11503325,0,-0.97,0.17,-0.01
11503326,0,-0.97,0.17,-0.01
11503328,0,-0.97,0.17,-0.01
11503330,0,-0.97,0.17,-0.01
11503331,0,-0.98,0.17,-0.01
11503333,0,-0.98,0.17,-0.01
11503335,0,-0.98,0.17,-0.01
11503336,0,-0.98,0.17,-0.01
11503338,0,-0.98,0.17,-0.01
11503340,0,-0.98,0.17,-0.01
11503341,0,-0.97,0.17,-0.02
11503343,0,-0.97,0.17,-0.02
11503345,0,-0.97,0.17,-0.02
11503346,0,-0.97,0.17,-0.02
11503348,0,-0.97,0.17,-0.02
11503350,0,-0.97,0.17,-0.02
11503351,0,-0.97,0.16,-0.01
11503353,0,-0.97,0.16,-0.01
11503354,0,-0.97,0.16,-0.01
11503356,0,-0.97,0.16,-0.01
11503358,0,-0.97,0.16,-0.01
11503360,0,-0.97,0.16,-0.01
11503361,0,-0.97,0.15,-0.01
11503363,0,-0.97,0.15,-0.01
11503365,0,-0.97,0.15,-0.01
11503366,0,-0.97,0.15,-0.01
11503368,0,-0.97,0.15,-0.01
11503370,0,-0.97,0.15,0.00
11503371,0,-0.98,0.15,0.00
11503373,0,-0.98,0.15,0.00
11503374,0,-0.98,0.15,0.00
11503376,0,-0.98,0.15,0.00
11503378,0,-0.98,0.15,0.00
11503380,0,-0.98,0.15,0.01
11503381,0,-0.98,0.15,0.01
11503383,0,-0.98,0.15,0.01
11503384,0,-0.98,0.15,0.01
11503386,0,-0.98,0.15,0.01
11503388,0,-0.98,0.15,0.01
11503389,0,-0.98,0.15,0.01
11503391,0,-0.98,0.15,0.01
11503393,0,-0.98,0.15,0.01
11503395,0,-0.98,0.15,0.01
11503396,0,-0.98,0.15,0.01
11503398,0,-0.98,0.15,0.01
11503400,0,-0.97,0.15,0.01
11503401,0,-0.97,0.15,0.01
11503403,0,-0.97,0.15,0.01
11503404,0,-0.97,0.15,0.01
11503406,0,-0.97,0.15,0.01
11503408,0,-0.97,0.15,0.01
11503409,0,-0.97,0.15,0.01
11503411,0,-0.97,0.15,0.01
11503413,0,-0.97,0.15,0.01
11503414,0,-0.97,0.15,0.01
11503416,0,-0.97,0.15,0.01
11503418,0,-0.97,0.15,0.01
11503419,0,-0.97,0.16,0.01
11503421,0,-0.97,0.16,0.01
11503423,0,-0.97,0.16,0.01
11503424,0,-0.97,0.16,0.01
11503426,0,-0.97,0.16,0.01
11503428,0,-0.97,0.16,0.01
11503429,0,-0.98,0.15,0.01
11503431,0,-0.98,0.15,0.01
11503433,0,-0.98,0.15,0.01
11503434,0,-0.98,0.15,0.01
11503436,0,-0.98,0.15,0.01
11503438,0,-0.98,0.15,0.01
11503439,0,-0.97,0.16,0.00
11503441,0,-0.97,0.16,0.00
11503443,0,-0.97,0.16,0.00
11503444,0,-0.97,0.16,0.00
11503446,0,-0.97,0.16,0.00
11503447,0,-0.97,0.16,0.00
11503449,0,-0.97,0.16,-0.00
11503451,0,-0.97,0.16,-0.00
11503452,0,-0.97,0.16,-0.00
11503454,0,-0.97,0.16,-0.00
11503456,0,-0.97,0.16,-0.00
11503457,0,-0.97,0.16,-0.01
11503459,0,-0.97,0.16,-0.01
11503461,0,-0.97,0.16,-0.01
11503462,0,-0.97,0.16,-0.01
11503464,0,-0.97,0.16,-0.01
11503466,0,-0.97,0.16,-0.01
11503467,0,-0.97,0.16,-0.00
11503469,0,-0.98,0.16,-0.00
11503471,0,-0.98,0.16,-0.00
11503472,0,-0.98,0.16,-0.00
11503474,0,-0.98,0.16,-0.00
11503476,0,-0.98,0.16,-0.00
11503477,0,-0.97,0.16,-0.01
11503479,0,-0.97,0.16,-0.01
11503481,0,-0.97,0.16,-0.01
11503483,0,-0.97,0.16,-0.01
11503484,0,-0.97,0.16,-0.01
11503486,0,-0.97,0.16,-0.01
11503487,0,-0.97,0.16,-0.00
11503489,0,-0.97,0.16,-0.00
11503491,0,-0.97,0.16,-0.00
11503492,0,-0.97,0.16,-0.00
11503494,0,-0.97,0.16,-0.00
11503496,0,-0.97,0.16,-0.00
11503497,0,-0.97,0.15,-0.00
11503499,0,-0.97,0.15,-0.00
11503501,0,-0.97,0.15,-0.00
11503502,0,-0.97,0.15,-0.00
11503504,0,-0.97,0.15,-0.00
11503506,0,-0.97,0.15,-0.00
11503507,0,-0.97,0.15,0.00
11503509,0,-0.97,0.15,0.00
11503511,0,-0.97,0.15,0.00
11503512,0,-0.97,0.15,0.00
11503514,0,-0.97,0.15,0.00
11503516,0,-0.97,0.15,0.00
11503517,0,-0.98,0.15,-0.00
11503519,0,-0.98,0.15,-0.00
11503521,0,-0.98,0.15,-0.00
11503522,0,-0.98,0.15,-0.00
11503524,0,-0.98,0.15,-0.00
11503526,0,-0.98,0.15,0.12
11503527,0,-0.97,0.14,0.00
11503529,0,-0.97,0.14,0.00
11503531,0,-0.97,0.14,0.00
11503532,0,-0.97,0.14,0.00
11503534,0,-0.97,0.14,0.00
11503536,0,-0.97,0.15,-0.00
11503537,0,-0.98,0.15,-0.00
11503539,0,-0.98,0.15,-0.00
11503541,0,-0.98,0.15,-0.00
11503542,0,-0.98,0.15,-0.00
11503544,0,-0.98,0.15,-0.00
11503546,0,-0.98,0.16,-0.00
11503547,0,-0.98,0.16,-0.00
11503549,0,-0.98,0.16,-0.00
11503551,0,-0.98,0.16,-0.00
11503552,0,-0.98,0.16,-0.00
11503554,0,-0.98,0.16,-0.00
11503556,0,-0.97,0.16,0.00
11503557,0,-0.97,0.16,0.00
11503559,0,-0.97,0.16,0.00
11503561,0,-0.97,0.16,0.00
11503562,0,-0.97,0.16,0.00
11503564,0,-0.97,0.16,0.00
11503566,0,-0.97,0.16,-0.00
11503567,0,-0.97,0.16,-0.00
11503569,0,-0.97,0.16,-0.00
11503571,0,-0.97,0.16,-0.00
11503572,0,-0.97,0.16,-0.00
11503574,0,-0.97,0.16,-0.00
11503576,0,-0.97,0.16,0.00
11503577,0,-0.97,0.16,0.00
11503579,0,-0.97,0.16,0.00
11503581,0,-0.97,0.16,0.00
11503582,0,-0.97,0.16,0.00
11503584,0,-0.97,0.16,0.00
11503586,0,-0.97,0.16,0.00
11503587,0,-0.97,0.16,0.00
11503589,0,-0.97,0.16,0.00
11503591,0,-0.97,0.16,0.00
11503592,0,-0.97,0.16,0.00
11503594,0,-0.97,0.16,0.00
11503596,0,-0.97,0.15,-0.00
11503597,0,-0.97,0.15,-0.00
11503599,0,-0.97,0.15,-0.00
11503601,0,-0.97,0.15,-0.00
11503602,0,-0.97,0.15,-0.00
11503604,0,-0.97,0.15,-0.00
11503606,0,-0.98,0.15,-0.00
11503607,0,-0.98,0.15,-0.00
11503609,0,-0.98,0.15,-0.00
11503611,0,-0.98,0.15,-0.00
11503612,0,-0.98,0.15,-0.00
11503614,0,-0.98,0.16,-0.00
11503616,0,-0.97,0.16,-0.00
11503617,0,-0.97,0.16,-0.00
11503619,0,-0.97,0.16,-0.00
11503621,0,-0.97,0.16,-0.00
11503622,0,-0.97,0.16,-0.00
11503624,0,-0.97,0.16,-0.01
11503626,0,-0.97,0.16,-0.01
11503627,0,-0.97,0.16,-0.01
11503629,0,-0.97,0.16,-0.01
11503631,0,-0.97,0.16,-0.01
11503632,0,-0.97,0.16,-0.01
11503634,0,-0.97,0.16,-0.01
11503636,0,-0.97,0.16,-0.01
11503637,0,-0.97,0.16,-0.01
11503639,0,-0.97,0.16,-0.01
11503641,0,-0.97,0.16,-0.01
