t,l,x,y,z
5436146,0,-0.97,0.12,-0.05
5436148,0,-0.97,0.12,-0.05
5436150,0,-0.97,0.13,-0.05
5436151,0,-0.97,0.13,-0.05
5436153,0,-0.97,0.13,-0.05
5436155,0,-0.97,0.13,-0.05
5436156,0,-0.97,0.13,-0.05
5436158,0,-0.97,0.13,-0.05
5436160,0,-0.97,0.13,-0.04
5436162,0,-0.97,0.13,-0.04
5436163,0,-0.97,0.13,-0.04
5436165,0,-0.97,0.13,-0.04
5436167,0,-0.97,0.13,-0.04
5436168,0,-0.97,0.13,-0.04
5436170,0,-0.97,0.13,-0.04
5436172,0,-0.97,0.13,-0.04
5436173,0,-0.97,0.13,-0.04
5436175,0,-0.97,0.13,-0.04
5436177,0,-0.97,0.13,-0.04
5436178,0,-0.97,0.13,-0.04
5436180,0,-0.97,0.13,-0.05
5436182,0,-0.97,0.13,-0.05
5436183,0,-0.97,0.13,-0.05
5436185,0,-0.97,0.13,-0.05
5436187,0,-0.97,0.13,-0.05
5436188,0,-0.97,0.13,-0.05
5436190,0,-0.97,0.13,-0.05
5436192,0,-0.97,0.13,-0.05
5436193,0,-0.97,0.13,-0.05
5436195,0,-0.97,0.13,-0.05
5436197,0,-0.97,0.13,-0.05
5436198,0,-0.97,0.13,-0.06
5436200,0,-0.97,0.13,-0.06
5436202,0,-0.97,0.13,-0.06
5436203,0,-0.97,0.13,-0.06
5436205,0,-0.97,0.13,-0.06
5436207,0,-0.97,0.13,-0.06
5436208,0,-0.97,0.12,-0.07
5436210,0,-0.98,0.12,-0.07
5436212,0,-0.98,0.12,-0.07
5436213,0,-0.98,0.12,-0.07
5436215,0,-0.98,0.12,-0.07
5436217,0,-0.98,0.12,-0.07
5436218,0,-0.98,0.11,-0.07
5436220,0,-0.98,0.11,-0.07
5436222,0,-0.98,0.11,-0.07
5436223,0,-0.98,0.11,-0.07
5436225,0,-0.98,0.11,-0.07
5436227,0,-0.98,0.11,-0.07
5436228,0,-0.97,0.11,-0.07
5436230,0,-0.97,0.11,-0.07
5436232,0,-0.97,0.11,-0.07
5436233,0,-0.97,0.11,-0.07
5436235,0,-0.97,0.11,-0.07
5436237,0,-0.97,0.11,-0.07
5436238,0,-0.98,0.11,-0.07
5436240,0,-0.98,0.11,-0.07
5436242,0,-0.98,0.11,-0.07
5436243,0,-0.98,0.11,-0.07
5436245,0,-0.98,0.11,-0.07
5436247,0,-0.98,0.11,-0.07
5436248,0,-0.98,0.12,-0.06
5436250,0,-0.98,0.12,-0.06
5436252,0,-0.98,0.12,-0.06
5436253,0,-0.98,0.12,-0.06
5436255,0,-0.98,0.12,-0.06
5436257,0,-0.98,0.12,-0.06
5436258,0,-0.98,0.11,-0.05
5436260,0,-0.98,0.11,-0.05
5436262,0,-0.98,0.11,-0.05
5436263,0,-0.98,0.11,-0.05
5436265,0,-0.98,0.11,-0.05
5436267,0,-0.98,0.11,-0.06
5436268,0,-0.98,0.11,-0.06
5436270,0,-0.98,0.11,-0.06
5436272,0,-0.98,0.11,-0.06
5436273,0,-0.98,0.11,-0.06
5436275,0,-0.98,0.11,-0.06
5436277,0,-0.98,0.11,-0.05
5436278,0,-0.98,0.11,-0.05
5436280,0,-0.98,0.11,-0.05
5436282,0,-0.98,0.11,-0.05
5436283,0,-0.98,0.11,-0.05
5436285,0,-0.98,0.11,-0.05
5436287,0,-0.98,0.11,-0.03
