t,l,x,y,z
12029540,0,-0.87,-0.30,0.08
12029542,0,-0.87,-0.30,0.08
12029544,0,-0.87,-0.30,0.08
12029545,0,-0.87,-0.30,0.08
12029547,0,-0.87,-0.30,0.08
12029549,0,-0.87,-0.30,0.08
12029550,0,-0.98,-0.27,0.11
12029552,0,-0.98,-0.27,0.11
12029554,0,-0.98,-0.27,0.11
12029555,0,-0.98,-0.27,0.11
12029557,0,-0.98,-0.27,0.11
12029559,0,-0.98,-0.27,0.11
12029560,0,-1.03,-0.15,0.06
12029562,0,-1.03,-0.15,0.06
12029564,0,-1.03,-0.15,0.06
12029565,0,-1.03,-0.15,0.06
12029567,0,-1.03,-0.15,0.06
12029569,0,-1.03,-0.15,0.06
12029570,0,-1.04,0.02,0.02
12029572,0,-1.04,0.02,0.02
12029574,0,-1.04,0.02,0.02
12029575,0,-1.04,0.02,0.02
12029577,0,-1.04,0.02,0.02
12029579,0,-1.04,0.02,0.02
12029580,0,-1.04,0.15,0.02
12029582,0,-1.04,0.15,0.02
12029584,0,-1.04,0.15,0.02
12029585,0,-1.04,0.15,0.02
12029587,0,-1.04,0.15,0.02
12029589,0,-1.04,0.15,0.04
12029590,0,-1.05,0.17,0.04
12029592,0,-1.05,0.17,0.04
12029594,0,-1.05,0.17,0.04
12029595,0,-1.05,0.17,0.04
12029597,0,-1.05,0.17,0.04
12029599,0,-1.03,0.13,0.08
12029600,0,-1.03,0.13,0.08
12029602,0,-1.03,0.13,0.08
12029604,0,-1.03,0.13,0.08
12029605,0,-1.03,0.13,0.08
12029607,0,-1.03,0.13,0.08
12029609,0,-0.99,0.08,0.09
12029610,0,-0.99,0.08,0.09
12029612,0,-0.99,0.08,0.09
12029614,0,-0.99,0.08,0.09
12029615,0,-0.99,0.08,0.09
12029617,0,-0.99,0.08,0.09
12029619,0,-0.93,0.03,0.08
12029620,0,-0.93,0.03,0.08
12029622,0,-0.93,0.03,0.08
12029624,0,-0.93,0.03,0.08
12029625,0,-0.93,0.03,0.08
12029627,0,-0.93,0.03,0.08
12029629,0,-0.87,-0.01,0.13
12029630,0,-0.87,-0.01,0.13
12029632,0,-0.87,-0.01,0.13
12029634,0,-0.87,-0.01,0.13
12029635,0,-0.87,-0.01,0.13
12029637,0,-0.87,-0.01,0.13
12029639,0,-0.83,-0.02,0.19
12029641,0,-0.83,-0.02,0.19
12029642,0,-0.83,-0.02,0.19
12029644,0,-0.83,-0.02,0.19
12029646,0,-0.83,-0.02,0.19
12029647,0,-0.83,-0.02,0.26
12029649,0,-0.85,-0.04,0.26
12029651,0,-0.85,-0.04,0.26
12029652,0,-0.85,-0.04,0.26
12029654,0,-0.85,-0.04,0.26
12029656,0,-0.85,-0.04,0.26
12029657,0,-0.89,-0.09,0.32
12029659,0,-0.89,-0.09,0.32
12029661,0,-0.89,-0.09,0.32
12029662,0,-0.89,-0.09,0.32
12029664,0,-0.89,-0.09,0.32
12029666,0,-0.89,-0.09,0.32
12029667,0,-0.90,-0.11,0.30
12029669,0,-0.90,-0.11,0.30
12029671,0,-0.90,-0.11,0.30
12029673,0,-0.90,-0.11,0.30
12029674,0,-0.90,-0.11,0.30
12029676,0,-0.90,-0.11,0.30
12029678,0,-0.87,-0.13,0.25
12029679,0,-0.87,-0.13,0.25
12029681,0,-0.87,-0.13,0.25
12029683,0,-0.87,-0.13,0.25
12029684,0,-0.87,-0.13,0.25
12029686,0,-0.87,-0.13,0.25
12029688,0,-0.88,-0.14,0.19
12029689,0,-0.88,-0.14,0.19
12029691,0,-0.88,-0.14,0.19
12029693,0,-0.88,-0.14,0.19
12029695,0,-0.88,-0.14,0.19
12029696,0,-0.88,-0.16,0.09
12029698,0,-0.98,-0.16,0.09
12029700,0,-0.98,-0.16,0.09
12029701,0,-0.98,-0.16,0.09
12029703,0,-0.98,-0.16,0.09
12029704,0,-0.98,-0.16,0.09
12029706,0,-1.23,-0.19,-0.08
12029708,0,-1.13,-0.19,-0.08
12029710,0,-1.13,-0.19,-0.08
12029711,0,-1.13,-0.19,-0.08
12029713,0,-1.13,-0.19,-0.08
12029715,0,-1.13,-0.19,-0.08
12029716,0,-1.28,-0.20,-0.20
12029718,0,-1.28,-0.20,-0.20
12029720,0,-1.28,-0.20,-0.20
12029721,0,-1.28,-0.20,-0.20
12029723,0,-1.28,-0.20,-0.20
12029725,0,-1.28,-0.20,-0.20
12029726,0,-1.19,-0.15,-0.20
