t,l,x,y,z
11839440,1,-0.98,-0.02,0.08
11839441,1,-0.98,-0.02,0.08
11839443,1,-0.98,-0.02,0.08
11839445,1,-0.98,-0.02,0.08
11839446,1,-0.98,-0.02,0.08
11839448,1,-0.98,-0.02,0.08
11839450,1,-0.98,-0.02,0.08
11839451,1,-0.98,-0.02,0.08
11839453,1,-0.98,-0.02,0.08
11839455,1,-0.98,-0.02,0.08
11839456,1,-0.98,-0.02,0.08
11839458,1,-0.98,-0.02,0.08
11839460,1,-0.99,-0.02,0.08
11839461,1,-0.99,-0.02,0.08
11839463,1,-0.99,-0.02,0.08
11839465,1,-0.99,-0.02,0.08
11839466,1,-0.99,-0.02,0.08
11839468,1,-0.99,-0.02,0.08
11839470,1,-0.99,-0.02,0.09
11839471,1,-0.99,-0.02,0.09
11839473,1,-0.99,-0.02,0.09
11839475,1,-0.99,-0.02,0.09
11839476,1,-0.99,-0.02,0.09
11839478,1,-0.99,-0.02,0.09
11839480,1,-0.98,-0.02,0.09
11839481,1,-0.98,-0.02,0.09
11839483,1,-0.98,-0.02,0.09
11839485,1,-0.98,-0.02,0.09
11839486,1,-0.98,-0.02,0.09
11839488,1,-0.98,-0.02,0.09
11839490,1,-0.98,-0.02,0.09
11839491,1,-0.98,-0.02,0.09
11839493,1,-0.98,-0.02,0.09
11839495,1,-0.98,-0.02,0.09
11839496,1,-0.98,-0.02,0.09
11839498,1,-0.98,-0.02,0.10
11839500,1,-0.98,-0.02,0.10
11839501,1,-0.98,-0.02,0.10
11839503,1,-0.98,-0.02,0.10
11839505,1,-0.98,-0.02,0.10
11839506,1,-0.98,-0.02,0.10
11839508,1,-0.98,-0.02,0.10
11839510,1,-0.98,-0.02,0.10
11839511,1,-0.98,-0.02,0.10
11839513,1,-0.98,-0.02,0.10
11839515,1,-0.98,-0.02,0.10
11839516,1,-0.98,-0.02,0.10
11839518,1,-0.98,-0.03,0.09
11839520,1,-0.98,-0.03,0.09
11839521,1,-0.98,-0.03,0.09
11839523,1,-0.98,-0.03,0.09
11839525,1,-0.98,-0.03,0.09
11839526,1,-0.98,-0.03,0.09
11839528,1,-0.99,-0.03,0.09
11839530,1,-0.99,-0.03,0.09
11839531,1,-0.99,-0.03,0.09
11839533,1,-0.99,-0.03,0.09
11839535,1,-0.99,-0.03,0.09
11839536,1,-0.99,-0.03,0.09
11839538,1,-0.98,-0.02,0.08
11839540,1,-0.98,-0.02,0.08
11839541,1,-0.98,-0.02,0.08
11839543,1,-0.98,-0.02,0.08
11839545,1,-0.98,-0.02,0.08
11839546,1,-0.98,-0.02,0.08
11839548,1,-0.98,-0.02,0.08
11839550,1,-0.98,-0.02,0.08
11839551,1,-0.98,-0.02,0.08
11839553,1,-0.98,-0.02,0.08
11839555,1,-0.98,-0.02,0.08
11839556,1,-0.98,-0.02,0.07
11839558,1,-0.98,-0.02,0.07
11839560,1,-0.98,-0.02,0.07
11839561,1,-0.98,-0.02,0.07
11839563,1,-0.98,-0.02,0.07
11839565,1,-0.98,-0.02,0.07
11839566,1,-0.98,-0.02,0.08
11839568,1,-0.98,-0.02,0.08
11839570,1,-0.98,-0.02,0.08
11839571,1,-0.98,-0.02,0.08
11839573,1,-0.98,-0.02,0.08
11839575,1,-0.98,-0.02,0.08
11839576,1,-0.97,-0.02,0.07
11839578,1,-0.97,-0.02,0.07
11839580,1,-0.97,-0.02,0.07
11839581,1,-0.97,-0.02,0.07
11839583,1,-0.97,-0.02,0.07
11839585,1,-0.97,-0.02,0.07
11839586,1,-0.98,-0.02,0.08
11839588,1,-0.98,-0.02,0.08
11839590,1,-0.98,-0.02,0.08
11839591,1,-0.98,-0.02,0.08
11839593,1,-0.98,-0.02,0.08
11839595,1,-0.98,-0.02,0.08
11839596,1,-0.99,-0.02,0.08
11839598,1,-0.99,-0.02,0.08
11839600,1,-0.99,-0.02,0.08
11839601,1,-0.99,-0.02,0.08
11839603,1,-0.99,-0.02,0.08
11839605,1,-0.99,-0.02,0.08
11839606,1,-0.98,-0.02,0.09
11839608,1,-0.98,-0.02,0.09
11839610,1,-0.98,-0.02,0.09
11839611,1,-0.98,-0.02,0.09
11839613,1,-0.98,-0.02,0.09
11839615,1,-0.98,-0.02,0.09
11839616,1,-0.98,-0.02,0.09
11839618,1,-0.98,-0.02,0.09
11839620,1,-0.98,-0.02,0.09
11839621,1,-0.98,-0.02,0.09
11839623,1,-0.98,-0.02,0.09
11839625,1,-0.98,-0.02,0.10
11839626,1,-0.98,-0.02,0.10
11839628,1,-0.98,-0.02,0.10
11839630,1,-0.98,-0.02,0.10
11839631,1,-0.98,-0.02,0.10
11839633,1,-0.98,-0.02,0.10
11839635,1,-0.98,-0.02,0.09
11839636,1,-0.98,-0.02,0.09
11839638,1,-0.98,-0.02,0.09
11839640,1,-0.98,-0.02,0.09
11839641,1,-0.98,-0.02,0.09
11839643,1,-0.98,-0.02,0.09
11839645,1,-0.98,-0.02,0.08
11839646,1,-0.98,-0.02,0.08
11839648,1,-0.98,-0.02,0.08
11839650,1,-0.98,-0.02,0.08
11839651,1,-0.98,-0.02,0.08
11839653,1,-0.98,-0.02,0.08
11839655,1,-0.98,-0.02,0.08
11839656,1,-0.98,-0.02,0.08
11839658,1,-0.98,-0.02,0.08
11839660,1,-0.98,-0.02,0.08
11839661,1,-0.98,-0.02,0.08
11839663,1,-0.98,-0.02,0.08
11839665,1,-0.98,-0.02,0.08
11839666,1,-0.98,-0.02,0.08
11839668,1,-0.98,-0.02,0.08
11839670,1,-0.98,-0.02,0.08
11839671,1,-0.98,-0.02,0.08
11839673,1,-0.98,-0.02,0.08
11839675,1,-0.98,-0.02,0.08
11839676,1,-0.98,-0.02,0.08
11839678,1,-0.98,-0.02,0.08
11839680,1,-0.98,-0.02,0.08
11839681,1,-0.98,-0.02,0.08
11839683,1,-0.98,-0.02,0.08
11839685,1,-0.98,-0.02,0.08
11839686,1,-0.98,-0.02,0.08
11839688,1,-0.98,-0.02,0.08
11839690,1,-0.98,-0.02,0.08
11839691,1,-0.98,-0.02,0.08
11839693,1,-0.98,-0.02,0.08
11839695,1,-0.98,-0.02,0.08
11839696,1,-0.98,-0.02,0.08
11839698,1,-0.98,-0.02,0.08
11839700,1,-0.98,-0.02,0.08
11839701,1,-0.98,-0.02,0.08
11839703,1,-0.98,-0.02,0.09
11839705,1,-0.98,-0.02,0.09
11839706,1,-0.98,-0.02,0.09
11839708,1,-0.98,-0.02,0.09
11839710,1,-0.98,-0.02,0.09
11839711,1,-0.98,-0.02,0.09
11839713,1,-0.99,-0.02,0.08
11839715,1,-0.99,-0.02,0.08
11839716,1,-0.99,-0.02,0.08
11839718,1,-0.99,-0.02,0.08
11839720,1,-0.99,-0.02,0.08
11839721,1,-0.99,-0.02,0.08
11839723,1,-0.98,-0.02,0.09
11839725,1,-0.98,-0.02,0.09
11839726,1,-0.98,-0.02,0.09
11839728,1,-0.98,-0.02,0.09
11839730,1,-0.98,-0.02,0.09
11839731,1,-0.98,-0.02,0.09
11839733,1,-0.98,-0.02,0.09
11839735,1,-0.98,-0.02,0.09
11839736,1,-0.98,-0.02,0.09
11839738,1,-0.98,-0.02,0.09
11839740,1,-0.98,-0.02,0.09
11839741,1,-0.98,-0.02,0.09
11839743,1,-0.98,-0.02,0.09
11839745,1,-0.98,-0.02,0.09
11839746,1,-0.98,-0.02,0.09
11839748,1,-0.98,-0.02,0.09
11839750,1,-0.98,-0.02,0.09
11839751,1,-0.98,-0.02,0.09
11839753,1,-0.99,-0.02,0.08
11839755,1,-0.99,-0.02,0.08
11839756,1,-0.99,-0.02,0.08
11839758,1,-0.99,-0.02,0.08
11839760,1,-0.99,-0.02,0.08
11839761,1,-0.99,-0.02,0.08
11839763,1,-0.99,-0.02,0.08
11839765,1,-0.99,-0.02,0.08
11839766,1,-0.99,-0.02,0.08
11839768,1,-0.99,-0.02,0.08
11839770,1,-0.99,-0.02,0.08
11839771,1,-0.98,-0.02,0.08
11839773,1,-0.98,-0.02,0.08
11839775,1,-0.98,-0.02,0.08
11839776,1,-0.98,-0.02,0.08
11839778,1,-0.98,-0.02,0.08
11839780,1,-0.98,-0.02,0.08
11839781,1,-0.98,-0.02,0.08
11839783,1,-0.98,-0.02,0.08
11839785,1,-0.98,-0.02,0.08
11839786,1,-0.98,-0.02,0.08
11839788,1,-0.98,-0.02,0.08
11839790,1,-0.98,-0.02,0.08
11839791,1,-0.98,-0.02,0.08
11839793,1,-0.98,-0.02,0.08
11839795,1,-0.98,-0.02,0.08
11839796,1,-0.98,-0.02,0.08
11839798,1,-0.98,-0.02,0.08
11839800,1,-0.98,-0.02,0.08
11839801,1,-0.98,-0.02,0.08
11839803,1,-0.98,-0.02,0.08
11839805,1,-0.98,-0.02,0.08
11839806,1,-0.98,-0.02,0.08
