t,l,x,y,z
2066470,1,-0.96,-0.09,-0.15
2066472,1,-0.96,-0.09,-0.15
2066473,1,-0.96,-0.09,-0.15
2066475,1,-0.97,-0.09,-0.15
2066477,1,-0.97,-0.09,-0.15
2066478,1,-0.97,-0.09,-0.15
2066480,1,-0.97,-0.09,-0.15
2066482,1,-0.97,-0.09,-0.15
2066483,1,-0.97,-0.09,-0.15
2066485,1,-0.96,-0.09,-0.15
2066487,1,-0.96,-0.09,-0.15
2066488,1,-0.96,-0.09,-0.15
2066490,1,-0.96,-0.09,-0.15
2066492,1,-0.96,-0.09,-0.15
2066493,1,-0.96,-0.09,-0.15
2066495,1,-0.97,-0.09,-0.16
2066497,1,-0.97,-0.09,-0.16
2066498,1,-0.97,-0.09,-0.16
2066500,1,-0.97,-0.09,-0.16
2066502,1,-0.97,-0.09,-0.16
2066504,1,-0.97,-0.09,-0.16
2066505,1,-0.97,-0.09,-0.15
2066507,1,-0.97,-0.09,-0.15
2066509,1,-0.97,-0.09,-0.15
2066510,1,-0.97,-0.09,-0.15
2066512,1,-0.97,-0.09,-0.15
2066514,1,-0.97,-0.09,-0.15
2066515,1,-0.96,-0.08,-0.15
2066517,1,-0.96,-0.08,-0.15
2066519,1,-0.96,-0.08,-0.15
2066520,1,-0.96,-0.08,-0.15
2066522,1,-0.96,-0.08,-0.15
2066524,1,-0.96,-0.09,-0.15
2066525,1,-0.96,-0.09,-0.15
2066527,1,-0.96,-0.09,-0.15
2066529,1,-0.96,-0.09,-0.15
2066531,1,-0.96,-0.09,-0.15
2066532,1,-0.96,-0.09,-0.15
2066534,1,-0.96,-0.09,-0.15
2066536,1,-0.96,-0.09,-0.15
2066537,1,-0.96,-0.09,-0.15
2066539,1,-0.96,-0.09,-0.15
2066541,1,-0.96,-0.09,-0.15
2066542,1,-0.96,-0.09,-0.15
2066544,1,-0.96,-0.09,-0.15
2066546,1,-0.96,-0.09,-0.15
2066547,1,-0.96,-0.09,-0.15
2066549,1,-0.96,-0.09,-0.15
2066551,1,-0.96,-0.09,-0.15
2066552,1,-0.96,-0.09,-0.15
2066554,1,-0.96,-0.09,-0.14
2066556,1,-0.96,-0.09,-0.14
2066557,1,-0.96,-0.09,-0.14
2066559,1,-0.96,-0.09,-0.14
2066561,1,-0.96,-0.09,-0.14
2066563,1,-0.96,-0.09,-0.14
2066564,1,-0.97,-0.09,-0.14
2066566,1,-0.97,-0.09,-0.14
2066568,1,-0.97,-0.09,-0.14
2066569,1,-0.97,-0.09,-0.14
2066571,1,-0.97,-0.09,-0.14
2066573,1,-0.97,-0.09,-0.15
2066574,1,-0.97,-0.09,-0.15
2066576,1,-0.97,-0.09,-0.15
2066578,1,-0.97,-0.09,-0.15
2066579,1,-0.97,-0.09,-0.15
2066581,1,-0.97,-0.09,-0.15
2066583,1,-0.96,-0.09,-0.15
2066584,1,-0.96,-0.09,-0.15
2066586,1,-0.96,-0.09,-0.15
2066588,1,-0.96,-0.09,-0.15
2066590,1,-0.96,-0.09,-0.15
2066591,1,-0.96,-0.09,-0.15
2066593,1,-0.96,-0.09,-0.15
2066595,1,-0.96,-0.09,-0.15
2066596,1,-0.96,-0.09,-0.15
2066598,1,-0.96,-0.09,-0.15
2066600,1,-0.96,-0.09,-0.15
2066601,1,-0.96,-0.09,-0.15
2066603,1,-0.96,-0.09,-0.15
2066605,1,-0.96,-0.09,-0.15
2066606,1,-0.96,-0.09,-0.15
2066608,1,-0.96,-0.09,-0.15
2066610,1,-0.96,-0.09,-0.15
2066611,1,-0.96,-0.09,-0.15
2066613,1,-0.97,-0.09,-0.15
2066615,1,-0.97,-0.09,-0.15
2066616,1,-0.97,-0.09,-0.15
2066618,1,-0.97,-0.09,-0.15
2066620,1,-0.97,-0.09,-0.15
2066622,1,-0.97,-0.09,-0.14
2066623,1,-0.97,-0.09,-0.14
2066625,1,-0.97,-0.09,-0.14
2066627,1,-0.97,-0.09,-0.14
2066628,1,-0.97,-0.09,-0.14
2066630,1,-0.97,-0.09,-0.14
2066632,1,-0.96,-0.09,-0.14
2066633,1,-0.96,-0.09,-0.14
2066635,1,-0.96,-0.09,-0.14
2066637,1,-0.96,-0.09,-0.14
2066638,1,-0.96,-0.09,-0.14
2066640,1,-0.96,-0.09,-0.14
2066642,1,-0.96,-0.09,-0.15
2066643,1,-0.96,-0.09,-0.15
2066645,1,-0.96,-0.09,-0.15
2066647,1,-0.96,-0.09,-0.15
2066648,1,-0.96,-0.09,-0.15
2066650,1,-0.96,-0.09,-0.15
2066652,1,-0.97,-0.09,-0.15
2066653,1,-0.97,-0.09,-0.15
2066655,1,-0.97,-0.09,-0.15
2066657,1,-0.97,-0.09,-0.15
2066658,1,-0.97,-0.09,-0.15
2066660,1,-0.97,-0.09,-0.15
2066662,1,-0.97,-0.09,-0.15
2066664,1,-0.97,-0.09,-0.15
2066665,1,-0.97,-0.09,-0.15
2066667,1,-0.97,-0.09,-0.15
2066669,1,-0.97,-0.09,-0.15
2066670,1,-0.96,-0.09,-0.15
2066672,1,-0.96,-0.09,-0.15
2066674,1,-0.96,-0.09,-0.15
2066675,1,-0.96,-0.09,-0.15
2066677,1,-0.96,-0.09,-0.15
2066679,1,-0.96,-0.09,-0.15
2066680,1,-0.96,-0.09,-0.15
2066682,1,-0.96,-0.09,-0.15
2066684,1,-0.96,-0.09,-0.15
2066685,1,-0.96,-0.09,-0.15
2066687,1,-0.96,-0.09,-0.15
2066689,1,-0.96,-0.09,-0.15
2066690,1,-0.96,-0.09,-0.15
2066692,1,-0.96,-0.09,-0.15
2066694,1,-0.96,-0.09,-0.15
2066695,1,-0.96,-0.09,-0.15
2066697,1,-0.96,-0.09,-0.15
2066699,1,-0.96,-0.09,-0.15
2066701,1,-0.97,-0.09,-0.14
2066702,1,-0.97,-0.09,-0.14
2066704,1,-0.97,-0.09,-0.14
2066706,1,-0.97,-0.09,-0.14
2066707,1,-0.97,-0.09,-0.14
2066709,1,-0.97,-0.09,-0.14
2066711,1,-0.97,-0.09,-0.15
2066712,1,-0.97,-0.09,-0.15
2066714,1,-0.97,-0.09,-0.15
2066716,1,-0.97,-0.09,-0.15
2066717,1,-0.97,-0.09,-0.15
2066719,1,-0.97,-0.09,-0.15
2066721,1,-0.96,-0.09,-0.15
2066722,1,-0.96,-0.09,-0.15
2066724,1,-0.96,-0.09,-0.15
2066726,1,-0.96,-0.09,-0.15
2066727,1,-0.96,-0.09,-0.15
2066729,1,-0.96,-0.09,-0.15
2066731,1,-0.96,-0.09,-0.15
2066732,1,-0.96,-0.09,-0.15
2066734,1,-0.96,-0.09,-0.15
2066736,1,-0.96,-0.09,-0.15
2066737,1,-0.96,-0.09,-0.15
2066739,1,-0.96,-0.08,-0.15
2066741,1,-0.96,-0.08,-0.15
2066742,1,-0.96,-0.08,-0.15
2066744,1,-0.96,-0.08,-0.15
2066746,1,-0.96,-0.08,-0.15
2066748,1,-0.96,-0.08,-0.15
2066749,1,-0.96,-0.09,-0.16
2066751,1,-0.96,-0.09,-0.16
2066753,1,-0.96,-0.09,-0.16
2066754,1,-0.96,-0.09,-0.16
2066756,1,-0.96,-0.09,-0.16
2066758,1,-0.96,-0.09,-0.16
2066759,1,-0.96,-0.08,-0.15
2066761,1,-0.96,-0.08,-0.15
2066763,1,-0.96,-0.08,-0.15
2066764,1,-0.96,-0.08,-0.15
2066766,1,-0.96,-0.08,-0.15
2066768,1,-0.96,-0.08,-0.14
2066769,1,-0.96,-0.09,-0.14
2066771,1,-0.96,-0.09,-0.14
2066773,1,-0.96,-0.09,-0.14
2066774,1,-0.96,-0.09,-0.14
2066776,1,-0.96,-0.09,-0.14
2066778,1,-0.97,-0.09,-0.14
2066779,1,-0.97,-0.09,-0.14
2066781,1,-0.97,-0.09,-0.14
2066783,1,-0.97,-0.09,-0.14
2066784,1,-0.97,-0.09,-0.14
2066786,1,-0.97,-0.09,-0.14
2066788,1,-0.97,-0.09,-0.13
2066789,1,-0.97,-0.09,-0.13
2066791,1,-0.97,-0.09,-0.13
2066793,1,-0.97,-0.09,-0.13
2066795,1,-0.97,-0.09,-0.13
2066796,1,-0.97,-0.09,-0.13
2066798,1,-0.97,-0.09,-0.13
2066800,1,-0.97,-0.09,-0.13
2066801,1,-0.97,-0.09,-0.13
2066803,1,-0.97,-0.09,-0.13
2066805,1,-0.97,-0.09,-0.13
2066806,1,-0.97,-0.09,-0.13
2066808,1,-0.96,-0.09,-0.14
2066810,1,-0.96,-0.09,-0.14
2066811,1,-0.96,-0.09,-0.14
2066813,1,-0.96,-0.09,-0.14
2066815,1,-0.96,-0.09,-0.14
2066816,1,-0.96,-0.09,-0.14
2066818,1,-0.96,-0.09,-0.14
2066820,1,-0.96,-0.09,-0.14
2066821,1,-0.96,-0.09,-0.14
2066823,1,-0.96,-0.09,-0.14
2066825,1,-0.96,-0.09,-0.14
