t,l,x,y,z
4451284,1,-0.97,0.05,-0.00
4451285,1,-0.97,0.05,-0.00
4451287,1,-0.98,0.05,-0.00
4451289,1,-0.98,0.05,-0.00
4451290,1,-0.98,0.05,-0.00
4451292,1,-0.98,0.05,-0.00
4451294,1,-0.98,0.05,-0.00
4451295,1,-0.98,0.05,-0.00
4451297,1,-0.98,0.04,0.00
4451299,1,-0.98,0.04,0.00
4451300,1,-0.98,0.04,0.00
4451302,1,-0.98,0.04,0.00
4451304,1,-0.98,0.04,0.00
4451305,1,-0.98,0.04,0.00
4451307,1,-0.99,0.03,0.00
4451309,1,-0.99,0.03,0.00
4451310,1,-0.99,0.03,0.00
4451312,1,-0.99,0.03,0.00
4451314,1,-0.99,0.03,0.00
4451315,1,-0.99,0.03,0.00
4451317,1,-0.99,0.02,0.01
4451319,1,-0.99,0.02,0.01
4451320,1,-0.99,0.02,0.01
4451322,1,-0.99,0.02,0.01
4451324,1,-0.99,0.02,0.01
4451325,1,-0.99,0.02,0.02
4451327,1,-0.98,0.02,0.02
4451329,1,-0.98,0.02,0.02
4451330,1,-0.98,0.02,0.02
4451332,1,-0.98,0.02,0.02
4451334,1,-0.98,0.02,0.02
4451335,1,-0.98,0.02,0.02
4451337,1,-0.99,0.02,0.02
4451339,1,-0.99,0.02,0.02
4451340,1,-0.99,0.02,0.02
4451342,1,-0.99,0.02,0.02
4451344,1,-0.99,0.02,0.02
4451345,1,-0.98,0.02,0.02
4451347,1,-0.98,0.02,0.02
4451349,1,-0.98,0.02,0.02
4451350,1,-0.98,0.02,0.02
4451352,1,-0.98,0.02,0.02
4451354,1,-0.98,0.02,0.02
4451355,1,-0.98,0.03,0.01
4451357,1,-0.98,0.03,0.01
4451359,1,-0.98,0.03,0.01
4451360,1,-0.98,0.03,0.01
4451362,1,-0.98,0.03,0.01
4451364,1,-0.98,0.03,0.01
4451365,1,-0.98,0.03,-0.00
4451367,1,-0.98,0.03,-0.00
4451369,1,-0.98,0.03,-0.00
4451370,1,-0.98,0.03,-0.00
4451372,1,-0.98,0.03,-0.00
4451373,1,-0.98,0.03,-0.00
4451375,1,-0.99,0.04,-0.01
4451377,1,-0.99,0.04,-0.01
4451378,1,-0.99,0.04,-0.01
4451380,1,-0.99,0.04,-0.01
4451382,1,-0.99,0.04,-0.01
4451383,1,-0.99,0.04,-0.01
4451385,1,-0.98,0.05,-0.00
4451387,1,-0.98,0.05,-0.00
4451388,1,-0.98,0.05,-0.00
4451390,1,-0.98,0.05,-0.00
4451392,1,-0.98,0.05,-0.00
4451393,1,-0.98,0.05,-0.00
4451395,1,-0.98,0.04,-0.01
4451397,1,-0.98,0.04,-0.01
4451398,1,-0.98,0.04,-0.01
4451400,1,-0.98,0.04,-0.01
4451402,1,-0.98,0.04,-0.01
4451403,1,-0.98,0.04,0.00
4451405,1,-0.98,0.04,0.00
4451407,1,-0.98,0.04,0.00
4451408,1,-0.98,0.04,0.00
4451410,1,-0.98,0.04,0.00
4451412,1,-0.98,0.04,0.00
4451413,1,-0.98,0.04,0.00
4451415,1,-0.98,0.04,0.00
4451417,1,-0.98,0.04,0.00
4451418,1,-0.98,0.04,0.00
4451420,1,-0.98,0.04,0.00
4451422,1,-0.98,0.04,0.00
4451423,1,-0.99,0.03,0.01
4451425,1,-0.99,0.03,0.01
4451426,1,-0.99,0.03,0.01
4451428,1,-0.99,0.03,0.01
4451430,1,-0.99,0.03,0.01
4451432,1,-0.99,0.03,0.01
4451433,1,-0.98,0.03,0.01
4451435,1,-0.98,0.03,0.01
4451437,1,-0.98,0.03,0.01
4451438,1,-0.98,0.03,0.01
4451440,1,-0.98,0.03,0.01
4451441,1,-0.98,0.03,0.01
4451443,1,-0.98,0.03,0.02
4451445,1,-0.98,0.03,0.02
4451446,1,-0.98,0.03,0.02
4451448,1,-0.98,0.03,0.02
4451450,1,-0.98,0.03,0.02
4451451,1,-0.98,0.03,0.02
4451453,1,-0.98,0.03,0.01
4451455,1,-0.98,0.03,0.01
4451457,1,-0.98,0.03,0.01
4451458,1,-0.98,0.03,0.01
4451460,1,-0.98,0.03,0.01
4451461,1,-0.98,0.03,0.01
4451463,1,-0.98,0.04,0.01
4451465,1,-0.98,0.04,0.01
4451466,1,-0.98,0.04,0.01
4451468,1,-0.98,0.04,0.01
4451470,1,-0.98,0.04,0.01
4451471,1,-0.98,0.04,0.01
4451473,1,-0.99,0.04,0.00
4451475,1,-0.99,0.04,0.00
4451476,1,-0.99,0.04,0.00
4451478,1,-0.99,0.04,0.00
4451480,1,-0.99,0.04,0.00
4451481,1,-0.99,0.04,0.00
4451483,1,-0.98,0.04,0.00
4451484,1,-0.98,0.04,0.00
4451486,1,-0.98,0.04,0.00
4451488,1,-0.98,0.04,0.00
4451489,1,-0.98,0.04,0.00
4451491,1,-0.98,0.04,0.00
4451493,1,-0.98,0.05,-0.00
4451494,1,-0.98,0.05,-0.00
4451496,1,-0.98,0.05,-0.00
4451498,1,-0.98,0.05,-0.00
4451499,1,-0.98,0.05,-0.00
4451501,1,-0.98,0.05,0.00
4451503,1,-0.98,0.04,0.00
4451504,1,-0.98,0.04,0.00
4451506,1,-0.98,0.04,0.00
4451508,1,-0.98,0.04,0.00
4451509,1,-0.98,0.04,0.00
4451511,1,-0.98,0.04,0.00
4451512,1,-0.98,0.04,0.00
4451514,1,-0.98,0.04,0.00
4451516,1,-0.98,0.04,0.00
4451517,1,-0.98,0.04,0.00
4451519,1,-0.98,0.04,0.00
4451521,1,-0.98,0.04,0.00
4451522,1,-0.99,0.03,0.00
4451524,1,-0.99,0.03,0.00
4451526,1,-0.99,0.03,0.00
4451527,1,-0.99,0.03,0.00
4451529,1,-0.99,0.03,0.00
4451531,1,-0.99,0.03,0.01
4451532,1,-0.98,0.03,0.01
4451534,1,-0.98,0.03,0.01
4451535,1,-0.98,0.03,0.01
4451537,1,-0.98,0.03,0.01
4451539,1,-0.98,0.03,0.01
4451540,1,-0.98,0.03,0.01
4451542,1,-0.98,0.03,0.01
4451544,1,-0.98,0.03,0.01
4451545,1,-0.98,0.03,0.01
4451547,1,-0.98,0.03,0.01
4451549,1,-0.98,0.03,0.01
4451550,1,-0.98,0.04,0.01
4451552,1,-0.98,0.04,0.01
4451554,1,-0.98,0.04,0.01
4451555,1,-0.98,0.04,0.01
4451557,1,-0.98,0.04,0.01
4451559,1,-0.98,0.04,0.01
4451560,1,-0.99,0.04,0.01
4451562,1,-0.99,0.04,0.01
4451563,1,-0.99,0.04,0.01
4451565,1,-0.99,0.04,0.01
4451567,1,-0.99,0.04,0.01
4451568,1,-0.99,0.04,0.01
4451570,1,-0.98,0.04,0.00
4451572,1,-0.98,0.04,0.00
4451573,1,-0.98,0.04,0.00
4451575,1,-0.98,0.04,0.00
4451577,1,-0.98,0.04,0.00
4451578,1,-0.98,0.04,0.00
4451580,1,-0.98,0.03,0.00
4451582,1,-0.98,0.03,0.00
4451583,1,-0.98,0.03,0.00
4451585,1,-0.98,0.03,0.00
4451587,1,-0.98,0.03,0.00
4451588,1,-0.98,0.03,0.00
4451590,1,-0.99,0.04,-0.00
4451591,1,-0.99,0.04,-0.00
4451593,1,-0.99,0.04,-0.00
4451595,1,-0.99,0.04,-0.00
4451596,1,-0.99,0.04,-0.00
4451598,1,-0.99,0.04,-0.00
4451600,1,-0.98,0.04,-0.00
4451601,1,-0.98,0.04,-0.00
4451603,1,-0.98,0.04,-0.00
4451605,1,-0.98,0.04,-0.00
4451606,1,-0.98,0.04,-0.00
