t,l,x,y,z
1715732,1,-0.98,-0.12,-0.00
1715734,1,-0.98,-0.12,-0.00
1715736,1,-0.98,-0.12,-0.00
1715737,1,-0.97,-0.12,-0.01
1715739,1,-0.97,-0.12,-0.01
1715741,1,-0.97,-0.12,-0.01
1715742,1,-0.97,-0.12,-0.01
1715744,1,-0.97,-0.12,-0.01
1715746,1,-0.97,-0.12,-0.01
1715747,1,-0.96,-0.11,-0.00
1715749,1,-0.96,-0.11,-0.00
1715751,1,-0.96,-0.11,-0.00
1715752,1,-0.96,-0.11,-0.00
1715754,1,-0.96,-0.11,-0.00
1715756,1,-0.96,-0.11,-0.00
1715757,1,-0.96,-0.11,-0.01
1715759,1,-0.96,-0.11,-0.01
1715761,1,-0.96,-0.11,-0.01
1715762,1,-0.96,-0.11,-0.01
1715764,1,-0.96,-0.11,-0.01
1715766,1,-0.96,-0.11,-0.01
1715767,1,-0.97,-0.13,-0.01
1715769,1,-0.97,-0.13,-0.01
1715771,1,-0.97,-0.13,-0.01
1715772,1,-0.97,-0.13,-0.01
1715774,1,-0.97,-0.13,-0.01
1715776,1,-0.97,-0.13,-0.01
1715777,1,-0.98,-0.14,-0.01
1715779,1,-0.98,-0.14,-0.01
1715781,1,-0.98,-0.14,-0.01
1715782,1,-0.98,-0.14,-0.01
1715784,1,-0.98,-0.14,-0.01
1715786,1,-0.98,-0.13,-0.01
1715787,1,-0.98,-0.13,-0.01
1715789,1,-0.98,-0.13,-0.01
1715791,1,-0.98,-0.13,-0.01
1715792,1,-0.98,-0.13,-0.01
1715794,1,-0.98,-0.13,-0.01
1715796,1,-0.98,-0.14,-0.01
1715797,1,-0.98,-0.14,-0.01
1715799,1,-0.98,-0.14,-0.01
1715801,1,-0.98,-0.14,-0.01
1715802,1,-0.98,-0.14,-0.01
1715804,1,-0.98,-0.14,-0.01
1715806,1,-0.97,-0.13,-0.01
1715807,1,-0.97,-0.13,-0.01
1715809,1,-0.97,-0.13,-0.01
1715811,1,-0.97,-0.13,-0.01
1715812,1,-0.97,-0.13,-0.01
1715814,1,-0.97,-0.13,-0.01
1715816,1,-0.97,-0.13,0.00
1715817,1,-0.97,-0.13,0.00
1715819,1,-0.97,-0.13,0.00
1715821,1,-0.97,-0.13,0.00
1715822,1,-0.97,-0.13,0.00
1715824,1,-0.97,-0.13,0.00
1715826,1,-0.97,-0.13,0.00
1715827,1,-0.97,-0.13,0.00
1715829,1,-0.97,-0.13,0.00
1715831,1,-0.97,-0.13,0.00
1715832,1,-0.97,-0.13,0.00
1715834,1,-0.97,-0.13,0.00
1715836,1,-0.96,-0.12,0.01
1715837,1,-0.96,-0.12,0.01
1715839,1,-0.96,-0.12,0.01
1715841,1,-0.96,-0.12,0.01
1715842,1,-0.96,-0.12,0.01
1715844,1,-0.96,-0.12,0.00
1715846,1,-0.97,-0.12,0.00
1715847,1,-0.97,-0.12,0.00
1715849,1,-0.97,-0.12,0.00
1715851,1,-0.97,-0.12,0.00
1715852,1,-0.97,-0.12,0.00
1715854,1,-0.97,-0.13,0.00
1715856,1,-0.97,-0.13,0.00
1715857,1,-0.97,-0.13,0.00
1715859,1,-0.97,-0.13,0.00
1715861,1,-0.97,-0.13,0.00
1715862,1,-0.97,-0.13,0.00
1715864,1,-0.98,-0.14,-0.01
1715866,1,-0.98,-0.14,-0.01
1715867,1,-0.98,-0.14,-0.01
1715869,1,-0.98,-0.14,-0.01
1715871,1,-0.98,-0.14,-0.01
1715872,1,-0.98,-0.14,-0.01
1715874,1,-0.98,-0.13,-0.01
1715876,1,-0.98,-0.13,-0.01
1715877,1,-0.98,-0.13,-0.01
1715879,1,-0.98,-0.13,-0.01
1715881,1,-0.98,-0.13,-0.01
1715882,1,-0.98,-0.13,-0.01
1715884,1,-0.97,-0.13,-0.02
1715886,1,-0.97,-0.13,-0.02
1715887,1,-0.97,-0.13,-0.02
1715889,1,-0.97,-0.13,-0.02
1715891,1,-0.97,-0.13,-0.02
1715892,1,-0.97,-0.13,-0.02
1715894,1,-0.97,-0.13,-0.02
1715896,1,-0.97,-0.13,-0.02
1715898,1,-0.97,-0.13,-0.02
1715899,1,-0.97,-0.13,-0.02
1715901,1,-0.97,-0.13,-0.02
1715903,1,-0.97,-0.13,-0.02
1715904,1,-0.98,-0.12,-0.02
1715906,1,-0.98,-0.12,-0.02
1715908,1,-0.98,-0.12,-0.02
1715909,1,-0.98,-0.12,-0.02
1715911,1,-0.98,-0.12,-0.02
1715913,1,-0.97,-0.12,-0.02
1715914,1,-0.97,-0.12,-0.02
1715916,1,-0.97,-0.12,-0.02
1715918,1,-0.97,-0.12,-0.02
1715919,1,-0.97,-0.12,-0.02
1715921,1,-0.97,-0.12,-0.02
1715923,1,-0.97,-0.12,-0.01
1715924,1,-0.97,-0.12,-0.01
1715926,1,-0.97,-0.12,-0.01
1715928,1,-0.97,-0.12,-0.01
1715929,1,-0.97,-0.12,-0.01
1715931,1,-0.97,-0.12,-0.01
1715933,1,-0.98,-0.12,-0.00
1715934,1,-0.98,-0.12,-0.00
1715936,1,-0.98,-0.12,-0.00
1715938,1,-0.98,-0.12,-0.00
1715939,1,-0.98,-0.12,-0.00
1715941,1,-0.98,-0.12,-0.00
1715943,1,-0.98,-0.12,0.00
1715944,1,-0.98,-0.12,0.00
1715946,1,-0.98,-0.12,0.00
1715948,1,-0.98,-0.12,0.00
1715949,1,-0.98,-0.12,0.00
1715951,1,-0.98,-0.12,0.00
1715953,1,-0.98,-0.13,0.01
1715954,1,-0.98,-0.13,0.01
1715956,1,-0.98,-0.13,0.01
1715958,1,-0.98,-0.13,0.01
1715959,1,-0.98,-0.13,0.01
1715961,1,-0.98,-0.13,0.01
1715963,1,-0.96,-0.12,0.02
1715964,1,-0.96,-0.12,0.02
1715966,1,-0.96,-0.12,0.02
1715968,1,-0.96,-0.12,0.02
1715969,1,-0.96,-0.12,0.02
1715971,1,-0.96,-0.12,0.01
1715973,1,-0.96,-0.12,0.01
1715974,1,-0.96,-0.12,0.01
1715976,1,-0.96,-0.12,0.01
1715978,1,-0.96,-0.12,0.01
1715979,1,-0.96,-0.12,0.01
1715981,1,-0.97,-0.13,-0.01
1715983,1,-0.97,-0.13,-0.01
1715984,1,-0.97,-0.13,-0.01
1715986,1,-0.97,-0.13,-0.01
1715988,1,-0.97,-0.13,-0.01
1715989,1,-0.97,-0.13,-0.01
1715991,1,-0.98,-0.14,-0.01
1715993,1,-0.98,-0.14,-0.01
1715994,1,-0.98,-0.14,-0.01
1715996,1,-0.98,-0.14,-0.01
1715998,1,-0.98,-0.14,-0.01
1715999,1,-0.98,-0.14,-0.01
1716001,1,-0.98,-0.13,-0.01
1716003,1,-0.98,-0.13,-0.01
1716004,1,-0.98,-0.13,-0.01
1716006,1,-0.98,-0.13,-0.01
1716008,0,-0.98,-0.13,-0.01
1716009,0,-0.98,-0.13,-0.01
1716011,0,-0.97,-0.12,-0.01
1716013,0,-0.97,-0.12,-0.01
1716014,0,-0.97,-0.12,-0.01
1716016,0,-0.97,-0.12,-0.01
1716018,0,-0.97,-0.12,-0.01
1716019,0,-0.97,-0.12,-0.01
1716021,0,-0.97,-0.11,-0.01
1716023,0,-0.97,-0.11,-0.01
1716024,0,-0.97,-0.11,-0.01
1716026,0,-0.97,-0.11,-0.01
1716028,0,-0.97,-0.11,-0.01
1716029,0,-0.97,-0.11,-0.01
1716031,0,-0.96,-0.12,-0.01
1716033,0,-0.96,-0.12,-0.01
1716034,0,-0.96,-0.12,-0.01
1716036,0,-0.96,-0.12,-0.01
1716038,0,-0.96,-0.12,-0.01
1716039,0,-0.96,-0.14,-0.02
1716041,0,-0.97,-0.14,-0.02
1716043,0,-0.97,-0.14,-0.02
1716044,0,-0.97,-0.14,-0.02
1716046,0,-0.97,-0.14,-0.02
1716048,0,-0.97,-0.14,-0.02
1716049,0,-0.98,-0.14,-0.01
1716051,0,-0.98,-0.14,-0.01
1716053,0,-0.98,-0.14,-0.01
1716054,0,-0.98,-0.14,-0.01
1716056,0,-0.98,-0.14,-0.01
1716058,0,-0.98,-0.14,-0.01
1716059,0,-0.98,-0.12,-0.00
1716061,0,-0.98,-0.12,-0.00
1716063,0,-0.98,-0.12,-0.00
1716064,0,-0.98,-0.12,-0.00
1716066,0,-0.98,-0.12,-0.00
1716068,0,-0.98,-0.12,-0.00
1716069,0,-0.97,-0.12,0.01
1716071,0,-0.97,-0.12,0.01
1716073,0,-0.97,-0.12,0.01
1716074,0,-0.97,-0.12,0.01
1716076,0,-0.97,-0.12,0.01
1716078,0,-0.97,-0.12,0.01
1716079,0,-0.97,-0.12,0.01
1716081,0,-0.97,-0.12,0.01
1716083,0,-0.97,-0.12,0.01
1716084,0,-0.97,-0.12,0.01
1716086,0,-0.97,-0.12,0.01
1716088,0,-0.97,-0.12,0.01
1716089,0,-0.96,-0.11,0.02
1716091,0,-0.96,-0.11,0.02
1716093,0,-0.96,-0.11,0.02
1716094,0,-0.96,-0.11,0.02
1716096,0,-0.96,-0.11,0.02
1716098,0,-0.96,-0.11,0.02
1716099,0,-0.96,-0.12,0.01
1716101,0,-0.96,-0.12,0.01
1716103,0,-0.96,-0.12,0.01
1716104,0,-0.96,-0.12,0.01
1716106,0,-0.96,-0.12,0.01
1716108,0,-0.96,-0.12,0.00
1716109,0,-0.97,-0.13,0.00
1716111,0,-0.97,-0.13,0.00
1716113,0,-0.97,-0.13,0.00
1716114,0,-0.97,-0.13,0.00
1716116,0,-0.97,-0.13,0.00
1716118,0,-0.97,-0.14,0.00
1716119,0,-0.98,-0.14,0.00
