t,l,x,y,z
20068173,0,-0.98,0.07,-0.06
20068174,0,-0.98,0.07,-0.06
20068176,0,-0.98,0.06,-0.06
20068178,0,-0.98,0.06,-0.06
20068179,0,-0.98,0.06,-0.06
20068181,0,-0.98,0.06,-0.06
20068183,0,-0.98,0.06,-0.06
20068184,0,-0.98,0.06,-0.06
20068186,0,-0.98,0.06,-0.06
20068188,0,-0.98,0.06,-0.06
20068189,0,-0.98,0.06,-0.06
20068191,0,-0.98,0.06,-0.06
20068193,0,-0.98,0.06,-0.06
20068194,0,-0.98,0.06,-0.06
20068196,0,-0.98,0.06,-0.06
20068198,0,-0.98,0.06,-0.06
20068199,0,-0.98,0.06,-0.06
20068201,0,-0.98,0.06,-0.06
20068203,0,-0.98,0.06,-0.06
20068204,0,-0.98,0.06,-0.05
20068206,0,-0.98,0.06,-0.05
20068208,0,-0.98,0.06,-0.05
20068209,0,-0.98,0.06,-0.05
20068211,0,-0.98,0.06,-0.05
20068213,0,-0.98,0.06,-0.05
20068214,0,-0.98,0.06,-0.05
20068216,0,-0.98,0.06,-0.05
20068218,0,-0.98,0.06,-0.05
20068219,0,-0.98,0.06,-0.05
20068221,0,-0.98,0.06,-0.05
20068223,0,-0.98,0.06,-0.05
20068224,0,-0.98,0.06,-0.06
20068226,0,-0.98,0.06,-0.06
20068228,0,-0.98,0.06,-0.06
20068229,0,-0.98,0.06,-0.06
20068231,0,-0.98,0.06,-0.06
20068233,0,-0.98,0.06,-0.06
20068234,0,-0.98,0.07,-0.06
20068236,0,-0.98,0.07,-0.06
20068238,0,-0.98,0.07,-0.06
20068239,0,-0.98,0.07,-0.06
20068241,0,-0.98,0.07,-0.06
20068243,0,-0.98,0.07,-0.06
20068244,0,-0.98,0.06,-0.06
20068246,0,-0.98,0.06,-0.06
20068248,0,-0.98,0.06,-0.06
20068249,0,-0.98,0.06,-0.06
20068251,0,-0.98,0.06,-0.06
20068253,0,-0.98,0.06,-0.06
20068254,0,-0.98,0.07,-0.06
20068256,0,-0.98,0.07,-0.06
20068258,0,-0.98,0.07,-0.06
20068259,0,-0.98,0.07,-0.06
20068261,0,-0.98,0.07,-0.06
20068263,0,-0.97,0.07,-0.06
20068264,0,-0.97,0.07,-0.06
20068266,0,-0.97,0.07,-0.06
20068268,0,-0.97,0.07,-0.06
20068269,0,-0.97,0.07,-0.06
20068271,0,-0.97,0.07,-0.06
20068273,0,-0.97,0.07,-0.06
20068275,0,-0.97,0.07,-0.06
20068276,0,-0.97,0.07,-0.06
20068278,0,-0.97,0.07,-0.06
20068280,0,-0.97,0.07,-0.06
20068281,0,-0.97,0.07,-0.06
20068283,0,-0.98,0.07,-0.06
20068285,0,-0.98,0.07,-0.06
20068286,0,-0.98,0.07,-0.06
20068288,0,-0.98,0.07,-0.06
20068290,0,-0.98,0.07,-0.06
20068291,0,-0.98,0.07,-0.06
20068293,0,-0.98,0.07,-0.06
20068295,0,-0.98,0.07,-0.06
20068296,0,-0.98,0.07,-0.06
20068298,0,-0.98,0.07,-0.06
20068300,0,-0.98,0.07,-0.06
20068301,0,-0.98,0.07,-0.06
