t,l,x,y,z
426604,1,-0.98,0.10,0.05
426606,1,-0.98,0.10,0.05
426608,1,-0.98,0.10,0.05
426609,1,-0.98,0.10,0.05
426611,1,-0.98,0.10,0.05
426613,1,-0.98,0.09,0.07
426614,1,-0.98,0.09,0.07
426616,1,-0.98,0.09,0.07
426618,1,-0.98,0.09,0.07
426619,1,-0.98,0.09,0.07
426621,1,-0.98,0.09,0.07
426623,1,-0.98,0.09,0.07
426624,1,-0.98,0.09,0.07
426626,1,-0.98,0.09,0.07
426628,1,-0.98,0.09,0.07
426629,1,-0.98,0.09,0.07
426631,1,-0.98,0.10,0.07
426633,1,-0.98,0.10,0.07
426634,1,-0.98,0.10,0.07
426636,1,-0.98,0.10,0.07
426638,1,-0.98,0.10,0.07
426639,1,-0.98,0.10,0.07
426641,1,-0.98,0.11,0.07
426643,1,-0.98,0.11,0.07
426644,1,-0.98,0.11,0.07
426646,1,-0.98,0.11,0.07
426647,1,-0.98,0.11,0.07
426649,1,-0.98,0.11,0.07
426651,1,-0.98,0.12,0.05
426652,1,-0.98,0.12,0.05
426654,1,-0.98,0.12,0.05
426656,1,-0.98,0.12,0.05
426657,1,-0.98,0.12,0.05
426659,1,-0.98,0.12,0.05
426661,1,-0.97,0.12,0.05
426662,1,-0.97,0.12,0.05
426664,1,-0.97,0.12,0.05
426666,1,-0.97,0.12,0.05
426667,1,-0.97,0.12,0.05
426669,1,-0.97,0.12,0.05
426671,1,-0.97,0.13,0.05
426672,1,-0.97,0.13,0.05
426674,1,-0.97,0.13,0.05
426676,1,-0.97,0.13,0.05
426677,1,-0.97,0.13,0.05
426679,1,-0.97,0.13,0.05
426680,1,-0.97,0.14,0.04
426682,1,-0.97,0.14,0.04
426684,1,-0.97,0.14,0.04
426685,1,-0.97,0.14,0.04
426687,1,-0.97,0.14,0.04
426689,1,-0.97,0.14,0.04
426690,1,-0.96,0.15,0.02
426692,1,-0.96,0.15,0.02
426694,1,-0.96,0.15,0.02
426695,1,-0.96,0.15,0.02
426697,1,-0.96,0.15,0.02
426699,1,-0.96,0.15,0.02
426700,1,-0.96,0.15,0.02
426702,1,-0.96,0.15,0.02
426704,1,-0.96,0.15,0.02
426705,1,-0.96,0.15,0.02
426707,1,-0.96,0.15,0.02
426708,1,-0.96,0.15,0.02
426710,1,-0.97,0.15,0.02
426712,1,-0.97,0.15,0.02
426713,1,-0.97,0.15,0.02
426715,1,-0.97,0.15,0.02
426717,1,-0.97,0.15,0.02
426718,1,-0.97,0.15,0.02
426720,1,-0.97,0.14,0.03
426722,1,-0.97,0.14,0.03
426723,1,-0.97,0.14,0.03
426725,1,-0.97,0.14,0.03
426727,1,-0.97,0.14,0.03
426728,1,-0.97,0.14,0.03
426730,1,-0.98,0.14,0.04
426732,1,-0.98,0.14,0.04
426733,1,-0.98,0.14,0.04
426735,1,-0.98,0.14,0.04
426737,1,-0.98,0.14,0.04
426738,1,-0.98,0.14,0.04
426740,1,-0.98,0.12,0.06
426741,1,-0.98,0.12,0.06
426743,1,-0.98,0.12,0.06
426745,1,-0.98,0.12,0.06
426746,1,-0.98,0.12,0.06
426748,1,-0.98,0.12,0.07
426750,1,-0.98,0.11,0.07
426751,1,-0.98,0.11,0.07
426753,1,-0.98,0.11,0.07
426755,1,-0.98,0.11,0.07
426756,1,-0.98,0.11,0.07
426758,1,-0.97,0.11,0.06
426760,1,-0.97,0.11,0.06
426761,1,-0.97,0.11,0.06
426763,1,-0.97,0.11,0.06
426765,1,-0.97,0.11,0.06
426766,1,-0.97,0.11,0.06
426768,1,-0.97,0.11,0.07
426770,1,-0.97,0.11,0.07
426771,1,-0.97,0.11,0.07
426773,1,-0.97,0.11,0.07
426775,1,-0.97,0.11,0.07
426776,1,-0.97,0.11,0.07
426778,1,-0.98,0.10,0.08
426779,1,-0.98,0.10,0.08
426781,1,-0.98,0.10,0.08
426783,1,-0.98,0.10,0.08
426784,1,-0.98,0.10,0.08
426786,1,-0.98,0.10,0.08
426788,1,-0.99,0.09,0.08
426789,1,-0.99,0.09,0.08
426791,1,-0.99,0.09,0.08
426793,1,-0.99,0.09,0.08
426794,1,-0.99,0.09,0.08
