t,l,x,y,z
2829412,0,-0.98,0.01,0.02
2829414,0,-0.98,0.01,0.02
2829416,0,-0.98,0.01,0.02
2829417,0,-0.98,0.01,0.02
2829419,0,-0.98,0.01,0.02
2829421,0,-0.99,0.01,0.02
2829422,0,-0.99,0.01,0.02
2829424,0,-0.99,0.01,0.02
2829426,0,-0.99,0.01,0.02
2829427,0,-0.99,0.01,0.02
2829429,0,-0.99,0.01,0.02
2829431,0,-0.98,0.02,0.02
2829432,0,-0.98,0.02,0.02
2829434,0,-0.98,0.02,0.02
2829436,0,-0.98,0.02,0.02
2829437,0,-0.98,0.02,0.02
2829439,0,-0.98,0.02,0.02
2829441,0,-0.98,0.01,0.02
2829442,0,-0.98,0.01,0.02
2829444,0,-0.98,0.01,0.02
2829446,0,-0.98,0.01,0.02
2829447,0,-0.98,0.01,0.02
2829449,0,-0.98,0.01,0.02
2829451,0,-0.97,0.02,0.02
2829452,0,-0.97,0.02,0.02
2829454,0,-0.97,0.02,0.02
2829456,0,-0.97,0.02,0.02
2829457,0,-0.97,0.02,0.02
2829459,0,-0.97,0.02,0.02
2829461,0,-0.97,0.02,0.02
2829462,0,-0.97,0.02,0.02
2829464,0,-0.97,0.02,0.02
2829465,0,-0.97,0.02,0.02
2829467,0,-0.97,0.02,0.02
2829469,0,-0.97,0.02,0.02
2829470,0,-0.98,0.02,0.03
2829472,0,-0.98,0.02,0.03
2829474,0,-0.98,0.02,0.03
2829475,0,-0.98,0.02,0.03
2829477,0,-0.98,0.02,0.03
2829479,0,-0.98,0.02,0.03
2829480,0,-0.98,0.02,0.03
2829482,0,-0.98,0.02,0.03
2829484,0,-0.98,0.02,0.03
2829485,0,-0.98,0.02,0.03
2829487,0,-0.98,0.02,0.03
2829489,0,-0.98,0.02,0.04
2829490,0,-0.98,0.02,0.04
2829492,0,-0.98,0.02,0.04
2829494,0,-0.98,0.02,0.04
2829495,0,-0.98,0.02,0.04
2829497,0,-0.98,0.02,0.04
2829499,0,-0.98,0.02,0.03
2829500,0,-0.98,0.02,0.03
2829502,0,-0.98,0.02,0.03
2829504,0,-0.98,0.02,0.03
2829505,0,-0.98,0.02,0.03
2829507,0,-0.98,0.02,0.03
2829509,0,-0.98,0.02,0.03
2829510,0,-0.98,0.02,0.03
2829512,0,-0.98,0.02,0.03
2829514,0,-0.98,0.02,0.03
2829515,0,-0.98,0.02,0.03
2829517,0,-0.98,0.02,0.03
2829519,0,-0.98,0.02,0.03
2829520,0,-0.98,0.02,0.03
2829522,0,-0.98,0.02,0.03
2829524,0,-0.98,0.02,0.03
2829525,0,-0.98,0.02,0.03
2829527,0,-0.98,0.02,0.03
2829529,0,-0.98,0.02,0.03
2829530,0,-0.98,0.02,0.03
2829532,0,-0.98,0.02,0.03
2829533,0,-0.98,0.02,0.03
2829535,0,-0.98,0.02,0.03
2829537,0,-0.98,0.02,0.03
2829538,0,-0.98,0.02,0.02
2829540,0,-0.98,0.02,0.02
2829542,0,-0.98,0.02,0.02
2829543,0,-0.98,0.02,0.02
2829545,0,-0.98,0.02,0.02
2829547,0,-0.98,0.02,0.02
2829548,0,-0.97,0.01,0.02
2829550,0,-0.97,0.01,0.02
2829552,0,-0.97,0.01,0.02
2829553,0,-0.97,0.01,0.02
2829555,0,-0.97,0.01,0.02
2829557,0,-0.97,0.01,0.02
2829558,0,-0.97,0.01,0.02
2829560,0,-0.97,0.01,0.02
