t,l,x,y,z
269878,0,-0.98,0.03,-0.00
269879,0,-0.98,0.03,-0.00
269881,0,-0.98,0.03,-0.00
269883,0,-0.98,0.03,-0.00
269884,0,-0.98,0.03,-0.00
269886,0,-0.98,0.03,-0.00
269888,0,-0.98,0.03,-0.00
269889,0,-0.98,0.03,-0.00
269891,0,-0.98,0.03,-0.00
269892,0,-0.98,0.03,-0.00
269894,0,-0.98,0.03,-0.00
269896,0,-0.98,0.03,-0.00
269897,0,-0.99,0.03,-0.00
269899,0,-0.99,0.03,-0.00
269901,0,-0.99,0.03,-0.00
269902,0,-0.99,0.03,-0.00
269904,0,-0.99,0.03,-0.00
269906,0,-0.99,0.03,-0.00
269907,0,-0.98,0.03,-0.00
269909,0,-0.98,0.03,-0.00
269910,0,-0.98,0.03,-0.00
269912,0,-0.98,0.03,-0.00
269914,0,-0.98,0.03,-0.00
269916,0,-0.98,0.03,-0.00
269917,0,-0.98,0.03,-0.00
269919,0,-0.98,0.03,-0.00
269920,0,-0.98,0.03,-0.00
269922,0,-0.98,0.03,-0.00
269924,0,-0.98,0.03,-0.00
269925,0,-0.99,0.03,-0.00
269927,0,-0.99,0.03,-0.00
269929,0,-0.99,0.03,-0.00
269930,0,-0.99,0.03,-0.00
269932,0,-0.99,0.03,-0.00
269934,0,-0.99,0.03,-0.00
269935,0,-0.98,0.03,-0.01
269937,0,-0.98,0.03,-0.01
269939,0,-0.98,0.03,-0.01
269940,0,-0.98,0.03,-0.01
269942,0,-0.98,0.03,-0.01
269944,0,-0.98,0.03,-0.01
269945,0,-0.99,0.03,-0.01
269947,0,-0.99,0.03,-0.01
269949,0,-0.99,0.03,-0.01
269950,0,-0.99,0.03,-0.01
269952,0,-0.99,0.03,-0.01
269954,0,-0.99,0.03,-0.01
269956,0,-0.98,0.03,-0.01
269957,0,-0.98,0.03,-0.01
269959,0,-0.98,0.03,-0.01
269961,0,-0.98,0.03,-0.01
269962,0,-0.98,0.03,-0.01
269964,0,-0.98,0.03,-0.01
269966,0,-0.98,0.04,-0.00
269967,0,-0.98,0.04,-0.00
269969,0,-0.98,0.04,-0.00
269970,0,-0.98,0.04,-0.00
269972,0,-0.98,0.04,-0.00
269974,0,-0.98,0.04,-0.00
269975,0,-0.98,0.04,-0.00
269977,0,-0.98,0.04,-0.00
269979,0,-0.98,0.04,-0.00
269980,0,-0.98,0.04,-0.00
269982,0,-0.98,0.04,-0.00
269984,0,-0.98,0.04,-0.00
269985,0,-0.98,0.04,-0.00
269987,0,-0.98,0.04,-0.00
269989,0,-0.98,0.04,-0.00
269990,0,-0.98,0.04,-0.00
269992,0,-0.98,0.04,-0.00
