t,l,x,y,z
54778,1,-0.95,-0.12,0.20
54780,1,-0.95,-0.12,0.20
54781,1,-0.95,-0.12,0.20
54783,1,-0.95,-0.12,0.20
54785,1,-0.95,-0.12,0.20
54786,1,-0.95,-0.12,0.20
54788,1,-0.96,-0.12,0.19
54790,1,-0.96,-0.12,0.19
54791,1,-0.96,-0.12,0.19
54793,1,-0.96,-0.12,0.19
54795,1,-0.96,-0.12,0.19
54796,1,-0.96,-0.12,0.19
54798,1,-0.95,-0.13,0.20
54800,1,-0.95,-0.13,0.20
54801,1,-0.95,-0.13,0.20
54803,1,-0.95,-0.13,0.20
54805,1,-0.95,-0.13,0.20
54806,1,-0.95,-0.13,0.20
54808,1,-0.95,-0.13,0.20
54810,1,-0.95,-0.13,0.20
54811,1,-0.95,-0.13,0.20
54813,1,-0.95,-0.13,0.20
54815,1,-0.95,-0.13,0.20
54816,1,-0.95,-0.13,0.20
54818,1,-0.95,-0.13,0.19
54820,1,-0.95,-0.13,0.19
54821,1,-0.95,-0.13,0.19
54823,1,-0.95,-0.13,0.19
54825,1,-0.95,-0.13,0.19
54826,1,-0.95,-0.13,0.19
54828,1,-0.95,-0.13,0.19
54830,1,-0.95,-0.13,0.19
54831,1,-0.95,-0.13,0.19
54833,1,-0.95,-0.13,0.19
54834,1,-0.95,-0.13,0.19
54836,1,-0.95,-0.13,0.19
54838,1,-0.95,-0.13,0.20
54839,1,-0.95,-0.13,0.20
54841,1,-0.95,-0.13,0.20
54843,1,-0.95,-0.13,0.20
54844,1,-0.95,-0.13,0.20
54846,1,-0.95,-0.13,0.20
54848,1,-0.95,-0.13,0.20
54849,1,-0.95,-0.13,0.20
54851,1,-0.95,-0.13,0.20
54853,1,-0.95,-0.13,0.20
54854,1,-0.95,-0.13,0.20
54856,1,-0.95,-0.13,0.19
54858,1,-0.95,-0.13,0.19
54859,1,-0.95,-0.13,0.19
54861,1,-0.95,-0.13,0.19
54863,1,-0.95,-0.13,0.19
54864,1,-0.95,-0.13,0.19
54866,1,-0.95,-0.13,0.19
54868,1,-0.95,-0.13,0.19
54869,1,-0.95,-0.13,0.19
54871,1,-0.95,-0.13,0.19
54873,1,-0.95,-0.13,0.19
