t,l,x,y,z
18401493,0,-1.01,0.06,0.08
18401494,0,-1.01,0.06,0.08
18401496,0,-1.01,0.06,0.08
18401498,0,-0.88,0.03,0.01
18401499,0,-0.98,0.03,0.01
18401501,0,-0.98,0.03,0.01
18401503,0,-0.98,0.03,0.01
18401504,0,-0.98,0.03,0.01
18401506,0,-0.98,0.03,0.01
18401508,0,-1.00,0.07,0.01
18401509,0,-1.00,0.07,0.01
18401511,0,-1.00,0.07,0.01
18401513,0,-1.00,0.07,0.01
18401514,0,-1.00,0.07,0.01
18401516,0,-1.00,0.07,0.01
18401518,0,-0.97,0.06,0.00
18401519,0,-0.97,0.06,0.00
18401521,0,-0.97,0.06,0.00
18401523,0,-0.97,0.06,0.00
18401524,0,-0.97,0.06,0.00
18401526,0,-0.97,0.06,0.00
18401528,0,-0.99,0.10,-0.05
18401529,0,-0.99,0.10,-0.05
18401531,0,-0.99,0.10,-0.05
18401533,0,-0.99,0.10,-0.05
18401534,0,-0.99,0.10,-0.05
18401536,0,-0.99,0.10,-0.05
18401538,0,-0.98,0.10,-0.05
18401539,0,-0.98,0.10,-0.05
18401541,0,-0.98,0.10,-0.05
18401543,0,-0.98,0.10,-0.05
18401544,0,-0.98,0.10,-0.05
18401546,0,-0.98,0.10,-0.05
18401548,0,-0.99,0.10,-0.05
18401549,0,-0.99,0.10,-0.05
18401551,0,-0.99,0.10,-0.05
18401553,0,-0.99,0.10,-0.05
18401554,0,-0.99,0.10,-0.05
18401556,0,-0.99,0.10,-0.08
18401558,0,-1.04,0.06,-0.08
18401559,0,-1.04,0.06,-0.08
18401561,0,-1.04,0.06,-0.08
18401563,0,-1.04,0.06,-0.08
18401564,0,-1.04,0.06,-0.08
18401566,0,-1.04,0.12,0.04
18401568,0,-0.70,0.12,0.04
18401569,0,-0.70,0.12,0.04
18401571,0,-0.70,0.12,0.04
18401573,0,-0.70,0.12,0.04
18401574,0,-0.70,0.12,0.04
18401576,0,-0.95,0.02,-0.10
18401578,0,-0.95,0.02,-0.10
18401579,0,-0.95,0.02,-0.10
18401581,0,-0.95,0.02,-0.10
18401583,0,-0.95,0.02,-0.10
18401584,0,-0.95,0.02,-0.10
18401586,0,-0.97,0.07,-0.01
18401587,0,-0.97,0.07,-0.01
18401589,0,-0.97,0.07,-0.01
18401591,0,-0.97,0.07,-0.01
18401592,0,-0.97,0.07,-0.01
