t,l,x,y,z
19789976,0,-0.97,-0.01,0.02
19789978,0,-0.97,-0.01,0.02
19789979,0,-0.98,-0.01,0.01
19789981,0,-0.98,-0.01,0.01
19789982,0,-0.98,-0.01,0.01
19789984,0,-0.98,-0.01,0.01
19789986,0,-0.98,-0.01,0.01
19789987,0,-0.98,-0.01,0.01
19789989,0,-0.99,-0.02,0.01
19789991,0,-0.99,-0.02,0.01
19789992,0,-0.99,-0.02,0.01
19789994,0,-0.99,-0.02,0.01
19789996,0,-0.99,-0.02,0.01
19789997,0,-0.99,-0.02,0.01
19789999,0,-0.99,-0.02,0.02
19790001,0,-0.99,-0.02,0.02
19790002,0,-0.99,-0.02,0.02
19790004,0,-0.99,-0.02,0.02
19790006,0,-0.99,-0.02,0.02
19790007,0,-0.99,-0.02,0.02
19790009,0,-0.98,-0.01,0.01
19790011,0,-0.98,-0.01,0.01
19790012,0,-0.98,-0.01,0.01
19790014,0,-0.98,-0.01,0.01
19790016,0,-0.98,-0.01,0.01
19790017,0,-0.98,-0.01,0.01
19790019,0,-0.98,-0.02,0.01
19790021,0,-0.98,-0.02,0.01
19790022,0,-0.98,-0.02,0.01
19790024,0,-0.98,-0.02,0.01
19790026,0,-0.98,-0.02,0.01
19790027,0,-0.98,-0.02,0.01
19790029,0,-0.99,-0.02,-0.01
19790031,0,-0.99,-0.02,-0.01
19790032,0,-0.99,-0.02,-0.01
19790034,0,-0.99,-0.02,-0.01
19790036,0,-0.99,-0.02,-0.01
19790037,0,-0.99,-0.02,-0.01
19790039,0,-0.99,-0.01,-0.01
19790041,0,-0.99,-0.01,-0.01
19790042,0,-0.99,-0.01,-0.01
19790044,0,-0.99,-0.01,-0.01
19790046,0,-0.99,-0.01,-0.01
19790048,0,-0.99,-0.01,-0.00
19790049,0,-0.98,-0.01,-0.00
19790051,0,-0.98,-0.01,-0.00
19790053,0,-0.98,-0.01,-0.00
19790054,0,-0.98,-0.01,-0.00
19790056,0,-0.98,-0.01,-0.00
19790058,0,-0.98,-0.01,-0.00
19790059,0,-0.98,-0.01,-0.00
19790061,0,-0.98,-0.01,-0.00
19790063,0,-0.98,-0.01,-0.00
19790064,0,-0.98,-0.01,-0.00
19790066,0,-0.98,-0.01,-0.00
19790068,0,-0.99,-0.02,0.00
19790069,0,-0.99,-0.02,0.00
19790071,0,-0.99,-0.02,0.00
19790073,0,-0.99,-0.02,0.00
19790074,0,-0.99,-0.02,0.00
19790076,0,-0.99,-0.02,0.00
19790078,0,-0.99,-0.01,0.01
19790079,0,-0.99,-0.01,0.01
19790081,0,-0.99,-0.01,0.01
19790083,0,-0.99,-0.01,0.01
19790084,0,-0.99,-0.01,0.01
19790086,0,-0.99,-0.01,0.01
19790088,0,-0.98,-0.01,0.01
19790089,0,-0.98,-0.01,0.01
19790091,0,-0.98,-0.01,0.01
19790092,0,-0.98,-0.01,0.01
19790094,0,-0.98,-0.01,0.01
19790096,0,-0.98,-0.01,0.01
19790097,0,-0.98,-0.01,0.01
19790099,0,-0.98,-0.01,0.01
19790101,0,-0.98,-0.01,0.01
19790102,0,-0.98,-0.01,0.01
19790104,0,-0.98,-0.01,0.01
19790106,0,-0.98,-0.01,-0.00
19790107,0,-0.99,-0.01,-0.00
19790109,0,-0.99,-0.01,-0.00
19790111,0,-0.99,-0.01,-0.00
19790112,0,-0.99,-0.01,-0.00
19790114,0,-0.99,-0.01,-0.00
19790116,0,-0.98,-0.01,-0.01
19790118,0,-0.98,-0.01,-0.01
19790119,0,-0.98,-0.01,-0.01
19790121,0,-0.98,-0.01,-0.01
19790123,0,-0.98,-0.01,-0.01
19790124,0,-0.98,-0.01,-0.01
19790126,0,-0.97,-0.01,-0.01
19790128,0,-0.97,-0.01,-0.01
19790129,0,-0.97,-0.01,-0.01
19790131,0,-0.97,-0.01,-0.01
19790133,0,-0.97,-0.01,-0.01
19790134,0,-0.97,-0.01,-0.01
19790136,0,-0.98,-0.01,-0.02
19790138,0,-0.98,-0.01,-0.02
19790139,0,-0.98,-0.01,-0.02
19790141,0,-0.98,-0.01,-0.02
19790143,0,-0.98,-0.01,-0.02
19790144,0,-0.98,-0.01,-0.02
19790146,0,-0.98,-0.01,-0.02
19790148,0,-0.98,-0.01,-0.02
19790149,0,-0.98,-0.01,-0.02
19790151,0,-0.98,-0.01,-0.02
19790153,0,-0.98,-0.01,-0.02
19790154,0,-0.98,-0.01,-0.02
19790156,0,-0.98,-0.01,0.00
19790158,0,-0.98,-0.01,0.00
19790159,0,-0.98,-0.01,0.00
19790161,0,-0.98,-0.01,0.00
19790163,0,-0.98,-0.01,0.00
19790164,0,-0.98,-0.01,0.01
19790166,0,-0.97,-0.01,0.01
19790168,0,-0.97,-0.01,0.01
