t,l,x,y,z
1727568,1,-0.97,-0.09,-0.01
1727570,1,-0.97,-0.09,-0.01
1727572,1,-0.97,-0.09,-0.01
1727573,1,-0.97,-0.09,-0.01
1727575,1,-0.97,-0.09,-0.01
1727577,1,-0.97,-0.08,0.00
1727578,1,-0.98,-0.08,0.00
1727580,1,-0.98,-0.08,0.00
1727582,1,-0.98,-0.08,0.00
1727583,1,-0.98,-0.08,0.00
1727585,1,-0.98,-0.08,0.00
1727587,1,-0.97,-0.08,-0.00
1727588,1,-0.97,-0.08,-0.00
1727590,1,-0.97,-0.08,-0.00
1727592,1,-0.97,-0.08,-0.00
1727593,1,-0.97,-0.08,-0.00
1727595,1,-0.97,-0.08,-0.00
1727597,1,-0.97,-0.09,0.00
1727598,1,-0.97,-0.09,0.00
1727600,1,-0.97,-0.09,0.00
1727602,1,-0.97,-0.09,0.00
1727603,1,-0.97,-0.09,0.00
1727605,1,-0.97,-0.09,0.00
1727607,1,-0.98,-0.09,0.01
1727608,1,-0.98,-0.09,0.01
1727610,1,-0.98,-0.09,0.01
1727612,1,-0.98,-0.09,0.01
1727613,1,-0.98,-0.09,0.01
1727615,1,-0.98,-0.09,0.01
1727617,1,-0.97,-0.09,-0.01
1727618,1,-0.97,-0.09,-0.01
1727620,1,-0.97,-0.09,-0.01
1727622,1,-0.97,-0.09,-0.01
1727623,1,-0.97,-0.09,-0.01
1727625,1,-0.97,-0.09,-0.01
1727627,1,-0.97,-0.09,-0.01
1727628,1,-0.97,-0.09,-0.01
1727630,1,-0.97,-0.09,-0.01
1727632,1,-0.97,-0.09,-0.01
1727633,1,-0.97,-0.09,-0.01
1727635,1,-0.97,-0.09,-0.01
1727637,1,-0.98,-0.08,-0.01
1727638,1,-0.98,-0.08,-0.01
1727640,1,-0.98,-0.08,-0.01
1727642,1,-0.98,-0.08,-0.01
1727643,1,-0.98,-0.08,-0.01
1727645,1,-0.98,-0.09,-0.01
1727647,1,-0.98,-0.09,-0.01
1727648,1,-0.98,-0.09,-0.01
1727650,1,-0.98,-0.09,-0.01
1727652,1,-0.98,-0.09,-0.01
1727653,1,-0.98,-0.09,-0.01
1727655,1,-0.97,-0.09,-0.01
1727657,1,-0.97,-0.09,-0.01
1727658,1,-0.97,-0.09,-0.01
1727660,1,-0.97,-0.09,-0.01
1727662,1,-0.97,-0.09,-0.01
1727663,1,-0.97,-0.09,-0.01
1727665,1,-0.98,-0.09,-0.00
1727667,1,-0.98,-0.09,-0.00
1727668,1,-0.98,-0.09,-0.00
1727670,1,-0.98,-0.09,-0.00
1727672,1,-0.98,-0.09,-0.00
1727673,1,-0.98,-0.09,-0.00
1727675,1,-0.97,-0.08,-0.00
1727677,1,-0.97,-0.08,-0.00
1727678,1,-0.97,-0.08,-0.00
1727680,1,-0.97,-0.08,-0.00
1727682,1,-0.97,-0.08,-0.00
1727683,1,-0.97,-0.08,-0.00
1727685,1,-0.97,-0.09,-0.01
1727687,1,-0.97,-0.09,-0.01
1727688,1,-0.97,-0.09,-0.01
1727690,1,-0.97,-0.09,-0.01
1727692,1,-0.97,-0.09,-0.01
1727693,1,-0.97,-0.09,-0.01
1727695,1,-0.97,-0.08,-0.00
1727697,1,-0.97,-0.08,-0.00
1727698,1,-0.97,-0.08,-0.00
1727700,1,-0.97,-0.08,-0.00
1727702,1,-0.97,-0.08,-0.00
1727703,1,-0.97,-0.08,-0.00
1727705,1,-0.97,-0.09,0.00
1727707,1,-0.97,-0.09,0.00
1727708,1,-0.97,-0.09,0.00
1727710,1,-0.97,-0.09,0.00
1727712,1,-0.97,-0.09,0.00
1727713,1,-0.97,-0.09,-0.01
1727715,1,-0.98,-0.08,-0.01
1727717,1,-0.98,-0.08,-0.01
1727718,1,-0.98,-0.08,-0.01
1727720,1,-0.98,-0.08,-0.01
1727722,1,-0.98,-0.08,-0.01
1727723,1,-0.98,-0.08,-0.01
1727725,1,-0.98,-0.08,-0.01
1727727,1,-0.98,-0.08,-0.01
1727728,1,-0.98,-0.08,-0.01
1727730,1,-0.98,-0.08,-0.01
1727732,1,-0.98,-0.08,-0.01
1727733,1,-0.98,-0.08,-0.00
1727735,1,-0.98,-0.08,-0.00
1727737,1,-0.98,-0.08,-0.00
1727738,1,-0.98,-0.08,-0.00
1727740,1,-0.98,-0.08,-0.00
1727742,1,-0.98,-0.08,-0.00
1727743,1,-0.98,-0.08,-0.01
1727745,1,-0.98,-0.08,-0.01
1727747,1,-0.98,-0.08,-0.01
1727748,1,-0.98,-0.08,-0.01
1727750,1,-0.98,-0.08,-0.01
1727752,1,-0.98,-0.08,-0.01
1727753,1,-0.97,-0.08,-0.01
1727755,1,-0.97,-0.08,-0.01
1727757,1,-0.97,-0.08,-0.01
1727758,1,-0.97,-0.08,-0.01
1727760,1,-0.97,-0.08,-0.01
1727762,1,-0.97,-0.08,-0.01
1727763,1,-0.97,-0.09,-0.01
1727765,1,-0.97,-0.09,-0.01
1727767,1,-0.97,-0.09,-0.01
1727768,1,-0.97,-0.09,-0.01
1727770,1,-0.97,-0.09,-0.01
1727772,1,-0.97,-0.09,-0.01
1727773,1,-0.98,-0.09,0.00
1727775,1,-0.98,-0.09,0.00
1727777,1,-0.98,-0.09,0.00
1727778,1,-0.98,-0.09,0.00
1727780,1,-0.98,-0.09,0.00
1727782,1,-0.98,-0.09,-0.12
1727783,1,-0.98,-0.08,-0.00
1727785,1,-0.98,-0.08,-0.00
1727787,1,-0.98,-0.08,-0.00
1727788,1,-0.98,-0.08,-0.00
1727790,1,-0.98,-0.08,-0.00
1727792,1,-0.98,-0.09,-0.01
1727793,1,-0.97,-0.09,-0.01
1727795,1,-0.97,-0.09,-0.01
1727797,1,-0.97,-0.09,-0.01
1727798,1,-0.97,-0.09,-0.01
1727800,1,-0.97,-0.09,-0.01
1727802,1,-0.98,-0.09,-0.01
1727803,1,-0.98,-0.09,-0.01
1727805,1,-0.98,-0.09,-0.01
1727807,1,-0.98,-0.09,-0.01
1727808,1,-0.98,-0.09,-0.01
1727810,1,-0.98,-0.09,-0.01
1727812,1,-0.98,-0.08,0.00
1727813,1,-0.98,-0.08,0.00
1727815,1,-0.98,-0.08,0.00
1727817,1,-0.98,-0.08,0.00
1727818,1,-0.98,-0.08,0.00
1727820,1,-0.98,-0.08,0.00
1727822,1,-0.97,-0.08,-0.01
1727823,1,-0.97,-0.08,-0.01
1727825,1,-0.97,-0.08,-0.01
1727827,1,-0.97,-0.08,-0.01
1727828,1,-0.97,-0.08,-0.01
1727830,1,-0.97,-0.08,-0.01
1727832,1,-0.98,-0.08,-0.00
1727833,1,-0.98,-0.08,-0.00
1727835,1,-0.98,-0.08,-0.00
1727837,1,-0.98,-0.08,-0.00
1727838,1,-0.98,-0.08,-0.00
1727840,1,-0.98,-0.08,-0.00
1727842,1,-0.98,-0.08,0.01
1727843,1,-0.98,-0.08,0.01
1727845,1,-0.98,-0.08,0.01
1727847,1,-0.98,-0.08,0.01
1727848,1,-0.98,-0.08,0.01
1727850,1,-0.98,-0.08,-0.12
1727852,1,-0.98,-0.08,-0.01
1727853,1,-0.98,-0.08,-0.01
1727855,1,-0.98,-0.08,-0.01
1727857,1,-0.98,-0.08,-0.01
1727858,1,-0.98,-0.08,-0.01
1727860,1,-0.98,-0.09,-0.01
1727862,1,-0.98,-0.09,-0.01
1727863,1,-0.98,-0.09,-0.01
1727865,1,-0.98,-0.09,-0.01
1727867,1,-0.98,-0.09,-0.01
1727868,1,-0.98,-0.09,-0.01
1727870,1,-0.97,-0.09,0.00
1727872,1,-0.97,-0.09,0.00
1727873,1,-0.97,-0.09,0.00
1727875,1,-0.97,-0.09,0.00
1727877,1,-0.97,-0.09,0.00
1727878,1,-0.97,-0.09,0.00
1727880,1,-0.98,-0.09,-0.01
1727882,1,-0.98,-0.09,-0.01
1727883,1,-0.98,-0.09,-0.01
1727885,1,-0.98,-0.09,-0.01
1727887,1,-0.98,-0.09,-0.01
1727888,1,-0.98,-0.09,-0.01
1727890,1,-0.98,-0.09,-0.01
1727892,1,-0.98,-0.09,-0.01
1727893,1,-0.98,-0.09,-0.01
1727895,1,-0.98,-0.09,-0.01
1727897,1,-0.98,-0.09,-0.01
1727898,1,-0.98,-0.09,-0.01
1727900,1,-0.98,-0.09,-0.01
1727902,1,-0.98,-0.09,-0.01
1727903,1,-0.98,-0.09,-0.01
1727905,1,-0.98,-0.09,-0.01
1727907,1,-0.98,-0.09,-0.01
1727908,1,-0.98,-0.09,-0.01
1727910,1,-0.98,-0.09,0.00
1727912,1,-0.98,-0.09,0.00
1727913,1,-0.98,-0.09,0.00
1727915,1,-0.98,-0.09,0.00
1727917,1,-0.98,-0.09,0.00
1727918,1,-0.98,-0.09,-0.13
1727920,1,-0.98,-0.08,-0.00
1727922,1,-0.98,-0.08,-0.00
1727923,1,-0.98,-0.08,-0.00
1727925,1,-0.98,-0.08,-0.00
1727927,1,-0.98,-0.08,-0.00
1727928,1,-0.98,-0.08,0.00
1727930,1,-0.98,-0.08,0.00
1727932,1,-0.98,-0.08,0.00
1727933,0,-0.98,-0.08,0.00
1727935,0,-0.98,-0.08,0.00
1727937,0,-0.98,-0.08,0.00
1727938,0,-0.98,-0.09,-0.00
1727940,0,-0.98,-0.09,-0.00
1727942,0,-0.98,-0.09,-0.00
1727943,0,-0.98,-0.09,-0.00
1727945,0,-0.98,-0.09,-0.00
1727947,0,-0.98,-0.09,-0.00
1727948,0,-0.98,-0.09,-0.01
1727950,0,-0.98,-0.09,-0.01
1727952,0,-0.98,-0.09,-0.01
1727953,0,-0.98,-0.09,-0.01
1727955,0,-0.98,-0.09,-0.01
1727957,0,-0.98,-0.09,-0.01
1727958,0,-0.98,-0.09,-0.01
1727960,0,-0.98,-0.09,-0.01
1727962,0,-0.98,-0.09,-0.01
1727963,0,-0.98,-0.09,-0.01
1727965,0,-0.98,-0.09,-0.01
1727967,0,-0.98,-0.09,-0.01
1727968,0,-0.97,-0.08,-0.01
1727970,0,-0.97,-0.08,-0.01
1727972,0,-0.97,-0.08,-0.01
1727973,0,-0.97,-0.08,-0.01
1727975,0,-0.97,-0.08,-0.01
