t,l,x,y,z
1546670,0,-0.98,-0.04,0.04
1546672,0,-0.98,-0.04,0.04
1546674,0,-0.98,-0.04,0.04
1546675,0,-0.98,-0.04,0.04
1546677,0,-0.98,-0.04,0.04
1546679,0,-0.98,-0.04,0.04
1546680,0,-0.98,-0.04,0.04
1546682,0,-0.98,-0.04,0.04
1546684,0,-0.98,-0.04,0.03
1546685,0,-0.98,-0.04,0.03
1546687,0,-0.98,-0.04,0.03
1546689,0,-0.98,-0.04,0.03
1546690,0,-0.98,-0.04,0.03
1546692,0,-0.98,-0.04,0.03
1546694,0,-0.98,-0.04,0.03
1546695,0,-0.98,-0.04,0.03
1546697,0,-0.98,-0.04,0.03
1546699,0,-0.98,-0.04,0.03
1546700,0,-0.98,-0.04,0.03
1546702,0,-0.98,-0.04,0.03
1546704,0,-0.98,-0.04,0.03
1546705,0,-0.98,-0.04,0.03
1546707,0,-0.98,-0.04,0.03
1546709,0,-0.98,-0.04,0.03
1546710,0,-0.98,-0.04,0.03
1546712,0,-0.98,-0.04,0.03
1546714,0,-0.99,-0.04,0.02
1546715,0,-0.99,-0.04,0.02
1546717,0,-0.99,-0.04,0.02
1546719,0,-0.99,-0.04,0.02
1546720,0,-0.99,-0.04,0.02
1546722,0,-0.99,-0.04,0.02
1546724,0,-0.99,-0.04,0.03
1546725,0,-0.99,-0.04,0.03
1546727,0,-0.99,-0.04,0.03
1546729,0,-0.99,-0.04,0.03
1546730,0,-0.99,-0.04,0.03
1546732,0,-0.99,-0.04,0.03
1546734,0,-0.98,-0.04,0.03
1546735,0,-0.98,-0.04,0.03
1546737,0,-0.98,-0.04,0.03
1546739,0,-0.98,-0.04,0.03
1546740,0,-0.98,-0.04,0.03
1546742,0,-0.98,-0.04,0.03
1546744,0,-0.98,-0.04,0.03
1546745,0,-0.98,-0.04,0.03
1546747,0,-0.98,-0.04,0.03
1546749,0,-0.98,-0.04,0.03
1546750,0,-0.98,-0.04,0.03
1546752,0,-0.97,-0.04,0.03
1546754,0,-0.97,-0.04,0.03
1546755,0,-0.97,-0.04,0.03
1546757,0,-0.97,-0.04,0.03
1546759,0,-0.97,-0.04,0.03
1546760,0,-0.97,-0.04,0.03
1546762,0,-0.98,-0.04,0.03
1546764,0,-0.98,-0.04,0.03
1546765,0,-0.98,-0.04,0.03
1546767,0,-0.98,-0.04,0.03
1546769,0,-0.98,-0.04,0.03
1546770,0,-0.98,-0.04,0.03
1546772,0,-0.98,-0.04,0.03
1546774,0,-0.98,-0.04,0.03
1546775,0,-0.98,-0.04,0.03
1546777,0,-0.98,-0.04,0.03
1546779,0,-0.98,-0.04,0.03
1546780,0,-0.98,-0.04,0.03
1546782,0,-0.98,-0.05,0.03
1546784,0,-0.98,-0.05,0.03
1546785,0,-0.98,-0.05,0.03
1546787,0,-0.98,-0.05,0.03
1546789,0,-0.98,-0.05,0.03
1546790,0,-0.98,-0.05,0.03
1546792,0,-0.98,-0.04,0.03
1546794,0,-0.98,-0.04,0.03
1546795,0,-0.98,-0.04,0.03
1546797,0,-0.98,-0.04,0.03
1546799,0,-0.98,-0.04,0.03
1546800,0,-0.98,-0.04,0.03
1546802,0,-0.98,-0.04,0.03
1546804,0,-0.98,-0.04,0.03
1546805,0,-0.98,-0.04,0.03
1546807,0,-0.98,-0.04,0.03
1546809,0,-0.98,-0.04,0.03
1546810,0,-0.98,-0.04,0.03
1546812,0,-0.98,-0.04,0.03
1546814,0,-0.98,-0.04,0.03
1546815,0,-0.98,-0.04,0.03
1546817,0,-0.98,-0.04,0.03
1546819,0,-0.98,-0.04,0.03
1546820,0,-0.98,-0.04,0.03
1546822,0,-0.98,-0.04,0.03
1546824,0,-0.98,-0.04,0.03
1546825,0,-0.98,-0.04,0.03
1546827,0,-0.98,-0.04,0.03
1546829,0,-0.98,-0.04,0.03
1546830,0,-0.98,-0.04,0.03
1546832,0,-0.98,-0.04,0.03
1546834,0,-0.98,-0.04,0.03
1546835,0,-0.98,-0.04,0.03
1546837,0,-0.98,-0.04,0.03
1546839,0,-0.98,-0.04,0.03
1546840,0,-0.98,-0.04,0.03
1546842,0,-0.98,-0.04,0.03
1546844,0,-0.98,-0.04,0.03
1546845,0,-0.98,-0.04,0.03
1546847,0,-0.98,-0.04,0.03
1546849,0,-0.98,-0.04,0.03
1546850,0,-0.98,-0.04,0.03
1546852,0,-0.98,-0.04,0.03
1546854,0,-0.98,-0.04,0.03
1546855,0,-0.98,-0.04,0.03
1546857,0,-0.98,-0.04,0.03
1546859,0,-0.98,-0.04,0.03
1546860,0,-0.98,-0.04,0.03
1546862,0,-0.98,-0.04,0.03
1546864,0,-0.98,-0.04,0.03
1546865,0,-0.98,-0.04,0.03
1546867,0,-0.98,-0.04,0.03
1546869,0,-0.98,-0.04,0.03
1546870,0,-0.99,-0.04,0.03
1546872,0,-0.99,-0.04,0.03
1546874,0,-0.99,-0.04,0.03
1546875,0,-0.99,-0.04,0.03
1546877,0,-0.99,-0.04,0.03
1546879,0,-0.99,-0.04,0.04
1546880,0,-0.98,-0.04,0.04
1546882,0,-0.98,-0.04,0.04
1546884,0,-0.98,-0.04,0.04
1546885,0,-0.98,-0.04,0.04
1546887,0,-0.98,-0.04,0.04
1546889,0,-0.98,-0.04,0.03
1546890,0,-0.98,-0.04,0.03
1546892,0,-0.98,-0.04,0.03
1546894,0,-0.98,-0.04,0.03
1546895,0,-0.98,-0.04,0.03
1546897,0,-0.98,-0.04,0.03
1546899,0,-0.98,-0.04,0.03
1546900,0,-0.98,-0.04,0.03
1546902,0,-0.98,-0.04,0.03
1546904,0,-0.98,-0.04,0.03
1546905,0,-0.98,-0.04,0.03
1546907,0,-0.98,-0.04,0.03
1546909,0,-0.98,-0.04,0.04
1546910,0,-0.98,-0.04,0.04
1546912,0,-0.98,-0.04,0.04
1546914,0,-0.98,-0.04,0.04
1546915,0,-0.98,-0.04,0.04
1546917,0,-0.98,-0.04,0.04
1546919,0,-0.98,-0.04,0.04
1546920,0,-0.98,-0.04,0.04
1546922,0,-0.98,-0.04,0.04
1546924,0,-0.98,-0.04,0.04
1546925,0,-0.98,-0.04,0.04
1546927,0,-0.98,-0.04,0.04
1546929,0,-0.98,-0.05,0.03
1546930,0,-0.98,-0.05,0.03
1546932,0,-0.98,-0.05,0.03
1546934,0,-0.98,-0.05,0.03
1546935,0,-0.98,-0.05,0.03
1546937,0,-0.98,-0.05,0.03
1546939,0,-0.98,-0.05,0.03
1546940,0,-0.98,-0.05,0.03
1546942,0,-0.98,-0.05,0.03
1546944,0,-0.98,-0.05,0.03
1546945,0,-0.98,-0.05,0.03
1546947,0,-0.98,-0.05,0.03
1546949,0,-0.98,-0.04,0.03
1546950,0,-0.98,-0.04,0.03
1546952,0,-0.98,-0.04,0.03
1546954,0,-0.98,-0.04,0.03
1546955,0,-0.98,-0.04,0.03
1546957,0,-0.99,-0.04,0.03
1546959,0,-0.99,-0.04,0.03
1546960,0,-0.99,-0.04,0.03
1546962,0,-0.99,-0.04,0.03
1546964,0,-0.99,-0.04,0.03
1546965,0,-0.99,-0.04,0.03
1546967,0,-0.99,-0.04,0.03
1546969,0,-0.99,-0.04,0.03
1546970,0,-0.99,-0.04,0.03
1546972,0,-0.99,-0.04,0.03
1546974,0,-0.99,-0.04,0.03
1546975,0,-0.99,-0.04,0.03
1546977,0,-0.98,-0.04,0.03
1546979,0,-0.98,-0.04,0.03
1546980,0,-0.98,-0.04,0.03
1546982,0,-0.98,-0.04,0.03
1546984,0,-0.98,-0.04,0.03
1546985,0,-0.98,-0.04,0.03
1546987,0,-0.98,-0.04,0.02
1546989,0,-0.98,-0.04,0.02
1546990,0,-0.98,-0.04,0.02
1546992,0,-0.98,-0.04,0.02
1546994,0,-0.98,-0.04,0.02
1546995,0,-0.98,-0.04,0.02
1546997,0,-0.99,-0.04,0.02
1546999,0,-0.99,-0.04,0.02
1547000,0,-0.99,-0.04,0.02
1547002,0,-0.99,-0.04,0.02
1547004,0,-0.99,-0.04,0.02
1547005,0,-0.99,-0.04,0.03
1547007,0,-0.98,-0.04,0.03
1547009,0,-0.98,-0.04,0.03
1547010,0,-0.98,-0.04,0.03
1547012,0,-0.98,-0.04,0.03
1547014,0,-0.98,-0.04,0.03
1547015,0,-0.98,-0.04,0.04
1547017,0,-0.97,-0.04,0.04
1547019,0,-0.97,-0.04,0.04
1547020,0,-0.97,-0.04,0.04
1547022,0,-0.97,-0.04,0.04
1547024,0,-0.97,-0.04,0.04
1547025,0,-0.98,-0.04,0.03
1547027,0,-0.98,-0.04,0.03
1547029,0,-0.98,-0.04,0.03
1547030,0,-0.98,-0.04,0.03
1547032,0,-0.98,-0.04,0.03
1547034,0,-0.98,-0.04,0.03
1547035,0,-0.99,-0.04,0.03
1547037,0,-0.99,-0.04,0.03
1547039,0,-0.99,-0.04,0.03
1547040,0,-0.99,-0.04,0.03
1547042,0,-0.99,-0.04,0.03
1547044,0,-0.99,-0.04,0.03
1547045,0,-0.99,-0.05,0.02
1547047,0,-0.99,-0.05,0.02
1547048,0,-0.99,-0.05,0.02
1547050,0,-0.99,-0.05,0.02
1547052,0,-0.99,-0.05,0.02
1547053,0,-0.99,-0.05,0.02
1547055,0,-0.99,-0.04,0.03
1547057,0,-0.99,-0.04,0.03
1547058,0,-0.99,-0.04,0.03
1547060,0,-0.99,-0.04,0.03
1547062,0,-0.99,-0.04,0.03
1547063,0,-0.99,-0.04,0.03
1547065,0,-0.99,-0.04,0.02
1547067,0,-0.99,-0.04,0.02
1547068,0,-0.99,-0.04,0.02
1547070,0,-0.99,-0.04,0.02
1547072,0,-0.99,-0.04,0.02
1547073,0,-0.99,-0.04,0.02
1547075,0,-0.98,-0.04,0.03
1547077,0,-0.98,-0.04,0.03
1547078,0,-0.98,-0.04,0.03
1547080,0,-0.98,-0.04,0.03
1547082,0,-0.98,-0.04,0.03
1547083,0,-0.98,-0.04,0.03
1547085,0,-0.98,-0.04,0.02
1547087,0,-0.98,-0.04,0.02
1547088,0,-0.98,-0.04,0.02
1547090,0,-0.98,-0.04,0.02
1547092,0,-0.98,-0.04,0.02
1547093,0,-0.98,-0.04,0.03
1547095,0,-0.98,-0.05,0.03
1547097,0,-0.98,-0.05,0.03
1547098,0,-0.98,-0.05,0.03
1547100,0,-0.98,-0.05,0.03
1547102,0,-0.98,-0.05,0.03
