t,l,x,y,z
2294632,0,-0.98,-0.01,0.00
2294633,0,-0.98,-0.01,0.00
2294635,0,-0.98,-0.01,0.00
2294636,0,-0.98,-0.01,0.00
2294638,0,-0.98,-0.01,0.00
2294640,0,-0.98,-0.01,0.00
2294642,0,-0.99,-0.01,0.00
2294643,0,-0.99,-0.01,0.00
2294645,0,-0.99,-0.01,0.00
2294647,0,-0.99,-0.01,0.00
2294648,0,-0.99,-0.01,0.00
2294650,0,-0.99,-0.01,0.00
2294652,0,-0.98,-0.00,-0.00
2294653,0,-0.98,-0.00,-0.00
2294655,0,-0.98,-0.00,-0.00
2294656,0,-0.98,-0.00,-0.00
2294658,0,-0.98,-0.00,-0.00
2294660,0,-0.98,-0.00,-0.00
2294662,0,-0.98,0.00,-0.00
2294663,0,-0.98,0.00,-0.00
2294665,0,-0.98,0.00,-0.00
2294666,0,-0.98,0.00,-0.00
2294668,0,-0.98,0.00,-0.00
2294670,0,-0.98,0.00,-0.00
2294671,0,-0.98,0.00,-0.01
2294673,0,-0.98,0.00,-0.01
2294675,0,-0.98,0.00,-0.01
2294676,0,-0.98,0.00,-0.01
2294678,0,-0.98,0.00,-0.01
2294680,0,-0.98,0.00,-0.01
2294681,0,-0.99,0.01,-0.01
2294683,0,-0.99,0.01,-0.01
2294685,0,-0.99,0.01,-0.01
2294686,0,-0.99,0.01,-0.01
2294688,0,-0.99,0.01,-0.01
2294690,0,-0.99,0.01,-0.01
2294691,0,-0.99,0.00,-0.00
2294693,0,-0.99,0.00,-0.00
2294695,0,-0.99,0.00,-0.00
2294696,0,-0.99,0.00,-0.00
2294698,0,-0.99,0.00,-0.00
2294699,0,-0.99,0.00,-0.00
2294701,0,-0.98,0.00,-0.01
2294703,0,-0.98,0.00,-0.01
2294704,0,-0.98,0.00,-0.01
2294706,0,-0.98,0.00,-0.01
2294708,0,-0.98,0.00,-0.01
2294709,0,-0.98,0.00,-0.01
2294711,0,-0.98,-0.01,-0.01
2294713,0,-0.98,-0.01,-0.01
2294714,0,-0.98,-0.01,-0.01
2294716,0,-0.98,-0.01,-0.01
2294718,0,-0.98,-0.01,-0.01
2294719,0,-0.98,-0.01,-0.01
2294721,0,-0.99,-0.01,-0.01
2294723,0,-0.99,-0.01,-0.01
2294724,0,-0.99,-0.01,-0.01
2294726,0,-0.99,-0.01,-0.01
2294728,0,-0.99,-0.01,-0.01
2294730,0,-0.99,-0.01,-0.01
2294731,0,-0.99,-0.01,-0.01
2294733,0,-0.99,-0.01,-0.01
2294735,0,-0.99,-0.01,-0.01
2294736,0,-0.99,-0.01,-0.01
2294738,0,-0.99,-0.01,-0.01
2294740,0,-0.98,-0.01,-0.01
2294741,0,-0.98,-0.01,-0.01
2294743,0,-0.98,-0.01,-0.01
2294745,0,-0.98,-0.01,-0.01
2294746,0,-0.98,-0.01,-0.01
2294748,0,-0.98,-0.01,-0.01
2294750,0,-0.98,-0.01,-0.01
2294751,0,-0.98,-0.01,-0.01
2294753,0,-0.98,-0.01,-0.01
2294755,0,-0.98,-0.01,-0.01
2294756,0,-0.98,-0.01,-0.01
2294758,0,-0.98,-0.01,-0.01
2294760,0,-0.98,-0.01,-0.00
2294761,0,-0.98,-0.01,-0.00
2294763,0,-0.98,-0.01,-0.00
2294765,0,-0.98,-0.01,-0.00
2294766,0,-0.98,-0.01,-0.00
2294768,0,-0.98,-0.01,-0.00
2294770,0,-0.98,-0.01,-0.00
2294771,0,-0.98,-0.01,-0.00
2294773,0,-0.98,-0.01,-0.00
2294775,0,-0.98,-0.01,-0.00
2294777,0,-0.98,-0.01,-0.00
2294778,0,-0.98,-0.01,-0.00
2294780,0,-0.98,-0.01,-0.00
2294782,0,-0.98,-0.01,-0.00
2294783,0,-0.98,-0.01,-0.00
2294785,0,-0.98,-0.01,-0.00
2294787,0,-0.98,-0.01,-0.00
2294788,0,-0.98,-0.01,0.00
2294790,0,-0.98,-0.01,0.00
2294792,0,-0.98,-0.01,0.00
2294793,0,-0.98,-0.01,0.00
2294795,0,-0.98,-0.01,0.00
2294797,0,-0.98,-0.01,0.00
2294798,0,-0.98,-0.00,-0.00
2294800,0,-0.98,-0.00,-0.00
2294802,0,-0.98,-0.00,-0.00
2294803,0,-0.98,-0.00,-0.00
2294805,0,-0.98,-0.00,-0.00
2294807,0,-0.98,-0.00,-0.00
2294808,0,-0.99,0.00,-0.00
2294810,0,-0.99,0.00,-0.00
2294812,0,-0.99,0.00,-0.00
2294813,0,-0.99,0.00,-0.00
2294815,0,-0.99,0.00,-0.00
2294816,0,-0.99,0.00,-0.00
2294818,0,-0.98,0.00,0.00
2294820,0,-0.98,0.00,0.00
2294821,0,-0.98,0.00,0.00
2294823,0,-0.98,0.00,0.00
2294825,0,-0.98,0.00,0.00
2294826,0,-0.98,0.00,0.00
2294828,0,-0.98,0.00,0.01
2294829,0,-0.98,0.00,0.01
2294831,0,-0.98,0.00,0.01
2294833,0,-0.98,0.00,0.01
2294834,0,-0.98,0.00,0.01
2294836,0,-0.98,0.00,0.01
2294838,0,-0.98,-0.01,0.01
2294839,0,-0.98,-0.01,0.01
2294841,0,-0.98,-0.01,0.01
2294843,0,-0.98,-0.01,0.01
2294844,0,-0.98,-0.01,0.01
2294846,0,-0.98,-0.01,0.01
2294848,0,-0.98,-0.01,0.01
2294849,0,-0.98,-0.01,0.01
2294851,0,-0.98,-0.01,0.01
2294853,0,-0.98,-0.01,0.01
2294854,0,-0.98,-0.01,0.01
2294856,0,-0.98,-0.01,0.01
2294858,0,-0.98,-0.00,-0.00
2294859,0,-0.98,-0.00,-0.00
2294861,0,-0.98,-0.00,-0.00
2294863,0,-0.98,-0.00,-0.00
2294864,0,-0.98,-0.00,-0.00
2294866,0,-0.98,-0.00,-0.00
2294867,0,-0.98,-0.00,-0.00
2294869,0,-0.98,-0.00,-0.00
2294871,0,-0.98,-0.00,-0.00
2294873,0,-0.98,-0.00,-0.00
2294874,0,-0.98,-0.00,-0.00
2294876,0,-0.98,-0.00,-0.01
2294878,0,-0.98,-0.00,-0.01
2294879,0,-0.98,-0.00,-0.01
2294881,0,-0.98,-0.00,-0.01
2294882,0,-0.98,-0.00,-0.01
2294884,0,-0.98,-0.00,-0.01
2294886,0,-0.99,-0.02,-0.02
2294887,0,-0.99,-0.02,-0.02
2294889,0,-0.99,-0.02,-0.02
2294891,0,-0.99,-0.02,-0.02
2294892,0,-0.99,-0.02,-0.02
2294894,0,-0.99,-0.02,-0.02
2294896,0,-0.99,-0.02,-0.02
2294897,0,-0.99,-0.02,-0.02
2294899,0,-0.99,-0.02,-0.02
2294901,0,-0.99,-0.02,-0.02
2294902,0,-0.99,-0.02,-0.02
2294904,0,-0.99,-0.02,-0.02
2294906,0,-0.99,-0.02,-0.02
2294907,0,-0.99,-0.02,-0.02
2294909,0,-0.99,-0.02,-0.02
2294911,0,-0.99,-0.02,-0.02
2294912,0,-0.99,-0.02,-0.02
2294914,0,-0.99,-0.02,-0.02
2294916,0,-0.98,-0.02,-0.02
2294917,0,-0.98,-0.02,-0.02
2294919,0,-0.98,-0.02,-0.02
2294921,0,-0.98,-0.02,-0.02
2294922,0,-0.98,-0.02,-0.02
2294924,0,-0.98,-0.02,-0.02
2294926,0,-0.99,-0.02,-0.01
2294928,0,-0.99,-0.02,-0.01
2294929,0,-0.99,-0.02,-0.01
2294931,0,-0.99,-0.02,-0.01
2294932,0,-0.99,-0.02,-0.01
2294934,0,-0.99,-0.02,-0.01
2294936,0,-0.99,-0.02,-0.01
2294938,0,-0.99,-0.02,-0.01
2294939,0,-0.99,-0.02,-0.01
2294941,0,-0.99,-0.02,-0.01
2294943,0,-0.99,-0.02,-0.01
2294944,0,-0.99,-0.02,-0.02
2294946,0,-0.99,-0.02,-0.02
2294948,0,-0.99,-0.02,-0.02
2294949,0,-0.99,-0.02,-0.02
2294951,0,-0.99,-0.02,-0.02
2294952,0,-0.99,-0.02,-0.02
2294954,0,-0.99,-0.02,-0.02
2294956,0,-0.99,-0.02,-0.02
2294957,0,-0.99,-0.02,-0.02
2294959,0,-0.99,-0.02,-0.02
2294961,0,-0.99,-0.02,-0.02
2294962,0,-0.99,-0.02,-0.02
2294964,0,-0.98,-0.02,-0.01
2294966,0,-0.98,-0.02,-0.01
2294967,0,-0.98,-0.02,-0.01
2294969,0,-0.98,-0.02,-0.01
2294971,0,-0.98,-0.02,-0.01
2294972,0,-0.98,-0.02,-0.01
2294974,0,-0.98,-0.01,0.00
2294976,0,-0.98,-0.01,0.00
2294977,0,-0.98,-0.01,0.00
2294979,0,-0.98,-0.01,0.00
2294981,0,-0.98,-0.01,0.00
2294982,0,-0.98,-0.01,0.00
2294984,0,-0.98,-0.01,0.00
2294986,0,-0.98,-0.01,0.00
2294987,0,-0.98,-0.01,0.00
2294989,0,-0.98,-0.01,0.00
2294991,0,-0.98,-0.01,0.00
2294992,0,-0.98,-0.01,0.00
2294994,0,-0.99,-0.01,0.01
2294996,0,-0.99,-0.01,0.01
2294997,0,-0.99,-0.01,0.01
2294999,0,-0.99,-0.01,0.01
2295001,0,-0.99,-0.01,0.01
2295002,0,-0.99,-0.01,0.01
2295004,0,-0.98,-0.00,0.01
2295006,0,-0.98,-0.00,0.01
2295007,0,-0.98,-0.00,0.01
2295009,0,-0.98,-0.00,0.01
2295010,0,-0.98,-0.00,0.01
2295012,0,-0.98,-0.00,0.01
2295014,0,-0.98,0.00,0.00
2295015,0,-0.98,0.00,0.00
2295017,0,-0.98,0.00,0.00
2295019,0,-0.98,0.00,0.00
2295020,0,-0.98,0.00,0.00
2295022,0,-0.98,0.00,0.00
2295024,0,-0.98,0.01,0.00
2295025,0,-0.98,0.01,0.00
2295027,0,-0.98,0.01,0.00
2295028,0,-0.98,0.01,0.00
2295030,0,-0.98,0.01,0.00
2295032,0,-0.98,0.01,0.00
2295034,0,-0.99,0.01,0.01
2295035,0,-0.99,0.01,0.01
2295037,0,-0.99,0.01,0.01
2295038,0,-0.99,0.01,0.01
2295040,0,-0.99,0.01,0.01
2295042,0,-0.99,0.01,-0.00
2295043,0,-0.98,0.01,-0.00
2295045,0,-0.98,0.01,-0.00
2295047,0,-0.98,0.01,-0.00
2295048,0,-0.98,0.01,-0.00
2295050,0,-0.98,0.01,-0.00
2295052,0,-0.98,0.01,-0.01
2295053,0,-0.99,0.01,-0.01
2295055,0,-0.99,0.01,-0.01
2295057,0,-0.99,0.01,-0.01
2295058,0,-0.99,0.01,-0.01
2295060,0,-0.99,0.01,-0.01
2295062,0,-0.99,0.01,-0.02
