t,l,x,y,z
15510085,1,-0.98,0.03,0.03
15510087,1,-0.98,0.03,0.03
15510088,1,-0.98,0.03,0.03
15510090,1,-0.98,0.03,0.03
15510092,1,-0.99,0.03,0.04
15510093,1,-0.99,0.03,0.04
15510095,1,-0.99,0.03,0.04
15510097,1,-0.99,0.03,0.04
15510098,1,-0.99,0.03,0.04
15510100,1,-0.99,0.03,0.04
15510102,1,-0.98,0.03,0.04
15510103,1,-0.98,0.03,0.04
15510105,1,-0.98,0.03,0.04
15510107,1,-0.98,0.03,0.04
15510108,1,-0.98,0.03,0.04
15510110,1,-0.98,0.03,0.04
15510112,1,-0.98,0.03,0.04
15510113,1,-0.98,0.03,0.04
15510115,1,-0.98,0.03,0.04
15510117,1,-0.98,0.03,0.04
15510118,1,-0.98,0.03,0.04
15510120,1,-0.99,0.03,0.04
15510122,1,-0.99,0.03,0.04
15510123,1,-0.99,0.03,0.04
15510125,1,-0.99,0.03,0.04
15510127,1,-0.99,0.03,0.04
15510128,1,-0.99,0.03,0.04
15510130,1,-0.98,0.03,0.04
15510132,1,-0.98,0.03,0.04
15510133,1,-0.98,0.03,0.04
15510135,1,-0.98,0.03,0.04
15510137,1,-0.98,0.03,0.04
15510138,1,-0.98,0.03,0.04
15510140,1,-0.98,0.03,0.04
15510142,1,-0.98,0.03,0.04
15510143,1,-0.98,0.03,0.04
15510145,1,-0.98,0.03,0.04
15510147,1,-0.98,0.03,0.04
15510148,1,-0.98,0.03,0.04
15510150,1,-0.98,0.03,0.05
15510152,1,-0.98,0.03,0.05
15510153,1,-0.98,0.03,0.05
15510155,1,-0.98,0.03,0.05
15510157,1,-0.98,0.03,0.05
15510158,1,-0.98,0.03,0.05
15510160,1,-0.98,0.03,0.05
15510162,1,-0.98,0.03,0.05
15510163,1,-0.98,0.03,0.05
15510165,1,-0.98,0.03,0.05
15510167,1,-0.98,0.03,0.05
15510168,1,-0.98,0.03,0.05
15510170,1,-0.98,0.03,0.05
15510172,1,-0.98,0.03,0.05
15510173,1,-0.98,0.03,0.05
15510175,1,-0.98,0.03,0.05
15510177,1,-0.98,0.03,0.05
15510178,1,-0.98,0.03,0.06
15510180,1,-0.99,0.03,0.06
15510182,1,-0.99,0.03,0.06
15510183,1,-0.99,0.03,0.06
15510185,1,-0.99,0.03,0.06
15510187,1,-0.99,0.03,0.06
15510188,1,-0.98,0.02,0.05
15510190,1,-0.98,0.02,0.05
15510192,1,-0.98,0.02,0.05
15510193,1,-0.98,0.02,0.05
15510195,1,-0.98,0.02,0.05
15510197,1,-0.98,0.02,0.05
15510198,1,-0.98,0.02,0.05
15510200,1,-0.98,0.02,0.05
15510202,1,-0.98,0.02,0.05
15510203,1,-0.98,0.02,0.05
15510205,1,-0.98,0.02,0.05
15510207,1,-0.98,0.02,0.05
15510208,1,-0.98,0.02,0.05
15510210,1,-0.98,0.02,0.05
15510212,1,-0.98,0.02,0.05
15510213,1,-0.98,0.02,0.05
