t,l,x,y,z
15347884,0,-0.98,-0.02,0.05
15347886,0,-0.98,-0.02,0.05
15347887,0,-0.98,-0.02,0.05
15347889,0,-0.98,-0.02,0.05
15347891,0,-0.98,-0.02,0.06
15347892,0,-0.99,-0.03,0.06
15347894,0,-0.99,-0.03,0.06
15347896,0,-0.99,-0.03,0.06
15347897,0,-0.99,-0.03,0.06
15347899,0,-0.99,-0.03,0.06
15347901,0,-0.99,-0.02,0.08
15347902,0,-0.99,-0.02,0.08
15347904,0,-0.99,-0.02,0.08
15347906,0,-0.99,-0.02,0.08
15347907,0,-0.99,-0.02,0.08
15347909,0,-0.99,-0.02,0.08
15347911,0,-0.99,-0.02,0.10
15347912,0,-0.99,-0.02,0.10
15347914,0,-0.99,-0.02,0.10
15347916,0,-0.99,-0.02,0.10
15347917,0,-0.99,-0.02,0.10
15347919,0,-0.99,-0.02,0.10
15347921,0,-0.97,-0.02,0.10
15347922,0,-0.97,-0.02,0.10
15347924,0,-0.97,-0.02,0.10
15347926,0,-0.97,-0.02,0.10
15347927,0,-0.97,-0.02,0.10
15347929,0,-0.97,-0.02,0.10
15347931,0,-0.97,-0.01,0.11
15347932,0,-0.97,-0.01,0.11
15347934,0,-0.97,-0.01,0.11
15347936,0,-0.97,-0.01,0.11
15347937,0,-0.97,-0.01,0.11
15347939,0,-0.97,-0.01,0.11
15347941,0,-0.98,-0.01,0.09
15347942,0,-0.98,-0.01,0.09
15347944,0,-0.98,-0.01,0.09
15347946,0,-0.98,-0.01,0.09
15347947,0,-0.98,-0.01,0.09
15347949,0,-0.98,-0.01,0.09
15347951,0,-0.97,-0.01,0.08
15347952,0,-0.97,-0.01,0.08
15347954,0,-0.97,-0.01,0.08
15347956,0,-0.97,-0.01,0.08
15347957,0,-0.97,-0.01,0.08
15347959,0,-0.97,-0.01,0.07
15347961,0,-0.98,-0.02,0.07
15347962,0,-0.98,-0.02,0.07
15347964,0,-0.98,-0.02,0.07
15347966,0,-0.98,-0.02,0.07
15347967,0,-0.98,-0.02,0.07
15347969,0,-0.98,-0.02,0.05
15347971,0,-0.98,-0.02,0.05
15347972,0,-0.98,-0.02,0.05
15347974,0,-0.98,-0.02,0.05
15347976,0,-0.98,-0.02,0.05
15347977,0,-0.98,-0.02,0.05
15347979,0,-0.97,-0.02,0.05
15347981,0,-0.97,-0.02,0.05
15347982,0,-0.97,-0.02,0.05
15347984,0,-0.97,-0.02,0.05
15347986,0,-0.97,-0.02,0.05
15347987,0,-0.97,-0.02,0.05
15347989,0,-0.97,-0.02,0.04
15347991,0,-0.97,-0.02,0.04
15347993,0,-0.97,-0.02,0.04
15347994,0,-0.97,-0.02,0.04
15347996,0,-0.97,-0.02,0.04
15347997,0,-0.97,-0.02,0.04
15347999,0,-0.99,-0.02,0.05
15348001,0,-0.99,-0.02,0.05
15348002,0,-0.99,-0.02,0.05
15348004,0,-0.99,-0.02,0.05
15348006,0,-0.99,-0.02,0.05
15348007,0,-0.99,-0.02,0.05
15348009,0,-0.99,-0.03,0.06
15348011,0,-0.99,-0.03,0.06
15348012,0,-0.99,-0.03,0.06
15348014,0,-0.99,-0.03,0.06
15348016,0,-0.99,-0.03,0.06
15348017,0,-0.99,-0.03,0.06
15348019,0,-0.98,-0.03,0.08
15348021,0,-0.98,-0.03,0.08
15348022,0,-0.98,-0.03,0.08
15348024,0,-0.98,-0.03,0.08
15348026,0,-0.98,-0.03,0.08
