t,l,x,y,z
3934384,0,-0.92,-0.03,0.34
3934385,0,-0.92,-0.03,0.34
3934387,0,-0.92,-0.03,0.34
3934389,0,-0.92,-0.03,0.34
3934390,0,-0.92,-0.03,0.34
3934392,0,-0.92,-0.03,0.34
3934394,0,-0.92,-0.03,0.34
3934395,0,-0.92,-0.03,0.34
3934397,0,-0.92,-0.03,0.33
3934399,0,-0.93,-0.03,0.33
3934401,0,-0.93,-0.03,0.33
3934402,0,-0.93,-0.03,0.33
3934404,0,-0.93,-0.03,0.33
3934406,0,-0.93,-0.03,0.33
3934407,0,-0.93,-0.03,0.34
3934409,0,-0.93,-0.03,0.34
3934411,0,-0.93,-0.03,0.34
3934412,0,-0.93,-0.03,0.34
3934414,0,-0.93,-0.03,0.34
3934416,0,-0.93,-0.03,0.34
3934418,0,-0.92,-0.02,0.34
3934419,0,-0.92,-0.02,0.34
3934421,0,-0.92,-0.02,0.34
3934423,0,-0.92,-0.02,0.34
3934424,0,-0.92,-0.02,0.34
3934426,0,-0.92,-0.02,0.34
3934428,0,-0.92,-0.02,0.34
3934429,0,-0.92,-0.02,0.34
3934431,0,-0.92,-0.02,0.34
3934433,0,-0.92,-0.02,0.34
3934434,0,-0.92,-0.02,0.34
3934436,0,-0.92,-0.02,0.34
3934438,0,-0.92,-0.02,0.34
3934439,0,-0.92,-0.02,0.34
3934441,0,-0.92,-0.02,0.34
3934443,0,-0.92,-0.02,0.34
3934444,0,-0.92,-0.02,0.34
3934446,0,-0.92,-0.02,0.35
3934448,0,-0.91,-0.01,0.35
3934449,0,-0.91,-0.01,0.35
3934451,0,-0.91,-0.01,0.35
3934453,0,-0.91,-0.01,0.35
3934454,0,-0.91,-0.01,0.35
3934456,0,-0.92,-0.01,0.35
3934458,0,-0.92,-0.01,0.35
3934459,0,-0.92,-0.01,0.35
3934461,0,-0.92,-0.01,0.35
3934463,0,-0.92,-0.01,0.35
3934464,0,-0.92,-0.01,0.35
3934466,0,-0.92,-0.01,0.35
3934468,0,-0.92,-0.01,0.35
3934469,0,-0.92,-0.01,0.35
3934471,0,-0.92,-0.01,0.35
3934473,0,-0.92,-0.01,0.35
3934474,0,-0.92,-0.01,0.35
3934476,0,-0.92,-0.02,0.34
3934478,0,-0.92,-0.02,0.34
3934479,0,-0.92,-0.02,0.34
3934481,0,-0.92,-0.02,0.34
3934483,0,-0.92,-0.02,0.34
3934484,0,-0.92,-0.02,0.34
3934486,0,-0.92,-0.03,0.33
3934488,0,-0.92,-0.03,0.33
3934489,0,-0.92,-0.03,0.33
3934491,0,-0.92,-0.03,0.33
3934493,0,-0.92,-0.03,0.33
3934494,0,-0.92,-0.03,0.33
3934496,0,-0.93,-0.03,0.32
3934498,0,-0.93,-0.03,0.32
3934499,0,-0.93,-0.03,0.32
3934501,0,-0.93,-0.03,0.32
3934503,0,-0.93,-0.03,0.32
3934504,0,-0.93,-0.03,0.32
3934506,0,-0.92,-0.04,0.32
3934508,0,-0.92,-0.04,0.32
3934509,0,-0.92,-0.04,0.32
3934511,0,-0.92,-0.04,0.32
3934513,0,-0.92,-0.04,0.32
3934514,0,-0.92,-0.04,0.31
3934516,0,-0.92,-0.03,0.31
3934518,0,-0.92,-0.03,0.31
3934519,0,-0.92,-0.03,0.31
3934521,0,-0.92,-0.03,0.31
3934522,0,-0.92,-0.03,0.31
3934524,0,-0.92,-0.03,0.32
3934526,0,-0.92,-0.03,0.32
3934528,0,-0.92,-0.03,0.32
3934529,0,-0.92,-0.03,0.32
3934531,0,-0.92,-0.03,0.32
3934533,0,-0.92,-0.03,0.32
3934534,0,-0.92,-0.03,0.33
3934536,0,-0.92,-0.03,0.33
3934538,0,-0.92,-0.03,0.33
3934539,0,-0.92,-0.03,0.33
3934541,0,-0.92,-0.03,0.33
3934543,0,-0.92,-0.03,0.33
3934544,0,-0.93,-0.03,0.34
3934546,0,-0.93,-0.03,0.34
3934548,0,-0.93,-0.03,0.34
3934549,0,-0.93,-0.03,0.34
3934551,0,-0.93,-0.03,0.34
3934553,0,-0.93,-0.03,0.34
3934554,0,-0.92,-0.02,0.35
3934556,0,-0.92,-0.02,0.35
3934558,0,-0.92,-0.02,0.35
3934559,0,-0.92,-0.02,0.35
3934561,0,-0.92,-0.02,0.35
3934563,0,-0.92,-0.02,0.35
3934564,0,-0.92,-0.02,0.35
3934566,0,-0.92,-0.02,0.35
3934568,0,-0.92,-0.02,0.35
3934569,0,-0.92,-0.02,0.35
3934571,0,-0.92,-0.02,0.35
3934573,0,-0.92,-0.02,0.35
3934574,0,-0.92,-0.02,0.35
3934576,0,-0.92,-0.02,0.35
3934578,0,-0.92,-0.02,0.35
3934579,0,-0.92,-0.02,0.35
3934581,0,-0.92,-0.02,0.35
3934583,0,-0.92,-0.02,0.35
3934584,0,-0.92,-0.02,0.35
3934586,0,-0.92,-0.02,0.35
3934588,0,-0.92,-0.02,0.35
3934589,0,-0.92,-0.02,0.35
3934591,0,-0.92,-0.02,0.35
3934593,0,-0.93,-0.02,0.35
3934594,0,-0.93,-0.02,0.35
3934596,0,-0.93,-0.02,0.35
3934598,0,-0.93,-0.02,0.35
3934599,0,-0.93,-0.02,0.35
3934601,0,-0.93,-0.02,0.35
3934603,0,-0.92,-0.02,0.34
3934605,0,-0.92,-0.02,0.34
3934606,0,-0.92,-0.02,0.34
3934608,0,-0.92,-0.02,0.34
3934610,0,-0.92,-0.02,0.34
3934611,0,-0.92,-0.02,0.34
3934613,0,-0.92,-0.02,0.34
3934615,0,-0.92,-0.02,0.34
3934616,0,-0.92,-0.02,0.34
3934618,0,-0.92,-0.02,0.34
3934620,0,-0.92,-0.02,0.34
3934621,0,-0.92,-0.02,0.34
3934623,0,-0.92,-0.02,0.34
3934625,0,-0.92,-0.02,0.34
3934626,0,-0.92,-0.02,0.34
3934628,0,-0.92,-0.02,0.34
3934630,0,-0.92,-0.02,0.34
3934631,0,-0.92,-0.02,0.34
3934633,0,-0.93,-0.02,0.33
3934635,0,-0.93,-0.02,0.33
3934636,0,-0.93,-0.02,0.33
3934638,0,-0.93,-0.02,0.33
3934640,0,-0.93,-0.02,0.33
3934641,0,-0.93,-0.02,0.33
3934643,0,-0.92,-0.02,0.33
3934645,0,-0.92,-0.02,0.33
3934646,0,-0.92,-0.02,0.33
3934648,0,-0.92,-0.02,0.33
3934650,0,-0.92,-0.02,0.33
3934651,0,-0.92,-0.03,0.33
3934653,0,-0.92,-0.03,0.33
3934655,0,-0.92,-0.03,0.33
3934656,0,-0.92,-0.03,0.33
3934658,0,-0.92,-0.03,0.33
3934659,0,-0.92,-0.03,0.33
3934661,0,-0.93,-0.03,0.33
3934663,0,-0.93,-0.03,0.33
3934665,0,-0.93,-0.03,0.33
3934666,0,-0.93,-0.03,0.33
3934668,0,-0.93,-0.03,0.33
3934670,0,-0.93,-0.03,0.33
3934671,0,-0.93,-0.03,0.33
3934673,0,-0.93,-0.03,0.33
3934675,0,-0.93,-0.03,0.33
3934676,0,-0.93,-0.03,0.33
3934678,0,-0.93,-0.03,0.33
3934680,0,-0.93,-0.03,0.33
3934681,0,-0.93,-0.03,0.33
3934683,0,-0.93,-0.03,0.33
3934685,0,-0.93,-0.03,0.33
3934686,0,-0.93,-0.03,0.33
3934688,0,-0.93,-0.03,0.33
3934690,0,-0.93,-0.03,0.33
3934691,0,-0.92,-0.03,0.33
3934693,0,-0.92,-0.03,0.33
3934695,0,-0.92,-0.03,0.33
3934696,0,-0.92,-0.03,0.33
3934698,0,-0.92,-0.03,0.33
3934700,0,-0.92,-0.03,0.33
3934702,0,-0.92,-0.02,0.33
3934703,0,-0.92,-0.02,0.33
3934705,0,-0.92,-0.02,0.33
3934707,0,-0.92,-0.02,0.33
3934708,0,-0.92,-0.02,0.33
