t,l,x,y,z
10825326,0,-0.97,-0.13,0.11
10825327,0,-0.97,-0.13,0.11
10825329,0,-0.97,-0.13,0.11
10825331,0,-0.96,-0.12,0.12
10825332,0,-0.96,-0.12,0.12
10825334,0,-0.96,-0.12,0.12
10825336,0,-0.96,-0.12,0.12
10825337,0,-0.96,-0.12,0.12
10825339,0,-0.96,-0.12,0.12
10825341,0,-0.94,-0.11,0.12
10825342,0,-0.94,-0.11,0.12
10825344,0,-0.94,-0.11,0.12
10825346,0,-0.94,-0.11,0.12
10825347,0,-0.94,-0.11,0.12
10825349,0,-0.94,-0.11,0.10
10825351,0,-0.94,-0.12,0.10
10825352,0,-0.94,-0.12,0.10
10825354,0,-0.94,-0.12,0.10
10825356,0,-0.94,-0.12,0.10
10825357,0,-0.94,-0.12,0.10
10825359,0,-0.97,-0.14,0.08
10825361,0,-0.97,-0.14,0.08
10825362,0,-0.97,-0.14,0.08
10825364,0,-0.97,-0.14,0.08
10825366,0,-0.97,-0.14,0.08
10825367,0,-0.97,-0.14,0.08
10825369,0,-0.97,-0.15,0.05
10825371,0,-0.97,-0.15,0.05
10825372,0,-0.97,-0.15,0.05
10825374,0,-0.97,-0.15,0.05
10825376,0,-0.97,-0.15,0.05
10825377,0,-0.97,-0.15,0.05
10825379,0,-0.96,-0.15,0.02
10825381,0,-0.96,-0.15,0.02
10825382,0,-0.96,-0.15,0.02
10825384,0,-0.96,-0.15,0.02
10825386,0,-0.96,-0.15,0.02
10825387,0,-0.96,-0.15,0.02
10825389,0,-0.96,-0.15,-0.01
10825391,0,-0.96,-0.15,-0.01
10825392,0,-0.96,-0.15,-0.01
10825394,0,-0.96,-0.15,-0.01
10825396,0,-0.96,-0.15,-0.01
10825397,0,-0.96,-0.15,-0.01
10825399,0,-0.97,-0.16,-0.03
10825401,0,-0.97,-0.16,-0.03
10825402,0,-0.97,-0.16,-0.03
10825404,0,-0.97,-0.16,-0.03
10825406,0,-0.97,-0.16,-0.03
10825407,0,-0.97,-0.16,-0.03
10825409,0,-0.97,-0.17,-0.04
10825411,0,-0.97,-0.17,-0.04
10825412,0,-0.97,-0.17,-0.04
10825414,0,-0.97,-0.17,-0.04
10825416,0,-0.97,-0.17,-0.04
10825417,0,-0.97,-0.17,-0.04
10825419,0,-0.97,-0.17,-0.04
10825421,0,-0.97,-0.17,-0.04
10825422,1,-0.97,-0.17,-0.04
10825424,1,-0.97,-0.17,-0.04
10825426,1,-0.97,-0.17,-0.04
10825427,1,-0.97,-0.18,-0.02
10825429,1,-0.98,-0.18,-0.02
10825431,1,-0.98,-0.18,-0.02
10825432,1,-0.98,-0.18,-0.02
10825434,1,-0.98,-0.18,-0.02
