t,l,x,y,z
16517042,0,-0.97,0.15,-0.00
16517043,0,-0.97,0.15,0.00
16517045,0,-0.97,0.15,0.00
16517047,0,-0.97,0.15,0.00
16517048,0,-0.97,0.15,0.00
16517050,0,-0.97,0.15,0.00
16517052,0,-0.97,0.15,0.00
16517053,0,-0.97,0.14,0.01
16517055,0,-0.97,0.14,0.01
16517057,0,-0.97,0.14,0.01
16517058,0,-0.97,0.14,0.01
16517060,0,-0.97,0.14,0.01
16517062,0,-0.97,0.14,0.01
16517063,0,-0.97,0.15,0.01
16517065,0,-0.97,0.15,0.01
16517067,0,-0.97,0.15,0.01
16517068,0,-0.97,0.15,0.01
16517070,0,-0.97,0.15,0.01
16517072,0,-0.97,0.15,0.01
16517073,0,-0.97,0.15,0.01
16517075,0,-0.97,0.15,0.01
16517077,0,-0.97,0.15,0.01
16517078,0,-0.97,0.15,0.01
16517080,0,-0.97,0.15,0.01
16517082,0,-0.98,0.16,0.01
16517083,0,-0.98,0.16,0.01
16517085,0,-0.98,0.16,0.01
16517087,0,-0.98,0.16,0.01
16517088,0,-0.98,0.16,0.01
16517090,0,-0.98,0.16,0.01
16517092,0,-0.98,0.16,0.02
16517093,0,-0.98,0.16,0.02
16517095,0,-0.98,0.16,0.02
16517097,0,-0.98,0.16,0.02
16517098,0,-0.98,0.16,0.02
16517100,0,-0.98,0.16,0.02
16517102,0,-0.98,0.16,0.01
16517103,0,-0.98,0.16,0.01
16517105,0,-0.98,0.16,0.01
16517107,0,-0.98,0.16,0.01
16517108,0,-0.98,0.16,0.01
16517110,0,-0.98,0.16,0.01
16517112,0,-0.98,0.16,0.01
16517113,0,-0.98,0.16,0.01
16517115,0,-0.98,0.16,0.01
16517117,0,-0.98,0.16,0.01
16517118,0,-0.98,0.16,0.01
16517120,0,-0.98,0.16,0.01
16517122,0,-0.98,0.17,0.01
16517123,0,-0.98,0.17,0.01
16517125,0,-0.98,0.17,0.01
16517127,0,-0.98,0.17,0.01
16517128,0,-0.98,0.17,0.01
16517130,0,-0.98,0.17,0.01
16517132,0,-0.98,0.17,0.01
16517133,0,-0.98,0.17,0.01
16517135,0,-0.98,0.17,0.01
16517137,0,-0.98,0.17,0.01
16517138,0,-0.98,0.17,0.01
16517140,0,-0.98,0.17,0.01
16517142,0,-0.98,0.17,0.01
16517143,0,-0.98,0.17,0.01
16517145,0,-0.98,0.17,0.01
16517147,0,-0.98,0.17,0.01
16517148,0,-0.98,0.17,0.01
16517150,0,-0.98,0.16,0.00
16517152,0,-0.98,0.16,0.00
16517153,0,-0.98,0.16,0.00
16517155,0,-0.98,0.16,0.00
16517157,0,-0.98,0.16,0.00
16517158,0,-0.98,0.16,0.00
16517160,0,-0.96,0.16,0.01
16517162,0,-0.96,0.16,0.01
16517163,0,-0.96,0.16,0.01
16517165,0,-0.96,0.16,0.01
16517167,0,-0.96,0.16,0.01
16517168,0,-0.96,0.16,0.01
16517170,0,-0.96,0.16,0.00
16517172,0,-0.96,0.16,0.00
