t,l,x,y,z
7100252,0,-0.97,0.12,0.07
7100254,0,-0.97,0.12,0.07
7100256,0,-0.97,0.12,0.07
7100257,0,-0.97,0.12,0.07
7100259,0,-0.97,0.12,0.07
7100260,0,-0.97,0.12,0.07
7100262,0,-0.97,0.12,0.07
7100264,0,-0.99,0.12,0.08
7100265,0,-0.99,0.12,0.08
7100267,0,-0.99,0.12,0.08
7100269,0,-0.99,0.12,0.08
7100270,0,-0.99,0.12,0.08
7100272,0,-0.99,0.12,0.08
7100274,0,-0.98,0.12,0.08
7100275,0,-0.98,0.12,0.08
7100277,0,-0.98,0.12,0.08
7100279,0,-0.98,0.12,0.08
7100280,0,-0.98,0.12,0.08
7100282,0,-0.98,0.11,0.06
7100284,0,-0.97,0.11,0.06
7100285,0,-0.97,0.11,0.06
7100287,0,-0.97,0.11,0.06
7100289,0,-0.97,0.11,0.06
7100290,0,-0.97,0.11,0.06
7100292,0,-0.97,0.13,0.06
7100294,0,-0.97,0.13,0.06
7100295,0,-0.97,0.13,0.06
7100297,0,-0.97,0.13,0.06
7100299,0,-0.97,0.13,0.06
7100300,0,-0.97,0.13,0.06
7100302,0,-0.97,0.13,0.05
7100304,0,-0.97,0.13,0.05
7100305,0,-0.97,0.13,0.05
7100307,0,-0.97,0.13,0.05
7100308,0,-0.97,0.13,0.05
7100310,0,-0.97,0.13,0.05
7100312,0,-0.97,0.13,0.04
7100313,0,-0.97,0.13,0.04
7100315,0,-0.97,0.13,0.04
7100317,0,-0.97,0.13,0.04
7100318,0,-0.97,0.13,0.04
7100320,0,-0.97,0.13,0.04
7100322,0,-0.97,0.13,0.05
7100323,0,-0.97,0.13,0.05
7100325,0,-0.97,0.13,0.05
7100327,0,-0.97,0.13,0.05
7100328,0,-0.97,0.13,0.05
7100330,0,-0.97,0.13,0.05
7100332,0,-0.97,0.13,0.04
7100333,0,-0.97,0.13,0.04
7100335,0,-0.97,0.13,0.04
7100337,0,-0.97,0.13,0.04
7100338,0,-0.97,0.13,0.04
7100340,0,-0.97,0.13,0.04
7100342,0,-0.98,0.13,0.04
7100343,0,-0.98,0.13,0.04
7100345,0,-0.98,0.13,0.04
7100347,0,-0.98,0.13,0.04
7100348,0,-0.98,0.13,0.04
7100350,0,-0.98,0.13,0.04
7100352,0,-0.98,0.13,0.04
7100353,0,-0.98,0.13,0.04
7100355,0,-0.98,0.13,0.04
7100357,0,-0.98,0.13,0.04
7100358,0,-0.98,0.13,0.04
7100360,0,-0.98,0.13,0.04
7100362,0,-0.98,0.13,0.04
7100363,0,-0.98,0.13,0.04
7100365,0,-0.98,0.13,0.04
7100367,0,-0.98,0.13,0.04
7100368,0,-0.98,0.13,0.04
7100370,0,-0.97,0.13,0.05
7100372,0,-0.97,0.13,0.05
7100373,0,-0.97,0.13,0.05
7100375,0,-0.97,0.13,0.05
7100377,0,-0.97,0.13,0.05
7100378,0,-0.97,0.13,0.05
7100380,0,-0.98,0.13,0.06
7100382,0,-0.98,0.13,0.06
7100383,0,-0.98,0.13,0.06
7100385,0,-0.98,0.13,0.06
7100387,0,-0.98,0.13,0.06
7100388,0,-0.98,0.13,0.06
7100390,0,-0.97,0.13,0.07
7100392,0,-0.97,0.13,0.07
7100393,0,-0.97,0.13,0.07
7100395,0,-0.97,0.13,0.07
7100397,0,-0.97,0.13,0.07
7100398,0,-0.97,0.13,0.07
7100400,0,-0.97,0.13,0.07
7100402,0,-0.97,0.13,0.07
7100403,0,-0.97,0.13,0.07
7100405,0,-0.97,0.13,0.07
7100407,0,-0.97,0.13,0.07
7100408,0,-0.97,0.13,0.07
7100410,0,-0.97,0.13,0.08
7100412,0,-0.97,0.13,0.08
7100413,0,-0.97,0.13,0.08
7100415,0,-0.97,0.13,0.08
