t,l,x,y,z
6945752,0,-0.97,-0.12,-0.05
6945754,0,-0.97,-0.12,-0.05
6945756,0,-0.97,-0.12,-0.05
6945758,0,-0.97,-0.11,-0.05
6945759,0,-0.97,-0.11,-0.05
6945761,0,-0.97,-0.11,-0.05
6945763,0,-0.97,-0.11,-0.05
6945764,0,-0.97,-0.11,-0.05
6945766,0,-0.97,-0.11,-0.05
6945768,0,-0.97,-0.11,-0.04
6945769,0,-0.97,-0.11,-0.04
6945771,0,-0.97,-0.11,-0.04
6945773,0,-0.97,-0.11,-0.04
6945774,0,-0.97,-0.11,-0.04
6945776,0,-0.97,-0.11,-0.04
6945778,0,-0.97,-0.11,-0.04
6945779,0,-0.97,-0.11,-0.04
6945781,0,-0.97,-0.11,-0.04
6945783,0,-0.97,-0.11,-0.04
6945784,0,-0.97,-0.11,-0.04
6945786,0,-0.97,-0.11,-0.04
6945788,0,-0.97,-0.11,-0.03
6945790,0,-0.97,-0.11,-0.03
6945791,0,-0.97,-0.11,-0.03
6945793,0,-0.97,-0.11,-0.03
6945795,0,-0.97,-0.11,-0.03
6945796,0,-0.97,-0.12,-0.03
6945798,0,-0.97,-0.12,-0.03
6945800,0,-0.97,-0.12,-0.03
6945801,0,-0.97,-0.12,-0.03
6945803,0,-0.97,-0.12,-0.03
6945805,0,-0.97,-0.12,-0.03
6945806,0,-0.97,-0.12,-0.04
6945808,0,-0.97,-0.12,-0.04
6945810,0,-0.97,-0.12,-0.04
6945811,0,-0.97,-0.12,-0.04
6945813,0,-0.97,-0.12,-0.04
6945815,0,-0.97,-0.12,-0.04
6945816,0,-0.98,-0.12,-0.04
6945818,0,-0.98,-0.12,-0.04
6945820,0,-0.98,-0.12,-0.04
6945821,0,-0.98,-0.12,-0.04
6945823,0,-0.98,-0.12,-0.04
6945825,0,-0.98,-0.12,-0.04
6945826,0,-0.97,-0.12,-0.05
6945828,0,-0.97,-0.12,-0.05
6945830,0,-0.97,-0.12,-0.05
6945831,0,-0.97,-0.12,-0.05
6945833,0,-0.97,-0.12,-0.05
6945835,0,-0.97,-0.12,-0.05
6945836,0,-0.97,-0.12,-0.05
6945838,0,-0.97,-0.12,-0.05
6945840,0,-0.97,-0.12,-0.05
6945842,0,-0.97,-0.12,-0.05
6945843,0,-0.97,-0.12,-0.05
6945845,0,-0.97,-0.12,-0.04
6945847,0,-0.98,-0.12,-0.04
6945848,0,-0.98,-0.12,-0.04
6945850,0,-0.98,-0.12,-0.04
6945852,0,-0.98,-0.12,-0.04
6945853,0,-0.98,-0.12,-0.04
6945855,0,-0.97,-0.12,-0.03
6945857,0,-0.97,-0.12,-0.03
6945858,0,-0.97,-0.12,-0.03
6945860,0,-0.97,-0.12,-0.03
6945862,0,-0.97,-0.12,-0.03
6945863,0,-0.97,-0.12,-0.03
6945865,0,-0.97,-0.12,-0.03
6945867,0,-0.97,-0.12,-0.03
6945868,0,-0.97,-0.12,-0.03
6945870,0,-0.97,-0.12,-0.03
6945872,0,-0.97,-0.12,-0.03
6945874,0,-0.97,-0.12,-0.03
6945875,0,-0.97,-0.12,-0.04
6945877,0,-0.97,-0.12,-0.04
6945879,0,-0.97,-0.12,-0.04
6945880,0,-0.97,-0.12,-0.04
6945882,0,-0.97,-0.12,-0.04
6945884,0,-0.97,-0.12,-0.04
6945885,0,-0.97,-0.12,-0.04
6945887,0,-0.97,-0.12,-0.04
6945889,0,-0.97,-0.12,-0.04
6945890,0,-0.97,-0.12,-0.04
6945892,0,-0.97,-0.12,-0.04
6945894,0,-0.97,-0.12,-0.04
6945895,0,-0.97,-0.13,-0.04
6945897,0,-0.97,-0.13,-0.04
6945899,0,-0.97,-0.13,-0.04
6945900,0,-0.97,-0.13,-0.04
6945902,0,-0.97,-0.13,-0.04
6945904,0,-0.97,-0.13,-0.04
6945905,0,-0.96,-0.13,-0.04
6945907,0,-0.96,-0.13,-0.04
6945909,0,-0.96,-0.13,-0.04
6945910,0,-0.96,-0.13,-0.04
6945912,0,-0.96,-0.13,-0.04
6945914,0,-0.97,-0.13,-0.04
6945915,0,-0.97,-0.13,-0.04
6945917,0,-0.97,-0.13,-0.04
6945919,0,-0.97,-0.13,-0.04
6945920,0,-0.97,-0.13,-0.04
6945922,0,-0.97,-0.13,-0.04
6945924,0,-0.97,-0.14,-0.04
6945926,0,-0.97,-0.14,-0.04
6945927,0,-0.97,-0.14,-0.04
6945929,0,-0.97,-0.14,-0.04
6945931,0,-0.97,-0.14,-0.04
6945932,0,-0.97,-0.14,-0.04
6945934,0,-0.97,-0.14,-0.04
6945936,0,-0.97,-0.14,-0.04
6945937,0,-0.97,-0.14,-0.04
6945939,0,-0.97,-0.14,-0.04
6945941,0,-0.97,-0.14,-0.04
6945942,0,-0.97,-0.14,-0.04
6945944,0,-0.97,-0.14,-0.04
6945946,0,-0.97,-0.14,-0.04
6945947,0,-0.97,-0.14,-0.04
6945949,0,-0.97,-0.14,-0.04
6945951,0,-0.97,-0.14,-0.04
6945952,0,-0.97,-0.14,-0.05
6945954,0,-0.97,-0.14,-0.05
6945956,0,-0.97,-0.14,-0.05
6945957,0,-0.97,-0.14,-0.05
6945959,0,-0.97,-0.14,-0.05
6945961,0,-0.97,-0.14,-0.05
6945962,0,-0.97,-0.14,-0.04
6945964,0,-0.97,-0.14,-0.04
6945966,0,-0.97,-0.14,-0.04
6945968,0,-0.97,-0.14,-0.04
6945969,0,-0.97,-0.14,-0.04
6945971,0,-0.97,-0.14,-0.04
6945973,0,-0.98,-0.14,-0.04
6945974,0,-0.98,-0.14,-0.04
6945976,0,-0.98,-0.14,-0.04
6945978,0,-0.98,-0.14,-0.04
6945979,0,-0.98,-0.14,-0.04
6945981,0,-0.98,-0.14,-0.04
6945983,0,-0.98,-0.14,-0.04
6945984,0,-0.98,-0.14,-0.04
6945986,0,-0.98,-0.14,-0.04
6945988,0,-0.98,-0.14,-0.04
