t,l,x,y,z
1285601,0,-0.97,-0.04,0.07
1285603,0,-0.97,-0.03,0.08
1285605,0,-0.97,-0.03,0.08
1285606,0,-0.97,-0.03,0.08
1285608,0,-0.97,-0.03,0.08
1285610,0,-0.97,-0.03,0.08
1285612,0,-0.97,-0.03,0.08
1285613,0,-0.96,-0.04,0.06
1285615,0,-0.96,-0.04,0.06
1285616,0,-0.96,-0.04,0.06
1285618,0,-0.96,-0.04,0.06
1285620,0,-0.96,-0.04,0.06
1285622,0,-0.96,-0.04,0.06
1285623,0,-0.95,-0.05,0.06
1285625,0,-0.95,-0.05,0.06
1285626,0,-0.95,-0.05,0.06
1285628,0,-0.95,-0.05,0.06
1285630,0,-0.95,-0.05,0.06
1285631,0,-0.95,-0.05,0.06
1285633,0,-0.96,-0.06,0.08
1285635,0,-0.96,-0.06,0.08
1285636,0,-0.96,-0.06,0.08
1285638,0,-0.96,-0.06,0.08
1285640,0,-0.96,-0.06,0.08
1285642,0,-0.96,-0.06,0.08
1285643,0,-0.96,-0.07,0.08
1285645,0,-0.96,-0.07,0.08
1285646,0,-0.96,-0.07,0.08
1285648,0,-0.96,-0.07,0.08
1285650,0,-0.96,-0.07,0.08
1285651,0,-0.96,-0.07,0.10
1285653,0,-0.97,-0.08,0.10
1285655,0,-0.97,-0.08,0.10
1285657,0,-0.97,-0.08,0.10
1285658,0,-0.97,-0.08,0.10
1285660,0,-0.97,-0.08,0.10
1285662,0,-0.99,-0.08,0.11
1285663,0,-0.99,-0.08,0.11
1285665,0,-0.99,-0.08,0.11
1285667,0,-0.99,-0.08,0.11
1285668,0,-0.99,-0.08,0.11
1285670,0,-0.99,-0.08,0.11
1285671,0,-1.00,-0.08,0.12
1285673,0,-1.00,-0.08,0.12
1285675,0,-1.00,-0.08,0.12
1285677,0,-1.00,-0.08,0.12
1285678,0,-1.00,-0.08,0.12
1285680,0,-1.00,-0.08,0.12
1285682,0,-1.00,-0.08,0.11
1285683,0,-1.00,-0.08,0.11
1285685,0,-1.00,-0.08,0.11
1285686,0,-1.00,-0.08,0.11
1285688,0,-1.00,-0.08,0.11
1285690,0,-1.00,-0.08,0.11
1285691,0,-0.98,-0.09,0.12
1285693,0,-0.98,-0.09,0.12
1285695,0,-0.98,-0.09,0.12
1285697,0,-0.98,-0.09,0.12
1285698,0,-0.98,-0.09,0.12
1285700,0,-0.98,-0.09,0.12
1285702,0,-0.97,-0.09,0.13
1285703,0,-0.97,-0.09,0.13
1285705,0,-0.97,-0.09,0.13
1285707,0,-0.97,-0.09,0.13
1285708,0,-0.97,-0.09,0.13
1285710,0,-0.97,-0.09,0.00
1285712,0,-0.96,-0.09,0.12
1285713,0,-0.96,-0.09,0.12
1285715,0,-0.96,-0.09,0.12
1285717,0,-0.96,-0.09,0.12
1285718,0,-0.96,-0.09,0.12
1285720,0,-0.96,-0.09,0.10
1285722,0,-0.96,-0.08,0.10
1285723,0,-0.96,-0.08,0.10
1285725,0,-0.96,-0.08,0.10
1285727,0,-0.96,-0.08,0.10
1285728,0,-0.96,-0.08,0.10
1285730,0,-0.97,-0.05,0.08
1285732,0,-0.97,-0.05,0.08
1285733,0,-0.97,-0.05,0.08
1285735,0,-0.97,-0.05,0.08
1285737,0,-0.97,-0.05,0.08
1285738,0,-0.97,-0.05,0.08
1285740,0,-0.97,-0.04,0.06
1285742,0,-0.97,-0.04,0.06
1285743,0,-0.97,-0.04,0.06
1285745,0,-0.97,-0.04,0.06
1285746,0,-0.97,-0.04,0.06
1285748,0,-0.97,-0.04,0.06
1285750,0,-0.96,-0.04,0.04
1285751,0,-0.96,-0.04,0.04
1285753,0,-0.96,-0.04,0.04
1285755,0,-0.96,-0.04,0.04
1285756,0,-0.96,-0.04,0.04
1285758,0,-0.96,-0.04,0.04
1285760,0,-0.95,-0.05,0.05
1285761,0,-0.95,-0.05,0.05
1285763,0,-0.95,-0.05,0.05
1285765,0,-0.95,-0.05,0.05
1285766,0,-0.95,-0.05,0.05
1285768,0,-0.95,-0.05,0.05
1285770,0,-0.98,-0.05,0.09
1285772,0,-0.98,-0.05,0.09
1285773,0,-0.98,-0.05,0.09
1285775,0,-0.98,-0.05,0.09
1285777,0,-0.98,-0.05,0.09
1285778,0,-0.98,-0.05,0.09
1285780,0,-1.00,-0.06,0.11
1285781,0,-1.00,-0.06,0.11
1285783,0,-1.00,-0.06,0.11
1285785,0,-1.00,-0.06,0.11
1285786,0,-1.00,-0.06,0.11
1285788,0,-1.00,-0.06,0.12
1285790,0,-1.00,-0.07,0.12
1285791,0,-1.00,-0.07,0.12
1285793,0,-1.00,-0.07,0.12
1285795,0,-1.00,-0.07,0.12
1285796,0,-1.00,-0.07,0.12
1285798,0,-1.00,-0.08,0.13
1285800,0,-0.97,-0.08,0.13
1285801,0,-0.97,-0.08,0.13
1285803,0,-0.97,-0.08,0.13
1285805,0,-0.97,-0.08,0.13
1285806,0,-0.97,-0.08,0.13
1285808,0,-0.95,-0.07,0.11
1285810,0,-0.95,-0.07,0.11
1285812,0,-0.95,-0.07,0.11
1285813,0,-0.95,-0.07,0.11
1285815,0,-0.95,-0.07,0.11
1285817,0,-0.95,-0.07,0.11
1285818,0,-0.96,-0.07,0.12
1285820,0,-0.96,-0.07,0.12
1285822,0,-0.96,-0.07,0.12
1285823,0,-0.96,-0.07,0.12
1285825,0,-0.96,-0.07,0.12
1285826,0,-0.96,-0.07,0.12
1285828,0,-0.98,-0.07,0.11
1285830,0,-0.98,-0.07,0.11
1285832,0,-0.98,-0.07,0.11
1285833,0,-0.98,-0.07,0.11
1285835,0,-0.98,-0.07,0.11
1285837,0,-0.98,-0.07,0.11
1285838,0,-0.98,-0.07,0.11
1285840,0,-0.98,-0.07,0.11
1285842,0,-0.98,-0.07,0.11
1285843,0,-0.98,-0.07,0.11
1285845,0,-0.98,-0.07,0.11
1285847,0,-0.98,-0.07,0.11
1285848,0,-0.98,-0.09,0.11
1285850,0,-0.98,-0.09,0.11
1285851,0,-0.98,-0.09,0.11
1285853,0,-0.98,-0.09,0.11
1285855,0,-0.98,-0.09,0.11
1285857,0,-0.98,-0.09,0.10
1285858,0,-0.97,-0.10,0.10
1285860,0,-0.97,-0.10,0.10
1285862,0,-0.97,-0.10,0.10
1285863,0,-0.97,-0.10,0.10
1285865,0,-0.97,-0.10,0.10
1285867,0,-0.97,-0.08,0.09
1285868,0,-0.96,-0.08,0.09
1285870,0,-0.96,-0.08,0.09
1285872,0,-0.96,-0.08,0.09
1285873,0,-0.96,-0.08,0.09
1285875,0,-0.96,-0.08,0.09
1285877,0,-0.96,-0.07,0.10
1285878,0,-0.96,-0.07,0.10
1285880,0,-0.96,-0.07,0.10
1285882,0,-0.96,-0.07,0.10
1285883,0,-0.96,-0.07,0.10
1285885,0,-0.96,-0.07,0.10
1285887,0,-0.99,-0.05,0.09
1285888,0,-0.99,-0.05,0.09
1285890,0,-0.99,-0.05,0.09
1285891,0,-0.99,-0.05,0.09
1285893,0,-0.99,-0.05,0.09
1285895,0,-0.99,-0.05,0.09
1285897,0,-1.00,-0.03,0.09
1285898,0,-1.00,-0.03,0.09
1285900,0,-1.00,-0.03,0.09
1285901,0,-1.00,-0.03,0.09
1285903,0,-1.00,-0.03,0.09
1285905,0,-1.00,-0.03,0.09
1285906,0,-0.99,-0.03,0.09
1285908,0,-0.99,-0.03,0.09
1285910,0,-0.99,-0.03,0.09
1285912,0,-0.99,-0.03,0.09
1285913,0,-0.99,-0.03,0.09
1285915,0,-0.99,-0.03,0.09
1285917,0,-0.96,-0.04,0.08
1285918,0,-0.96,-0.04,0.08
1285920,0,-0.96,-0.04,0.08
1285922,0,-0.96,-0.04,0.08
1285923,0,-0.96,-0.04,0.08
1285925,0,-0.96,-0.04,0.08
1285926,0,-0.97,-0.05,0.08
1285928,0,-0.97,-0.05,0.08
1285930,0,-0.97,-0.05,0.08
1285931,0,-0.97,-0.05,0.08
1285933,0,-0.97,-0.05,0.08
1285935,0,-0.97,-0.06,0.10
1285937,0,-0.97,-0.06,0.10
1285938,0,-0.97,-0.06,0.10
1285940,0,-0.97,-0.06,0.10
1285941,0,-0.97,-0.06,0.10
1285943,0,-0.97,-0.06,0.10
1285945,0,-0.99,-0.07,0.09
1285947,0,-0.99,-0.07,0.09
1285948,0,-0.99,-0.07,0.09
1285950,0,-0.99,-0.07,0.09
1285952,0,-0.99,-0.07,0.09
1285953,0,-0.99,-0.07,0.09
1285955,0,-0.98,-0.07,0.08
1285956,0,-0.98,-0.07,0.08
1285958,0,-0.98,-0.07,0.08
1285960,0,-0.98,-0.07,0.08
1285962,0,-0.98,-0.07,0.08
1285963,0,-0.98,-0.07,0.08
1285965,0,-0.96,-0.07,0.08
1285966,0,-0.96,-0.07,0.08
1285968,0,-0.96,-0.07,0.08
1285970,0,-0.96,-0.07,0.08
1285971,0,-0.96,-0.07,0.08
1285973,0,-0.96,-0.07,0.08
1285975,0,-0.95,-0.09,0.11
1285977,0,-0.95,-0.09,0.11
1285978,0,-0.95,-0.09,0.11
1285980,0,-0.95,-0.09,0.11
1285982,0,-0.95,-0.09,0.11
1285983,0,-0.95,-0.09,0.11
1285985,0,-0.96,-0.10,0.12
1285987,0,-0.96,-0.10,0.12
1285988,0,-0.96,-0.10,0.12
1285990,0,-0.96,-0.10,0.12
1285992,0,-0.96,-0.10,0.12
1285993,0,-0.96,-0.11,0.13
1285995,0,-0.97,-0.11,0.13
1285997,0,-0.97,-0.11,0.13
1285998,0,-0.97,-0.11,0.13
1286000,0,-0.97,-0.11,0.13
1286002,0,-0.97,-0.11,0.13
1286004,0,-0.98,-0.12,0.15
1286005,0,-0.98,-0.12,0.15
1286007,0,-0.98,-0.12,0.15
1286009,0,-0.98,-0.12,0.15
1286010,0,-0.98,-0.12,0.15
1286012,0,-0.98,-0.12,0.15
1286014,0,-0.99,-0.12,0.16
1286015,0,-0.99,-0.12,0.16
1286017,0,-0.99,-0.12,0.16
1286019,0,-0.99,-0.12,0.16
1286020,0,-0.99,-0.12,0.16
1286022,0,-0.99,-0.12,0.16
1286024,0,-1.01,-0.11,0.17
1286025,0,-1.01,-0.11,0.17
1286027,0,-1.01,-0.11,0.17
1286029,0,-1.01,-0.11,0.17
1286030,0,-1.01,-0.11,0.17
1286032,0,-1.01,-0.11,0.17
1286034,0,-0.99,-0.10,0.13
1286035,0,-0.99,-0.10,0.13
1286037,0,-0.99,-0.10,0.13
1286038,0,-0.99,-0.10,0.13
1286040,0,-0.99,-0.10,0.13
1286042,0,-0.99,-0.10,0.13
1286044,0,-0.96,-0.07,0.10
1286045,0,-0.96,-0.07,0.10
1286047,0,-0.96,-0.07,0.10
1286049,0,-0.96,-0.07,0.10
1286050,0,-0.96,-0.07,0.10
1286052,0,-0.96,-0.07,0.08
1286053,0,-0.94,-0.04,0.08
1286055,0,-0.94,-0.04,0.08
1286057,0,-0.94,-0.04,0.08
1286058,0,-0.94,-0.04,0.08
1286060,0,-0.94,-0.04,0.08
1286062,0,-0.94,-0.01,0.02
1286064,0,-0.93,-0.01,0.02
1286065,0,-0.93,-0.01,0.02
1286067,0,-0.93,-0.01,0.02
1286068,0,-0.93,-0.01,0.02
1286070,0,-0.93,-0.01,0.02
1286072,0,-0.94,0.00,0.02
1286073,0,-0.94,0.00,0.02
1286075,0,-0.94,0.00,0.02
1286077,0,-0.94,0.00,0.02
1286078,0,-0.94,0.00,0.02
1286080,0,-0.94,0.00,0.02
1286082,0,-0.97,0.01,0.02
1286083,0,-0.97,0.01,0.02
1286085,0,-0.97,0.01,0.02
1286087,0,-0.97,0.01,0.02
1286088,0,-0.97,0.01,0.02
1286090,0,-0.97,0.01,0.02
1286092,0,-0.99,-0.01,0.03
1286093,0,-0.99,-0.01,0.03
1286095,0,-0.99,-0.01,0.03
1286096,0,-0.99,-0.01,0.03
1286098,0,-0.99,-0.01,0.03
1286100,0,-0.99,-0.01,0.03
1286101,0,-0.98,-0.03,0.06
1286104,0,-0.98,-0.03,0.06
1286105,0,-0.98,-0.03,0.06
1286107,0,-0.98,-0.03,0.06
1286109,0,-0.98,-0.03,0.06
1286110,0,-0.98,-0.03,0.06
1286112,0,-0.99,-0.07,0.11
1286114,0,-0.99,-0.07,0.11
1286115,0,-0.99,-0.07,0.11
1286117,0,-0.99,-0.07,0.11
1286119,0,-0.99,-0.07,0.11
1286120,0,-0.99,-0.20,0.17
1286122,0,-1.02,-0.14,0.17
1286124,0,-1.02,-0.14,0.17
1286125,0,-1.02,-0.14,0.17
1286127,0,-1.02,-0.14,0.17
1286129,0,-1.02,-0.14,0.17
1286130,0,-1.01,-0.19,0.21
1286132,0,-1.01,-0.19,0.21
1286134,0,-1.01,-0.19,0.21
1286135,0,-1.01,-0.19,0.21
1286137,0,-1.01,-0.19,0.21
1286139,0,-1.01,-0.19,0.21
1286140,0,-0.96,-0.22,0.24
1286142,0,-0.96,-0.22,0.24
1286144,0,-0.96,-0.22,0.24
1286145,0,-0.96,-0.22,0.24
1286147,0,-0.96,-0.22,0.24
1286149,0,-0.96,-0.22,0.24
1286150,0,-0.92,-0.23,0.23
1286152,0,-0.92,-0.23,0.23
1286153,0,-0.92,-0.23,0.23
1286155,0,-0.92,-0.23,0.23
1286157,0,-0.92,-0.23,0.23
1286158,0,-0.92,-0.23,0.23
1286160,0,-0.91,-0.19,0.20
1286162,0,-0.91,-0.19,0.20
1286163,0,-0.91,-0.19,0.20
1286165,0,-0.91,-0.19,0.20
1286167,0,-0.91,-0.19,0.20
1286169,0,-0.91,-0.19,0.20
1286170,0,-0.94,-0.10,0.13
1286172,0,-0.94,-0.10,0.13
1286174,0,-0.94,-0.10,0.13
1286175,0,-0.94,-0.10,0.13
1286177,0,-0.94,-0.10,0.13
1286179,0,-0.94,-0.10,0.13
1286180,0,-0.95,-0.02,0.03
1286182,0,-0.95,-0.02,0.03
1286184,0,-0.95,-0.02,0.03
1286185,0,-0.95,-0.02,0.03
1286187,0,-0.95,-0.02,0.03
1286189,0,-0.95,-0.02,-0.09
1286190,0,-0.97,0.04,-0.00
1286192,0,-0.97,0.04,-0.00
1286194,0,-0.97,0.04,-0.00
1286195,0,-0.97,0.04,-0.00
1286197,0,-0.97,0.04,-0.00
1286198,0,-0.97,0.04,-0.03
1286200,0,-0.96,0.05,-0.03
1286202,0,-0.96,0.05,-0.03
1286204,0,-0.96,0.05,-0.03
1286205,0,-0.96,0.05,-0.03
1286207,0,-0.96,0.05,-0.03
1286209,0,-0.96,0.04,-0.00
1286210,0,-0.96,0.04,-0.00
1286212,0,-0.96,0.04,-0.00
1286213,0,-0.96,0.04,-0.00
1286215,0,-0.96,0.04,-0.00
1286217,0,-0.96,0.04,-0.00
1286219,0,-0.97,-0.00,0.05
1286221,0,-0.97,-0.00,0.05
1286222,0,-0.97,-0.00,0.05
1286224,0,-0.97,-0.00,0.05
1286226,0,-0.97,-0.00,0.05
1286227,0,-0.97,-0.00,0.05
1286229,0,-0.99,-0.06,0.10
1286230,0,-0.99,-0.06,0.10
1286232,0,-0.99,-0.06,0.10
1286234,0,-0.99,-0.06,0.10
1286236,0,-0.99,-0.06,0.10
1286237,0,-0.99,-0.06,0.10
1286239,0,-1.01,-0.10,0.15
1286241,0,-1.01,-0.10,0.15
1286242,0,-1.01,-0.10,0.15
1286244,0,-1.01,-0.10,0.15
1286246,0,-1.01,-0.10,0.15
1286247,0,-1.01,-0.10,0.19
1286249,0,-1.04,-0.14,0.19
1286251,0,-1.04,-0.14,0.19
1286252,0,-1.04,-0.14,0.19
1286254,0,-1.04,-0.14,0.19
1286255,0,-1.04,-0.14,0.19
1286257,0,-1.04,-0.18,0.21
1286259,0,-1.01,-0.18,0.21
1286261,0,-1.01,-0.18,0.21
1286262,0,-1.01,-0.18,0.21
1286264,0,-1.01,-0.18,0.21
1286266,0,-1.01,-0.18,0.21
1286267,0,-0.93,-0.22,0.24
1286269,0,-0.93,-0.22,0.24
1286270,0,-0.93,-0.22,0.24
1286272,0,-0.93,-0.22,0.24
1286274,0,-0.93,-0.22,0.24
1286276,0,-0.93,-0.22,0.24
1286277,0,-0.91,-0.23,0.23
1286279,0,-0.91,-0.23,0.23
1286281,0,-0.91,-0.23,0.23
1286282,0,-0.91,-0.23,0.23
1286284,0,-0.91,-0.23,0.23
1286286,0,-0.91,-0.23,0.23
1286287,0,-0.92,-0.20,0.20
1286289,0,-0.92,-0.20,0.20
1286291,0,-0.92,-0.20,0.20
1286292,0,-0.92,-0.20,0.20
1286294,0,-0.92,-0.20,0.20
1286296,0,-0.92,-0.20,0.20
1286297,0,-0.96,-0.15,0.16
1286299,0,-0.96,-0.15,0.16
1286301,0,-0.96,-0.15,0.16
1286302,0,-0.96,-0.15,0.16
1286304,0,-0.96,-0.15,0.16
1286306,0,-0.96,-0.15,0.16
1286307,0,-0.97,-0.07,0.09
1286309,0,-0.97,-0.07,0.09
1286310,0,-0.97,-0.07,0.09
1286312,0,-0.97,-0.07,0.09
1286314,0,-0.97,-0.07,0.09
1286315,0,-0.97,-0.07,0.09
1286317,0,-0.96,-0.00,0.03
1286319,0,-0.96,-0.00,0.03
1286320,0,-0.96,-0.00,0.03
1286322,0,-0.96,-0.00,0.03
1286324,0,-0.96,-0.00,0.03
1286325,0,-0.96,-0.00,-0.01
1286327,0,-0.95,0.02,-0.01
1286329,0,-0.95,0.02,-0.01
1286330,0,-0.95,0.02,-0.01
1286332,0,-0.95,0.02,-0.01
1286334,0,-0.95,0.02,-0.01
1286335,0,-0.96,0.02,-0.00
1286337,0,-0.96,0.02,-0.00
1286339,0,-0.96,0.02,-0.00
1286340,0,-0.96,0.02,-0.00
1286342,0,-0.96,0.02,-0.00
1286344,0,-0.96,0.02,-0.00
1286345,0,-0.99,-0.02,0.04
1286347,0,-0.99,-0.02,0.04
1286349,0,-0.99,-0.02,0.04
1286350,0,-0.99,-0.02,0.04
1286352,0,-0.99,-0.02,0.04
1286354,0,-0.99,-0.02,0.04
1286355,0,-1.00,-0.07,0.09
1286357,0,-1.00,-0.07,0.09
1286358,0,-1.00,-0.07,0.09
1286360,0,-1.00,-0.07,0.09
1286362,0,-1.00,-0.07,0.09
1286363,0,-1.00,-0.07,0.09
1286365,0,-1.00,-0.11,0.14
1286367,0,-1.00,-0.11,0.14
1286368,0,-1.00,-0.11,0.14
1286370,0,-1.00,-0.11,0.14
1286372,0,-1.00,-0.11,0.14
1286374,0,-1.00,-0.11,0.14
1286375,0,-1.00,-0.16,0.19
1286377,0,-1.00,-0.16,0.19
1286378,0,-1.00,-0.16,0.19
1286380,0,-1.00,-0.16,0.19
1286382,0,-1.00,-0.16,0.19
1286384,0,-1.00,-0.16,0.22
1286386,0,-0.98,-0.20,0.22
1286387,0,-0.98,-0.20,0.22
1286389,0,-0.98,-0.20,0.22
1286391,0,-0.98,-0.20,0.22
1286393,0,-0.98,-0.20,0.22
1286394,0,-0.97,-0.21,0.23
1286396,0,-0.97,-0.21,0.23
1286398,0,-0.97,-0.21,0.23
1286399,0,-0.97,-0.21,0.23
1286401,0,-0.97,-0.21,0.23
1286403,0,-0.97,-0.21,0.23
1286404,0,-0.93,-0.21,0.22
1286406,0,-0.93,-0.21,0.22
1286408,0,-0.93,-0.21,0.22
1286409,0,-0.93,-0.21,0.22
1286411,0,-0.93,-0.21,0.22
1286413,0,-0.93,-0.21,0.22
1286414,0,-0.94,-0.18,0.17
1286416,0,-0.94,-0.18,0.17
1286418,0,-0.94,-0.18,0.17
1286420,0,-0.94,-0.18,0.17
1286421,0,-0.94,-0.18,0.17
1286423,0,-0.94,-0.18,0.13
1286425,0,-0.97,-0.13,0.13
1286426,0,-0.97,-0.13,0.13
1286428,0,-0.97,-0.13,0.13
1286430,0,-0.97,-0.13,0.13
1286431,0,-0.97,-0.13,0.13
1286433,0,-0.98,-0.10,0.07
1286435,0,-0.98,-0.10,0.07
1286437,0,-0.98,-0.10,0.07
1286438,0,-0.98,-0.10,0.07
1286440,0,-0.98,-0.10,0.07
1286442,0,-0.98,-0.10,0.07
1286443,0,-0.95,-0.06,0.04
1286445,0,-0.95,-0.06,0.04
1286447,0,-0.95,-0.06,0.04
1286448,0,-0.95,-0.06,0.04
1286450,0,-0.95,-0.06,0.04
1286452,0,-0.95,-0.06,0.04
1286453,0,-0.92,-0.04,-0.01
1286455,0,-0.92,-0.04,-0.01
1286457,0,-0.92,-0.04,-0.01
1286458,0,-0.92,-0.04,-0.01
1286460,0,-0.92,-0.04,-0.01
1286461,0,-0.92,-0.04,-0.01
1286463,0,-0.91,-0.01,-0.02
1286465,0,-0.91,-0.01,-0.02
1286467,0,-0.91,-0.01,-0.02
1286468,0,-0.91,-0.01,-0.02
1286470,0,-0.91,-0.01,-0.02
1286472,0,-0.91,-0.01,-0.02
1286473,0,-0.96,0.01,-0.00
1286475,0,-0.96,0.01,-0.00
1286477,0,-0.96,0.01,-0.00
1286478,0,-0.96,0.01,-0.00
1286480,0,-0.96,0.01,-0.00
1286481,0,-0.96,0.01,-0.00
1286483,0,-1.02,0.00,0.06
1286485,0,-1.02,0.00,0.06
1286486,0,-1.02,0.00,0.06
1286488,0,-1.02,0.00,0.06
1286490,0,-1.02,0.00,0.06
1286491,0,-1.02,0.00,0.06
1286493,0,-1.04,-0.06,0.13
1286495,0,-1.04,-0.06,0.13
1286496,0,-1.04,-0.06,0.13
