t,l,x,y,z
9360256,1,-0.98,-0.05,-0.11
9360258,1,-0.98,-0.05,-0.11
9360259,1,-0.98,-0.05,-0.11
9360261,1,-0.98,-0.05,-0.11
9360263,1,-0.98,-0.05,-0.11
9360264,1,-0.97,-0.05,-0.12
9360266,1,-0.97,-0.05,-0.12
9360268,1,-0.97,-0.05,-0.12
9360269,1,-0.97,-0.05,-0.12
9360271,1,-0.97,-0.05,-0.12
9360273,1,-0.97,-0.05,-0.12
9360274,1,-0.98,-0.04,-0.11
9360276,1,-0.98,-0.04,-0.11
9360278,1,-0.98,-0.04,-0.11
9360279,1,-0.98,-0.04,-0.11
9360281,1,-0.98,-0.04,-0.11
9360283,1,-0.98,-0.04,-0.10
9360284,1,-0.98,-0.04,-0.10
9360286,1,-0.98,-0.04,-0.10
9360288,1,-0.98,-0.04,-0.10
9360289,1,-0.98,-0.04,-0.10
9360291,1,-0.98,-0.04,-0.10
9360293,1,-0.97,-0.04,-0.08
9360294,1,-0.97,-0.04,-0.08
9360296,1,-0.97,-0.04,-0.08
9360298,1,-0.97,-0.04,-0.08
9360299,1,-0.97,-0.04,-0.08
9360301,1,-0.97,-0.04,-0.08
9360303,1,-0.97,-0.05,-0.06
9360304,1,-0.97,-0.05,-0.06
9360306,1,-0.97,-0.05,-0.06
9360308,1,-0.97,-0.05,-0.06
9360309,1,-0.97,-0.05,-0.06
9360311,1,-0.97,-0.05,-0.06
9360313,1,-0.98,-0.05,-0.06
9360314,1,-0.98,-0.05,-0.06
9360316,1,-0.98,-0.05,-0.06
9360318,1,-0.98,-0.05,-0.06
9360320,1,-0.98,-0.05,-0.06
9360321,1,-0.98,-0.05,-0.06
9360323,1,-0.97,-0.05,-0.08
9360325,1,-0.97,-0.05,-0.08
9360326,1,-0.97,-0.05,-0.08
9360328,1,-0.97,-0.05,-0.08
9360330,1,-0.97,-0.05,-0.08
9360331,1,-0.97,-0.05,-0.08
9360333,1,-0.97,-0.04,-0.09
9360335,1,-0.97,-0.04,-0.09
9360336,1,-0.97,-0.04,-0.09
9360338,1,-0.97,-0.04,-0.09
9360340,1,-0.97,-0.04,-0.09
9360341,1,-0.97,-0.04,-0.09
9360343,1,-0.97,-0.03,-0.10
9360345,1,-0.97,-0.03,-0.10
9360346,1,-0.97,-0.03,-0.10
9360348,1,-0.97,-0.03,-0.10
9360350,1,-0.97,-0.03,-0.10
9360351,1,-0.97,-0.03,-0.12
9360353,1,-0.97,-0.03,-0.12
9360355,1,-0.97,-0.03,-0.12
9360357,1,-0.97,-0.03,-0.12
9360358,1,-0.97,-0.03,-0.12
9360360,1,-0.97,-0.03,-0.12
9360362,1,-0.98,-0.04,-0.13
9360363,1,-0.98,-0.04,-0.13
9360365,1,-0.98,-0.04,-0.13
9360367,1,-0.98,-0.04,-0.13
9360368,1,-0.98,-0.04,-0.13
9360370,1,-0.98,-0.04,-0.13
9360372,1,-0.98,-0.04,-0.12
9360373,1,-0.98,-0.04,-0.12
9360375,1,-0.98,-0.04,-0.12
9360377,1,-0.98,-0.04,-0.12
9360378,1,-0.98,-0.04,-0.12
9360380,1,-0.98,-0.04,-0.12
9360382,1,-0.98,-0.05,-0.09
9360383,1,-0.98,-0.05,-0.09
9360385,1,-0.98,-0.05,-0.09
9360387,1,-0.98,-0.05,-0.09
9360388,1,-0.98,-0.05,-0.09
9360390,1,-0.98,-0.05,-0.09
9360392,1,-0.98,-0.06,-0.07
9360393,1,-0.98,-0.06,-0.07
9360395,1,-0.98,-0.06,-0.07
9360397,1,-0.98,-0.06,-0.07
9360398,1,-0.98,-0.06,-0.07
9360400,1,-0.98,-0.06,-0.06
9360402,1,-0.98,-0.06,-0.06
9360403,1,-0.98,-0.06,-0.06
9360405,1,-0.98,-0.06,-0.06
9360407,1,-0.98,-0.06,-0.06
9360408,1,-0.98,-0.06,-0.06
9360410,1,-0.98,-0.06,-0.07
9360412,1,-0.98,-0.06,-0.07
9360413,1,-0.98,-0.06,-0.07
9360415,1,-0.98,-0.06,-0.07
9360417,1,-0.98,-0.06,-0.07
9360418,1,-0.98,-0.06,-0.07
9360420,1,-0.97,-0.05,-0.07
9360422,1,-0.97,-0.05,-0.07
9360423,1,-0.97,-0.05,-0.07
9360425,1,-0.97,-0.05,-0.07
9360427,1,-0.97,-0.05,-0.07
9360428,1,-0.97,-0.05,-0.07
9360430,1,-0.97,-0.04,-0.09
9360432,1,-0.97,-0.04,-0.09
9360433,1,-0.97,-0.04,-0.09
9360435,1,-0.97,-0.04,-0.09
9360437,1,-0.97,-0.04,-0.09
9360439,1,-0.97,-0.04,-0.09
9360440,1,-0.97,-0.04,-0.10
9360442,1,-0.97,-0.04,-0.10
9360444,1,-0.97,-0.04,-0.10
9360445,1,-0.97,-0.04,-0.10
9360447,1,-0.97,-0.04,-0.10
9360449,1,-0.97,-0.04,-0.10
9360450,1,-0.98,-0.04,-0.11
9360452,1,-0.98,-0.04,-0.11
9360454,1,-0.98,-0.04,-0.11
9360455,1,-0.98,-0.04,-0.11
9360457,1,-0.98,-0.04,-0.11
9360459,1,-0.98,-0.04,-0.11
9360460,1,-0.98,-0.04,-0.11
9360462,1,-0.98,-0.04,-0.11
9360464,1,-0.98,-0.04,-0.11
9360465,1,-0.98,-0.04,-0.11
9360467,1,-0.98,-0.04,-0.11
9360469,1,-0.98,-0.04,-0.10
9360470,1,-0.98,-0.04,-0.10
9360472,1,-0.98,-0.04,-0.10
9360474,1,-0.98,-0.04,-0.10
9360475,1,-0.98,-0.04,-0.10
9360477,1,-0.98,-0.04,-0.10
9360479,1,-0.98,-0.05,-0.09
9360480,1,-0.98,-0.05,-0.09
9360482,1,-0.98,-0.05,-0.09
9360484,1,-0.98,-0.05,-0.09
