t,l,x,y,z
9205856,0,-0.98,0.03,0.09
9205857,0,-0.98,0.03,0.09
9205859,0,-0.98,0.03,0.09
9205861,0,-0.98,0.03,0.09
9205862,0,-0.98,0.03,0.09
9205864,0,-0.98,0.03,0.09
9205866,0,-0.98,0.03,0.09
9205867,0,-0.98,0.03,0.08
9205869,0,-0.98,0.03,0.08
9205871,0,-0.98,0.03,0.08
9205872,0,-0.98,0.03,0.08
9205874,0,-0.98,0.03,0.08
9205876,0,-0.98,0.03,0.08
9205877,0,-0.98,0.03,0.06
9205879,0,-0.98,0.03,0.06
9205881,0,-0.98,0.03,0.06
9205882,0,-0.98,0.03,0.06
9205884,0,-0.98,0.03,0.06
9205885,0,-0.98,0.03,0.07
9205887,0,-0.98,0.02,0.07
9205889,0,-0.98,0.02,0.07
9205890,0,-0.98,0.02,0.07
9205892,0,-0.98,0.02,0.07
9205894,0,-0.98,0.02,0.07
9205895,0,-0.98,0.03,0.06
9205897,0,-0.98,0.03,0.06
9205899,0,-0.98,0.03,0.06
9205900,0,-0.98,0.03,0.06
9205902,0,-0.98,0.03,0.06
9205904,0,-0.98,0.03,0.06
9205905,0,-0.98,0.03,0.05
9205907,0,-0.98,0.03,0.05
9205909,0,-0.98,0.03,0.05
9205910,0,-0.98,0.03,0.05
9205912,0,-0.98,0.03,0.05
9205914,0,-0.98,0.03,0.05
9205915,0,-0.98,0.03,0.07
9205917,0,-0.98,0.03,0.07
9205919,0,-0.98,0.03,0.07
9205920,0,-0.98,0.03,0.07
9205922,0,-0.98,0.03,0.07
9205924,0,-0.98,0.03,0.07
9205925,0,-0.98,0.03,0.09
9205927,0,-0.98,0.03,0.09
9205929,0,-0.98,0.03,0.09
9205930,0,-0.98,0.03,0.09
9205932,0,-0.98,0.03,0.09
9205934,0,-0.98,0.03,0.09
9205935,0,-0.98,0.03,0.10
9205937,0,-0.98,0.03,0.10
9205939,0,-0.98,0.03,0.10
9205940,0,-0.98,0.03,0.10
9205942,0,-0.98,0.03,0.10
9205944,0,-0.98,0.03,0.10
9205945,0,-0.98,0.03,0.11
9205947,0,-0.98,0.03,0.11
9205949,0,-0.98,0.03,0.11
9205950,0,-0.98,0.03,0.11
9205952,0,-0.98,0.03,0.11
9205954,0,-0.98,0.03,0.11
9205955,0,-0.98,0.03,0.11
9205957,0,-0.98,0.03,0.11
9205959,0,-0.98,0.03,0.11
9205960,0,-0.98,0.03,0.11
9205962,0,-0.98,0.03,0.11
9205964,0,-0.98,0.03,0.10
9205965,0,-0.97,0.03,0.10
9205967,0,-0.97,0.03,0.10
9205969,0,-0.97,0.03,0.10
9205970,0,-0.97,0.03,0.10
9205972,0,-0.97,0.03,0.10
9205974,0,-0.98,0.03,0.08
9205975,0,-0.98,0.03,0.08
9205977,0,-0.98,0.03,0.08
9205979,0,-0.98,0.03,0.08
9205980,0,-0.98,0.03,0.08
9205982,0,-0.98,0.03,0.08
9205984,0,-0.98,0.03,0.08
9205985,0,-0.98,0.03,0.08
9205987,0,-0.98,0.03,0.08
9205989,0,-0.98,0.03,0.08
9205990,0,-0.98,0.03,0.08
9205992,0,-0.98,0.03,0.08
9205994,0,-0.98,0.03,0.07
9205995,0,-0.98,0.03,0.07
9205997,0,-0.98,0.03,0.07
9205999,0,-0.98,0.03,0.07
9206000,0,-0.98,0.03,0.07
9206002,0,-0.98,0.03,0.07
9206004,0,-0.99,0.03,0.07
9206005,0,-0.99,0.03,0.07
9206007,0,-0.99,0.03,0.07
9206009,0,-0.99,0.03,0.07
9206010,0,-0.99,0.03,0.07
9206012,0,-0.99,0.03,0.07
9206014,0,-0.98,0.04,0.08
9206015,0,-0.98,0.04,0.08
9206017,0,-0.98,0.04,0.08
9206019,0,-0.98,0.04,0.08
9206020,0,-0.98,0.04,0.08
9206022,0,-0.98,0.04,0.08
