t,l,x,y,z
12279055,0,-0.98,-0.07,0.07
12279057,0,-0.98,-0.07,0.07
12279059,0,-0.98,-0.07,0.07
12279060,0,-0.98,-0.07,0.07
12279062,0,-0.98,-0.07,0.07
12279064,0,-0.98,-0.07,0.07
12279065,0,-0.98,-0.07,0.07
12279067,0,-0.98,-0.07,0.07
12279069,0,-0.98,-0.07,0.07
12279070,0,-0.98,-0.07,0.07
12279072,0,-0.98,-0.07,0.07
12279074,0,-0.97,-0.07,0.07
12279075,0,-0.97,-0.07,0.07
12279077,0,-0.97,-0.07,0.07
12279079,0,-0.97,-0.07,0.07
12279080,0,-0.97,-0.07,0.07
12279082,0,-0.97,-0.08,0.07
12279084,0,-0.97,-0.08,0.07
12279085,0,-0.97,-0.08,0.07
12279087,0,-0.97,-0.08,0.07
12279089,0,-0.97,-0.08,0.07
12279090,0,-0.97,-0.08,0.07
12279092,0,-0.97,-0.07,0.07
12279094,0,-0.97,-0.07,0.07
12279095,0,-0.97,-0.07,0.07
12279097,0,-0.97,-0.07,0.07
12279098,0,-0.97,-0.07,0.07
12279100,0,-0.97,-0.07,0.07
12279102,0,-0.98,-0.07,0.08
12279104,0,-0.98,-0.07,0.08
12279105,0,-0.98,-0.07,0.08
12279107,0,-0.98,-0.07,0.08
12279109,0,-0.98,-0.07,0.08
12279110,0,-0.98,-0.07,0.08
12279112,0,-0.98,-0.07,0.08
12279114,0,-0.98,-0.07,0.08
12279115,0,-0.98,-0.07,0.08
12279117,0,-0.98,-0.07,0.08
12279119,0,-0.98,-0.07,0.08
12279120,0,-0.98,-0.07,0.08
12279122,0,-0.97,-0.07,0.07
12279124,0,-0.97,-0.07,0.07
12279125,0,-0.97,-0.07,0.07
12279127,0,-0.97,-0.07,0.07
12279129,0,-0.97,-0.07,0.07
12279130,0,-0.97,-0.07,0.07
12279132,0,-0.97,-0.07,0.07
12279134,0,-0.97,-0.07,0.07
12279135,0,-0.97,-0.07,0.07
12279137,0,-0.97,-0.07,0.07
12279139,0,-0.97,-0.07,0.07
12279140,0,-0.97,-0.07,0.07
12279142,0,-0.98,-0.07,0.07
12279144,0,-0.98,-0.07,0.07
12279145,0,-0.98,-0.07,0.07
12279147,0,-0.98,-0.07,0.07
12279149,0,-0.98,-0.07,0.07
12279150,0,-0.98,-0.07,0.07
12279152,0,-0.99,-0.07,0.07
12279154,0,-0.99,-0.07,0.07
12279155,0,-0.99,-0.07,0.07
12279157,0,-0.99,-0.07,0.07
12279158,0,-0.99,-0.07,0.07
12279160,0,-0.99,-0.07,0.08
12279162,0,-0.97,-0.07,0.08
12279164,0,-0.97,-0.07,0.08
12279165,0,-0.97,-0.07,0.08
12279167,0,-0.97,-0.07,0.08
12279169,0,-0.97,-0.07,0.08
12279170,0,-0.97,-0.07,0.07
12279172,0,-0.97,-0.07,0.07
12279174,0,-0.97,-0.07,0.07
12279175,0,-0.97,-0.07,0.07
12279177,0,-0.97,-0.07,0.07
