t,l,x,y,z
18679374,0,-0.96,-0.01,0.03
18679376,0,-0.97,-0.01,0.03
18679378,0,-0.97,-0.01,0.03
18679379,0,-0.97,-0.01,0.03
18679381,0,-0.97,-0.01,0.03
18679383,0,-0.97,-0.01,0.03
18679384,0,-0.97,-0.01,0.03
18679386,0,-0.98,-0.02,0.03
18679388,0,-0.98,-0.02,0.03
18679389,0,-0.98,-0.02,0.03
18679391,0,-0.98,-0.02,0.03
18679393,0,-0.98,-0.02,0.03
18679394,0,-0.98,-0.02,0.03
18679396,0,-0.98,-0.02,0.03
18679398,0,-0.98,-0.02,0.03
18679399,0,-0.98,-0.02,0.03
18679401,0,-0.98,-0.02,0.03
18679403,0,-0.98,-0.02,0.03
18679404,0,-0.98,-0.02,0.03
18679406,0,-0.99,-0.02,0.03
18679408,0,-0.99,-0.02,0.03
18679409,0,-0.99,-0.02,0.03
18679411,0,-0.99,-0.02,0.03
18679413,0,-0.99,-0.02,0.03
18679414,0,-0.99,-0.02,0.03
18679416,0,-0.98,-0.02,0.02
18679418,0,-0.98,-0.02,0.02
18679419,0,-0.98,-0.02,0.02
18679421,0,-0.98,-0.02,0.02
18679423,0,-0.98,-0.02,0.02
18679424,0,-0.98,-0.02,0.02
18679426,0,-0.98,-0.02,0.01
18679428,0,-0.98,-0.02,0.01
18679429,0,-0.98,-0.02,0.01
18679431,0,-0.98,-0.02,0.01
18679433,0,-0.98,-0.02,0.01
18679434,0,-0.98,-0.02,0.01
18679436,0,-0.97,-0.02,0.01
18679438,0,-0.97,-0.02,0.01
18679439,0,-0.97,-0.02,0.01
18679441,0,-0.97,-0.02,0.01
18679443,0,-0.97,-0.02,0.01
18679444,0,-0.97,-0.02,0.01
18679446,0,-0.97,-0.02,0.01
18679448,0,-0.97,-0.02,0.01
18679449,0,-0.97,-0.02,0.01
18679451,0,-0.97,-0.02,0.01
18679453,0,-0.97,-0.02,0.01
18679454,0,-0.97,-0.02,0.01
18679456,0,-0.97,-0.02,0.01
18679458,0,-0.97,-0.02,0.01
18679459,0,-0.97,-0.02,0.01
18679461,0,-0.97,-0.02,0.01
18679463,0,-0.97,-0.02,0.01
18679464,0,-0.98,-0.02,0.02
18679466,0,-0.98,-0.02,0.02
18679468,0,-0.98,-0.02,0.02
18679469,0,-0.98,-0.02,0.02
18679471,0,-0.98,-0.02,0.02
18679473,0,-0.98,-0.02,0.02
18679474,0,-0.98,-0.03,0.02
18679476,0,-0.98,-0.03,0.02
18679478,0,-0.98,-0.03,0.02
18679479,0,-0.98,-0.03,0.02
18679481,0,-0.98,-0.03,0.02
18679483,0,-0.98,-0.03,0.02
18679484,0,-0.99,-0.03,0.02
18679486,0,-0.99,-0.03,0.02
18679488,0,-0.99,-0.03,0.02
18679489,0,-0.99,-0.03,0.02
18679491,0,-0.99,-0.03,0.02
18679493,0,-0.99,-0.03,0.02
18679494,0,-0.99,-0.03,0.02
18679496,0,-0.99,-0.03,0.02
18679498,0,-0.99,-0.03,0.02
18679499,0,-0.99,-0.03,0.02
18679501,0,-0.99,-0.03,0.02
18679503,0,-0.99,-0.03,0.03
18679504,0,-0.98,-0.02,0.03
18679506,0,-0.98,-0.02,0.03
18679508,0,-0.98,-0.02,0.03
18679509,0,-0.98,-0.02,0.03
18679511,0,-0.98,-0.02,0.03
18679513,0,-0.97,-0.03,0.04
18679514,0,-0.97,-0.03,0.04
18679516,0,-0.97,-0.03,0.04
18679518,0,-0.97,-0.03,0.04
18679519,0,-0.97,-0.03,0.04
18679521,0,-0.97,-0.03,0.04
18679523,0,-0.97,-0.02,0.03
18679524,0,-0.97,-0.02,0.03
18679526,0,-0.97,-0.02,0.03
18679528,0,-0.97,-0.02,0.03
18679529,0,-0.97,-0.02,0.03
18679531,0,-0.97,-0.02,0.03
18679533,0,-0.98,-0.02,0.03
