t,l,x,y,z
2477907,0,-0.98,0.09,-0.06
2477908,0,-0.98,0.09,-0.06
2477910,0,-0.98,0.09,-0.06
2477912,0,-0.98,0.09,-0.06
2477913,0,-0.98,0.09,-0.06
2477915,0,-0.98,0.09,-0.06
2477917,0,-0.98,0.09,-0.06
2477918,0,-0.98,0.09,-0.06
2477920,0,-0.98,0.10,-0.06
2477922,0,-0.98,0.10,-0.06
2477923,0,-0.98,0.10,-0.06
2477925,0,-0.98,0.10,-0.06
2477927,0,-0.98,0.10,-0.06
2477928,0,-0.98,0.10,-0.06
2477930,0,-0.98,0.10,-0.06
2477932,0,-0.98,0.10,-0.06
2477933,0,-0.98,0.10,-0.06
2477935,0,-0.98,0.10,-0.06
2477937,0,-0.98,0.10,-0.06
2477938,0,-0.98,0.10,-0.06
2477940,0,-0.98,0.10,-0.06
2477942,0,-0.98,0.10,-0.06
2477943,0,-0.98,0.10,-0.06
2477945,0,-0.98,0.10,-0.06
2477947,0,-0.98,0.10,-0.06
2477948,0,-0.98,0.10,-0.06
2477950,0,-0.97,0.10,-0.06
2477952,0,-0.97,0.10,-0.06
2477953,0,-0.97,0.10,-0.06
2477955,0,-0.97,0.10,-0.06
2477957,0,-0.97,0.10,-0.06
2477958,0,-0.98,0.09,-0.06
2477960,0,-0.98,0.09,-0.06
2477962,0,-0.98,0.09,-0.06
2477963,0,-0.98,0.09,-0.06
2477965,0,-0.98,0.09,-0.06
2477967,0,-0.98,0.09,-0.06
2477968,0,-0.98,0.09,-0.06
2477970,0,-0.98,0.09,-0.06
2477971,0,-0.98,0.09,-0.06
2477973,0,-0.98,0.09,-0.06
2477975,0,-0.98,0.09,-0.06
2477976,0,-0.98,0.09,-0.06
2477978,0,-0.97,0.09,-0.05
2477980,0,-0.97,0.09,-0.05
2477981,0,-0.97,0.09,-0.05
2477983,0,-0.97,0.09,-0.05
2477985,0,-0.97,0.09,-0.05
2477986,0,-0.97,0.09,-0.05
2477988,0,-0.98,0.09,-0.05
2477990,0,-0.98,0.09,-0.05
2477991,0,-0.98,0.09,-0.05
2477993,0,-0.98,0.09,-0.05
2477995,0,-0.98,0.09,-0.05
2477996,0,-0.98,0.09,-0.05
2477998,0,-0.97,0.09,-0.05
2478000,0,-0.97,0.09,-0.05
2478001,0,-0.97,0.09,-0.05
2478003,0,-0.97,0.09,-0.05
2478005,0,-0.97,0.09,-0.05
2478006,0,-0.97,0.09,-0.05
2478008,0,-0.98,0.08,-0.05
2478010,0,-0.98,0.08,-0.05
2478011,0,-0.98,0.08,-0.05
2478013,0,-0.98,0.08,-0.05
2478015,0,-0.98,0.08,-0.05
2478016,0,-0.98,0.08,-0.05
2478018,0,-0.98,0.08,-0.05
2478020,0,-0.98,0.08,-0.05
2478021,0,-0.98,0.08,-0.05
2478023,0,-0.98,0.08,-0.05
2478024,0,-0.98,0.08,-0.05
2478026,0,-0.98,0.08,-0.05
