t,l,x,y,z
1233420,0,-0.94,0.15,0.22
1233421,0,-0.93,0.16,0.22
1233423,0,-0.93,0.16,0.22
1233425,0,-0.93,0.16,0.22
1233427,0,-0.93,0.16,0.22
1233428,0,-0.93,0.16,0.22
1233430,0,-0.93,0.16,0.22
1233432,0,-0.94,0.18,0.23
1233433,0,-0.94,0.18,0.23
1233435,0,-0.94,0.18,0.23
1233437,0,-0.94,0.18,0.23
1233438,0,-0.94,0.18,0.23
1233440,0,-0.94,0.18,0.23
1233442,0,-0.95,0.18,0.22
1233443,0,-0.95,0.18,0.22
1233445,0,-0.95,0.18,0.22
1233447,0,-0.95,0.18,0.22
1233448,0,-0.95,0.18,0.22
1233450,0,-0.95,0.18,0.23
1233452,0,-0.96,0.20,0.23
1233453,0,-0.96,0.20,0.23
1233455,0,-0.96,0.20,0.23
1233457,0,-0.96,0.20,0.23
1233458,0,-0.96,0.20,0.23
1233460,0,-0.96,0.19,0.23
1233462,0,-0.96,0.19,0.23
1233463,0,-0.96,0.19,0.23
1233465,0,-0.96,0.19,0.23
1233467,0,-0.96,0.19,0.23
1233468,0,-0.96,0.19,0.23
1233470,0,-0.96,0.18,0.23
1233472,0,-0.96,0.18,0.23
1233473,0,-0.96,0.18,0.23
1233475,0,-0.96,0.18,0.23
1233477,0,-0.96,0.18,0.23
1233478,0,-0.96,0.18,0.23
1233480,0,-0.96,0.16,0.23
1233482,0,-0.96,0.16,0.23
1233483,0,-0.96,0.16,0.23
1233485,0,-0.96,0.16,0.23
1233487,0,-0.96,0.16,0.23
1233488,0,-0.96,0.16,0.23
1233490,0,-0.95,0.16,0.24
1233492,0,-0.95,0.16,0.24
1233493,0,-0.95,0.16,0.24
1233495,0,-0.95,0.16,0.24
1233497,0,-0.95,0.16,0.24
1233498,0,-0.95,0.16,0.24
1233500,0,-0.94,0.15,0.24
1233502,0,-0.94,0.15,0.24
1233503,0,-0.94,0.15,0.24
1233505,0,-0.94,0.15,0.24
1233507,0,-0.94,0.15,0.24
1233508,0,-0.94,0.15,0.24
1233510,0,-0.93,0.14,0.23
1233512,0,-0.93,0.14,0.23
1233513,0,-0.93,0.14,0.23
1233515,0,-0.93,0.14,0.23
1233517,0,-0.93,0.14,0.23
1233518,0,-0.93,0.14,0.24
1233520,0,-0.93,0.14,0.24
1233522,0,-0.93,0.14,0.24
1233523,0,-0.93,0.14,0.24
1233525,0,-0.93,0.14,0.24
1233527,0,-0.93,0.14,0.24
1233528,0,-0.94,0.14,0.24
1233530,0,-0.94,0.14,0.24
1233532,0,-0.94,0.14,0.24
1233533,0,-0.94,0.14,0.24
1233535,0,-0.94,0.14,0.24
1233537,0,-0.94,0.14,0.24
1233538,0,-0.95,0.14,0.23
1233540,0,-0.95,0.14,0.23
1233542,0,-0.95,0.14,0.23
1233543,0,-0.95,0.14,0.23
1233545,0,-0.95,0.14,0.23
1233547,0,-0.95,0.14,0.23
1233548,0,-0.95,0.15,0.23
1233550,0,-0.95,0.15,0.23
1233552,0,-0.95,0.15,0.23
1233553,0,-0.95,0.15,0.23
1233555,0,-0.95,0.15,0.23
1233557,0,-0.95,0.15,0.23
1233559,0,-0.95,0.16,0.21
1233560,0,-0.95,0.16,0.21
1233562,0,-0.95,0.16,0.21
1233563,0,-0.95,0.16,0.21
1233565,0,-0.95,0.16,0.21
1233567,0,-0.95,0.16,0.21
1233569,0,-0.95,0.16,0.21
1233570,0,-0.95,0.16,0.21
1233572,0,-0.95,0.16,0.21
1233574,0,-0.95,0.16,0.21
1233575,0,-0.95,0.16,0.21
1233577,0,-0.95,0.17,0.21
1233579,0,-0.94,0.17,0.21
1233580,0,-0.94,0.17,0.21
1233582,0,-0.94,0.17,0.21
1233584,0,-0.94,0.17,0.21
1233585,0,-0.94,0.17,0.21
1233587,0,-0.95,0.17,0.21
1233589,0,-0.95,0.17,0.21
1233590,0,-0.95,0.17,0.21
1233592,0,-0.95,0.17,0.21
1233594,0,-0.95,0.17,0.21
1233595,0,-0.95,0.17,0.21
1233597,0,-0.95,0.17,0.21
1233599,0,-0.95,0.17,0.21
1233600,0,-0.95,0.17,0.21
1233602,0,-0.95,0.17,0.21
1233604,0,-0.95,0.17,0.21
1233605,0,-0.95,0.17,0.21
1233607,0,-0.94,0.17,0.22
1233609,0,-0.94,0.17,0.22
1233610,0,-0.94,0.17,0.22
1233612,0,-0.94,0.17,0.22
1233614,0,-0.94,0.17,0.22
1233615,0,-0.94,0.17,0.22
1233617,0,-0.95,0.17,0.22
1233619,0,-0.95,0.17,0.22
1233620,0,-0.95,0.17,0.22
1233622,0,-0.95,0.17,0.22
1233624,0,-0.95,0.17,0.22
1233625,0,-0.95,0.17,0.22
1233627,0,-0.96,0.17,0.22
1233629,0,-0.96,0.17,0.22
1233630,0,-0.96,0.17,0.22
1233632,0,-0.96,0.17,0.22
1233634,0,-0.96,0.17,0.22
1233635,0,-0.96,0.17,0.22
1233637,0,-0.97,0.17,0.23
1233639,0,-0.97,0.17,0.23
1233640,0,-0.97,0.17,0.23
1233642,0,-0.97,0.17,0.23
1233644,0,-0.97,0.17,0.23
1233645,0,-0.97,0.16,0.22
1233647,0,-0.96,0.16,0.22
