t,l,x,y,z
14670084,0,-0.97,0.03,0.07
14670086,0,-0.97,0.03,0.07
14670087,0,-0.97,0.03,0.07
14670089,0,-0.97,0.03,0.07
14670091,0,-0.97,0.03,0.07
14670092,0,-0.97,0.03,0.07
14670094,0,-0.98,0.02,0.07
14670096,0,-0.98,0.02,0.07
14670097,0,-0.98,0.02,0.07
14670099,0,-0.98,0.02,0.07
14670101,0,-0.98,0.02,0.07
14670102,0,-0.98,0.02,0.07
14670104,0,-0.99,0.02,0.07
14670106,0,-0.99,0.02,0.07
14670107,0,-0.99,0.02,0.07
14670109,0,-0.99,0.02,0.07
14670111,0,-0.99,0.02,0.07
14670112,0,-0.99,0.02,0.07
14670114,0,-0.97,0.03,0.08
14670116,0,-0.97,0.03,0.08
14670117,0,-0.97,0.03,0.08
14670119,0,-0.97,0.03,0.08
14670121,0,-0.97,0.03,0.08
14670122,0,-0.97,0.03,0.08
14670124,0,-0.97,0.03,0.07
14670126,0,-0.97,0.03,0.07
14670127,0,-0.97,0.03,0.07
14670129,0,-0.97,0.03,0.07
14670131,0,-0.97,0.03,0.07
14670132,0,-0.97,0.03,0.07
14670134,0,-0.99,0.02,0.08
14670136,0,-0.99,0.02,0.08
14670137,0,-0.99,0.02,0.08
14670139,0,-0.99,0.02,0.08
14670141,0,-0.99,0.02,0.08
14670142,0,-0.99,0.01,0.07
14670144,0,-0.98,0.01,0.07
14670146,0,-0.98,0.01,0.07
14670147,0,-0.98,0.01,0.07
14670149,0,-0.98,0.01,0.07
14670151,0,-0.98,0.01,0.07
14670152,0,-0.98,0.02,0.07
14670154,0,-0.98,0.02,0.07
14670156,0,-0.98,0.02,0.07
14670157,0,-0.98,0.02,0.07
14670159,0,-0.98,0.02,0.07
14670161,0,-0.98,0.02,0.07
14670162,0,-0.98,0.01,0.08
14670164,0,-0.98,0.01,0.08
14670166,0,-0.98,0.01,0.08
14670167,0,-0.98,0.01,0.08
14670169,0,-0.98,0.01,0.08
14670171,0,-0.98,0.01,0.08
14670172,0,-0.99,0.01,0.08
14670174,0,-0.99,0.01,0.08
14670176,0,-0.99,0.01,0.08
14670177,0,-0.99,0.01,0.08
14670179,0,-0.99,0.01,0.08
14670181,0,-0.99,0.01,0.08
14670182,0,-0.99,0.01,0.09
14670184,0,-0.99,0.01,0.09
14670186,0,-0.99,0.01,0.09
14670187,0,-0.99,0.01,0.09
14670189,0,-0.99,0.01,0.09
14670191,0,-0.99,0.01,0.09
14670192,0,-0.98,0.02,0.09
14670194,0,-0.98,0.02,0.09
14670196,0,-0.98,0.02,0.09
14670197,0,-0.98,0.02,0.09
14670199,0,-0.98,0.02,0.09
14670201,0,-0.98,0.02,0.09
14670202,0,-0.98,0.02,0.08
14670204,0,-0.98,0.02,0.08
14670206,0,-0.98,0.02,0.08
14670207,0,-0.98,0.02,0.08
14670209,0,-0.98,0.02,0.08
14670211,0,-0.98,0.02,0.08
14670212,0,-0.98,0.02,0.08
14670214,0,-0.98,0.02,0.08
14670216,0,-0.98,0.02,0.08
14670217,0,-0.98,0.02,0.08
14670219,0,-0.98,0.02,0.08
14670221,0,-0.98,0.02,0.07
14670222,0,-0.98,0.02,0.07
14670224,0,-0.98,0.02,0.07
14670226,0,-0.98,0.02,0.07
14670227,0,-0.98,0.02,0.07
14670229,0,-0.98,0.02,0.07
14670231,0,-0.98,0.01,0.07
14670232,0,-0.98,0.01,0.07
14670234,0,-0.98,0.01,0.07
14670236,0,-0.98,0.01,0.07
14670237,0,-0.98,0.01,0.07
14670239,0,-0.98,0.01,0.07
14670241,0,-0.98,0.00,0.07
14670242,0,-0.98,0.00,0.07
14670244,0,-0.98,0.00,0.07
14670246,0,-0.98,0.00,0.07
14670247,0,-0.98,0.00,0.07
14670249,0,-0.98,0.00,0.07
14670251,0,-0.99,-0.00,0.07
14670252,0,-0.99,-0.00,0.07
14670254,0,-0.99,-0.00,0.07
14670256,0,-0.99,-0.00,0.07
14670257,0,-0.99,-0.00,0.07
14670259,0,-0.99,-0.00,0.07
14670261,0,-0.97,0.01,0.04
14670262,0,-0.97,0.01,0.04
14670264,0,-0.97,0.01,0.04
14670265,0,-0.97,0.01,0.04
14670267,0,-0.97,0.01,0.04
14670269,0,-0.97,0.01,0.04
14670270,0,-0.98,0.01,0.06
14670272,0,-0.98,0.01,0.06
14670274,0,-0.98,0.01,0.06
14670275,0,-0.98,0.01,0.06
14670277,0,-0.98,0.01,0.06
14670279,0,-0.98,0.01,0.06
14670280,0,-0.97,0.02,0.06
14670282,0,-0.97,0.02,0.06
14670284,0,-0.97,0.02,0.06
14670285,0,-0.97,0.02,0.06
14670287,0,-0.97,0.02,0.06
14670289,0,-0.97,0.02,0.04
14670290,0,-0.96,0.03,0.04
14670292,0,-0.96,0.03,0.04
14670294,0,-0.96,0.03,0.04
14670295,0,-0.96,0.03,0.04
14670297,0,-0.96,0.03,0.04
14670299,0,-0.96,0.02,0.05
14670300,0,-0.97,0.02,0.05
14670302,0,-0.97,0.02,0.05
14670304,0,-0.97,0.02,0.05
14670305,0,-0.97,0.02,0.05
14670307,0,-0.97,0.02,0.05
14670309,0,-0.98,0.02,0.06
14670310,0,-0.98,0.02,0.06
14670312,0,-0.98,0.02,0.06
14670314,0,-0.98,0.02,0.06
14670315,0,-0.98,0.02,0.06
14670317,0,-0.98,0.02,0.06
14670319,0,-0.98,0.01,0.06
14670320,0,-0.98,0.01,0.06
14670322,0,-0.98,0.01,0.06
14670324,0,-0.98,0.01,0.06
14670325,0,-0.98,0.01,0.06
14670327,0,-0.98,0.01,0.06
14670329,0,-0.99,0.00,0.07
14670330,0,-0.99,0.00,0.07
14670332,0,-0.99,0.00,0.07
14670334,0,-0.99,0.00,0.07
14670335,0,-0.99,0.00,0.07
14670337,0,-0.99,0.00,0.07
14670338,0,-1.00,-0.01,0.08
14670340,0,-1.00,-0.01,0.08
14670342,0,-1.00,-0.01,0.08
14670344,0,-1.00,-0.01,0.08
14670345,0,-1.00,-0.01,0.08
14670347,0,-1.00,-0.01,0.08
14670349,0,-1.02,-0.02,0.08
14670350,0,-1.02,-0.02,0.08
14670352,0,-1.02,-0.02,0.08
14670354,0,-1.02,-0.02,0.08
14670355,0,-1.02,-0.02,0.08
14670357,0,-1.02,-0.02,0.08
14670358,0,-0.99,-0.01,0.07
14670360,0,-0.99,-0.01,0.07
14670362,0,-0.99,-0.01,0.07
14670363,0,-0.99,-0.01,0.07
14670365,0,-0.99,-0.01,0.07
14670367,0,-0.99,-0.01,0.07
14670368,0,-0.98,-0.00,0.07
14670370,0,-0.98,-0.00,0.07
14670372,0,-0.98,-0.00,0.07
14670373,0,-0.98,-0.00,0.07
14670375,0,-0.98,-0.00,0.07
14670377,0,-0.98,0.12,0.05
14670378,0,-0.97,0.02,0.05
14670380,0,-0.97,0.02,0.05
14670382,0,-0.97,0.02,0.05
14670383,0,-0.97,0.02,0.05
14670385,0,-0.97,0.02,0.05
14670387,0,-0.97,0.02,0.06
14670388,0,-0.97,0.02,0.06
14670390,0,-0.97,0.02,0.06
14670392,0,-0.97,0.02,0.06
14670393,0,-0.97,0.02,0.06
14670395,0,-0.97,0.02,0.06
14670397,0,-0.97,0.01,0.06
14670398,0,-0.97,0.01,0.06
14670400,0,-0.97,0.01,0.06
14670402,0,-0.97,0.01,0.06
14670403,0,-0.97,0.01,0.06
14670405,0,-0.97,0.01,0.06
14670407,0,-0.98,0.01,0.05
14670408,0,-0.98,0.01,0.05
14670410,0,-0.98,0.01,0.05
14670412,0,-0.98,0.01,0.05
14670413,0,-0.98,0.01,0.05
14670415,0,-0.98,0.01,0.05
14670417,0,-0.98,0.00,0.05
14670418,0,-0.98,0.00,0.05
14670420,0,-0.98,0.00,0.05
14670422,0,-0.98,0.00,0.05
14670423,0,-0.98,0.00,0.05
14670425,0,-0.98,0.00,0.05
14670427,0,-0.99,0.00,0.07
14670428,0,-0.99,0.00,0.07
14670430,0,-0.99,0.00,0.07
14670432,0,-0.99,0.00,0.07
14670433,0,-0.99,0.00,0.07
14670435,0,-0.99,0.00,0.07
14670437,0,-0.99,0.00,0.08
14670438,0,-0.99,0.00,0.08
14670440,0,-0.99,0.00,0.08
14670442,0,-0.99,0.00,0.08
14670443,0,-0.99,0.00,0.08
14670445,0,-0.99,0.00,0.08
14670447,0,-0.98,0.00,0.08
14670448,0,-0.98,0.00,0.08
14670450,0,-0.98,0.00,0.08
14670451,0,-0.98,0.00,0.08
14670453,0,-0.98,0.00,0.08
14670455,0,-0.98,0.00,0.08
14670456,0,-0.99,0.00,0.08
14670458,0,-0.99,0.00,0.08
14670459,0,-0.99,0.00,0.08
14670461,0,-0.99,0.00,0.08
14670463,0,-0.99,0.00,0.08
14670464,0,-0.99,0.00,0.08
14670466,0,-0.98,0.01,0.07
14670468,0,-0.98,0.01,0.07
14670469,0,-0.98,0.01,0.07
14670471,0,-0.98,0.01,0.07
14670473,0,-0.98,0.01,0.07
14670474,0,-0.98,0.01,0.08
14670476,0,-0.98,0.00,0.08
14670478,0,-0.98,0.00,0.08
14670479,0,-0.98,0.00,0.08
14670481,0,-0.98,0.00,0.08
14670483,0,-0.98,0.00,0.08
14670484,0,-0.98,-0.00,0.08
14670486,0,-0.99,-0.00,0.08
14670488,0,-0.99,-0.00,0.08
14670489,0,-0.99,-0.00,0.08
14670491,0,-0.99,-0.00,0.08
14670492,0,-0.99,-0.00,0.08
14670494,0,-0.99,-0.00,0.06
14670496,0,-0.99,-0.00,0.06
14670497,0,-0.99,-0.00,0.06
14670499,0,-0.99,-0.00,0.06
14670501,0,-0.99,-0.00,0.06
14670502,0,-0.99,-0.00,0.06
14670504,0,-0.97,0.01,0.06
14670506,0,-0.97,0.01,0.06
14670507,0,-0.97,0.01,0.06
14670509,0,-0.97,0.01,0.06
14670511,0,-0.97,0.01,0.06
14670512,0,-0.97,0.01,0.06
14670514,0,-0.96,0.01,0.05
14670516,0,-0.96,0.01,0.05
14670517,0,-0.96,0.01,0.05
14670519,0,-0.96,0.01,0.05
