t,l,x,y,z
5950904,0,-0.98,-0.06,-0.05
5950906,0,-0.99,-0.06,-0.05
5950907,0,-0.99,-0.06,-0.05
5950909,0,-0.99,-0.06,-0.05
5950911,0,-0.99,-0.06,-0.05
5950912,0,-0.99,-0.06,-0.05
5950914,0,-0.98,-0.06,-0.05
5950916,0,-0.98,-0.06,-0.05
5950917,0,-0.98,-0.06,-0.05
5950919,0,-0.98,-0.06,-0.05
5950921,0,-0.98,-0.06,-0.05
5950922,0,-0.98,-0.06,-0.05
5950924,0,-0.98,-0.05,-0.04
5950926,0,-0.98,-0.05,-0.04
5950927,0,-0.98,-0.05,-0.04
5950929,0,-0.98,-0.05,-0.04
5950931,0,-0.98,-0.05,-0.04
5950932,0,-0.98,-0.05,-0.04
5950934,0,-0.98,-0.05,-0.04
5950936,0,-0.98,-0.05,-0.04
5950937,0,-0.98,-0.05,-0.04
5950939,0,-0.98,-0.05,-0.04
5950941,0,-0.98,-0.05,-0.04
5950942,0,-0.98,-0.05,-0.04
5950944,0,-0.97,-0.05,-0.05
5950946,0,-0.97,-0.05,-0.05
5950947,0,-0.97,-0.05,-0.05
5950949,0,-0.97,-0.05,-0.05
5950951,0,-0.97,-0.05,-0.05
5950952,0,-0.97,-0.05,-0.05
5950954,0,-0.97,-0.04,-0.05
5950956,0,-0.97,-0.04,-0.05
5950957,0,-0.97,-0.04,-0.05
5950959,0,-0.97,-0.04,-0.05
5950961,0,-0.97,-0.04,-0.05
5950962,0,-0.97,-0.04,-0.05
5950964,0,-0.97,-0.04,-0.05
5950966,0,-0.97,-0.04,-0.05
5950967,0,-0.97,-0.04,-0.05
5950969,0,-0.97,-0.04,-0.05
5950971,0,-0.97,-0.04,-0.05
5950972,0,-0.98,-0.05,-0.06
5950974,0,-0.98,-0.05,-0.06
5950976,0,-0.98,-0.05,-0.06
5950977,0,-0.98,-0.05,-0.06
5950979,0,-0.98,-0.05,-0.06
5950981,0,-0.98,-0.05,-0.06
5950982,0,-0.97,-0.05,-0.06
5950984,0,-0.97,-0.05,-0.06
5950986,0,-0.97,-0.05,-0.06
5950987,0,-0.97,-0.05,-0.06
5950989,0,-0.97,-0.05,-0.06
5950991,0,-0.97,-0.05,-0.06
