t,l,x,y,z
7853782,0,-0.91,-0.04,-0.09
7853783,0,-0.91,-0.04,-0.09
7853785,0,-0.91,-0.04,-0.09
7853787,0,-0.91,-0.04,-0.09
7853788,0,-0.93,-0.06,-0.08
7853790,0,-0.93,-0.06,-0.08
7853792,0,-0.93,-0.06,-0.08
7853793,0,-0.93,-0.06,-0.08
7853795,0,-0.93,-0.06,-0.08
7853797,0,-0.93,-0.06,-0.08
7853798,0,-0.92,-0.06,-0.09
7853800,0,-0.92,-0.06,-0.09
7853802,0,-0.92,-0.06,-0.09
7853803,0,-0.92,-0.06,-0.09
7853805,0,-0.92,-0.06,-0.09
7853807,0,-0.92,-0.06,-0.10
7853808,0,-0.89,-0.03,-0.10
7853810,0,-0.89,-0.03,-0.10
7853812,0,-0.89,-0.03,-0.10
7853813,0,-0.89,-0.03,-0.10
7853815,0,-0.89,-0.03,-0.10
7853817,0,-0.86,-0.03,-0.11
7853819,0,-0.86,-0.03,-0.11
7853820,0,-0.86,-0.03,-0.11
7853822,0,-0.86,-0.03,-0.11
7853824,0,-0.86,-0.03,-0.11
7853825,0,-0.86,-0.03,-0.11
7853827,0,-0.79,0.01,-0.10
7853829,0,-0.79,0.01,-0.10
7853830,0,-0.79,0.01,-0.10
7853832,0,-0.79,0.01,-0.10
7853834,0,-0.79,0.01,-0.10
7853835,0,-0.79,0.01,-0.10
7853837,0,-0.65,0.02,-0.05
7853839,0,-0.65,0.02,-0.05
7853840,0,-0.65,0.02,-0.05
7853842,0,-0.65,0.02,-0.05
7853844,0,-0.65,0.02,-0.05
7853845,0,-0.65,0.02,-0.05
7853847,0,-0.47,0.02,0.04
7853849,0,-0.47,0.02,0.04
7853850,0,-0.47,0.02,0.04
7853852,0,-0.47,0.02,0.04
7853854,0,-0.47,0.02,0.04
7853855,0,-0.47,0.02,0.04
7853857,0,-0.25,0.13,0.10
7853859,0,-0.25,0.13,0.10
7853860,0,-0.25,0.13,0.10
7853862,0,-0.25,0.13,0.10
7853864,0,-0.25,0.13,0.10
7853865,0,-0.25,0.13,0.04
7853867,0,-0.11,0.17,0.04
7853869,0,-0.11,0.17,0.04
7853870,0,-0.11,0.17,0.04
7853872,0,-0.11,0.17,0.04
7853874,0,-0.11,0.17,0.04
7853875,0,-0.11,0.14,-0.07
7853877,0,-0.09,0.14,-0.07
7853879,0,-0.09,0.14,-0.07
7853880,0,-0.09,0.14,-0.07
7853882,0,-0.09,0.14,-0.07
7853884,0,-0.09,0.14,-0.07
7853885,0,-0.86,0.20,-0.57
7853887,0,-0.86,0.20,-0.57
7853889,0,-0.86,0.20,-0.57
7853890,0,-0.86,0.20,-0.57
7853892,0,-0.86,0.20,-0.57
7853894,0,-0.86,0.20,-0.57
7853896,0,-4.52,-0.33,-1.01
7853897,0,-4.52,-0.33,-1.01
7853899,0,-4.52,-0.33,-1.01
7853901,0,-4.52,-0.33,-1.01
7853902,0,-4.52,-0.33,-1.01
7853904,0,-4.52,-0.33,-1.01
7853906,0,-2.69,-1.24,-0.49
7853907,0,-2.69,-1.24,-0.49
7853909,0,-2.69,-1.24,-0.49
7853911,0,-2.69,-1.24,-0.49
7853912,0,-2.69,-1.24,-0.49
7853914,0,-2.69,-1.24,-0.62
7853916,0,-0.65,-0.31,-0.54
7853917,0,-0.65,-0.31,-0.54
7853919,0,-0.65,-0.31,-0.54
7853921,0,-0.65,-0.31,-0.54
7853922,0,-0.65,-0.31,-0.54
7853924,0,-0.65,0.19,-0.31
7853926,0,0.08,0.13,-0.31
7853927,0,0.08,0.13,-0.31
7853929,0,0.08,0.13,-0.31
7853931,0,0.08,0.13,-0.31
7853932,0,0.08,0.13,-0.31
7853934,0,0.10,0.01,-0.43
7853936,0,0.10,0.01,-0.43
7853937,0,0.10,0.01,-0.43
7853939,0,0.10,0.01,-0.43
7853941,0,0.10,0.01,-0.43
7853942,0,0.10,0.01,-0.43
7853944,0,-0.81,-0.17,-0.47
7853946,0,-0.81,-0.17,-0.47
7853947,0,-0.81,-0.17,-0.47
7853949,0,-0.81,-0.17,-0.47
7853951,0,-0.81,-0.17,-0.47
7853952,0,-0.81,-0.17,-0.47
7853954,0,-1.63,-0.34,-0.15
7853956,0,-1.63,-0.34,-0.15
7853957,0,-1.63,-0.34,-0.15
7853959,0,-1.63,-0.34,-0.15
7853961,0,-1.63,-0.34,-0.15
7853963,0,-1.63,-0.34,-0.15
7853964,0,-1.52,-0.32,0.11
7853966,0,-1.52,-0.32,0.11
7853968,0,-1.52,-0.32,0.11
7853969,0,-1.52,-0.32,0.11
7853971,0,-1.52,-0.32,0.11
7853973,0,-1.52,-0.32,0.23
7853974,0,-0.93,-0.11,0.13
7853976,0,-0.93,-0.11,0.13
7853978,0,-0.93,-0.11,0.13
7853979,0,-0.93,-0.11,0.13
7853981,0,-0.93,-0.11,0.13
7853983,0,-0.93,0.01,0.23
7853984,0,-0.72,0.02,0.23
7853986,0,-0.72,0.02,0.23
7853988,0,-0.72,0.02,0.23
7853989,0,-0.72,0.02,0.23
7853991,0,-0.72,0.02,0.23
7853993,0,-0.88,0.01,0.33
7853994,0,-0.88,0.01,0.33
7853996,0,-0.88,0.01,0.33
7853998,0,-0.88,0.01,0.33
7853999,0,-0.88,0.01,0.33
7854001,0,-0.88,0.01,0.33
7854003,0,-1.12,0.01,0.35
7854004,0,-1.12,0.01,0.35
7854006,0,-1.12,0.01,0.35
7854008,0,-1.12,0.01,0.35
7854009,0,-1.12,0.01,0.35
7854011,0,-1.12,0.01,0.35
7854013,0,-1.15,0.03,0.34
7854014,0,-1.15,0.03,0.34
7854016,0,-1.15,0.03,0.34
7854018,0,-1.15,0.03,0.34
7854019,0,-1.15,0.03,0.34
7854021,0,-1.15,0.03,0.34
7854023,0,-1.00,0.06,0.34
7854024,0,-1.00,0.06,0.34
7854026,0,-1.00,0.06,0.34
7854028,0,-1.00,0.06,0.34
7854029,0,-1.00,0.06,0.34
7854031,0,-1.00,0.06,0.34
7854033,0,-0.92,0.06,0.30
7854034,0,-0.92,0.06,0.30
7854036,0,-0.92,0.06,0.30
7854037,0,-0.92,0.06,0.30
7854039,0,-0.92,0.06,0.30
7854041,0,-0.92,0.06,0.30
7854042,0,-0.96,0.04,0.22
7854044,0,-0.96,0.04,0.22
7854046,0,-0.96,0.04,0.22
7854047,0,-0.96,0.04,0.22
7854049,0,-0.96,0.04,0.22
7854051,0,-0.96,0.04,0.22
7854052,0,-1.01,-0.02,0.09
7854054,0,-1.01,-0.02,0.09
7854056,0,-1.01,-0.02,0.09
7854057,0,-1.01,-0.02,0.09
7854059,0,-1.01,-0.02,0.09
7854061,0,-1.01,-0.02,-0.03
7854062,0,-1.01,-0.07,-0.03
7854064,0,-1.01,-0.07,-0.03
7854066,0,-1.01,-0.07,-0.03
7854067,0,-1.01,-0.07,-0.03
7854069,0,-1.01,-0.07,-0.03
7854071,0,-0.89,-0.08,-0.14
7854072,0,-0.96,-0.08,-0.14
7854074,0,-0.96,-0.08,-0.14
7854076,0,-0.96,-0.08,-0.14
7854077,0,-0.96,-0.08,-0.14
7854079,0,-0.96,-0.08,-0.14
7854081,0,-0.93,-0.10,-0.21
7854082,0,-0.93,-0.10,-0.21
7854084,0,-0.93,-0.10,-0.21
7854086,0,-0.93,-0.10,-0.21
7854087,0,-0.93,-0.10,-0.21
7854089,0,-0.93,-0.10,-0.21
7854091,0,-0.96,-0.10,-0.21
7854092,0,-0.96,-0.10,-0.21
7854094,0,-0.96,-0.10,-0.21
7854096,0,-0.96,-0.10,-0.21
7854097,0,-0.96,-0.10,-0.21
7854099,0,-0.96,-0.10,-0.21
7854101,0,-0.99,-0.12,-0.17
7854102,0,-0.99,-0.12,-0.17
7854104,0,-0.99,-0.12,-0.17
7854106,0,-0.99,-0.12,-0.17
7854108,0,-0.99,-0.12,-0.17
7854109,0,-0.99,-0.12,-0.17
7854111,0,-0.97,-0.09,-0.09
