t,l,x,y,z
6434904,0,-0.99,0.07,-0.03
6434906,0,-1.01,0.08,-0.01
6434907,0,-1.01,0.08,-0.01
6434909,0,-1.01,0.08,-0.01
6434911,0,-1.01,0.08,-0.01
6434912,0,-1.01,0.08,-0.01
6434914,0,-1.01,0.08,-0.01
6434916,0,-1.01,0.07,-0.01
6434917,0,-1.01,0.07,-0.01
6434919,0,-1.01,0.07,-0.01
6434921,0,-1.01,0.07,-0.01
6434922,0,-1.01,0.07,-0.01
6434924,0,-1.01,0.07,-0.01
6434926,0,-1.00,0.09,-0.01
6434927,0,-1.00,0.09,-0.01
6434929,0,-1.00,0.09,-0.01
6434931,0,-1.00,0.09,-0.01
6434932,0,-1.00,0.09,-0.01
6434934,0,-1.00,0.09,-0.01
6434936,0,-1.00,0.09,-0.01
6434937,0,-1.00,0.09,-0.01
6434939,0,-1.00,0.09,-0.01
6434941,0,-1.00,0.09,-0.01
6434942,0,-1.00,0.09,-0.01
6434944,0,-1.00,0.09,-0.01
6434946,0,-0.99,0.10,-0.01
6434947,0,-0.99,0.10,-0.01
6434949,0,-0.99,0.10,-0.01
6434951,0,-0.99,0.10,-0.01
6434952,0,-0.99,0.10,-0.01
6434954,0,-0.98,0.11,-0.02
6434956,0,-0.98,0.11,-0.02
6434958,0,-0.98,0.11,-0.02
6434959,0,-0.98,0.11,-0.02
6434961,0,-0.98,0.11,-0.02
6434963,0,-0.98,0.11,-0.02
6434964,0,-0.98,0.11,-0.00
6434966,0,-0.98,0.11,-0.00
6434968,0,-0.98,0.11,-0.00
6434969,0,-0.98,0.11,-0.00
6434971,0,-0.98,0.11,-0.00
6434973,0,-0.98,0.11,-0.00
6434974,0,-0.98,0.11,-0.02
6434976,0,-0.98,0.11,-0.02
6434978,0,-0.98,0.11,-0.02
6434979,0,-0.98,0.11,-0.02
6434981,0,-0.98,0.11,-0.02
6434983,0,-0.98,0.11,-0.02
6434984,0,-0.97,0.09,-0.03
6434986,0,-0.97,0.09,-0.03
6434988,0,-0.97,0.09,-0.03
6434989,0,-0.97,0.09,-0.03
6434991,0,-0.97,0.09,-0.03
6434993,0,-0.97,0.09,-0.03
6434994,0,-0.97,0.08,-0.03
6434996,0,-0.97,0.08,-0.03
6434998,0,-0.97,0.08,-0.03
6434999,0,-0.97,0.08,-0.03
6435001,0,-0.97,0.08,-0.03
6435003,0,-0.97,0.08,-0.02
6435004,0,-0.97,0.09,-0.02
6435006,0,-0.97,0.09,-0.02
6435008,0,-0.97,0.09,-0.02
6435009,0,-0.97,0.09,-0.02
6435011,0,-0.97,0.09,-0.02
6435013,0,-0.97,0.10,-0.01
6435014,0,-0.98,0.10,-0.01
6435016,0,-0.98,0.10,-0.01
6435018,0,-0.98,0.10,-0.01
6435019,0,-0.98,0.10,-0.01
6435021,0,-0.98,0.10,-0.01
6435023,0,-1.00,0.08,-0.00
6435024,0,-1.00,0.08,-0.00
6435026,0,-1.00,0.08,-0.00
6435027,0,-1.00,0.08,-0.00
6435029,0,-1.00,0.08,-0.00
6435031,0,-1.00,0.08,-0.00
6435032,0,-0.99,0.06,-0.00
6435034,0,-0.99,0.06,-0.00
6435036,0,-0.99,0.06,-0.00
6435037,0,-0.99,0.06,-0.00
6435039,0,-0.99,0.06,-0.00
6435041,0,-0.99,0.06,-0.00
6435042,0,-1.00,0.07,-0.01
6435044,0,-1.00,0.07,-0.01
6435046,0,-1.00,0.07,-0.01
6435047,0,-1.00,0.07,-0.01
6435049,0,-1.00,0.07,-0.01
6435051,0,-1.00,0.07,-0.01
6435052,0,-1.00,0.08,-0.01
6435054,0,-1.00,0.08,-0.01
6435056,0,-1.00,0.08,-0.01
6435057,0,-1.00,0.08,-0.01
6435059,0,-1.00,0.08,-0.01
6435061,0,-1.00,0.08,-0.01
6435062,0,-0.99,0.08,-0.02
6435064,0,-0.99,0.08,-0.02
6435066,0,-0.99,0.08,-0.02
6435067,0,-0.99,0.08,-0.02
6435069,0,-0.99,0.08,-0.02
6435071,0,-0.99,0.08,-0.02
6435072,0,-0.98,0.08,-0.04
6435074,0,-0.98,0.08,-0.04
6435076,0,-0.98,0.08,-0.04
