t,l,x,y,z
6176903,0,-0.96,-0.17,0.10
6176904,0,-0.96,-0.17,0.10
6176906,0,-0.96,-0.17,0.10
6176908,0,-0.96,-0.17,0.10
6176909,0,-0.95,-0.14,0.11
6176911,0,-0.95,-0.14,0.11
6176913,0,-0.95,-0.14,0.11
6176915,0,-0.95,-0.14,0.11
6176916,0,-0.95,-0.14,0.11
6176918,0,-0.95,-0.14,0.11
6176920,0,-0.93,-0.10,0.17
6176921,0,-0.93,-0.10,0.17
6176923,0,-0.93,-0.10,0.17
6176925,0,-0.93,-0.10,0.17
6176926,0,-0.93,-0.10,0.17
6176928,0,-0.93,-0.10,0.17
6176930,0,-0.92,-0.12,0.20
6176931,0,-0.92,-0.12,0.20
6176933,0,-0.92,-0.12,0.20
6176935,0,-0.92,-0.12,0.20
6176937,0,-0.92,-0.12,0.20
6176938,0,-0.92,-0.24,0.19
6176940,0,-0.95,-0.14,0.19
6176942,0,-0.95,-0.14,0.19
6176943,0,-0.95,-0.14,0.19
6176945,0,-0.95,-0.14,0.19
6176947,0,-0.95,-0.14,0.19
6176948,0,-0.96,-0.16,0.22
6176950,0,-0.96,-0.16,0.22
6176952,0,-0.96,-0.16,0.22
6176953,0,-0.96,-0.16,0.22
6176955,0,-0.96,-0.16,0.22
6176957,0,-0.96,-0.16,0.22
6176958,0,-0.94,-0.17,0.24
6176960,0,-0.94,-0.17,0.24
6176962,0,-0.94,-0.17,0.24
6176963,0,-0.94,-0.17,0.24
6176965,0,-0.94,-0.17,0.24
6176967,0,-0.94,-0.17,0.24
6176968,0,-0.94,-0.18,0.25
6176970,0,-0.94,-0.18,0.25
6176972,0,-0.94,-0.18,0.25
6176973,0,-0.94,-0.18,0.25
6176975,0,-0.94,-0.18,0.25
6176977,0,-0.94,-0.18,0.25
6176978,0,-0.96,-0.18,0.27
6176980,0,-0.96,-0.18,0.27
6176982,0,-0.96,-0.18,0.27
6176983,0,-0.96,-0.18,0.27
6176985,0,-0.96,-0.18,0.27
6176987,0,-0.96,-0.18,0.27
6176988,0,-0.95,-0.19,0.29
6176990,0,-0.95,-0.19,0.29
6176992,0,-0.95,-0.19,0.29
6176993,0,-0.95,-0.19,0.29
6176995,0,-0.95,-0.19,0.29
6176997,0,-0.95,-0.19,0.29
6176998,0,-0.95,-0.19,0.26
6177000,0,-0.95,-0.19,0.26
6177002,0,-0.95,-0.19,0.26
6177003,0,-0.95,-0.19,0.26
6177005,0,-0.95,-0.19,0.26
6177007,0,-0.95,-0.19,0.23
6177008,0,-0.95,-0.19,0.23
6177010,0,-0.95,-0.19,0.23
6177012,0,-0.95,-0.19,0.23
6177014,0,-0.95,-0.19,0.23
6177015,0,-0.95,-0.19,0.23
6177017,0,-0.96,-0.19,0.20
6177019,0,-0.96,-0.19,0.20
6177020,0,-0.96,-0.19,0.20
6177022,0,-0.96,-0.19,0.20
6177024,0,-0.96,-0.19,0.20
6177025,0,-0.96,-0.19,0.20
6177027,0,-0.96,-0.20,0.15
6177029,0,-0.96,-0.20,0.15
6177030,0,-0.96,-0.20,0.15
6177032,0,-0.96,-0.20,0.15
6177034,0,-0.96,-0.20,0.15
6177035,0,-0.96,-0.20,0.15
6177037,0,-0.96,-0.20,0.11
6177039,0,-0.96,-0.20,0.11
6177040,0,-0.96,-0.20,0.11
6177042,0,-0.96,-0.20,0.11
6177044,0,-0.96,-0.20,0.11
6177045,0,-0.96,-0.20,0.11
6177047,0,-0.96,-0.19,0.06
6177049,0,-0.96,-0.19,0.06
6177050,0,-0.96,-0.19,0.06
6177052,0,-0.96,-0.19,0.06
6177054,0,-0.96,-0.19,0.06
6177055,0,-0.96,-0.19,0.04
6177057,0,-0.96,-0.17,0.04
6177059,0,-0.96,-0.17,0.04
6177060,0,-0.96,-0.17,0.04
6177062,0,-0.96,-0.17,0.04
6177064,0,-0.96,-0.17,0.04
6177065,0,-0.96,-0.16,0.03
6177067,0,-0.95,-0.16,0.03
6177069,0,-0.95,-0.16,0.03
6177070,0,-0.95,-0.16,0.03
6177072,0,-0.95,-0.16,0.03
6177074,0,-0.95,-0.16,0.03
6177075,0,-0.95,-0.18,0.02
6177077,0,-0.95,-0.18,0.02
6177079,0,-0.95,-0.18,0.02
6177080,0,-0.95,-0.18,0.02
6177082,0,-0.95,-0.18,0.02
6177084,0,-0.95,-0.18,0.02
6177085,0,-0.96,-0.16,0.03
6177087,0,-0.96,-0.16,0.03
6177089,0,-0.96,-0.16,0.03
6177090,0,-0.96,-0.16,0.03
6177092,0,-0.96,-0.16,0.03
6177094,0,-0.96,-0.16,0.03
6177095,0,-0.95,-0.13,0.11
6177097,0,-0.95,-0.13,0.11
6177099,0,-0.95,-0.13,0.11
6177100,0,-0.95,-0.13,0.11
6177102,0,-0.95,-0.13,0.11
6177104,0,-0.95,-0.13,0.11
6177105,0,-0.92,-0.10,0.17
6177107,0,-0.92,-0.10,0.17
6177109,0,-0.92,-0.10,0.17
6177110,0,-0.92,-0.10,0.17
6177112,0,-0.92,-0.10,0.17
6177114,0,-0.92,-0.10,0.17
6177115,0,-0.91,-0.08,0.21
6177117,0,-0.91,-0.08,0.21
6177119,0,-0.91,-0.08,0.21
6177120,0,-0.91,-0.08,0.21
6177122,0,-0.91,-0.08,0.21
6177124,0,-0.91,-0.08,0.26
6177125,0,-0.91,-0.10,0.26
6177127,0,-0.91,-0.10,0.26
6177129,0,-0.91,-0.10,0.26
6177130,0,-0.91,-0.10,0.26
6177132,0,-0.91,-0.10,0.26
6177134,0,-0.91,-0.11,0.29
6177135,0,-0.94,-0.11,0.29
6177137,0,-0.94,-0.11,0.29
6177139,0,-0.94,-0.11,0.29
6177140,0,-0.94,-0.11,0.29
6177142,0,-0.94,-0.11,0.29
6177144,0,-0.96,-0.14,0.29
6177145,0,-0.96,-0.14,0.29
6177147,0,-0.96,-0.14,0.29
6177149,0,-0.96,-0.14,0.29
6177150,0,-0.96,-0.14,0.29
6177152,0,-0.96,-0.14,0.29
6177154,0,-0.96,-0.17,0.28
6177156,0,-0.96,-0.17,0.28
6177157,0,-0.96,-0.17,0.28
6177159,0,-0.96,-0.17,0.28
6177161,0,-0.96,-0.17,0.28
6177162,0,-0.96,-0.17,0.28
6177164,0,-0.96,-0.18,0.27
6177166,0,-0.96,-0.18,0.27
6177167,0,-0.96,-0.18,0.27
6177169,0,-0.96,-0.18,0.27
6177171,0,-0.96,-0.18,0.27
6177172,0,-0.96,-0.18,0.27
6177174,0,-0.97,-0.18,0.24
6177176,0,-0.97,-0.18,0.24
6177177,0,-0.97,-0.18,0.24
6177179,0,-0.97,-0.18,0.24
6177181,0,-0.97,-0.18,0.24
6177182,0,-0.97,-0.18,0.23
6177184,0,-0.97,-0.19,0.23
6177186,0,-0.97,-0.19,0.23
6177187,0,-0.97,-0.19,0.23
6177189,0,-0.97,-0.19,0.23
6177191,0,-0.97,-0.19,0.23
6177192,0,-0.98,-0.19,0.21
6177194,0,-0.98,-0.19,0.21
6177196,0,-0.98,-0.19,0.21
6177197,0,-0.98,-0.19,0.21
6177199,0,-0.98,-0.19,0.21
6177201,0,-0.98,-0.19,0.21
6177202,0,-0.99,-0.18,0.19
6177204,0,-0.99,-0.18,0.19
6177206,0,-0.99,-0.18,0.19
6177208,0,-0.99,-0.18,0.19
6177209,0,-0.99,-0.18,0.19
6177211,0,-0.99,-0.18,0.19
6177213,0,-0.98,-0.17,0.17
6177214,0,-0.98,-0.17,0.17
6177216,0,-0.98,-0.17,0.17
6177218,0,-0.98,-0.17,0.17
6177219,0,-0.98,-0.17,0.17
6177221,0,-0.98,-0.17,0.17
6177223,0,-0.98,-0.15,0.16
6177224,0,-0.98,-0.15,0.16
6177226,0,-0.98,-0.15,0.16
6177228,0,-0.98,-0.15,0.16
6177229,0,-0.98,-0.15,0.16
6177231,0,-0.98,-0.15,0.16
6177233,0,-0.97,-0.14,0.15
6177234,0,-0.97,-0.14,0.15
6177236,0,-0.97,-0.14,0.15
6177238,0,-0.97,-0.14,0.15
6177239,0,-0.97,-0.14,0.15
6177241,0,-0.97,-0.14,0.13
6177243,0,-0.96,-0.14,0.13
6177244,0,-0.96,-0.14,0.13
6177246,0,-0.96,-0.14,0.13
6177248,0,-0.96,-0.14,0.13
6177249,0,-0.96,-0.14,0.13
6177251,0,-0.94,-0.12,0.13
6177253,0,-0.94,-0.12,0.13
6177254,0,-0.94,-0.12,0.13
6177256,0,-0.94,-0.12,0.13
6177258,0,-0.94,-0.12,0.13
6177259,0,-0.94,-0.12,0.13
6177261,0,-0.95,-0.11,0.12
6177263,0,-0.95,-0.11,0.12
6177264,0,-0.95,-0.11,0.12
6177266,0,-0.95,-0.11,0.12
6177268,0,-0.95,-0.11,0.12
6177269,0,-0.95,-0.11,0.12
6177271,0,-0.94,-0.09,0.11
6177273,0,-0.94,-0.09,0.11
6177274,0,-0.94,-0.09,0.11
6177276,0,-0.94,-0.09,0.11
6177278,0,-0.94,-0.09,0.11
6177279,0,-0.94,-0.09,0.11
6177281,0,-0.93,-0.09,0.13
6177283,0,-0.93,-0.09,0.13
6177284,0,-0.93,-0.09,0.13
6177286,0,-0.93,-0.09,0.13
6177288,0,-0.93,-0.09,0.13
6177289,0,-0.93,-0.09,0.13
6177291,0,-0.92,-0.10,0.14
6177293,0,-0.92,-0.10,0.14
6177294,0,-0.92,-0.10,0.14
6177296,0,-0.92,-0.10,0.14
6177298,0,-0.92,-0.10,0.14
6177299,0,-0.92,-0.10,0.14
6177301,0,-0.92,-0.12,0.13
6177303,0,-0.92,-0.12,0.13
6177304,0,-0.92,-0.12,0.13
6177306,0,-0.92,-0.12,0.13
6177308,0,-0.92,-0.12,0.13
6177309,0,-0.92,-0.25,0.11
6177311,0,-0.94,-0.14,0.11
6177313,0,-0.94,-0.14,0.11
6177314,0,-0.94,-0.14,0.11
6177316,0,-0.94,-0.14,0.11
6177318,0,-0.94,-0.14,0.11
6177320,0,-0.98,-0.17,0.09
6177321,0,-0.98,-0.17,0.09
6177323,0,-0.98,-0.17,0.09
6177325,0,-0.98,-0.17,0.09
6177326,0,-0.98,-0.17,0.09
6177328,0,-0.98,-0.17,0.09
6177330,0,-0.99,-0.17,0.11
6177331,0,-0.99,-0.17,0.11
6177333,0,-0.99,-0.17,0.11
6177335,0,-0.99,-0.17,0.11
6177336,0,-0.99,-0.17,0.11
6177338,0,-0.99,-0.17,0.11
6177340,0,-0.98,-0.16,0.12
6177341,0,-0.98,-0.16,0.12
6177343,0,-0.98,-0.16,0.12
6177345,0,-0.98,-0.16,0.12
6177347,0,-0.98,-0.16,0.12
6177348,0,-0.98,-0.16,0.12
6177350,0,-0.97,-0.15,0.13
6177351,0,-0.97,-0.15,0.13
6177353,0,-0.97,-0.15,0.13
6177355,0,-0.97,-0.15,0.13
6177357,0,-0.97,-0.15,0.13
6177358,0,-0.97,-0.15,0.15
6177360,0,-0.96,-0.14,0.15
6177362,0,-0.96,-0.14,0.15
6177363,0,-0.96,-0.14,0.15
6177365,0,-0.96,-0.14,0.15
6177367,0,-0.96,-0.14,0.15
6177368,0,-0.96,-0.12,0.16
6177370,0,-0.95,-0.12,0.16
6177372,0,-0.95,-0.12,0.16
6177373,0,-0.95,-0.12,0.16
6177375,0,-0.95,-0.12,0.16
6177377,0,-0.95,-0.12,0.16
6177378,0,-0.95,-0.11,0.18
6177380,0,-0.95,-0.11,0.18
6177382,0,-0.95,-0.11,0.18
6177383,0,-0.95,-0.11,0.18
6177385,0,-0.95,-0.11,0.18
6177387,0,-0.95,-0.11,0.18
6177388,0,-0.94,-0.11,0.19
6177390,0,-0.94,-0.11,0.19
6177392,0,-0.94,-0.11,0.19
6177394,0,-0.94,-0.11,0.19
6177395,0,-0.94,-0.11,0.19
6177397,0,-0.94,-0.11,0.19
6177399,0,-0.94,-0.11,0.19
6177400,0,-0.94,-0.11,0.19
6177402,0,-0.94,-0.11,0.19
6177404,0,-0.94,-0.11,0.19
6177405,0,-0.94,-0.11,0.19
6177407,0,-0.94,-0.11,0.20
6177409,0,-0.96,-0.12,0.20
6177410,0,-0.96,-0.12,0.20
6177412,0,-0.96,-0.12,0.20
6177414,0,-0.96,-0.12,0.20
6177415,0,-0.96,-0.12,0.20
6177417,0,-0.96,-0.12,0.18
6177419,0,-0.96,-0.12,0.18
6177420,0,-0.96,-0.12,0.18
6177422,0,-0.96,-0.12,0.18
6177424,0,-0.96,-0.12,0.18
6177425,0,-0.96,-0.12,0.18
6177427,0,-0.96,-0.13,0.17
6177429,0,-0.96,-0.13,0.17
6177430,0,-0.96,-0.13,0.17
6177432,0,-0.96,-0.13,0.17
6177434,0,-0.96,-0.13,0.17
6177435,0,-0.96,-0.13,0.17
6177437,0,-0.96,-0.13,0.15
6177439,0,-0.96,-0.13,0.15
6177440,0,-0.96,-0.13,0.15
6177442,0,-0.96,-0.13,0.15
6177444,0,-0.96,-0.13,0.15
6177445,0,-0.96,-0.13,0.15
6177447,0,-0.97,-0.13,0.13
6177449,0,-0.97,-0.13,0.13
6177450,0,-0.97,-0.13,0.13
6177452,0,-0.97,-0.13,0.13
6177454,0,-0.97,-0.13,0.13
6177456,0,-0.97,-0.13,0.13
6177457,0,-0.98,-0.11,0.10
6177459,0,-0.98,-0.11,0.10
6177461,0,-0.98,-0.11,0.10
6177462,0,-0.98,-0.11,0.10
6177464,0,-0.98,-0.11,0.10
6177466,0,-0.98,-0.11,0.09
6177467,0,-0.98,-0.09,0.09
6177469,0,-0.98,-0.09,0.09
6177471,0,-0.98,-0.09,0.09
6177472,0,-0.98,-0.09,0.09
6177474,0,-0.98,-0.09,0.09
6177476,0,-0.98,-0.10,0.07
6177477,0,-0.96,-0.10,0.07
6177479,0,-0.96,-0.10,0.07
6177481,0,-0.96,-0.10,0.07
6177482,0,-0.96,-0.10,0.07
6177484,0,-0.96,-0.10,0.07
6177486,0,-0.95,-0.10,0.06
6177487,0,-0.95,-0.10,0.06
6177489,0,-0.95,-0.10,0.06
6177491,0,-0.95,-0.10,0.06
6177492,0,-0.95,-0.10,0.06
6177494,0,-0.95,-0.10,0.06
6177496,0,-0.94,-0.09,0.06
6177497,0,-0.94,-0.09,0.06
6177499,0,-0.94,-0.09,0.06
6177501,0,-0.94,-0.09,0.06
6177502,0,-0.94,-0.09,0.06
6177504,0,-0.94,-0.09,0.06
6177506,0,-0.91,-0.08,0.10
6177507,0,-0.91,-0.08,0.10
6177509,0,-0.91,-0.08,0.10
6177511,0,-0.91,-0.08,0.10
6177512,0,-0.91,-0.08,0.10
6177514,0,-0.91,-0.08,0.10
6177516,0,-0.91,-0.08,0.12
6177517,0,-0.91,-0.08,0.12
6177519,0,-0.91,-0.08,0.12
6177521,0,-0.91,-0.08,0.12
6177522,0,-0.91,-0.08,0.12
6177524,0,-0.91,-0.08,0.12
6177526,0,-0.91,-0.08,0.13
6177527,0,-0.91,-0.08,0.13
6177529,0,-0.91,-0.08,0.13
6177531,0,-0.91,-0.08,0.13
6177532,0,-0.91,-0.08,0.13
6177534,0,-0.91,-0.08,0.13
6177536,0,-0.92,-0.09,0.13
6177537,0,-0.92,-0.09,0.13
6177539,0,-0.92,-0.09,0.13
6177541,0,-0.92,-0.09,0.13
6177542,0,-0.92,-0.09,0.13
6177544,0,-0.96,-0.10,0.11
6177546,0,-0.96,-0.10,0.11
6177548,0,-0.96,-0.10,0.11
6177549,0,-0.96,-0.10,0.11
6177551,0,-0.96,-0.10,0.11
6177553,0,-0.96,-0.10,0.11
6177554,0,-0.99,-0.12,0.11
6177556,0,-0.99,-0.12,0.11
6177558,0,-0.99,-0.12,0.11
6177559,0,-0.99,-0.12,0.11
6177561,0,-0.99,-0.12,0.11
6177563,0,-0.99,-0.12,0.11
6177564,0,-1.01,-0.12,0.09
6177566,0,-1.01,-0.12,0.09
6177568,0,-1.01,-0.12,0.09
6177569,0,-1.01,-0.12,0.09
6177571,0,-1.01,-0.12,0.09
6177573,0,-1.01,-0.12,0.09
6177574,0,-1.02,-0.12,0.08
6177576,0,-1.02,-0.12,0.08
6177578,0,-1.02,-0.12,0.08
6177579,0,-1.02,-0.12,0.08
6177581,0,-1.02,-0.12,0.08
6177582,0,-1.02,-0.12,0.08
6177584,0,-1.01,-0.11,0.07
6177586,0,-1.01,-0.11,0.07
6177587,0,-1.01,-0.11,0.07
6177589,0,-1.01,-0.11,0.07
6177591,0,-1.01,-0.11,0.07
6177592,0,-1.01,-0.11,0.07
6177594,0,-0.99,-0.11,0.06
6177596,0,-0.99,-0.11,0.06
6177597,0,-0.99,-0.11,0.06
6177599,0,-0.99,-0.11,0.06
6177601,0,-0.99,-0.11,0.06
6177602,0,-0.99,-0.11,0.06
6177604,0,-0.96,-0.10,0.06
6177606,0,-0.96,-0.10,0.06
6177607,0,-0.96,-0.10,0.06
6177609,0,-0.96,-0.10,0.06
6177611,0,-0.96,-0.10,0.06
6177612,0,-0.96,-0.10,0.06
6177614,0,-0.94,-0.10,0.06
6177616,0,-0.94,-0.10,0.06
6177617,0,-0.94,-0.10,0.06
6177619,0,-0.94,-0.10,0.06
6177621,0,-0.94,-0.10,0.06
6177622,0,-0.94,-0.10,0.08
6177624,0,-0.94,-0.10,0.08
6177626,0,-0.94,-0.10,0.08
6177627,0,-0.94,-0.10,0.08
6177629,0,-0.94,-0.10,0.08
6177631,0,-0.94,-0.10,0.08
6177632,0,-0.95,-0.11,0.11
6177634,0,-0.95,-0.11,0.11
6177636,0,-0.95,-0.11,0.11
