t,l,x,y,z
5136451,1,-0.98,0.02,0.13
5136453,1,-0.98,0.02,0.13
5136455,1,-0.98,0.02,0.13
5136456,1,-0.98,0.02,0.13
5136458,1,-0.98,0.02,0.13
5136459,1,-0.99,0.01,0.13
5136461,1,-0.99,0.01,0.13
5136463,1,-0.99,0.01,0.13
5136464,1,-0.99,0.01,0.13
5136466,1,-0.99,0.01,0.13
5136468,1,-0.99,0.01,0.13
5136470,1,-0.99,0.02,0.08
5136471,1,-0.99,0.02,0.08
5136473,1,-0.99,0.02,0.08
5136475,1,-0.99,0.02,0.08
5136476,1,-0.99,0.02,0.08
5136478,1,-0.99,0.02,0.08
5136480,1,-0.98,0.02,0.06
5136481,1,-0.98,0.02,0.06
5136483,1,-0.98,0.02,0.06
5136484,1,-0.98,0.02,0.06
5136486,1,-0.98,0.02,0.06
5136488,1,-0.98,0.02,0.06
5136489,1,-0.98,0.01,0.04
5136491,1,-0.98,0.01,0.04
5136493,1,-0.98,0.01,0.04
5136494,1,-0.98,0.01,0.04
5136496,1,-0.98,0.01,0.04
5136498,1,-0.98,0.01,0.04
5136499,1,-0.99,0.01,0.02
5136501,1,-0.99,0.01,0.02
5136503,1,-0.99,0.01,0.02
5136504,1,-0.99,0.01,0.02
5136506,1,-0.99,0.01,0.02
5136508,1,-0.99,0.01,0.02
5136509,1,-0.99,0.00,-0.01
5136511,1,-0.99,0.00,-0.01
5136513,1,-0.99,0.00,-0.01
5136514,1,-0.99,0.00,-0.01
5136516,1,-0.99,0.00,-0.01
5136518,1,-0.99,0.00,-0.01
5136519,1,-0.99,0.01,-0.02
5136521,1,-0.99,0.01,-0.02
5136523,1,-0.99,0.01,-0.02
5136524,1,-0.99,0.01,-0.02
5136526,1,-0.99,0.01,-0.02
5136528,1,-0.99,0.02,-0.02
5136529,1,-0.99,0.02,-0.02
5136531,1,-0.99,0.02,-0.02
5136533,1,-0.99,0.02,-0.02
5136534,1,-0.99,0.02,-0.02
5136536,1,-0.99,0.02,-0.02
5136538,1,-0.98,0.03,0.03
5136539,1,-0.98,0.03,0.03
5136541,1,-0.98,0.03,0.03
5136543,1,-0.98,0.03,0.03
5136544,1,-0.98,0.03,0.03
5136546,1,-0.98,0.03,0.03
5136548,1,-0.99,0.02,0.09
5136549,1,-0.99,0.02,0.09
5136551,1,-0.99,0.02,0.09
5136553,1,-0.99,0.02,0.09
5136554,1,-0.99,0.02,0.09
5136556,1,-0.99,0.02,0.09
5136558,1,-0.99,0.02,0.09
5136559,1,-0.99,0.02,0.09
5136561,1,-0.99,0.02,0.09
5136563,1,-0.99,0.02,0.09
5136564,1,-0.99,0.02,0.09
5136566,1,-0.99,0.02,0.09
5136568,1,-0.99,0.02,0.06
5136569,1,-0.99,0.02,0.06
5136571,1,-0.99,0.02,0.06
5136573,1,-0.99,0.02,0.06
5136574,1,-0.99,0.02,0.06
