t,l,x,y,z
19738545,0,-1.00,-0.04,0.02
19738547,0,-1.00,-0.04,0.02
19738549,0,-1.00,-0.04,0.02
19738550,0,-1.00,-0.04,0.02
19738552,0,-1.00,-0.04,0.02
19738554,0,-0.98,-0.05,0.03
19738555,0,-0.98,-0.05,0.03
19738557,0,-0.98,-0.05,0.03
19738559,0,-0.98,-0.05,0.03
19738560,0,-0.98,-0.05,0.03
19738562,0,-0.98,-0.05,0.03
19738564,0,-0.97,-0.07,0.03
19738565,0,-0.97,-0.07,0.03
19738567,0,-0.97,-0.07,0.03
19738569,0,-0.97,-0.07,0.03
19738570,0,-0.97,-0.07,0.03
19738572,0,-0.97,-0.07,0.03
19738574,0,-0.97,-0.08,0.05
19738575,0,-0.97,-0.08,0.05
19738577,0,-0.97,-0.08,0.05
19738579,0,-0.97,-0.08,0.05
19738580,0,-0.97,-0.08,0.05
19738582,0,-0.97,-0.08,0.05
19738584,0,-0.99,-0.09,0.09
19738585,0,-0.99,-0.09,0.09
19738587,0,-0.99,-0.09,0.09
19738589,0,-0.99,-0.09,0.09
19738590,0,-0.99,-0.09,0.09
19738592,0,-0.99,-0.09,0.09
19738594,0,-0.98,-0.09,0.10
19738595,0,-0.98,-0.09,0.10
19738597,0,-0.98,-0.09,0.10
19738599,0,-0.98,-0.09,0.10
19738601,0,-0.98,-0.09,0.10
19738602,0,-0.98,-0.09,0.10
19738604,0,-0.98,-0.09,0.10
19738606,0,-0.98,-0.09,0.10
19738607,0,-0.98,-0.09,0.10
19738609,0,-0.98,-0.09,0.10
19738611,0,-0.98,-0.09,0.10
19738612,0,-0.97,-0.09,0.10
19738614,0,-0.97,-0.09,0.10
19738616,0,-0.97,-0.09,0.10
19738617,0,-0.97,-0.09,0.10
19738619,0,-0.97,-0.09,0.10
19738621,0,-0.97,-0.09,0.10
19738623,0,-0.96,-0.10,0.08
19738624,0,-0.96,-0.10,0.08
19738626,0,-0.96,-0.10,0.08
19738627,0,-0.96,-0.10,0.08
19738629,0,-0.96,-0.10,0.08
19738631,0,-0.96,-0.10,0.08
19738632,0,-0.95,-0.12,0.08
19738634,0,-0.95,-0.12,0.08
19738636,0,-0.95,-0.12,0.08
19738637,0,-0.95,-0.12,0.08
19738639,0,-0.95,-0.12,0.08
19738641,0,-0.95,-0.12,0.08
19738643,0,-0.95,-0.12,0.10
19738644,0,-0.95,-0.12,0.10
19738646,0,-0.95,-0.12,0.10
19738648,0,-0.95,-0.12,0.10
19738649,0,-0.95,-0.12,0.10
19738651,0,-0.95,-0.12,0.09
19738653,0,-0.97,-0.12,0.09
19738654,0,-0.97,-0.12,0.09
19738656,0,-0.97,-0.12,0.09
19738658,0,-0.97,-0.12,0.09
19738659,0,-0.97,-0.12,0.09
19738661,0,-0.97,-0.11,0.09
19738663,0,-0.97,-0.11,0.09
19738664,0,-0.97,-0.11,0.09
19738666,0,-0.97,-0.11,0.09
19738668,0,-0.97,-0.11,0.09
19738669,0,-0.97,-0.11,0.09
19738671,0,-0.97,-0.09,0.08
19738673,0,-0.97,-0.09,0.08
19738674,0,-0.97,-0.09,0.08
