t,l,x,y,z
19487445,0,-0.95,-0.10,0.24
19487447,0,-0.95,-0.10,0.24
19487449,0,-0.95,-0.10,0.24
19487450,0,-0.95,-0.10,0.24
19487452,0,-0.95,-0.10,0.24
19487454,0,-0.95,-0.10,0.24
19487455,0,-0.95,-0.10,0.24
19487457,0,-0.95,-0.10,0.24
19487459,0,-0.95,-0.10,0.24
19487460,0,-0.95,-0.10,0.24
19487462,0,-0.95,-0.10,0.25
19487464,0,-0.95,-0.10,0.25
19487465,0,-0.95,-0.10,0.25
19487467,0,-0.95,-0.10,0.25
19487469,0,-0.95,-0.10,0.25
19487471,0,-0.95,-0.09,0.26
19487473,0,-0.95,-0.09,0.26
19487474,0,-0.95,-0.09,0.26
19487476,0,-0.95,-0.09,0.26
19487478,0,-0.95,-0.09,0.26
19487479,0,-0.95,-0.09,0.26
19487481,0,-0.95,-0.09,0.27
19487483,0,-0.95,-0.09,0.27
19487485,0,-0.95,-0.09,0.27
19487486,0,-0.95,-0.09,0.27
19487488,0,-0.95,-0.09,0.27
19487490,0,-0.95,-0.09,0.27
19487491,0,-0.95,-0.09,0.28
19487493,0,-0.95,-0.09,0.28
19487495,0,-0.95,-0.09,0.28
19487496,0,-0.95,-0.09,0.28
19487498,0,-0.95,-0.09,0.28
19487500,0,-0.95,-0.09,0.28
19487501,0,-0.94,-0.08,0.27
19487503,0,-0.94,-0.08,0.27
19487505,0,-0.94,-0.08,0.27
19487506,0,-0.94,-0.08,0.27
19487508,0,-0.94,-0.08,0.27
19487510,0,-0.94,-0.08,0.27
19487512,0,-0.94,-0.09,0.27
19487513,0,-0.94,-0.09,0.27
19487515,0,-0.94,-0.09,0.27
19487517,0,-0.94,-0.09,0.27
19487518,0,-0.94,-0.09,0.27
19487520,0,-0.94,-0.10,0.26
19487522,0,-0.94,-0.10,0.26
19487523,0,-0.94,-0.10,0.26
19487525,0,-0.94,-0.10,0.26
19487527,0,-0.94,-0.10,0.26
19487528,0,-0.94,-0.10,0.26
19487530,0,-0.95,-0.10,0.25
19487532,0,-0.95,-0.10,0.25
19487533,0,-0.95,-0.10,0.25
19487535,0,-0.95,-0.10,0.25
19487537,0,-0.95,-0.10,0.25
19487538,0,-0.95,-0.10,0.25
19487540,0,-0.94,-0.10,0.25
19487542,0,-0.94,-0.10,0.25
19487544,0,-0.94,-0.10,0.25
19487545,0,-0.94,-0.10,0.25
19487547,0,-0.94,-0.10,0.25
19487549,0,-0.94,-0.10,0.25
19487550,0,-0.94,-0.10,0.25
19487552,0,-0.94,-0.10,0.25
19487553,0,-0.94,-0.10,0.25
19487555,0,-0.94,-0.10,0.25
19487557,0,-0.94,-0.10,0.25
19487558,0,-0.94,-0.10,0.37
19487560,0,-0.95,-0.09,0.26
19487562,0,-0.95,-0.09,0.26
19487563,0,-0.95,-0.09,0.26
19487565,0,-0.95,-0.09,0.26
19487567,0,-0.95,-0.09,0.26
19487569,0,-0.95,-0.09,0.26
19487570,0,-0.95,-0.09,0.26
19487572,0,-0.95,-0.09,0.26
