t,l,x,y,z
9116425,0,-0.98,-0.07,-0.01
9116426,0,-0.98,-0.07,-0.01
9116428,0,-0.98,-0.07,-0.01
9116430,0,-0.98,-0.07,-0.01
9116431,0,-0.98,-0.07,-0.01
9116433,0,-0.97,-0.07,-0.01
9116435,0,-0.97,-0.07,-0.01
9116436,0,-0.97,-0.07,-0.01
9116438,0,-0.97,-0.07,-0.01
9116440,0,-0.97,-0.07,-0.01
9116441,0,-0.97,-0.07,-0.01
9116443,0,-0.97,-0.07,-0.02
9116445,0,-0.97,-0.07,-0.02
9116446,0,-0.97,-0.07,-0.02
9116448,0,-0.97,-0.07,-0.02
9116450,0,-0.97,-0.07,-0.02
9116451,0,-0.97,-0.07,-0.02
9116453,0,-0.97,-0.08,-0.03
9116455,0,-0.97,-0.08,-0.03
9116456,0,-0.97,-0.08,-0.03
9116458,0,-0.97,-0.08,-0.03
9116460,0,-0.97,-0.08,-0.03
9116461,0,-0.97,-0.08,-0.03
9116463,0,-0.97,-0.07,-0.04
9116465,0,-0.97,-0.07,-0.04
9116466,0,-0.97,-0.07,-0.04
9116468,0,-0.97,-0.07,-0.04
9116470,0,-0.97,-0.07,-0.04
9116471,0,-0.97,-0.07,-0.04
9116473,0,-0.98,-0.07,-0.04
9116475,0,-0.98,-0.07,-0.04
9116476,0,-0.98,-0.07,-0.04
9116478,0,-0.98,-0.07,-0.04
9116480,0,-0.98,-0.07,-0.04
9116482,0,-0.98,-0.07,-0.04
9116483,0,-0.98,-0.07,-0.04
9116485,0,-0.98,-0.07,-0.04
9116486,0,-0.98,-0.07,-0.04
9116488,0,-0.98,-0.07,-0.04
9116490,0,-0.98,-0.07,-0.04
9116491,0,-0.97,-0.07,-0.03
9116493,0,-0.97,-0.07,-0.03
9116495,0,-0.97,-0.07,-0.03
9116496,0,-0.97,-0.07,-0.03
9116498,0,-0.97,-0.07,-0.03
9116500,0,-0.97,-0.07,-0.03
9116501,0,-0.98,-0.08,-0.03
9116503,0,-0.98,-0.08,-0.03
9116505,0,-0.98,-0.08,-0.03
9116506,0,-0.98,-0.08,-0.03
9116508,0,-0.98,-0.08,-0.03
9116510,0,-0.98,-0.08,-0.03
9116511,0,-0.98,-0.08,-0.02
