t,l,x,y,z
22281934,1,-0.98,0.16,-0.03
22281935,1,-0.98,0.16,-0.03
22281937,1,-0.98,0.15,-0.03
22281939,1,-0.98,0.15,-0.03
22281940,1,-0.98,0.15,-0.03
22281942,1,-0.98,0.15,-0.03
22281944,1,-0.98,0.15,-0.03
22281945,1,-0.98,0.15,-0.04
22281947,1,-0.97,0.15,-0.04
22281949,1,-0.97,0.15,-0.04
22281950,1,-0.97,0.15,-0.04
22281952,1,-0.97,0.15,-0.04
22281954,1,-0.97,0.15,-0.04
22281955,1,-0.97,0.15,-0.04
22281957,1,-0.97,0.15,-0.04
22281959,1,-0.97,0.15,-0.04
22281960,1,-0.97,0.15,-0.04
22281962,1,-0.97,0.15,-0.04
22281964,1,-0.97,0.15,-0.04
22281965,1,-0.97,0.16,-0.03
22281967,1,-0.97,0.16,-0.03
22281969,1,-0.97,0.16,-0.03
22281970,1,-0.97,0.16,-0.03
22281972,1,-0.97,0.16,-0.03
22281974,1,-0.97,0.16,-0.03
22281975,1,-0.98,0.15,-0.03
22281977,1,-0.98,0.15,-0.03
22281979,1,-0.98,0.15,-0.03
22281980,1,-0.98,0.15,-0.03
22281982,1,-0.98,0.15,-0.03
22281984,1,-0.98,0.15,-0.03
22281985,1,-0.98,0.15,-0.03
22281987,1,-0.98,0.15,-0.03
22281989,1,-0.98,0.15,-0.03
22281990,1,-0.98,0.15,-0.03
22281992,1,-0.98,0.15,-0.03
22281994,1,-0.98,0.15,-0.03
22281996,1,-0.97,0.15,-0.03
22281997,1,-0.97,0.15,-0.03
22281999,1,-0.97,0.15,-0.03
22282001,1,-0.97,0.15,-0.03
22282002,1,-0.97,0.15,-0.03
22282004,1,-0.97,0.15,-0.03
22282006,1,-0.98,0.15,-0.03
22282007,1,-0.98,0.15,-0.03
22282009,1,-0.98,0.15,-0.03
22282011,1,-0.98,0.15,-0.03
22282012,1,-0.98,0.15,-0.03
22282014,1,-0.98,0.16,-0.03
22282016,1,-0.98,0.16,-0.03
22282017,1,-0.98,0.16,-0.03
22282019,1,-0.98,0.16,-0.03
22282021,1,-0.98,0.16,-0.03
22282022,1,-0.98,0.16,-0.03
22282024,1,-0.97,0.16,-0.03
22282026,1,-0.97,0.16,-0.03
22282027,1,-0.97,0.16,-0.03
22282029,1,-0.97,0.16,-0.03
22282031,1,-0.97,0.16,-0.03
22282032,1,-0.97,0.16,-0.03
22282034,1,-0.97,0.15,-0.03
22282036,1,-0.97,0.15,-0.03
22282037,1,-0.97,0.15,-0.03
22282039,1,-0.97,0.15,-0.03
22282041,1,-0.97,0.15,-0.03
22282043,1,-0.97,0.15,-0.03
22282044,1,-0.98,0.15,-0.03
22282046,1,-0.98,0.15,-0.03
22282048,1,-0.98,0.15,-0.03
22282049,1,-0.98,0.15,-0.03
22282051,1,-0.98,0.15,-0.03
22282053,1,-0.98,0.15,-0.04
22282054,1,-0.97,0.15,-0.04
22282056,1,-0.97,0.15,-0.04
22282058,0,-0.97,0.15,-0.04
22282059,0,-0.97,0.15,-0.04
22282061,0,-0.97,0.15,-0.04
22282063,0,-0.97,0.15,-0.03
22282064,0,-0.97,0.15,-0.03
22282066,0,-0.97,0.15,-0.03
22282068,0,-0.97,0.15,-0.03
22282069,0,-0.97,0.15,-0.03
22282071,0,-0.97,0.15,-0.03
22282073,0,-0.98,0.15,-0.03
22282075,0,-0.98,0.15,-0.03
22282076,0,-0.98,0.15,-0.03
22282078,0,-0.98,0.15,-0.03
22282080,0,-0.98,0.15,-0.03
22282081,0,-0.98,0.15,-0.03
22282083,0,-0.98,0.15,-0.04
22282085,0,-0.98,0.15,-0.04
22282086,0,-0.98,0.15,-0.04
22282088,0,-0.98,0.15,-0.04
22282090,0,-0.98,0.15,-0.04
22282091,0,-0.98,0.15,-0.04
22282093,0,-0.98,0.15,-0.03
22282095,0,-0.98,0.15,-0.03
22282096,0,-0.98,0.15,-0.03
22282098,0,-0.98,0.15,-0.03
22282100,0,-0.98,0.15,-0.03
22282101,0,-0.98,0.15,-0.03
22282103,0,-0.98,0.15,-0.03
22282105,0,-0.98,0.15,-0.03
22282106,0,-0.98,0.15,-0.03
22282108,0,-0.98,0.15,-0.03
22282110,0,-0.98,0.15,-0.03
22282111,0,-0.98,0.15,-0.03
22282113,0,-0.97,0.15,-0.03
22282115,0,-0.97,0.15,-0.03
22282116,0,-0.97,0.15,-0.03
22282118,0,-0.97,0.15,-0.03
22282120,0,-0.97,0.15,-0.03
22282121,0,-0.97,0.15,-0.03
22282123,0,-0.97,0.15,-0.03
22282125,0,-0.97,0.15,-0.03
22282127,0,-0.97,0.15,-0.03
22282128,0,-0.97,0.15,-0.03
22282130,0,-0.97,0.15,-0.03
22282132,0,-0.97,0.16,-0.04
22282133,0,-0.97,0.16,-0.04
22282135,0,-0.97,0.16,-0.04
22282137,0,-0.97,0.16,-0.04
22282138,0,-0.97,0.16,-0.04
22282140,0,-0.97,0.16,-0.04
22282142,0,-0.97,0.15,-0.04
22282143,0,-0.97,0.15,-0.04
22282145,0,-0.97,0.15,-0.04
22282147,0,-0.97,0.15,-0.04
22282148,0,-0.97,0.15,-0.04
22282150,0,-0.97,0.15,-0.04
22282152,0,-0.97,0.15,-0.04
22282153,0,-0.97,0.15,-0.04
22282155,0,-0.97,0.15,-0.04
22282157,0,-0.97,0.15,-0.04
22282158,0,-0.97,0.15,-0.04
22282160,0,-0.97,0.15,-0.04
22282162,0,-0.97,0.15,-0.03
22282163,0,-0.97,0.15,-0.03
22282165,0,-0.97,0.15,-0.03
22282167,0,-0.97,0.15,-0.03
22282168,0,-0.97,0.15,-0.03
22282170,0,-0.97,0.15,-0.04
22282172,0,-0.98,0.15,-0.04
22282173,0,-0.98,0.15,-0.04
22282175,0,-0.98,0.15,-0.04
22282177,0,-0.98,0.15,-0.04
22282178,0,-0.98,0.15,-0.04
22282180,0,-0.97,0.15,-0.04
22282182,0,-0.97,0.15,-0.04
22282183,0,-0.97,0.15,-0.04
22282185,0,-0.97,0.15,-0.04
22282187,0,-0.97,0.15,-0.04
22282188,0,-0.97,0.15,-0.04
22282190,0,-0.98,0.15,-0.04
22282192,0,-0.98,0.15,-0.04
22282193,0,-0.98,0.15,-0.04
22282195,0,-0.98,0.15,-0.04
22282197,0,-0.98,0.15,-0.04
22282198,0,-0.98,0.15,-0.04
22282200,0,-0.97,0.15,-0.03
22282202,0,-0.97,0.15,-0.03
22282203,0,-0.97,0.15,-0.03
22282205,0,-0.97,0.15,-0.03
22282207,0,-0.97,0.15,-0.03
22282208,0,-0.97,0.15,-0.03
22282210,0,-0.97,0.15,-0.03
22282212,0,-0.97,0.15,-0.03
22282213,0,-0.97,0.15,-0.03
22282215,0,-0.97,0.15,-0.03
22282217,0,-0.97,0.15,-0.03
22282218,0,-0.97,0.15,-0.03
22282220,0,-0.97,0.15,-0.03
22282222,0,-0.97,0.15,-0.03
22282223,0,-0.97,0.15,-0.03
22282225,0,-0.97,0.15,-0.03
22282227,0,-0.97,0.15,-0.03
22282228,0,-0.97,0.15,-0.03
22282230,0,-0.98,0.15,-0.03
22282232,0,-0.98,0.15,-0.03
22282233,0,-0.98,0.15,-0.03
22282235,0,-0.98,0.15,-0.03
22282237,0,-0.98,0.15,-0.03
22282238,0,-0.98,0.15,-0.03
22282240,0,-0.98,0.16,-0.03
22282242,0,-0.98,0.16,-0.03
22282243,0,-0.98,0.16,-0.03
22282245,0,-0.98,0.16,-0.03
22282247,0,-0.98,0.16,-0.03
22282248,0,-0.98,0.15,-0.03
22282250,0,-0.98,0.15,-0.03
22282252,0,-0.98,0.15,-0.03
22282253,0,-0.98,0.15,-0.03
22282255,0,-0.98,0.15,-0.03
22282257,0,-0.98,0.15,-0.03
22282258,0,-0.97,0.15,-0.04
22282260,0,-0.97,0.15,-0.04
22282262,0,-0.97,0.15,-0.04
22282263,0,-0.97,0.15,-0.04
22282265,0,-0.97,0.15,-0.04
22282267,0,-0.97,0.15,-0.04
22282268,0,-0.98,0.15,-0.03
22282270,0,-0.98,0.15,-0.03
22282272,0,-0.98,0.15,-0.03
22282273,0,-0.98,0.15,-0.03
22282275,0,-0.98,0.15,-0.03
22282277,0,-0.98,0.15,-0.03
22282278,0,-0.98,0.15,-0.03
22282280,0,-0.98,0.15,-0.03
22282282,0,-0.98,0.15,-0.03
22282283,0,-0.98,0.15,-0.03
22282285,0,-0.98,0.15,-0.03
22282287,0,-0.98,0.15,-0.03
22282288,0,-0.98,0.15,-0.03
22282290,0,-0.98,0.15,-0.03
22282292,0,-0.98,0.15,-0.03
22282293,0,-0.98,0.15,-0.03
22282295,0,-0.98,0.15,-0.03
22282297,0,-0.98,0.15,-0.03
22282298,0,-0.98,0.15,-0.03
22282300,0,-0.98,0.15,-0.03
22282302,0,-0.98,0.15,-0.03
22282303,0,-0.98,0.15,-0.03
22282305,0,-0.98,0.15,-0.03
22282307,0,-0.98,0.15,-0.03
22282309,0,-0.98,0.15,-0.03
22282310,0,-0.98,0.15,-0.03
22282312,0,-0.98,0.15,-0.03
22282314,0,-0.98,0.15,-0.03
22282315,0,-0.98,0.15,-0.03
22282317,0,-0.98,0.15,-0.03
22282319,0,-0.98,0.15,-0.03
22282320,0,-0.98,0.15,-0.03
22282322,0,-0.98,0.15,-0.03
22282324,0,-0.98,0.15,-0.03
22282325,0,-0.98,0.15,-0.03
22282327,0,-0.98,0.15,-0.03
22282329,0,-0.98,0.15,-0.03
22282330,0,-0.98,0.15,-0.03
22282332,0,-0.98,0.15,-0.03
22282334,0,-0.98,0.15,-0.03
22282335,0,-0.98,0.15,-0.03
22282337,0,-0.98,0.15,-0.03
22282339,0,-0.98,0.15,-0.03
22282340,0,-0.98,0.15,-0.03
22282342,0,-0.98,0.15,-0.03
22282344,0,-0.98,0.15,-0.03
22282345,0,-0.98,0.15,-0.03
22282347,0,-0.98,0.16,-0.03
22282349,0,-0.98,0.16,-0.03
22282350,0,-0.98,0.16,-0.03
22282352,0,-0.98,0.16,-0.03
22282354,0,-0.98,0.16,-0.03
22282355,0,-0.98,0.16,-0.03
22282357,0,-0.98,0.15,-0.03
22282359,0,-0.98,0.15,-0.03
22282360,0,-0.98,0.15,-0.03
22282362,0,-0.98,0.15,-0.03
22282364,0,-0.98,0.15,-0.03
22282365,0,-0.98,0.15,-0.03
22282367,0,-0.98,0.15,-0.03
22282369,0,-0.98,0.15,-0.03
22282370,0,-0.98,0.15,-0.03
22282372,0,-0.98,0.15,-0.03
22282374,0,-0.98,0.15,-0.03
22282375,0,-0.98,0.16,-0.03
22282377,0,-0.98,0.16,-0.03
22282379,0,-0.98,0.16,-0.03
22282380,0,-0.98,0.16,-0.03
22282382,0,-0.98,0.16,-0.03
22282384,0,-0.98,0.16,-0.03
22282385,0,-0.98,0.15,-0.03
22282387,0,-0.98,0.15,-0.03
22282389,0,-0.98,0.15,-0.03
22282390,0,-0.98,0.15,-0.03
22282392,0,-0.98,0.15,-0.03
22282394,0,-0.98,0.15,-0.03
22282395,0,-0.98,0.15,-0.03
22282397,0,-0.98,0.15,-0.03
22282399,0,-0.98,0.15,-0.03
22282401,0,-0.98,0.15,-0.03
22282402,0,-0.98,0.15,-0.03
22282404,0,-0.98,0.15,-0.03
22282406,0,-0.98,0.15,-0.03
22282407,0,-0.98,0.15,-0.03
22282409,0,-0.98,0.15,-0.03
22282411,0,-0.98,0.15,-0.03
22282412,0,-0.98,0.15,-0.03
22282414,0,-0.98,0.15,-0.03
22282416,0,-0.98,0.15,-0.03
22282417,0,-0.98,0.15,-0.03
22282419,0,-0.98,0.15,-0.03
22282421,0,-0.98,0.15,-0.03
22282422,0,-0.98,0.15,-0.03
22282424,0,-0.98,0.15,-0.03
22282426,0,-0.98,0.16,-0.03
22282427,0,-0.98,0.16,-0.03
22282429,0,-0.98,0.16,-0.03
22282431,0,-0.98,0.16,-0.03
22282432,0,-0.98,0.16,-0.03
22282434,0,-0.98,0.16,-0.03
22282436,0,-0.98,0.16,-0.03
22282437,0,-0.98,0.16,-0.03
22282439,0,-0.98,0.16,-0.03
22282441,0,-0.98,0.16,-0.03
22282442,0,-0.98,0.16,-0.03
22282444,0,-0.97,0.15,-0.04
22282446,0,-0.97,0.15,-0.04
22282447,0,-0.97,0.15,-0.04
22282449,0,-0.97,0.15,-0.04
22282451,0,-0.97,0.15,-0.04
22282452,0,-0.97,0.15,-0.04
22282454,0,-0.97,0.15,-0.03
22282456,0,-0.97,0.15,-0.03
22282457,0,-0.97,0.15,-0.03
22282459,0,-0.97,0.15,-0.03
22282461,0,-0.97,0.15,-0.03
22282462,0,-0.97,0.15,-0.03
22282464,0,-0.98,0.15,-0.03
22282466,0,-0.98,0.15,-0.03
22282467,0,-0.98,0.15,-0.03
22282469,0,-0.98,0.15,-0.03
22282471,0,-0.98,0.15,-0.03
22282472,0,-0.98,0.15,-0.03
22282474,0,-0.98,0.15,-0.03
22282476,0,-0.98,0.15,-0.03
22282477,0,-0.98,0.15,-0.03
22282479,0,-0.98,0.15,-0.03
22282481,0,-0.98,0.15,-0.03
22282483,0,-0.98,0.15,-0.03
22282484,0,-0.98,0.15,-0.03
22282486,0,-0.98,0.15,-0.03
22282488,0,-0.98,0.15,-0.03
22282489,0,-0.98,0.15,-0.03
22282491,0,-0.98,0.15,-0.03
22282493,0,-0.97,0.15,-0.03
22282494,0,-0.97,0.15,-0.03
22282496,0,-0.97,0.15,-0.03
22282498,0,-0.97,0.15,-0.03
22282499,0,-0.97,0.15,-0.03
22282501,0,-0.97,0.15,-0.03
22282503,0,-0.97,0.15,-0.03
22282504,0,-0.97,0.15,-0.03
22282506,0,-0.97,0.15,-0.03
22282508,0,-0.97,0.15,-0.03
22282509,0,-0.97,0.15,-0.03
22282511,0,-0.97,0.15,-0.03
22282513,0,-0.98,0.15,-0.04
22282514,0,-0.98,0.15,-0.04
22282516,0,-0.98,0.15,-0.04
22282518,0,-0.98,0.15,-0.04
22282519,0,-0.98,0.15,-0.04
22282521,0,-0.98,0.15,-0.04
22282523,0,-0.98,0.15,-0.03
22282524,0,-0.98,0.15,-0.03
22282526,0,-0.98,0.15,-0.03
22282528,0,-0.98,0.15,-0.03
22282530,0,-0.98,0.15,-0.03
22282531,0,-0.98,0.15,-0.03
22282533,0,-0.97,0.15,-0.03
22282534,0,-0.97,0.15,-0.03
