t,l,x,y,z
22067633,0,-0.96,-0.15,-0.03
22067634,0,-0.96,-0.15,-0.03
22067636,0,-0.96,-0.15,-0.03
22067638,0,-0.96,-0.15,-0.03
22067640,0,-0.96,-0.15,-0.03
22067641,0,-0.98,-0.15,-0.03
22067643,0,-0.98,-0.15,-0.03
22067645,0,-0.98,-0.15,-0.03
22067646,0,-0.98,-0.15,-0.03
22067648,0,-0.98,-0.15,-0.03
22067650,0,-0.98,-0.15,-0.03
22067651,0,-0.98,-0.16,-0.03
22067653,0,-0.98,-0.16,-0.03
22067655,0,-0.98,-0.16,-0.03
22067656,0,-0.98,-0.16,-0.03
22067658,0,-0.98,-0.16,-0.03
22067660,0,-0.98,-0.16,-0.03
22067661,0,-0.97,-0.15,-0.02
22067663,0,-0.97,-0.15,-0.02
22067665,0,-0.97,-0.15,-0.02
22067667,0,-0.97,-0.15,-0.02
22067668,0,-0.97,-0.15,-0.02
22067670,0,-0.97,-0.15,-0.02
22067672,0,-0.97,-0.15,-0.02
22067673,0,-0.97,-0.15,-0.02
22067675,0,-0.97,-0.15,-0.02
22067677,0,-0.97,-0.15,-0.02
22067678,0,-0.97,-0.15,-0.02
22067680,0,-0.97,-0.15,-0.02
22067682,0,-0.97,-0.15,-0.02
22067683,0,-0.97,-0.15,-0.02
22067685,0,-0.97,-0.15,-0.02
22067687,0,-0.97,-0.15,-0.02
22067688,0,-0.97,-0.15,-0.02
22067690,0,-0.97,-0.15,-0.01
22067692,0,-0.97,-0.15,-0.01
22067693,0,-0.97,-0.15,-0.01
22067695,0,-0.97,-0.15,-0.01
22067697,0,-0.97,-0.15,-0.01
22067698,0,-0.97,-0.15,-0.01
22067700,0,-0.96,-0.14,-0.01
22067702,0,-0.96,-0.14,-0.01
22067704,0,-0.96,-0.14,-0.01
22067705,0,-0.96,-0.14,-0.01
22067707,0,-0.96,-0.14,-0.01
22067709,0,-0.96,-0.14,-0.01
22067710,0,-0.96,-0.15,-0.01
22067712,0,-0.96,-0.15,-0.01
22067714,0,-0.96,-0.15,-0.01
22067715,0,-0.96,-0.15,-0.01
22067717,0,-0.96,-0.15,-0.01
22067719,0,-0.96,-0.15,-0.01
22067720,0,-0.97,-0.15,-0.01
22067722,0,-0.97,-0.15,-0.01
22067724,0,-0.97,-0.15,-0.01
22067725,0,-0.97,-0.15,-0.01
22067727,0,-0.97,-0.15,-0.01
22067729,0,-0.97,-0.15,-0.01
22067730,0,-0.97,-0.15,-0.01
22067732,0,-0.97,-0.15,-0.01
22067734,0,-0.97,-0.15,-0.01
22067735,0,-0.97,-0.15,-0.01
22067737,0,-0.97,-0.15,-0.01
22067739,0,-0.97,-0.15,-0.02
22067740,0,-0.97,-0.15,-0.02
22067742,0,-0.97,-0.15,-0.02
22067744,0,-0.97,-0.15,-0.02
22067745,0,-0.97,-0.15,-0.02
22067747,0,-0.97,-0.15,-0.02
22067749,0,-0.97,-0.14,-0.03
22067750,0,-0.97,-0.14,-0.03
22067752,0,-0.97,-0.14,-0.03
22067754,0,-0.97,-0.14,-0.03
22067755,0,-0.97,-0.14,-0.03
22067757,0,-0.97,-0.14,-0.03
22067759,0,-0.97,-0.14,-0.04
22067760,0,-0.97,-0.14,-0.04
22067763,0,-0.97,-0.14,-0.04
22067765,0,-0.97,-0.14,-0.04
22067766,0,-0.97,-0.14,-0.04
22067768,0,-0.97,-0.14,-0.03
22067770,0,-0.98,-0.14,-0.03
22067771,0,-0.98,-0.14,-0.03
22067773,0,-0.98,-0.14,-0.03
22067775,0,-0.98,-0.14,-0.03
22067776,0,-0.98,-0.14,-0.03
22067778,0,-0.97,-0.15,-0.04
22067780,0,-0.97,-0.15,-0.04
22067781,0,-0.97,-0.15,-0.04
22067783,0,-0.97,-0.15,-0.04
22067785,0,-0.97,-0.15,-0.04
22067786,0,-0.97,-0.15,-0.04
22067788,0,-0.97,-0.15,-0.03
22067790,0,-0.97,-0.15,-0.03
22067792,0,-0.97,-0.15,-0.03
22067793,0,-0.97,-0.15,-0.03
22067795,0,-0.97,-0.15,-0.03
22067797,0,-0.97,-0.15,-0.03
22067798,0,-0.97,-0.15,-0.02
22067800,0,-0.97,-0.15,-0.02
22067802,0,-0.97,-0.15,-0.02
22067803,0,-0.97,-0.15,-0.02
22067805,0,-0.97,-0.15,-0.02
22067807,0,-0.97,-0.15,-0.02
22067808,0,-0.97,-0.15,-0.02
22067810,0,-0.97,-0.15,-0.02
22067812,0,-0.97,-0.15,-0.02
22067813,0,-0.97,-0.15,-0.02
22067815,0,-0.97,-0.15,-0.02
22067817,0,-0.97,-0.15,-0.02
22067818,0,-0.97,-0.15,-0.02
22067820,0,-0.97,-0.15,-0.02
22067822,0,-0.97,-0.15,-0.02
22067823,0,-0.97,-0.15,-0.02
