t,l,x,y,z
14878240,1,-0.97,0.17,-0.00
14878241,1,-0.97,0.17,-0.00
14878243,1,-0.97,0.17,-0.00
14878245,1,-0.97,0.17,-0.00
14878246,1,-0.97,0.17,-0.00
14878248,1,-0.97,0.17,-0.00
14878250,1,-0.97,0.17,-0.00
14878251,1,-0.97,0.17,-0.00
14878253,1,-0.97,0.17,-0.00
14878255,1,-0.98,0.17,-0.00
14878256,1,-0.98,0.17,-0.00
14878258,1,-0.98,0.17,-0.00
14878260,1,-0.98,0.17,-0.00
14878261,1,-0.98,0.17,-0.00
14878263,1,-0.98,0.17,-0.00
14878265,1,-0.97,0.17,-0.01
14878266,1,-0.97,0.17,-0.01
14878268,1,-0.97,0.17,-0.01
14878270,1,-0.97,0.17,-0.01
14878271,1,-0.97,0.17,-0.01
14878273,1,-0.97,0.17,-0.01
14878275,1,-0.97,0.17,-0.01
14878276,1,-0.97,0.17,-0.01
14878278,1,-0.97,0.17,-0.01
14878280,1,-0.97,0.17,-0.01
14878281,1,-0.97,0.17,-0.01
14878283,1,-0.97,0.17,-0.00
14878285,1,-0.97,0.17,-0.00
14878286,1,-0.97,0.17,-0.00
14878288,1,-0.97,0.17,-0.00
14878290,1,-0.97,0.17,-0.00
14878291,1,-0.97,0.17,-0.00
14878293,1,-0.98,0.17,0.00
14878295,1,-0.98,0.17,0.00
14878296,1,-0.98,0.17,0.00
14878298,1,-0.98,0.17,0.00
14878300,1,-0.98,0.17,0.00
14878301,1,-0.98,0.17,0.00
14878303,1,-0.98,0.17,0.00
14878305,1,-0.98,0.17,0.00
14878306,1,-0.98,0.17,0.00
14878308,1,-0.98,0.17,0.00
14878310,1,-0.98,0.17,0.00
14878311,1,-0.98,0.17,0.00
14878313,1,-0.97,0.17,-0.00
14878315,1,-0.97,0.17,-0.00
14878316,1,-0.97,0.17,-0.00
14878318,1,-0.97,0.17,-0.00
14878320,1,-0.97,0.17,-0.00
14878321,1,-0.97,0.17,-0.00
14878323,1,-0.97,0.16,-0.00
14878325,1,-0.97,0.16,-0.00
14878326,1,-0.97,0.16,-0.00
14878328,1,-0.97,0.16,-0.00
14878330,1,-0.97,0.16,-0.00
14878331,1,-0.97,0.16,-0.00
14878333,1,-0.98,0.16,-0.00
14878335,1,-0.98,0.16,-0.00
14878336,1,-0.98,0.16,-0.00
14878338,1,-0.98,0.16,-0.00
14878340,1,-0.98,0.16,-0.00
14878341,1,-0.98,0.16,0.00
14878343,1,-0.98,0.17,0.00
14878345,1,-0.98,0.17,0.00
