t,l,x,y,z
14715741,0,-0.99,-0.05,-0.09
14715742,0,-0.99,-0.06,-0.08
14715744,0,-0.99,-0.06,-0.08
14715746,0,-0.99,-0.06,-0.08
14715747,0,-0.99,-0.06,-0.08
14715749,0,-0.99,-0.06,-0.08
14715751,0,-0.99,-0.06,-0.08
14715752,0,-0.99,-0.06,-0.07
14715754,0,-0.99,-0.06,-0.07
14715756,0,-0.99,-0.06,-0.07
14715757,0,-0.99,-0.06,-0.07
14715759,0,-0.99,-0.06,-0.07
14715761,0,-0.99,-0.06,-0.07
14715762,0,-0.99,-0.05,-0.06
14715764,0,-0.99,-0.05,-0.06
14715766,0,-0.99,-0.05,-0.06
14715767,0,-0.99,-0.05,-0.06
14715769,0,-0.99,-0.05,-0.06
14715771,0,-0.99,-0.05,-0.05
14715773,0,-0.98,-0.05,-0.05
14715774,0,-0.98,-0.05,-0.05
14715776,0,-0.98,-0.05,-0.05
14715778,0,-0.98,-0.05,-0.05
14715779,0,-0.98,-0.05,-0.05
14715781,0,-0.98,-0.05,-0.04
14715783,0,-0.98,-0.05,-0.04
14715784,0,-0.98,-0.05,-0.04
14715786,0,-0.98,-0.05,-0.04
14715788,0,-0.98,-0.05,-0.04
14715789,0,-0.98,-0.05,-0.04
14715791,0,-0.97,-0.04,-0.03
14715793,0,-0.97,-0.04,-0.03
14715794,0,-0.97,-0.04,-0.03
14715796,0,-0.97,-0.04,-0.03
14715798,0,-0.97,-0.04,-0.03
14715799,0,-0.97,-0.04,-0.03
14715801,0,-0.97,-0.03,-0.03
14715803,0,-0.97,-0.03,-0.03
14715804,0,-0.97,-0.03,-0.03
14715806,0,-0.97,-0.03,-0.03
14715808,0,-0.97,-0.03,-0.03
14715809,0,-0.97,-0.03,-0.03
14715811,0,-0.97,-0.03,-0.04
14715813,0,-0.97,-0.03,-0.04
14715814,0,-0.97,-0.03,-0.04
14715816,0,-0.97,-0.03,-0.04
14715818,0,-0.97,-0.03,-0.04
14715819,0,-0.97,-0.03,-0.04
14715821,0,-0.97,-0.03,-0.05
14715823,0,-0.97,-0.03,-0.05
14715824,0,-0.97,-0.03,-0.05
14715826,0,-0.97,-0.03,-0.05
14715828,0,-0.97,-0.03,-0.05
14715829,0,-0.97,-0.03,-0.06
14715831,0,-0.98,-0.04,-0.06
14715833,0,-0.98,-0.04,-0.06
14715834,0,-0.98,-0.04,-0.06
14715836,0,-0.98,-0.04,-0.06
14715838,0,-0.98,-0.04,-0.06
14715839,0,-0.99,-0.06,-0.06
14715841,0,-0.99,-0.06,-0.06
14715843,0,-0.99,-0.06,-0.06
14715845,0,-0.99,-0.06,-0.06
14715846,0,-0.99,-0.06,-0.06
14715848,0,-0.99,-0.06,-0.06
14715849,0,-0.99,-0.07,-0.06
14715851,0,-0.99,-0.07,-0.06
14715853,0,-0.99,-0.07,-0.06
14715854,0,-0.99,-0.07,-0.06
14715856,0,-0.99,-0.07,-0.06
14715858,0,-0.99,-0.07,-0.06
14715860,0,-0.99,-0.07,-0.07
14715861,0,-0.99,-0.07,-0.07
14715863,0,-0.99,-0.07,-0.07
14715865,0,-0.99,-0.07,-0.07
14715866,0,-0.99,-0.07,-0.07
14715868,0,-0.99,-0.07,-0.07
14715870,0,-0.98,-0.07,-0.08
14715871,0,-0.98,-0.07,-0.08
14715873,0,-0.98,-0.07,-0.08
14715875,0,-0.98,-0.07,-0.08
14715876,0,-0.98,-0.07,-0.08
14715878,0,-0.98,-0.07,-0.08
14715880,0,-0.98,-0.07,-0.07
14715881,0,-0.98,-0.07,-0.07
14715883,0,-0.98,-0.07,-0.07
14715885,0,-0.98,-0.07,-0.07
14715886,0,-0.98,-0.07,-0.07
14715888,0,-0.98,-0.07,-0.05
