t,l,x,y,z
16483086,0,-0.98,0.09,-0.10
16483088,0,-0.98,0.09,-0.10
16483089,0,-0.97,0.10,-0.11
16483091,0,-0.97,0.10,-0.11
16483093,0,-0.97,0.10,-0.11
16483094,0,-0.97,0.10,-0.11
16483096,0,-0.97,0.10,-0.11
16483098,0,-0.97,0.10,-0.11
16483099,0,-0.97,0.09,-0.11
16483101,0,-0.97,0.09,-0.11
16483103,0,-0.97,0.09,-0.11
16483104,0,-0.97,0.09,-0.11
16483106,0,-0.97,0.09,-0.11
16483108,0,-0.97,0.09,-0.11
16483109,0,-0.99,0.10,-0.10
16483111,0,-0.99,0.10,-0.10
16483113,0,-0.99,0.10,-0.10
16483114,0,-0.99,0.10,-0.10
16483116,0,-0.99,0.10,-0.10
16483118,0,-0.99,0.10,-0.10
16483119,0,-0.98,0.09,-0.09
16483121,0,-0.98,0.09,-0.09
16483123,0,-0.98,0.09,-0.09
16483124,0,-0.98,0.09,-0.09
16483126,0,-0.98,0.09,-0.09
16483128,0,-0.98,0.09,-0.09
16483129,0,-0.98,0.09,-0.08
16483131,0,-0.98,0.09,-0.08
16483133,0,-0.98,0.09,-0.08
16483134,0,-0.98,0.09,-0.08
16483136,0,-0.98,0.09,-0.08
16483138,0,-0.98,0.08,-0.07
16483139,0,-0.98,0.08,-0.07
16483141,0,-0.98,0.08,-0.07
16483143,0,-0.98,0.08,-0.07
16483144,0,-0.98,0.08,-0.07
16483146,0,-0.98,0.08,-0.07
16483148,0,-0.99,0.07,-0.06
16483149,0,-0.99,0.07,-0.06
16483151,0,-0.99,0.07,-0.06
16483153,0,-0.99,0.07,-0.06
16483154,0,-0.99,0.07,-0.06
16483156,0,-0.99,0.07,-0.06
16483157,0,-0.99,0.07,-0.06
16483159,0,-0.99,0.07,-0.06
16483161,0,-0.99,0.07,-0.06
16483162,0,-0.99,0.07,-0.06
16483164,0,-0.99,0.07,-0.06
16483166,0,-0.99,0.07,-0.06
16483167,0,-0.97,0.07,-0.07
16483169,0,-0.97,0.07,-0.07
16483171,0,-0.97,0.07,-0.07
16483172,0,-0.97,0.07,-0.07
16483174,0,-0.97,0.07,-0.07
16483176,0,-0.97,0.07,-0.07
16483177,0,-0.96,0.07,-0.08
16483179,0,-0.96,0.07,-0.08
16483181,0,-0.96,0.07,-0.08
16483182,0,-0.96,0.07,-0.08
16483184,0,-0.96,0.07,-0.08
16483186,0,-0.96,0.07,-0.08
16483187,0,-0.97,0.09,-0.10
16483189,0,-0.97,0.09,-0.10
16483191,0,-0.97,0.09,-0.10
16483192,0,-0.97,0.09,-0.10
16483194,0,-0.97,0.09,-0.10
16483196,0,-0.97,0.09,-0.10
16483197,0,-0.98,0.10,-0.10
16483199,0,-0.98,0.10,-0.10
16483201,0,-0.98,0.10,-0.10
16483202,0,-0.98,0.10,-0.10
16483204,0,-0.98,0.10,-0.10
16483206,0,-0.98,0.10,-0.10
16483207,0,-0.98,0.11,-0.11
16483209,0,-0.98,0.11,-0.11
16483211,0,-0.98,0.11,-0.11
16483212,0,-0.98,0.11,-0.11
16483214,0,-0.98,0.11,-0.11
16483216,0,-0.96,0.10,-0.11
16483218,0,-0.96,0.10,-0.11
16483219,0,-0.96,0.10,-0.11
16483221,0,-0.96,0.10,-0.11
16483223,0,-0.96,0.10,-0.11
16483224,0,-0.96,0.10,-0.11
16483226,0,-0.97,0.09,-0.10
16483228,0,-0.97,0.09,-0.10
16483229,0,-0.97,0.09,-0.10
16483231,0,-0.97,0.09,-0.10
16483233,0,-0.97,0.09,-0.10
16483234,0,-0.97,0.09,-0.10
16483236,0,-0.97,0.09,-0.09
16483238,0,-0.97,0.09,-0.09
16483239,0,-0.97,0.09,-0.09
16483241,0,-0.97,0.09,-0.09
16483243,0,-0.97,0.09,-0.09
16483244,0,-0.97,0.09,-0.09
16483246,0,-0.98,0.09,-0.08
16483248,0,-0.98,0.09,-0.08
16483249,0,-0.98,0.09,-0.08
16483251,0,-0.98,0.09,-0.08
