t,l,x,y,z
724473,0,-0.97,-0.06,-0.21
724475,0,-0.97,-0.06,-0.21
724477,0,-0.95,-0.06,-0.15
724478,0,-0.95,-0.06,-0.15
724480,0,-0.95,-0.06,-0.15
724482,0,-0.95,-0.06,-0.15
724483,0,-0.95,-0.06,-0.15
724485,0,-0.95,-0.06,-0.15
724487,0,-1.03,-0.02,-0.07
724488,0,-1.03,-0.02,-0.07
724490,0,-1.03,-0.02,-0.07
724492,0,-1.03,-0.02,-0.07
724493,0,-1.03,-0.02,-0.07
724495,0,-1.03,-0.02,-0.07
724497,0,-1.06,-0.02,-0.02
724498,0,-1.06,-0.02,-0.02
724500,0,-1.06,-0.02,-0.02
724502,0,-1.06,-0.02,-0.02
724503,0,-1.06,-0.02,-0.02
724505,0,-1.06,-0.02,-0.02
724507,0,-0.99,-0.03,0.02
724508,0,-0.99,-0.03,0.02
724510,0,-0.99,-0.03,0.02
724512,0,-0.99,-0.03,0.02
724513,0,-0.99,-0.03,0.02
724515,0,-0.99,-0.03,0.02
724517,0,-0.98,-0.03,0.02
724518,0,-0.98,-0.03,0.02
724520,0,-0.98,-0.03,0.02
724522,0,-0.98,-0.03,0.02
724523,0,-0.98,-0.03,0.02
724525,0,-0.98,-0.03,0.02
724527,0,-1.00,-0.02,0.01
724528,0,-1.00,-0.02,0.01
724530,0,-1.00,-0.02,0.01
724532,0,-1.00,-0.02,0.01
724533,0,-1.00,-0.02,0.01
724535,0,-1.00,-0.02,-0.11
724537,0,-0.99,-0.02,-0.01
724538,0,-0.99,-0.02,-0.01
724540,0,-0.99,-0.02,-0.01
724542,0,-0.99,-0.02,-0.01
724543,0,-0.99,-0.02,-0.01
724545,0,-0.99,-0.02,-0.04
724547,0,-0.95,-0.02,-0.04
724548,0,-0.95,-0.02,-0.04
724550,0,-0.95,-0.02,-0.04
724552,0,-0.95,-0.02,-0.04
724553,0,-0.95,-0.02,-0.04
724555,0,-0.96,0.02,-0.03
724557,0,-0.96,0.02,-0.03
724558,0,-0.96,0.02,-0.03
724560,0,-0.96,0.02,-0.03
724562,0,-0.96,0.02,-0.03
724563,0,-0.96,0.02,-0.03
724565,0,-1.01,0.03,-0.05
724567,0,-1.01,0.03,-0.05
724568,0,-1.01,0.03,-0.05
724570,0,-1.01,0.03,-0.05
724572,0,-1.01,0.03,-0.05
724573,0,-1.01,0.03,-0.05
724575,0,-1.01,0.04,-0.07
724577,0,-1.01,0.04,-0.07
724578,0,-1.01,0.04,-0.07
724580,0,-1.01,0.04,-0.07
724582,0,-1.01,0.04,-0.07
724583,0,-1.01,0.04,-0.07
724585,0,-0.97,0.02,-0.10
724587,0,-0.97,0.02,-0.10
724588,0,-0.97,0.02,-0.10
724590,0,-0.97,0.02,-0.10
724591,0,-0.97,0.02,-0.10
724593,0,-0.97,0.02,-0.10
724595,0,-0.94,0.02,-0.13
724597,0,-0.94,0.02,-0.13
724598,0,-0.94,0.02,-0.13
724600,0,-0.94,0.02,-0.13
724601,0,-0.94,0.02,-0.13
724603,0,-0.94,0.02,-0.13
724605,0,-0.97,0.01,-0.17
724607,0,-0.97,0.01,-0.17
724608,0,-0.97,0.01,-0.17
724610,0,-0.97,0.01,-0.17
724612,0,-0.97,0.01,-0.17
724613,0,-0.97,0.01,-0.13
724615,0,-0.99,0.02,-0.13
724617,0,-0.99,0.02,-0.13
724618,0,-0.99,0.02,-0.13
724620,0,-0.99,0.02,-0.13
724621,0,-0.99,0.02,-0.13
724623,0,-0.96,0.02,-0.12
724625,0,-0.96,0.02,-0.12
724627,0,-0.96,0.02,-0.12
724628,0,-0.96,0.02,-0.12
724630,0,-0.96,0.02,-0.12
724631,0,-0.96,0.02,-0.12
724633,0,-0.95,-0.02,-0.14
724635,0,-0.95,-0.02,-0.14
724637,0,-0.95,-0.02,-0.14
724638,0,-0.95,-0.02,-0.14
724640,0,-0.95,-0.02,-0.14
724642,0,-0.95,-0.02,-0.14
724643,0,-0.98,-0.05,-0.13
724645,0,-0.98,-0.05,-0.13
724647,0,-0.98,-0.05,-0.13
724648,0,-0.98,-0.05,-0.13
724650,0,-0.98,-0.05,-0.13
724652,0,-0.98,-0.05,-0.13
724653,0,-1.00,-0.03,-0.08
724655,0,-1.00,-0.03,-0.08
724657,0,-1.00,-0.03,-0.08
724658,0,-1.00,-0.03,-0.08
724660,0,-1.00,-0.03,-0.08
724662,0,-1.00,-0.03,-0.08
724663,0,-1.00,-0.02,-0.06
724665,0,-1.00,-0.02,-0.06
724667,0,-1.00,-0.02,-0.06
724668,0,-1.00,-0.02,-0.06
724670,0,-1.00,-0.02,-0.06
724672,0,-1.00,-0.02,-0.06
724673,0,-1.01,-0.02,-0.04
724675,0,-1.01,-0.02,-0.04
724677,0,-1.01,-0.02,-0.04
724678,0,-1.01,-0.02,-0.04
724680,0,-1.01,-0.02,-0.04
724682,0,-1.01,-0.02,-0.04
724683,0,-1.01,-0.02,-0.04
724685,0,-1.01,-0.02,-0.04
724687,0,-1.01,-0.02,-0.04
724688,0,-1.01,-0.02,-0.04
724690,0,-1.01,-0.02,-0.04
724692,0,-0.98,0.00,-0.04
724693,0,-0.98,0.00,-0.04
724695,0,-0.98,0.00,-0.04
724696,0,-0.98,0.00,-0.04
724698,0,-0.98,0.00,-0.04
724700,0,-0.98,0.00,-0.04
724701,0,-0.97,0.03,-0.08
724703,0,-0.97,0.03,-0.08
724705,0,-0.97,0.03,-0.08
724706,0,-0.97,0.03,-0.08
724708,0,-0.97,0.03,-0.08
724710,0,-0.97,0.03,-0.08
724711,0,-0.97,0.07,-0.13
724713,0,-0.97,0.07,-0.13
724715,0,-0.97,0.07,-0.13
724716,0,-0.97,0.07,-0.13
724718,0,-0.97,0.07,-0.13
724720,0,-0.97,0.07,-0.13
724721,0,-0.96,0.12,-0.15
724723,0,-0.96,0.12,-0.15
724725,0,-0.96,0.12,-0.15
724726,0,-0.96,0.12,-0.15
724728,0,-0.96,0.12,-0.15
724730,0,-0.96,0.12,-0.15
724732,0,-0.95,0.13,-0.19
724733,0,-0.95,0.13,-0.19
724735,0,-0.95,0.13,-0.19
724736,0,-0.95,0.13,-0.19
724738,0,-0.95,0.13,-0.19
724740,0,-0.95,0.13,-0.19
724741,0,-0.96,0.09,-0.19
724743,0,-0.96,0.09,-0.19
724745,0,-0.96,0.09,-0.19
724746,0,-0.96,0.09,-0.19
724748,0,-0.96,0.09,-0.19
724750,0,-0.96,0.09,-0.06
724751,0,-0.99,0.06,-0.09
724753,0,-0.99,0.06,-0.09
724755,0,-0.99,0.06,-0.09
724756,0,-0.99,0.06,-0.09
724758,0,-0.99,0.06,-0.09
724760,0,-0.99,0.06,-0.07
724761,0,-1.00,0.02,-0.07
724763,0,-1.00,0.02,-0.07
724765,0,-1.00,0.02,-0.07
724766,0,-1.00,0.02,-0.07
724768,0,-1.00,0.02,-0.07
724769,0,-1.00,0.02,-0.04
724771,0,-0.99,0.00,-0.04
724773,0,-0.99,0.00,-0.04
724774,0,-0.99,0.00,-0.04
724776,0,-0.99,0.00,-0.04
724778,0,-0.99,0.00,-0.04
724779,0,-0.99,0.01,-0.05
724781,0,-1.00,0.01,-0.05
724783,0,-1.00,0.01,-0.05
724784,0,-1.00,0.01,-0.05
724786,0,-1.00,0.01,-0.05
724788,0,-1.00,0.01,-0.05
724789,0,-0.99,0.02,-0.07
724791,0,-0.99,0.02,-0.07
724793,0,-0.99,0.02,-0.07
724794,0,-0.99,0.02,-0.07
724796,0,-0.99,0.02,-0.07
724798,0,-0.99,0.02,-0.07
724799,0,-0.98,0.04,-0.11
724801,0,-0.98,0.04,-0.11
724803,0,-0.98,0.04,-0.11
724804,0,-0.98,0.04,-0.11
724806,0,-0.98,0.04,-0.11
724808,0,-0.98,0.04,-0.11
724809,0,-0.98,0.07,-0.13
724811,0,-0.98,0.07,-0.13
724813,0,-0.98,0.07,-0.13
724814,0,-0.98,0.07,-0.13
724816,0,-0.98,0.07,-0.13
724818,0,-0.98,0.07,-0.13
724819,0,-0.97,0.10,-0.14
724821,0,-0.97,0.10,-0.14
724823,0,-0.97,0.10,-0.14
724824,0,-0.97,0.10,-0.14
724826,0,-0.97,0.10,-0.14
724828,0,-0.97,0.10,-0.14
724829,0,-0.95,0.11,-0.17
724831,0,-0.95,0.11,-0.17
724833,0,-0.95,0.11,-0.17
724835,0,-0.95,0.11,-0.17
724836,0,-0.95,0.11,-0.17
724838,0,-0.95,0.23,-0.19
724840,0,-0.94,0.13,-0.19
724841,0,-0.94,0.13,-0.19
724843,0,-0.94,0.13,-0.19
724845,0,-0.94,0.13,-0.19
724846,0,-0.94,0.13,-0.19
724848,0,-0.94,0.15,-0.17
724850,0,-0.98,0.15,-0.17
724851,0,-0.98,0.15,-0.17
724853,0,-0.98,0.15,-0.17
724855,0,-0.98,0.15,-0.17
724856,0,-0.98,0.15,-0.17
724858,0,-0.96,0.16,-0.18
724860,0,-0.96,0.16,-0.18
724861,0,-0.96,0.16,-0.18
724863,0,-0.96,0.16,-0.18
724865,0,-0.96,0.16,-0.18
724866,0,-0.96,0.16,-0.18
724868,0,-0.97,0.15,-0.15
724870,0,-0.97,0.15,-0.15
724872,0,-0.97,0.15,-0.15
724873,0,-0.97,0.15,-0.15
724875,0,-0.97,0.15,-0.15
724877,0,-0.97,0.15,-0.15
724878,0,-0.96,0.12,-0.15
724880,0,-0.96,0.12,-0.15
724882,0,-0.96,0.12,-0.15
724883,0,-0.96,0.12,-0.15
724885,0,-0.96,0.12,-0.15
724887,0,-0.96,0.12,-0.15
724888,0,-0.94,0.08,-0.15
724890,0,-0.94,0.08,-0.15
724892,0,-0.94,0.08,-0.15
724893,0,-0.94,0.08,-0.15
724895,0,-0.94,0.08,-0.15
724897,0,-0.93,0.01,-0.16
724898,0,-0.93,0.01,-0.16
724900,0,-0.93,0.01,-0.16
724902,0,-0.93,0.01,-0.16
724903,0,-0.93,0.01,-0.16
724905,0,-0.93,0.01,-0.16
724907,0,-0.94,-0.02,-0.09
724908,0,-0.94,-0.02,-0.09
724910,0,-0.94,-0.02,-0.09
724912,0,-0.94,-0.02,-0.09
724913,0,-0.94,-0.02,-0.09
724915,0,-0.94,-0.02,-0.09
724917,0,-1.02,-0.02,0.02
724918,0,-1.02,-0.02,0.02
724920,0,-1.02,-0.02,0.02
724922,0,-1.02,-0.02,0.02
724923,0,-1.02,-0.02,0.02
724925,0,-1.02,-0.02,0.02
724927,0,-1.04,-0.02,0.06
724928,0,-1.04,-0.02,0.06
724930,0,-1.04,-0.02,0.06
724932,0,-1.04,-0.02,0.06
724933,0,-1.04,-0.02,0.06
724935,0,-1.04,-0.02,0.06
724937,0,-1.03,-0.05,0.02
724938,0,-1.03,-0.05,0.02
724940,0,-1.03,-0.05,0.02
724942,0,-1.03,-0.05,0.02
724943,0,-1.03,-0.05,0.02
724945,0,-1.03,-0.05,0.02
724947,0,-0.98,-0.04,-0.03
724948,0,-0.98,-0.04,-0.03
724950,0,-0.98,-0.04,-0.03
724952,0,-0.98,-0.04,-0.03
724953,0,-0.98,-0.04,-0.03
724955,0,-0.98,-0.04,-0.03
724957,0,-0.98,0.00,-0.07
724958,0,-0.98,0.00,-0.07
724960,0,-0.98,0.00,-0.07
724962,0,-0.98,0.00,-0.07
724963,0,-0.98,0.00,-0.07
724965,0,-0.98,0.00,-0.08
724966,0,-0.97,0.05,-0.08
724968,0,-0.97,0.05,-0.08
724970,0,-0.97,0.05,-0.08
724972,0,-0.97,0.05,-0.08
724973,0,-0.97,0.05,-0.08
724975,0,-0.97,0.07,-0.11
724977,0,-0.97,0.07,-0.11
724978,0,-0.97,0.07,-0.11
724980,0,-0.97,0.07,-0.11
724982,0,-0.97,0.07,-0.11
724983,0,-0.97,0.07,-0.11
724985,0,-0.97,0.08,-0.15
