t,l,x,y,z
380973,1,-0.99,-0.03,0.04
380975,1,-0.99,-0.03,0.04
380976,1,-0.99,-0.03,0.04
380978,1,-0.99,-0.03,0.04
380980,1,-0.99,-0.03,0.02
380981,1,-1.00,-0.04,0.02
380983,1,-1.00,-0.04,0.02
380985,1,-1.00,-0.04,0.02
380986,1,-1.00,-0.04,0.02
380988,1,-1.00,-0.04,0.02
380990,1,-0.99,-0.05,0.03
380991,1,-0.99,-0.05,0.03
380993,1,-0.99,-0.05,0.03
380995,1,-0.99,-0.05,0.03
380996,1,-0.99,-0.05,0.03
380998,1,-0.99,-0.05,0.03
381000,1,-0.96,-0.06,0.05
381001,1,-0.96,-0.06,0.05
381003,1,-0.96,-0.06,0.05
381005,1,-0.96,-0.06,0.05
381006,1,-0.96,-0.06,0.05
381008,1,-0.96,-0.06,0.05
381010,1,-0.98,-0.06,0.06
381011,1,-0.98,-0.06,0.06
381013,1,-0.98,-0.06,0.06
381015,1,-0.98,-0.06,0.06
381016,1,-0.98,-0.06,0.06
381018,1,-0.98,-0.06,0.06
381020,1,-1.01,-0.07,0.07
381021,1,-1.01,-0.07,0.07
381023,1,-1.01,-0.07,0.07
381025,1,-1.01,-0.07,0.07
381026,1,-1.01,-0.07,0.07
381028,1,-1.01,-0.07,0.07
381030,1,-1.02,-0.06,0.08
381031,1,-1.02,-0.06,0.08
381033,1,-1.02,-0.06,0.08
381035,1,-1.02,-0.06,0.08
381036,1,-1.02,-0.06,0.08
381038,1,-1.02,-0.06,0.08
381040,1,-0.99,-0.06,0.08
381041,1,-0.99,-0.06,0.08
381043,1,-0.99,-0.06,0.08
381045,1,-0.99,-0.06,0.08
381046,1,-0.99,-0.06,0.08
381048,1,-0.99,-0.06,0.08
381050,1,-0.94,-0.04,0.06
381051,1,-0.94,-0.04,0.06
381053,1,-0.94,-0.04,0.06
381055,1,-0.94,-0.04,0.06
381056,1,-0.94,-0.04,0.06
381058,1,-0.94,-0.04,0.04
381060,1,-0.91,-0.04,0.04
381061,1,-0.91,-0.04,0.04
381063,1,-0.91,-0.04,0.04
381065,1,-0.91,-0.04,0.04
381066,1,-0.91,-0.04,0.04
381068,1,-0.93,-0.03,0.02
381070,1,-0.93,-0.03,0.02
381071,1,-0.93,-0.03,0.02
381073,1,-0.93,-0.03,0.02
381075,1,-0.93,-0.03,0.02
381076,1,-0.93,-0.03,0.02
381078,1,-0.98,-0.04,0.03
381080,1,-0.98,-0.04,0.03
381081,1,-0.98,-0.04,0.03
381083,1,-0.98,-0.04,0.03
381085,1,-0.98,-0.04,0.03
381086,1,-0.98,-0.04,0.03
381088,1,-1.01,-0.03,0.02
381090,1,-1.01,-0.03,0.02
381091,1,-1.01,-0.03,0.02
381093,1,-1.01,-0.03,0.02
381095,1,-1.01,-0.03,0.02
381096,1,-1.01,-0.03,0.02
381098,1,-1.01,-0.01,0.01
381099,1,-1.01,-0.01,0.01
381101,1,-1.01,-0.01,0.01
381103,1,-1.01,-0.01,0.01
381104,1,-1.01,-0.01,0.01
381106,1,-1.01,-0.01,0.01
381108,1,-0.97,-0.02,0.02
381109,1,-0.97,-0.02,0.02
381111,1,-0.97,-0.02,0.02
381113,1,-0.97,-0.02,0.02
381114,1,-0.97,-0.02,0.02
381116,1,-0.97,-0.02,0.02
381118,1,-0.97,-0.03,0.03
381119,1,-0.97,-0.03,0.03
381121,1,-0.97,-0.03,0.03
381123,1,-0.97,-0.03,0.03
381124,1,-0.97,-0.03,0.03
381126,1,-0.97,-0.03,0.03
381128,1,-0.99,-0.03,0.04
381129,1,-0.99,-0.03,0.04
