t,l,x,y,z
207105,0,-0.97,-0.14,-0.05
207107,0,-0.97,-0.14,-0.05
207108,0,-0.97,-0.14,-0.05
207110,0,-0.97,-0.14,-0.05
207112,0,-0.97,-0.14,-0.05
207113,0,-0.97,-0.14,-0.05
207115,0,-0.97,-0.14,-0.03
207117,0,-0.97,-0.14,-0.03
207118,0,-0.97,-0.14,-0.03
207120,0,-0.97,-0.14,-0.03
207122,0,-0.97,-0.14,-0.03
207123,0,-0.97,-0.14,-0.03
207125,0,-0.97,-0.14,-0.01
207127,0,-0.97,-0.14,-0.01
207128,0,-0.97,-0.14,-0.01
207130,0,-0.97,-0.14,-0.01
207132,0,-0.97,-0.14,-0.01
207133,0,-0.97,-0.14,-0.01
207135,0,-0.97,-0.13,-0.01
207137,0,-0.97,-0.13,-0.01
207138,0,-0.97,-0.13,-0.01
207140,0,-0.97,-0.13,-0.01
207142,0,-0.97,-0.13,-0.01
207143,0,-0.97,-0.13,-0.00
207145,0,-0.96,-0.14,-0.00
207147,0,-0.96,-0.14,-0.00
207148,0,-0.96,-0.14,-0.00
207150,0,-0.96,-0.14,-0.00
207152,0,-0.96,-0.14,-0.00
207153,0,-0.97,-0.15,-0.01
207155,0,-0.97,-0.15,-0.01
207157,0,-0.97,-0.15,-0.01
207158,0,-0.97,-0.15,-0.01
207160,0,-0.97,-0.15,-0.01
207162,0,-0.97,-0.15,-0.01
207163,0,-0.97,-0.14,-0.01
207165,0,-0.97,-0.14,-0.01
207167,0,-0.97,-0.14,-0.01
207168,0,-0.97,-0.14,-0.01
207170,0,-0.97,-0.14,-0.01
207172,0,-0.97,-0.14,-0.01
207173,0,-0.97,-0.14,-0.01
207175,0,-0.97,-0.14,-0.01
207177,0,-0.97,-0.14,-0.01
207178,0,-0.97,-0.14,-0.01
207180,0,-0.97,-0.14,-0.01
207182,0,-0.97,-0.14,-0.01
207183,0,-0.97,-0.14,-0.01
207185,0,-0.97,-0.14,-0.01
207187,0,-0.97,-0.14,-0.01
207188,0,-0.97,-0.14,-0.01
207190,0,-0.97,-0.14,-0.01
207192,0,-0.97,-0.14,-0.01
207193,0,-0.97,-0.14,-0.02
207195,0,-0.97,-0.14,-0.02
207197,0,-0.97,-0.14,-0.02
207198,0,-0.97,-0.14,-0.02
207200,0,-0.97,-0.14,-0.02
207202,0,-0.97,-0.14,-0.02
207203,0,-0.97,-0.14,-0.02
207205,0,-0.97,-0.14,-0.02
207207,0,-0.97,-0.14,-0.02
207208,0,-0.97,-0.14,-0.02
207210,0,-0.97,-0.14,-0.02
207212,0,-0.97,-0.14,-0.03
207213,0,-0.97,-0.14,-0.03
207215,0,-0.97,-0.14,-0.03
207217,0,-0.97,-0.14,-0.03
207218,0,-0.97,-0.14,-0.03
207220,0,-0.97,-0.14,-0.03
207222,0,-0.97,-0.13,-0.05
207223,0,-0.97,-0.13,-0.05
207225,0,-0.97,-0.13,-0.05
207227,0,-0.97,-0.13,-0.05
207228,0,-0.97,-0.13,-0.05
207230,0,-0.97,-0.13,-0.05
207232,0,-0.97,-0.13,-0.04
207233,0,-0.97,-0.13,-0.04
207235,0,-0.97,-0.13,-0.04
207237,0,-0.97,-0.13,-0.04
207238,0,-0.97,-0.13,-0.04
207240,0,-0.97,-0.13,-0.04
207242,0,-0.97,-0.14,-0.04
207243,0,-0.97,-0.14,-0.04
207245,0,-0.97,-0.14,-0.04
207247,0,-0.97,-0.14,-0.04
207248,0,-0.97,-0.14,-0.04
207250,0,-0.97,-0.14,-0.04
207252,0,-0.97,-0.14,-0.03
207253,0,-0.97,-0.14,-0.03
207255,0,-0.97,-0.14,-0.03
207257,0,-0.97,-0.14,-0.03
207258,0,-0.97,-0.14,-0.03
207260,0,-0.97,-0.14,-0.03
207262,0,-0.97,-0.14,-0.02
207263,0,-0.97,-0.14,-0.02
207265,0,-0.97,-0.14,-0.02
207266,0,-0.97,-0.14,-0.02
207268,0,-0.97,-0.14,-0.02
207270,0,-0.97,-0.14,-0.02
207271,0,-0.98,-0.14,-0.01
207273,0,-0.98,-0.14,-0.01
207275,0,-0.98,-0.14,-0.01
207276,0,-0.98,-0.14,-0.01
207278,0,-0.98,-0.14,-0.01
207280,0,-0.98,-0.14,-0.01
207281,0,-0.97,-0.14,0.00
207283,0,-0.97,-0.14,0.00
207285,0,-0.97,-0.14,0.00
207286,0,-0.97,-0.14,0.00
207288,0,-0.97,-0.14,0.00
207290,0,-0.97,-0.14,0.00
207291,0,-0.97,-0.14,-0.01
207293,0,-0.97,-0.14,-0.01
207295,0,-0.97,-0.14,-0.01
207296,0,-0.97,-0.14,-0.01
207298,0,-0.97,-0.14,-0.01
207300,0,-0.97,-0.14,-0.03
207301,0,-0.97,-0.15,-0.03
207303,0,-0.97,-0.15,-0.03
207305,0,-0.97,-0.15,-0.03
207306,0,-0.97,-0.15,-0.03
207308,0,-0.97,-0.15,-0.03
207310,0,-0.97,-0.14,-0.04
207311,0,-0.96,-0.14,-0.04
207313,0,-0.96,-0.14,-0.04
207315,0,-0.96,-0.14,-0.04
207316,0,-0.96,-0.14,-0.04
207318,0,-0.96,-0.14,-0.04
207320,0,-0.97,-0.14,-0.05
207321,0,-0.97,-0.14,-0.05
207323,0,-0.97,-0.14,-0.05
207325,0,-0.97,-0.14,-0.05
207326,0,-0.97,-0.14,-0.05
207328,0,-0.97,-0.14,-0.05
207330,0,-0.97,-0.14,-0.04
207331,0,-0.97,-0.14,-0.04
207333,0,-0.97,-0.14,-0.04
207335,0,-0.97,-0.14,-0.04
207336,0,-0.97,-0.14,-0.04
207338,0,-0.97,-0.14,-0.04
207340,0,-0.97,-0.15,-0.04
207341,0,-0.97,-0.15,-0.04
207343,0,-0.97,-0.15,-0.04
207345,0,-0.97,-0.15,-0.04
207346,0,-0.97,-0.15,-0.04
207348,0,-0.97,-0.15,-0.04
207350,0,-0.96,-0.14,-0.03
207351,0,-0.96,-0.14,-0.03
207353,0,-0.96,-0.14,-0.03
207355,0,-0.96,-0.14,-0.03
207356,0,-0.96,-0.14,-0.03
207358,0,-0.96,-0.14,-0.03
207360,0,-0.97,-0.13,-0.02
207361,0,-0.97,-0.13,-0.02
207363,0,-0.97,-0.13,-0.02
207365,0,-0.97,-0.13,-0.02
207366,0,-0.97,-0.13,-0.02
207368,0,-0.97,-0.13,-0.02
207370,0,-0.96,-0.14,-0.02
207371,0,-0.96,-0.14,-0.02
207373,0,-0.96,-0.14,-0.02
207375,0,-0.96,-0.14,-0.02
207376,0,-0.96,-0.14,-0.02
207378,0,-0.96,-0.13,-0.04
207380,0,-0.97,-0.13,-0.04
207381,0,-0.97,-0.13,-0.04
207383,0,-0.97,-0.13,-0.04
207385,0,-0.97,-0.13,-0.04
207386,0,-0.97,-0.13,-0.04
207388,0,-0.97,-0.13,-0.04
207390,0,-0.97,-0.13,-0.04
207391,0,-0.97,-0.13,-0.04
207393,0,-0.97,-0.13,-0.04
207395,0,-0.97,-0.13,-0.04
207396,0,-0.97,-0.13,-0.04
207398,0,-0.97,-0.12,-0.04
207400,0,-0.97,-0.12,-0.04
207401,0,-0.97,-0.12,-0.04
207403,0,-0.97,-0.12,-0.04
207405,0,-0.97,-0.12,-0.04
207406,0,-0.97,-0.12,-0.04
207408,0,-0.97,-0.13,-0.04
207410,0,-0.97,-0.13,-0.04
207411,0,-0.97,-0.13,-0.04
207413,0,-0.97,-0.13,-0.04
207415,0,-0.97,-0.13,-0.04
207416,0,-0.97,-0.13,-0.04
207418,0,-0.97,-0.13,-0.04
207420,0,-0.97,-0.13,-0.04
207421,0,-0.97,-0.13,-0.04
207423,0,-0.97,-0.13,-0.04
207425,0,-0.97,-0.13,-0.04
207426,0,-0.97,-0.13,-0.04
207428,0,-0.97,-0.14,-0.03
207430,0,-0.97,-0.14,-0.03
207431,0,-0.97,-0.14,-0.03
207433,0,-0.97,-0.14,-0.03
207435,0,-0.97,-0.14,-0.03
207436,0,-0.97,-0.14,-0.05
207438,0,-0.96,-0.14,-0.05
207440,0,-0.96,-0.14,-0.05
207441,0,-0.96,-0.14,-0.05
207443,0,-0.96,-0.14,-0.05
207445,0,-0.96,-0.14,-0.05
207446,0,-0.96,-0.14,-0.06
207448,0,-0.97,-0.14,-0.06
207450,0,-0.97,-0.14,-0.06
207451,0,-0.97,-0.14,-0.06
207453,0,-0.97,-0.14,-0.06
207455,0,-0.97,-0.14,-0.06
207456,0,-0.96,-0.14,-0.06
207458,0,-0.96,-0.14,-0.06
207460,0,-0.96,-0.14,-0.06
207461,0,-0.96,-0.14,-0.06
207463,0,-0.96,-0.14,-0.06
207465,0,-0.96,-0.14,-0.06
207466,0,-0.96,-0.14,-0.05
207468,0,-0.96,-0.14,-0.05
207470,0,-0.96,-0.14,-0.05
207471,0,-0.96,-0.14,-0.05
207473,0,-0.96,-0.14,-0.05
207475,0,-0.96,-0.14,-0.05
207476,0,-0.97,-0.14,-0.04
207478,0,-0.97,-0.14,-0.04
207480,0,-0.97,-0.14,-0.04
207481,0,-0.97,-0.14,-0.04
207483,0,-0.97,-0.14,-0.04
207485,0,-0.97,-0.14,-0.04
207486,0,-0.97,-0.14,-0.01
207488,0,-0.97,-0.14,-0.01
207490,0,-0.97,-0.14,-0.01
207491,0,-0.97,-0.14,-0.01
207493,0,-0.97,-0.14,-0.01
207495,0,-0.97,-0.14,-0.01
207496,0,-0.97,-0.15,0.02
207498,0,-0.97,-0.15,0.02
207500,0,-0.97,-0.15,0.02
207501,0,-0.97,-0.15,0.02
207503,0,-0.97,-0.15,0.02
207505,0,-0.97,-0.15,0.02
